date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,13.60,14.08,13.60,14.06,3308400,14.06
2015-06-29,13.71,13.90,13.50,13.78,2500500,13.78
2015-06-26,14.06,14.09,13.745,13.87,2881100,13.87
2015-06-25,14.10,14.21,14.055,14.11,2335800,14.11
2015-06-24,14.50,14.55,13.97,14.08,5777800,14.08
2015-06-23,14.50,14.80,14.39,14.53,5112100,14.53
2015-06-22,15.19,15.25,14.195,14.47,7948300,14.47
2015-06-19,16.51,16.90,16.48,16.50,1336100,16.50
2015-06-18,16.45,16.475,16.19,16.27,2227300,16.27
2015-06-17,16.45,16.57,16.45,16.51,2268700,16.51
2015-06-16,16.60,16.60,16.32,16.34,982700,16.34
2015-06-15,16.46,16.62,16.42,16.60,1013500,16.60
2015-06-12,16.57,16.59,16.34,16.47,1089600,16.47
2015-06-11,16.37,16.66,16.35,16.61,1226800,16.61
2015-06-10,16.29,16.44,16.24,16.35,940700,16.35
2015-06-09,16.41,16.55,16.19,16.31,1509900,16.31
2015-06-08,16.51,16.51,16.51,16.51,000,16.51
2015-06-05,16.32,16.67,16.32,16.51,1476400,16.51
2015-06-04,16.45,16.57,16.32,16.40,954600,16.40
2015-06-03,16.41,16.50,16.28,16.45,1261000,16.45
2015-06-02,17.00,17.00,16.55,16.56,1218000,16.56
2015-06-01,16.88,16.94,16.56,16.86,707500,16.86
2015-05-29,16.95,17.10,16.895,16.92,2135900,16.92
2015-05-28,16.74,16.97,16.74,16.89,1695100,16.89
2015-05-27,16.65,16.79,16.53,16.75,863000,16.75
2015-05-26,16.84,16.90,16.76,16.87,861400,16.87
2015-05-25,16.80,16.85,16.69,16.74,688600,16.74
2015-05-22,16.60,16.73,16.51,16.68,1604300,16.68
2015-05-21,16.39,16.65,16.37,16.60,1644700,16.60
2015-05-20,16.01,16.25,15.995,16.21,1137800,16.21
2015-05-19,15.88,16.015,15.76,15.85,1102800,15.85
2015-05-18,16.05,16.13,15.87,15.89,843300,15.89
2015-05-15,16.10,16.20,16.02,16.06,901100,16.06
2015-05-14,15.86,15.97,15.70,15.85,1171000,15.85
2015-05-13,15.81,16.08,15.75,16.06,1177100,16.06
2015-05-12,15.60,15.965,15.57,15.93,1355600,15.93
2015-05-11,15.89,15.90,15.58,15.58,1344500,15.58
2015-05-08,15.87,15.92,15.67,15.69,925800,15.69
2015-05-07,15.76,15.89,15.65,15.74,1385700,15.74
2015-05-06,16.05,16.10,15.77,15.96,1698800,15.96
2015-05-05,16.48,16.55,16.16,16.20,1324400,16.20
2015-05-04,16.15,16.39,16.11,16.28,1893500,16.28
2015-05-01,16.20,16.27,16.04,16.25,782100,16.25
2015-04-30,16.31,16.34,16.07,16.25,1271800,16.25
2015-04-29,16.84,16.88,16.46,16.48,1092000,16.48
2015-04-28,16.84,16.90,16.77,16.86,1002100,16.86
2015-04-27,16.77,16.85,16.71,16.80,1068400,16.80
2015-04-24,16.60,16.83,16.52,16.80,1433000,16.80
2015-04-23,16.38,16.46,16.25,16.41,1576300,16.41
2015-04-22,16.55,16.55,16.24,16.44,1838700,16.44
2015-04-21,16.57,16.60,16.41,16.48,1398800,16.48
2015-04-20,16.69,16.69,16.44,16.49,1616600,16.49
2015-04-17,17.04,17.07,16.77,16.79,1390900,16.79
2015-04-16,17.00,17.13,16.94,17.08,1536400,17.08
2015-04-15,16.70,16.94,16.66,16.92,1606400,16.92
2015-04-14,16.82,16.83,16.64,16.80,1524900,16.80
2015-04-13,17.09,17.15,16.83,16.87,1117400,16.87
2015-04-10,17.01,17.07,16.905,17.01,1743900,17.01
2015-04-09,16.98,17.03,16.89,16.98,1622900,16.98
2015-04-08,17.00,17.09,16.87,16.92,1375800,16.92
2015-04-07,17.08,17.145,16.77,16.84,983900,16.84
2015-04-06,16.95,16.95,16.95,16.95,000,16.95
2015-04-03,16.95,16.95,16.95,16.95,000,16.95
2015-04-02,17.00,17.08,16.79,16.95,1286400,16.95
2015-04-01,17.10,17.18,16.71,16.74,1790400,16.74
2015-03-31,17.16,17.215,17.00,17.12,2479100,17.12
2015-03-30,16.99,17.06,16.53,16.95,1947700,16.95
2015-03-27,17.29,17.41,17.14,17.29,1779100,17.29
2015-03-26,17.53,17.60,17.27,17.42,1620600,17.149
2015-03-25,17.95,17.97,17.635,17.67,1241300,17.395
2015-03-24,17.75,18.02,17.74,17.95,1407600,17.67
2015-03-23,17.85,17.94,17.75,17.86,1279600,17.582
2015-03-20,17.69,17.92,17.68,17.85,3606400,17.572
2015-03-19,17.53,17.84,17.53,17.72,2047200,17.444
2015-03-18,17.32,17.49,17.26,17.47,1520500,17.198
2015-03-17,17.83,17.885,17.36,17.43,1396900,17.158
2015-03-16,17.60,17.75,17.55,17.58,1332500,17.306
2015-03-13,17.83,18.00,17.65,17.75,2067600,17.473
2015-03-12,17.24,17.83,17.22,17.74,2406000,17.464
2015-03-11,17.11,17.32,17.01,17.18,1143400,16.912
2015-03-10,17.24,17.28,17.10,17.21,882300,16.942
2015-03-09,17.31,17.34,17.11,17.21,578000,16.942
2015-03-06,17.35,17.42,17.27,17.36,718300,17.09
2015-03-05,17.32,17.36,17.21,17.33,1036900,17.06
2015-03-04,17.44,17.44,17.28,17.32,1130600,17.05
2015-03-03,17.40,17.49,17.26,17.33,1291700,17.06
2015-03-02,17.35,17.37,17.28,17.32,1356100,17.05
2015-02-27,17.43,17.43,17.27,17.29,1184700,17.021
2015-02-26,17.30,17.40,17.15,17.30,1029100,17.03
2015-02-25,17.37,17.46,17.21,17.41,1182200,17.139
2015-02-24,17.55,17.62,17.305,17.37,1244100,17.099
2015-02-23,17.43,17.57,17.31,17.52,734100,17.247
2015-02-20,17.70,17.75,17.21,17.36,1223100,17.09
2015-02-19,17.64,17.77,17.48,17.60,1576400,17.326
2015-02-18,17.35,17.76,17.05,17.56,3213100,17.286
2015-02-17,17.00,17.51,16.56,17.10,8332000,16.834
2015-02-16,18.99,18.99,18.61,18.73,767700,18.438
2015-02-13,18.10,18.67,18.10,18.54,1121700,18.251
2015-02-12,18.11,18.34,18.05,18.07,1444400,17.788
2015-02-11,18.46,18.46,18.03,18.06,679000,17.779
2015-02-10,18.13,18.15,17.88,18.00,666700,17.72
2015-02-09,17.75,18.15,17.75,17.99,442700,17.71
2015-02-06,17.93,18.09,17.68,17.70,1090200,17.424
2015-02-05,18.24,18.45,17.56,17.70,1879800,17.424
2015-02-04,18.25,18.27,17.99,18.14,628900,17.857
2015-02-03,17.97,18.19,17.87,18.13,795600,17.848
2015-02-02,17.91,18.07,17.85,17.93,716200,17.651
2015-01-30,17.98,18.14,17.85,17.85,1270200,17.572
2015-01-29,17.55,17.89,17.52,17.77,726400,17.493
2015-01-28,17.39,17.76,17.39,17.58,705200,17.306
2015-01-27,17.28,17.75,17.27,17.71,1507800,17.434
2015-01-26,17.23,17.23,17.23,17.23,000,16.962
2015-01-23,17.22,17.32,17.12,17.23,679900,16.962
2015-01-22,17.14,17.17,16.93,17.06,746800,16.794
2015-01-21,16.67,17.13,16.60,17.13,747700,16.863
2015-01-20,16.73,16.79,16.58,16.67,668000,16.41
2015-01-19,16.57,16.86,16.52,16.83,1049600,16.568
2015-01-16,16.61,16.68,16.20,16.38,1467100,16.125
2015-01-15,16.79,16.88,16.54,16.87,764300,16.607
2015-01-14,17.04,17.12,16.85,16.90,772700,16.637
2015-01-13,17.07,17.33,17.07,17.15,778500,16.883
2015-01-12,17.42,17.605,17.24,17.29,803300,17.021
2015-01-09,17.48,17.70,17.38,17.70,814100,17.424
2015-01-08,17.22,17.45,17.07,17.36,648300,17.09
2015-01-07,17.23,17.38,17.14,17.30,585400,17.03
2015-01-06,17.40,17.53,17.28,17.44,823200,17.168
2015-01-05,17.39,17.57,17.38,17.53,494500,17.257
2015-01-02,17.29,17.56,17.14,17.50,304300,17.227
2015-01-01,17.27,17.27,17.27,17.27,000,17.001
2014-12-31,17.17,17.44,17.17,17.27,194300,17.001
2014-12-30,17.61,17.73,17.24,17.29,588800,17.021
2014-12-29,17.20,17.60,17.02,17.60,590400,17.326
2014-12-26,17.12,17.12,17.12,17.12,000,16.853
2014-12-25,17.12,17.12,17.12,17.12,000,16.853
2014-12-24,17.12,17.19,16.90,17.12,398200,16.853
2014-12-23,17.31,17.44,17.12,17.12,514700,16.853
2014-12-22,17.00,17.29,16.87,17.29,893900,17.021
2014-12-19,16.49,16.85,16.39,16.85,1285800,16.587
2014-12-18,16.13,16.61,16.07,16.15,1130600,15.898
2014-12-17,16.05,16.20,15.98,16.05,844300,15.80
2014-12-16,16.11,16.15,15.94,15.99,1149200,15.741
2014-12-15,16.01,16.27,15.80,16.08,989600,15.829
2014-12-12,16.26,16.47,16.13,16.17,1041800,15.918
2014-12-11,16.81,16.88,16.22,16.26,2054200,16.007
2014-12-10,17.09,17.17,16.88,17.01,1007800,16.745
2014-12-09,17.55,17.59,16.97,17.09,1996400,16.824
2014-12-08,17.22,17.79,17.20,17.70,1139600,17.424
2014-12-05,17.25,17.46,17.03,17.24,729600,16.971
2014-12-04,17.19,17.53,17.15,17.22,1058500,16.952
2014-12-03,16.88,17.23,16.88,17.16,1408900,16.893
