date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.58,5.81,5.47,5.75,1612700,5.75
2015-06-29,5.68,5.76,5.54,5.67,1353000,5.67
2015-06-26,6.13,6.20,5.99,6.05,1391800,6.05
2015-06-25,6.43,6.53,5.96,6.10,3578100,6.10
2015-06-24,5.83,5.98,5.83,5.925,879000,5.925
2015-06-23,5.75,5.84,5.63,5.76,755400,5.76
2015-06-22,5.75,5.80,5.61,5.73,844100,5.73
2015-06-19,5.70,5.90,5.61,5.71,1779600,5.71
2015-06-18,5.57,5.72,5.51,5.70,1910600,5.70
2015-06-17,5.30,5.76,5.25,5.55,3583100,5.55
2015-06-16,5.25,5.29,5.06,5.10,782000,5.10
2015-06-15,5.25,5.29,5.21,5.24,466800,5.24
2015-06-12,5.18,5.35,5.175,5.34,968100,5.34
2015-06-11,5.23,5.32,5.23,5.28,692400,5.28
2015-06-10,5.07,5.20,5.07,5.14,1624500,5.14
2015-06-09,5.06,5.15,5.06,5.07,581100,5.07
2015-06-08,5.14,5.14,5.14,5.14,000,5.14
2015-06-05,5.07,5.16,4.97,5.14,1108600,5.14
2015-06-04,5.32,5.32,5.10,5.11,990400,5.11
2015-06-03,5.18,5.34,5.15,5.27,1203900,5.27
2015-06-02,5.20,5.27,5.175,5.19,936700,5.19
2015-06-01,5.25,5.26,5.12,5.20,960000,5.20
2015-05-29,5.38,5.39,5.31,5.34,1667000,5.34
2015-05-28,5.39,5.40,5.29,5.37,703600,5.37
2015-05-27,5.25,5.36,5.25,5.30,1308600,5.30
2015-05-26,5.34,5.39,5.30,5.36,705500,5.36
2015-05-25,5.25,5.39,5.24,5.32,2696700,5.32
2015-05-22,5.35,5.39,5.26,5.29,1614500,5.29
2015-05-21,5.00,5.30,4.97,5.27,3196200,5.27
2015-05-20,5.28,5.30,5.06,5.09,2461300,5.09
2015-05-19,5.47,5.495,5.39,5.40,2849300,5.40
2015-05-18,5.45,5.50,5.38,5.42,960600,5.42
2015-05-15,5.42,5.46,5.35,5.42,1740300,5.42
2015-05-14,5.50,5.60,5.34,5.39,3237900,5.39
2015-05-13,5.48,5.70,5.48,5.67,1584900,5.67
2015-05-12,5.32,5.48,5.30,5.47,1348300,5.47
