date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.60,3.70,3.29,3.56,16918100,3.56
2015-06-29,4.40,4.40,3.50,3.78,32221000,3.78
2015-06-26,5.20,5.21,4.93,5.04,9284000,5.04
2015-06-25,5.30,5.55,4.85,5.06,23834700,5.06
2015-06-24,6.36,6.45,6.11,6.13,6253000,6.13
2015-06-23,6.45,6.56,6.41,6.49,4168400,6.49
2015-06-22,6.26,6.40,6.18,6.38,1483900,6.38
2015-06-19,6.18,6.30,6.155,6.27,1947400,6.27
2015-06-18,6.25,6.25,6.10,6.16,2423200,6.16
2015-06-17,6.29,6.32,6.20,6.25,2018100,6.25
2015-06-16,6.33,6.37,6.22,6.25,1602500,6.25
2015-06-15,6.31,6.32,6.22,6.29,1602900,6.29
2015-06-12,6.24,6.38,6.22,6.29,2221400,6.29
2015-06-11,6.15,6.25,6.11,6.20,1973000,6.20
2015-06-10,6.23,6.23,6.05,6.06,4471500,6.06
2015-06-09,6.25,6.30,6.18,6.22,1884700,6.22
2015-06-08,6.25,6.25,6.25,6.25,000,6.25
2015-06-05,6.19,6.33,6.18,6.25,1962500,6.25
2015-06-04,6.40,6.40,6.22,6.22,2642000,6.22
2015-06-03,6.40,6.40,6.28,6.34,4216000,6.34
2015-06-02,6.25,6.41,6.25,6.34,3532300,6.34
2015-06-01,6.05,6.26,6.05,6.20,2686200,6.20
2015-05-29,5.94,6.06,5.92,6.03,4740200,6.03
2015-05-28,6.10,6.11,5.83,5.90,4189000,5.90
2015-05-27,6.07,6.15,6.05,6.10,2907500,6.10
2015-05-26,6.11,6.19,6.06,6.10,3729900,6.10
2015-05-25,6.28,6.28,6.11,6.12,2826100,6.12
2015-05-22,6.20,6.25,6.17,6.22,1781100,6.22
2015-05-21,6.10,6.17,6.08,6.12,1861800,6.12
2015-05-20,6.11,6.20,6.06,6.08,1934500,6.08
2015-05-19,6.25,6.255,6.10,6.10,5629900,6.10
2015-05-18,6.27,6.30,6.19,6.21,2377300,6.21
2015-05-15,6.13,6.26,6.13,6.18,2896000,6.18
2015-05-14,6.03,6.19,6.02,6.03,6859600,6.03
2015-05-13,6.00,6.09,5.98,6.03,4440100,6.03
2015-05-12,6.05,6.11,6.02,6.02,3309400,6.02
2015-05-11,6.10,6.18,6.00,6.10,4594800,6.10
2015-05-08,6.15,6.19,5.77,5.96,7003900,5.96
2015-05-07,6.33,6.34,6.15,6.23,2745500,6.23
2015-05-06,6.59,6.59,6.33,6.34,3236900,6.34
2015-05-05,6.70,6.70,6.55,6.61,3097500,6.61
2015-05-04,6.38,6.54,6.33,6.48,2511900,6.48
2015-05-01,6.33,6.39,6.22,6.32,2437300,6.32
2015-04-30,6.37,6.44,6.25,6.34,2564400,6.34
2015-04-29,6.70,6.70,6.41,6.41,3173900,6.41
2015-04-28,6.70,6.75,6.55,6.58,2675200,6.58
2015-04-27,6.63,6.73,6.63,6.69,3756000,6.69
2015-04-24,6.53,6.64,6.51,6.58,5693600,6.58
2015-04-23,6.26,6.56,6.20,6.49,7978500,6.49
2015-04-22,6.60,6.61,6.40,6.42,3347300,6.42
2015-04-21,6.67,6.74,6.50,6.56,4257800,6.56
2015-04-20,6.80,6.83,6.52,6.54,5808100,6.54
2015-04-17,7.21,7.28,6.86,6.87,5660500,6.87
2015-04-16,7.24,7.28,7.15,7.21,2894900,7.21
2015-04-15,7.50,7.51,7.13,7.21,4657200,7.21
2015-04-14,7.50,7.66,7.48,7.57,2931200,7.57
2015-04-13,7.34,7.48,7.29,7.47,2143900,7.47
2015-04-10,7.28,7.39,7.17,7.29,2653500,7.29
2015-04-09,7.36,7.53,7.27,7.27,2284900,7.27
2015-04-08,7.55,7.615,7.28,7.52,4704400,7.52
2015-04-07,8.01,8.07,7.64,7.69,3207100,7.69
2015-04-06,7.85,7.85,7.85,7.85,000,7.85
2015-04-03,7.85,7.85,7.85,7.85,000,7.85
2015-04-02,7.75,7.93,7.48,7.85,6704900,7.85
2015-04-01,7.55,7.55,7.55,7.55,000,7.55
2015-03-31,7.55,7.55,7.55,7.55,000,7.55
2015-03-30,7.55,7.55,7.55,7.55,000,7.55
2015-03-27,7.45,7.57,7.42,7.55,1073900,7.55
2015-03-26,7.69,7.72,7.41,7.60,1362000,7.60
2015-03-25,7.70,7.70,7.54,7.57,687100,7.57
2015-03-24,7.61,7.65,7.51,7.63,654000,7.63
2015-03-23,7.68,7.71,7.62,7.62,1644100,7.62
2015-03-20,7.54,7.67,7.51,7.66,1095400,7.66
2015-03-19,7.45,7.51,7.36,7.48,1074400,7.48
2015-03-18,7.23,7.40,7.20,7.39,769500,7.39
2015-03-17,7.50,7.50,6.64,7.25,2124400,7.25
2015-03-16,7.53,7.58,7.38,7.42,680700,7.42
2015-03-13,7.48,7.54,7.42,7.52,643500,7.52
2015-03-12,7.27,7.51,7.25,7.47,540800,7.47
2015-03-11,7.21,7.335,7.09,7.28,488600,7.28
2015-03-10,7.33,7.39,7.21,7.25,930600,7.25
2015-03-09,7.31,7.39,7.29,7.33,463500,7.289
2015-03-06,7.30,7.42,7.14,7.31,1293600,7.269
2015-03-05,7.43,7.43,7.23,7.30,643700,7.259
2015-03-04,7.56,7.56,7.39,7.44,503200,7.398
2015-03-03,7.61,7.65,7.38,7.47,584600,7.428
2015-03-02,7.51,7.66,7.51,7.53,509800,7.488
2015-02-27,7.59,7.59,7.41,7.49,731700,7.448
2015-02-26,7.65,7.66,7.46,7.56,856100,7.518
2015-02-25,7.50,7.61,7.47,7.61,1333800,7.567
2015-02-24,7.50,7.52,7.41,7.49,1519900,7.448
2015-02-23,7.48,7.54,7.45,7.51,1361500,7.468
2015-02-20,7.52,7.52,7.34,7.40,794700,7.359
2015-02-19,7.70,7.70,7.53,7.54,663600,7.498
2015-02-18,7.69,7.73,7.61,7.64,904100,7.597
2015-02-17,7.76,7.76,7.63,7.70,615300,7.657
2015-02-16,7.74,7.86,7.68,7.78,1249900,7.736
2015-02-13,7.59,7.74,7.575,7.70,1356300,7.657
2015-02-12,7.70,7.87,7.52,7.55,2278300,7.508
2015-02-11,7.42,7.68,7.36,7.53,3886600,7.488
2015-02-10,6.89,7.24,6.70,7.18,2863800,7.14
2015-02-09,6.61,6.64,6.53,6.61,703800,6.573
2015-02-06,6.74,6.75,6.55,6.60,474400,6.563
2015-02-05,6.67,6.73,6.62,6.71,876900,6.672
2015-02-04,6.74,6.76,6.57,6.64,617700,6.603
2015-02-03,6.65,6.73,6.54,6.63,907800,6.593
2015-02-02,6.66,6.80,6.65,6.65,1410200,6.613
2015-01-30,6.55,6.70,6.44,6.64,826100,6.603
2015-01-29,6.33,6.50,6.32,6.50,516400,6.464
2015-01-28,6.48,6.52,6.40,6.43,543100,6.394
2015-01-27,6.42,6.55,6.38,6.50,522500,6.464
2015-01-26,6.42,6.42,6.42,6.42,000,6.384
2015-01-23,6.20,6.455,6.14,6.42,1057100,6.384
2015-01-22,6.24,6.24,6.08,6.10,758500,6.066
2015-01-21,6.19,6.27,6.17,6.21,626400,6.175
2015-01-20,6.25,6.25,6.16,6.16,712400,6.126
2015-01-19,6.26,6.30,6.20,6.23,554500,6.195
2015-01-16,6.28,6.30,6.10,6.19,679300,6.155
2015-01-15,6.36,6.40,6.26,6.30,894100,6.265
2015-01-14,6.41,6.51,6.36,6.38,797900,6.344
2015-01-13,6.48,6.51,6.39,6.41,494400,6.374
2015-01-12,6.54,6.57,6.45,6.47,347700,6.434
2015-01-09,6.54,6.63,6.49,6.52,788900,6.484
2015-01-08,6.37,6.57,6.37,6.41,915800,6.374
2015-01-07,6.35,6.43,6.30,6.35,439400,6.314
2015-01-06,6.42,6.44,6.32,6.37,445300,6.334
2015-01-05,6.38,6.42,6.37,6.41,484100,6.374
2015-01-02,6.40,6.45,6.37,6.40,259500,6.364
2015-01-01,6.40,6.40,6.40,6.40,000,6.364
2014-12-31,6.40,6.41,6.375,6.40,100200,6.364
2014-12-30,6.45,6.46,6.36,6.36,250100,6.324
2014-12-29,6.45,6.47,6.42,6.44,454400,6.404
2014-12-26,6.45,6.45,6.45,6.45,000,6.414
2014-12-25,6.45,6.45,6.45,6.45,000,6.414
2014-12-24,6.45,6.47,6.42,6.45,142500,6.414
2014-12-23,6.51,6.58,6.43,6.45,539200,6.414
2014-12-22,6.30,6.53,6.29,6.51,980600,6.474
2014-12-19,6.20,6.22,6.14,6.19,784700,6.155
2014-12-18,6.10,6.24,6.05,6.10,777500,6.066
2014-12-17,6.08,6.25,6.08,6.17,1282900,6.135
2014-12-16,6.08,6.10,6.02,6.10,1025000,6.066
2014-12-15,6.20,6.21,6.06,6.09,503700,6.056
2014-12-12,6.21,6.29,6.16,6.25,553900,6.215
2014-12-11,6.14,6.25,6.10,6.21,576900,6.175
2014-12-10,6.25,6.26,6.18,6.22,870000,6.185
2014-12-09,6.21,6.30,6.16,6.28,693300,6.245
2014-12-08,6.25,6.30,6.25,6.27,475600,6.235
2014-12-05,6.32,6.32,6.25,6.25,671000,6.215
2014-12-04,6.27,6.35,6.21,6.28,331400,6.245
2014-12-03,6.12,6.24,6.10,6.23,1100100,6.195
2014-12-02,6.00,6.15,5.98,6.10,580800,6.066
2014-12-01,6.21,6.24,5.80,5.96,743000,5.927
2014-11-28,6.15,6.20,6.13,6.17,410600,6.135
2014-11-27,6.15,6.18,6.14,6.15,507200,6.116
2014-11-26,6.02,6.15,6.01,6.15,614600,6.116
2014-11-25,6.05,6.10,5.96,6.01,928400,5.976
2014-11-24,6.00,6.15,5.99,6.08,317700,6.046
2014-11-21,6.06,6.11,5.90,6.01,764900,5.976
2014-11-20,6.33,6.35,5.96,6.00,1013600,5.966
2014-11-19,6.39,6.44,6.36,6.38,495100,6.344
2014-11-18,6.29,6.38,6.27,6.36,646200,6.324
2014-11-17,6.39,6.43,6.22,6.25,735900,6.215
2014-11-14,6.35,6.39,6.32,6.39,363300,6.354
2014-11-13,6.36,6.36,6.31,6.32,529800,6.285
2014-11-12,6.36,6.44,6.28,6.31,552400,6.275
2014-11-11,6.29,6.33,6.27,6.30,692900,6.265
2014-11-10,6.33,6.35,6.22,6.27,948500,6.235
2014-11-07,6.43,6.51,6.28,6.32,1007500,6.285
2014-11-06,6.38,6.44,6.34,6.36,381800,6.324
2014-11-05,6.31,6.37,6.26,6.29,524700,6.255
2014-11-04,6.18,6.33,6.175,6.30,777100,6.265
2014-11-03,6.13,6.22,6.12,6.17,417300,6.135
2014-10-31,6.12,6.20,6.08,6.11,409000,6.076
2014-10-30,6.20,6.21,5.975,6.05,986800,6.016
2014-10-29,6.23,6.26,6.20,6.21,898500,6.175
2014-10-28,6.27,6.28,6.20,6.20,658500,6.165
2014-10-27,6.19,6.30,6.19,6.26,349500,6.225
2014-10-24,6.17,6.23,6.12,6.18,459000,6.145
2014-10-23,6.08,6.14,6.06,6.11,648300,6.076
2014-10-22,5.96,6.09,5.90,6.09,621000,6.056
2014-10-21,5.93,5.99,5.85,5.87,619600,5.837
2014-10-20,5.91,5.985,5.88,5.91,759200,5.877
2014-10-17,6.01,6.01,5.84,5.87,511200,5.837
2014-10-16,5.93,5.98,5.78,5.96,888100,5.927
2014-10-15,5.93,6.04,5.91,5.93,457500,5.897
2014-10-14,5.74,5.95,5.71,5.93,449700,5.897
2014-10-13,5.76,5.82,5.74,5.79,640400,5.758
2014-10-10,5.80,5.94,5.76,5.91,850900,5.877
2014-10-09,5.89,6.00,5.83,5.98,527000,5.947
2014-10-08,5.80,5.88,5.71,5.88,487900,5.847
2014-10-07,6.09,6.09,5.80,5.90,792400,5.867
2014-10-06,6.04,6.13,6.005,6.08,285200,6.046
2014-10-03,6.02,6.06,5.99,6.03,448400,5.996
2014-10-02,5.91,6.06,5.90,6.05,660400,6.016
2014-10-01,6.06,6.08,5.86,5.94,929800,5.907
2014-09-30,6.11,6.17,6.07,6.14,441600,6.106
2014-09-29,6.10,6.17,6.06,6.14,370100,6.106
2014-09-26,6.08,6.15,6.03,6.13,858200,6.096
2014-09-25,6.10,6.24,6.10,6.21,720400,6.175
2014-09-24,6.03,6.11,5.99,6.08,414400,6.046
2014-09-23,6.07,6.13,5.99,6.13,973800,6.096
2014-09-22,6.16,6.20,6.11,6.12,663400,6.086
2014-09-19,6.20,6.23,6.15,6.16,3866600,6.126
2014-09-18,6.19,6.20,6.06,6.17,706200,6.135
2014-09-17,6.11,6.22,6.09,6.18,851500,6.145
2014-09-16,6.02,6.09,5.99,6.04,649700,6.006
2014-09-15,6.03,6.03,5.95,6.00,582800,5.966
2014-09-12,6.06,6.17,6.04,6.15,555000,6.045
2014-09-11,6.17,6.17,6.01,6.10,1443700,5.995
2014-09-10,6.25,6.28,6.09,6.14,663900,6.035
2014-09-09,6.13,6.27,6.13,6.26,500900,6.153
2014-09-08,6.19,6.28,6.07,6.13,744900,6.025
2014-09-05,6.29,6.31,6.23,6.23,789300,6.123
2014-09-04,6.32,6.32,6.19,6.25,1000900,6.143
2014-09-03,6.44,6.475,6.27,6.29,798500,6.182
2014-09-02,6.40,6.45,6.38,6.43,511300,6.32
2014-09-01,6.37,6.51,6.36,6.38,941000,6.271
2014-08-29,6.28,6.43,6.26,6.28,1767700,6.172
2014-08-28,6.35,6.44,6.22,6.29,1640200,6.182
2014-08-27,6.25,6.39,6.19,6.31,1185700,6.202
2014-08-26,6.15,6.24,6.13,6.17,841600,6.064
2014-08-25,6.05,6.175,6.02,6.14,760100,6.035
2014-08-22,6.05,6.075,6.01,6.05,569200,5.946
2014-08-21,6.05,6.05,5.95,6.00,1959200,5.897
2014-08-20,5.95,5.99,5.91,5.93,586200,5.828
2014-08-19,5.85,5.94,5.83,5.85,1221500,5.75
2014-08-18,5.76,5.875,5.72,5.81,1230100,5.71
2014-08-15,5.76,5.79,5.71,5.75,3081000,5.651
2014-08-14,5.69,5.80,5.68,5.75,7036400,5.651
2014-08-13,5.28,5.65,5.25,5.58,2188500,5.484
2014-08-12,5.15,5.27,5.15,5.24,4236400,5.15
2014-08-11,4.90,4.94,4.885,4.93,700200,4.845
2014-08-08,4.95,4.97,4.84,4.86,996700,4.777
2014-08-07,4.90,4.96,4.90,4.94,503000,4.855
2014-08-06,4.97,4.995,4.91,4.92,424100,4.836
2014-08-05,5.00,5.02,4.95,5.00,520600,4.914
2014-08-04,4.95,4.99,4.95,4.99,334500,4.904
2014-08-01,4.96,4.985,4.93,4.95,877700,4.865
2014-07-31,5.01,5.04,4.97,4.98,517700,4.895
2014-07-30,5.10,5.10,5.00,5.00,5736600,4.914
2014-07-29,5.13,5.15,5.08,5.08,436200,4.993
2014-07-28,5.19,5.20,5.12,5.13,199600,5.042
2014-07-25,5.15,5.20,5.13,5.19,435000,5.101
2014-07-24,5.19,5.21,5.15,5.16,238800,5.072
2014-07-23,5.12,5.19,5.12,5.15,393400,5.062
2014-07-22,5.11,5.13,5.08,5.10,366800,5.013
