date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.08,10.44,10.05,10.42,756700,10.42
2015-06-29,10.25,10.44,10.14,10.30,1253700,10.30
2015-06-26,10.65,10.75,10.51,10.70,966900,10.70
2015-06-25,10.95,10.97,10.70,10.80,822700,10.80
2015-06-24,11.01,11.12,10.99,11.04,495100,11.04
2015-06-23,11.06,11.14,10.98,11.00,715600,11.00
2015-06-22,11.10,11.10,10.91,10.98,569900,10.98
2015-06-19,10.80,11.12,10.76,11.08,1705300,11.08
2015-06-18,11.00,11.08,10.98,11.03,1114300,11.03
2015-06-17,10.86,11.08,10.81,10.98,913000,10.98
2015-06-16,10.99,10.99,10.80,10.85,507200,10.85
2015-06-15,11.00,11.07,10.90,10.99,1478200,10.99
2015-06-12,11.00,11.07,10.97,10.99,1296000,10.99
2015-06-11,10.95,11.06,10.95,11.02,972400,11.02
2015-06-10,10.75,11.00,10.75,10.92,1031000,10.92
2015-06-09,10.97,11.12,10.65,10.72,1380500,10.72
2015-06-08,11.08,11.08,11.08,11.08,000,11.08
2015-06-05,11.09,11.27,11.01,11.08,362300,11.08
2015-06-04,11.18,11.21,10.89,11.09,1015700,11.09
2015-06-03,11.00,11.23,10.99,11.18,642300,11.18
2015-06-02,11.26,11.30,10.92,11.00,849700,11.00
2015-06-01,11.57,11.60,11.14,11.23,778500,11.23
2015-05-29,11.49,11.71,11.46,11.60,692100,11.60
2015-05-28,11.43,11.47,11.22,11.41,497900,11.41
2015-05-27,11.20,11.42,11.12,11.30,1110500,11.30
2015-05-26,11.30,11.35,11.21,11.24,324600,11.24
2015-05-25,11.09,11.31,11.02,11.26,450700,11.26
2015-05-22,11.00,11.10,10.98,11.02,1531200,11.02
2015-05-21,10.90,10.96,10.12,10.92,1396900,10.92
2015-05-20,10.87,10.93,10.775,10.90,1261600,10.90
2015-05-19,10.95,11.09,10.78,10.85,1658800,10.85
2015-05-18,10.60,10.82,10.59,10.72,1057900,10.72
2015-05-15,10.53,10.56,10.44,10.56,451900,10.56
2015-05-14,10.30,10.41,10.24,10.41,680000,10.41
2015-05-13,10.31,10.59,10.23,10.40,928500,10.40
2015-05-12,10.44,10.46,10.21,10.38,1039600,10.38
2015-05-11,10.65,10.68,10.46,10.48,452200,10.48
2015-05-08,10.43,10.52,10.38,10.42,390000,10.42
2015-05-07,10.41,10.50,10.34,10.48,1040800,10.48
2015-05-06,10.61,10.65,10.52,10.53,1422600,10.53
2015-05-05,11.09,11.10,10.69,10.71,1089600,10.71
2015-05-04,11.01,11.06,10.94,11.04,1040000,11.04
2015-05-01,10.71,10.95,10.69,10.90,1952400,10.90
2015-04-30,10.70,10.81,10.60,10.79,2631000,10.79
2015-04-29,10.64,11.01,10.40,10.77,3350400,10.77
2015-04-28,11.60,11.655,11.42,11.55,742900,11.55
2015-04-27,11.60,11.60,11.38,11.48,584600,11.48
2015-04-24,11.45,11.52,11.395,11.49,636300,11.49
2015-04-23,11.40,11.47,11.21,11.30,477200,11.30
2015-04-22,11.21,11.28,11.11,11.25,591100,11.25
2015-04-21,11.21,11.35,11.21,11.35,507500,11.35
2015-04-20,11.30,11.30,11.11,11.20,692800,11.20
2015-04-17,11.42,11.51,11.31,11.35,466200,11.35
2015-04-16,11.47,11.62,11.40,11.45,349800,11.45
2015-04-15,11.30,11.46,11.25,11.41,616700,11.41
2015-04-14,11.30,11.37,11.12,11.35,552500,11.35
2015-04-13,11.43,11.53,11.33,11.39,351600,11.39
2015-04-10,11.50,11.52,11.38,11.43,625500,11.43
2015-04-09,11.72,11.74,11.40,11.41,789100,11.41
2015-04-08,11.72,11.91,11.59,11.76,676400,11.76
2015-04-07,11.56,11.88,11.55,11.55,823700,11.55
2015-04-06,11.66,11.66,11.66,11.66,000,11.66
2015-04-03,11.66,11.66,11.66,11.66,000,11.66
2015-04-02,11.79,11.94,11.47,11.66,669800,11.66
2015-04-01,12.21,12.225,11.76,11.84,1219500,11.84
2015-03-31,12.61,12.68,12.37,12.37,623600,12.37
2015-03-30,12.67,13.05,12.50,12.55,584900,12.55
2015-03-27,12.54,12.74,12.37,12.74,974900,12.74
2015-03-26,12.46,12.61,12.33,12.47,991700,12.47
2015-03-25,12.70,12.735,12.49,12.60,962400,12.60
2015-03-24,12.50,12.85,12.47,12.72,589500,12.72
2015-03-23,12.59,12.79,12.535,12.56,700300,12.56
2015-03-20,12.58,12.89,12.56,12.65,881700,12.65
2015-03-19,12.77,12.89,12.50,12.55,1088500,12.55
2015-03-18,12.48,12.74,12.25,12.69,528700,12.69
2015-03-17,12.88,12.90,12.58,12.61,612500,12.61
2015-03-16,12.51,12.64,12.44,12.55,461700,12.55
2015-03-13,12.57,12.86,12.57,12.69,590000,12.69
2015-03-12,12.49,12.62,12.38,12.58,629700,12.58
2015-03-11,12.04,12.50,12.02,12.48,545300,12.48
2015-03-10,12.34,12.41,12.195,12.32,443400,12.091
2015-03-09,12.74,12.84,12.33,12.34,443000,12.111
2015-03-06,12.66,13.04,12.63,12.78,961000,12.543
2015-03-05,12.34,12.62,12.19,12.56,564300,12.327
2015-03-04,12.48,12.48,12.27,12.33,449000,12.101
2015-03-03,12.46,12.60,12.30,12.36,363600,12.131
2015-03-02,12.22,12.54,12.22,12.39,467700,12.16
2015-02-27,12.39,12.39,12.16,12.21,904800,11.983
2015-02-26,12.13,12.36,12.06,12.35,401000,12.121
2015-02-25,12.35,12.42,12.20,12.28,603000,12.052
2015-02-24,12.47,12.64,12.32,12.40,1009300,12.17
2015-02-23,12.20,12.39,11.94,12.34,829200,12.111
2015-02-20,11.91,12.19,11.85,12.19,546700,11.964
2015-02-19,12.03,12.13,11.79,11.88,757600,11.66
2015-02-18,11.94,12.10,11.87,11.91,962700,11.689
2015-02-17,11.87,11.98,11.62,11.94,1024100,11.718
2015-02-16,11.90,12.18,11.81,11.85,1661200,11.63
2015-02-13,11.88,11.93,11.23,11.75,2887700,11.532
2015-02-12,10.73,10.74,10.59,10.62,894900,10.423
2015-02-11,10.70,10.79,10.45,10.57,546500,10.374
2015-02-10,10.52,10.55,10.39,10.45,1246700,10.256
2015-02-09,10.50,10.69,10.38,10.56,581900,10.364
2015-02-06,10.71,10.77,10.36,10.54,2753800,10.344
2015-02-05,10.84,10.85,10.55,10.67,1729900,10.472
2015-02-04,10.85,10.985,10.69,10.90,1361200,10.698
2015-02-03,10.98,10.98,10.59,10.71,1365200,10.511
2015-02-02,10.91,11.13,10.79,10.95,669900,10.747
2015-01-30,11.15,11.20,10.66,10.87,1540300,10.668
2015-01-29,11.07,11.34,11.07,11.14,744700,10.933
2015-01-28,10.99,11.32,10.95,11.25,763700,11.041
2015-01-27,11.11,11.29,11.05,11.12,530100,10.914
2015-01-26,11.09,11.09,11.09,11.09,000,10.884
2015-01-23,11.00,11.19,10.97,11.09,542100,10.884
2015-01-22,11.10,11.19,10.95,11.00,1288200,10.796
2015-01-21,10.82,11.02,10.82,10.98,1221800,10.776
2015-01-20,10.55,10.86,10.53,10.75,626100,10.551
2015-01-19,10.90,10.97,10.56,10.61,912400,10.413
2015-01-16,10.93,11.21,10.81,10.88,597300,10.678
2015-01-15,11.10,11.14,10.91,11.00,1058300,10.796
2015-01-14,11.34,11.40,11.10,11.15,1086100,10.943
2015-01-13,11.35,11.47,10.95,11.34,830800,11.13
2015-01-12,11.69,11.69,11.41,11.42,989900,11.208
2015-01-09,11.43,11.73,11.42,11.68,757600,11.463
2015-01-08,11.52,11.59,11.36,11.39,1372200,11.179
2015-01-07,11.44,11.54,11.34,11.47,1553000,11.257
2015-01-06,11.87,11.925,11.21,11.50,1701400,11.287
2015-01-05,12.18,12.24,12.13,12.19,465200,11.964
2015-01-02,12.02,12.19,12.00,12.18,335800,11.954
2015-01-01,12.03,12.03,12.03,12.03,000,11.807
2014-12-31,12.05,12.17,11.96,12.03,169800,11.807
2014-12-30,12.04,12.21,11.97,12.00,471700,11.777
2014-12-29,11.93,12.04,11.92,12.01,1238000,11.787
2014-12-26,11.85,11.85,11.85,11.85,000,11.63
2014-12-25,11.85,11.85,11.85,11.85,000,11.63
