date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.63,0.63,0.615,0.62,1315600,0.62
2015-06-29,0.63,0.64,0.62,0.63,2150200,0.63
2015-06-26,0.63,0.64,0.625,0.625,1527600,0.625
2015-06-25,0.625,0.6425,0.625,0.63,1893500,0.63
2015-06-24,0.635,0.64,0.622,0.63,894800,0.63
2015-06-23,0.65,0.655,0.625,0.64,1861500,0.64
2015-06-22,0.66,0.67,0.64,0.645,2127900,0.645
2015-06-19,0.66,0.68,0.66,0.66,11228700,0.66
2015-06-18,0.66,0.665,0.65,0.65,1924500,0.65
2015-06-17,0.655,0.67,0.65,0.665,1395500,0.665
2015-06-16,0.64,0.67,0.63,0.65,3566100,0.65
2015-06-15,0.61,0.66,0.61,0.65,2240200,0.65
2015-06-12,0.635,0.635,0.60,0.605,2363700,0.605
2015-06-11,0.60,0.655,0.595,0.63,3070200,0.63
2015-06-10,0.565,0.595,0.56,0.58,3577400,0.58
2015-06-09,0.54,0.555,0.522,0.545,7150900,0.545
2015-06-08,0.53,0.53,0.53,0.53,000,0.53
2015-06-05,0.54,0.545,0.505,0.53,3775700,0.53
2015-06-04,0.575,0.575,0.54,0.54,2619600,0.54
2015-06-03,0.58,0.585,0.57,0.57,2219200,0.57
2015-06-02,0.60,0.60,0.575,0.58,1447000,0.58
2015-06-01,0.585,0.60,0.575,0.595,1886400,0.595
2015-05-29,0.595,0.605,0.57,0.57,13152000,0.57
2015-05-28,0.59,0.5975,0.587,0.59,1681200,0.59
2015-05-27,0.595,0.595,0.575,0.585,2316900,0.585
2015-05-26,0.59,0.61,0.58,0.595,1677200,0.595
2015-05-25,0.575,0.59,0.575,0.58,965400,0.58
2015-05-22,0.595,0.595,0.56,0.575,2572000,0.575
2015-05-21,0.60,0.605,0.585,0.59,2500300,0.59
2015-05-20,0.625,0.63,0.595,0.595,3252700,0.595
2015-05-19,0.635,0.64,0.62,0.625,1643600,0.625
2015-05-18,0.63,0.64,0.62,0.63,2013400,0.63
2015-05-15,0.625,0.64,0.62,0.63,2397500,0.63
2015-05-14,0.635,0.64,0.61,0.62,6276300,0.62
2015-05-13,0.71,0.71,0.625,0.635,5838800,0.635
2015-05-12,0.655,0.71,0.645,0.695,2048300,0.695
2015-05-11,0.65,0.66,0.64,0.65,999100,0.65
2015-05-08,0.655,0.67,0.635,0.64,1573900,0.64
2015-05-07,0.64,0.675,0.64,0.65,1117000,0.65
2015-05-06,0.66,0.67,0.645,0.645,1211300,0.645
2015-05-05,0.665,0.67,0.64,0.66,1092600,0.66
2015-05-04,0.68,0.68,0.64,0.64,2623100,0.64
2015-05-01,0.65,0.68,0.65,0.665,1216900,0.665
2015-04-30,0.65,0.66,0.645,0.645,1061500,0.645
2015-04-29,0.65,0.68,0.647,0.66,1396600,0.66
2015-04-28,0.655,0.66,0.645,0.65,1454600,0.65
2015-04-27,0.65,0.66,0.645,0.655,999500,0.655
2015-04-24,0.62,0.65,0.615,0.65,1095800,0.65
2015-04-23,0.61,0.625,0.61,0.615,818000,0.615
2015-04-22,0.63,0.64,0.605,0.605,964400,0.605
2015-04-21,0.63,0.645,0.625,0.635,1162600,0.635
2015-04-20,0.62,0.63,0.59,0.62,2147900,0.62
2015-04-17,0.62,0.625,0.615,0.615,1650800,0.615
2015-04-16,0.61,0.63,0.607,0.62,1270300,0.62
2015-04-15,0.64,0.645,0.605,0.61,2161900,0.61
2015-04-14,0.645,0.655,0.64,0.645,1105400,0.645
2015-04-13,0.655,0.665,0.645,0.65,2033900,0.65
2015-04-10,0.665,0.665,0.65,0.66,1165300,0.66
2015-04-09,0.66,0.665,0.655,0.66,1066800,0.66
2015-04-08,0.65,0.665,0.65,0.665,1218000,0.665
2015-04-07,0.655,0.655,0.65,0.65,600100,0.65
2015-04-06,0.65,0.65,0.65,0.65,000,0.65
2015-04-03,0.65,0.65,0.65,0.65,000,0.65
2015-04-02,0.66,0.66,0.65,0.65,1594800,0.65
2015-04-01,0.65,0.665,0.64,0.665,1582800,0.615
2015-03-31,0.69,0.695,0.68,0.695,1643400,0.64274
2015-03-30,0.685,0.685,0.675,0.675,1825300,0.62425
2015-03-27,0.67,0.69,0.665,0.685,2767000,0.6335
2015-03-26,0.66,0.67,0.66,0.665,2403000,0.615
2015-03-25,0.67,0.675,0.66,0.66,4611500,0.61038
2015-03-24,0.68,0.69,0.655,0.665,3180900,0.615
2015-03-23,0.68,0.69,0.675,0.675,3048600,0.62425
2015-03-20,0.685,0.685,0.67,0.675,1951300,0.62425
2015-03-19,0.68,0.69,0.675,0.685,2861100,0.6335
2015-03-18,0.68,0.685,0.675,0.68,2038000,0.62887
2015-03-17,0.685,0.69,0.675,0.68,1810800,0.62887
2015-03-16,0.685,0.69,0.675,0.685,1149800,0.6335
2015-03-13,0.69,0.69,0.68,0.685,1070800,0.6335
2015-03-12,0.67,0.69,0.67,0.685,2115700,0.6335
2015-03-11,0.675,0.68,0.665,0.675,1825300,0.62425
2015-03-10,0.68,0.69,0.675,0.675,1273000,0.62425
2015-03-09,0.68,0.70,0.67,0.685,1816200,0.6335
2015-03-06,0.705,0.71,0.68,0.68,1642400,0.62887
2015-03-05,0.705,0.72,0.695,0.70,3267100,0.64737
2015-03-04,0.725,0.727,0.705,0.705,1653000,0.65199
2015-03-03,0.725,0.73,0.715,0.715,1124800,0.66124
2015-03-02,0.715,0.73,0.707,0.715,1815200,0.66124
2015-02-27,0.735,0.74,0.705,0.705,2299800,0.65199
2015-02-26,0.725,0.73,0.69,0.73,3955700,0.67511
2015-02-25,0.69,0.725,0.665,0.725,6403300,0.67049
2015-02-24,0.75,0.75,0.65,0.685,9753500,0.6335
2015-02-23,0.80,0.805,0.74,0.75,7157300,0.69361
2015-02-20,0.90,0.90,0.72,0.79,19388000,0.7306
2015-02-19,0.99,1.035,0.985,1.025,1281800,0.94793
2015-02-18,0.98,1.00,0.975,0.99,1389700,0.91556
2015-02-17,0.98,0.985,0.97,0.98,280300,0.90632
2015-02-16,0.98,0.985,0.97,0.98,1211100,0.90632
2015-02-13,0.995,0.9975,0.97,0.975,2022500,0.90169
2015-02-12,0.975,1.00,0.97,0.98,1409600,0.90632
2015-02-11,0.97,0.975,0.965,0.97,528400,0.89707
2015-02-10,0.98,0.982,0.96,0.975,672300,0.90169
2015-02-09,1.00,1.005,0.97,0.98,4097400,0.90632
2015-02-06,1.015,1.015,1.00,1.00,366200,0.92481
2015-02-05,1.00,1.015,0.992,1.005,942900,0.92944
2015-02-04,1.01,1.02,0.995,1.00,1081500,0.92481
2015-02-03,0.96,1.00,0.95,0.995,3819200,0.92019
2015-02-02,0.93,0.975,0.93,0.965,1511000,0.89244
2015-01-30,0.885,0.93,0.877,0.92,2066000,0.85083
2015-01-29,0.88,0.88,0.875,0.88,1043800,0.81383
2015-01-28,0.88,0.89,0.875,0.88,2225900,0.81383
2015-01-27,0.87,0.875,0.86,0.87,991600,0.80459
2015-01-26,0.87,0.87,0.87,0.87,000,0.80459
2015-01-23,0.88,0.8825,0.855,0.87,1167900,0.80459
