date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.09,4.14,4.05,4.10,12878600,4.10
2015-06-29,4.18,4.18,4.065,4.07,10776500,4.07
2015-06-26,4.16,4.19,4.11,4.18,13693200,4.18
2015-06-25,4.32,4.35,4.26,4.28,7743300,4.16
2015-06-24,4.35,4.37,4.29,4.35,10738800,4.22804
2015-06-23,4.35,4.36,4.29,4.34,11926600,4.21832
2015-06-22,4.28,4.35,4.28,4.30,16234600,4.17944
2015-06-19,4.22,4.34,4.22,4.28,18105900,4.16
2015-06-18,4.25,4.25,4.13,4.18,16329700,4.0628
2015-06-17,4.27,4.27,4.20,4.26,10386200,4.14056
2015-06-16,4.22,4.26,4.15,4.20,12020700,4.08224
2015-06-15,4.18,4.26,4.18,4.26,10613600,4.14056
2015-06-12,4.20,4.22,4.13,4.22,7237000,4.10168
2015-06-11,4.20,4.22,4.165,4.20,4505900,4.08224
2015-06-10,4.15,4.19,4.11,4.17,10816200,4.05308
2015-06-09,4.17,4.245,4.13,4.18,6626100,4.0628
2015-06-08,4.21,4.21,4.21,4.21,000,4.09196
2015-06-05,4.20,4.24,4.16,4.21,5997600,4.09196
2015-06-04,4.31,4.31,4.21,4.22,8882200,4.10168
2015-06-03,4.27,4.345,4.25,4.31,13495700,4.18916
2015-06-02,4.36,4.38,4.27,4.30,6203500,4.17944
2015-06-01,4.34,4.37,4.28,4.35,6313100,4.22804
2015-05-29,4.34,4.41,4.33,4.34,15054100,4.21832
2015-05-28,4.36,4.36,4.28,4.32,5692400,4.19888
2015-05-27,4.35,4.37,4.27,4.33,12196800,4.2086
2015-05-26,4.28,4.36,4.27,4.36,13011800,4.23776
2015-05-25,4.29,4.305,4.26,4.28,9213500,4.16
2015-05-22,4.28,4.30,4.27,4.29,11270900,4.16972
2015-05-21,4.27,4.30,4.25,4.27,8097100,4.15028
2015-05-20,4.28,4.32,4.26,4.28,7787200,4.16
2015-05-19,4.37,4.37,4.26,4.28,8381700,4.16
2015-05-18,4.40,4.405,4.34,4.34,10101700,4.21832
2015-05-15,4.40,4.42,4.365,4.40,6831700,4.27664
2015-05-14,4.29,4.37,4.285,4.36,7049200,4.23776
2015-05-13,4.35,4.40,4.28,4.33,6213900,4.2086
2015-05-12,4.30,4.36,4.28,4.35,9876700,4.22804
2015-05-11,4.42,4.44,4.31,4.33,6012700,4.2086
2015-05-08,4.34,4.395,4.31,4.35,5702600,4.22804
2015-05-07,4.33,4.34,4.28,4.29,9976200,4.16972
2015-05-06,4.42,4.44,4.345,4.36,8008500,4.23776
2015-05-05,4.58,4.60,4.47,4.49,7292800,4.36411
2015-05-04,4.49,4.54,4.48,4.51,5636600,4.38355
2015-05-01,4.43,4.51,4.40,4.45,5682500,4.32523
2015-04-30,4.45,4.45,4.36,4.44,7522000,4.31551
2015-04-29,4.51,4.52,4.45,4.46,5706000,4.33495
2015-04-28,4.57,4.58,4.52,4.53,4689800,4.40299
2015-04-27,4.50,4.58,4.50,4.55,5755400,4.42243
2015-04-24,4.50,4.555,4.48,4.52,5905400,4.39327
2015-04-23,4.48,4.49,4.43,4.46,5226100,4.33495
2015-04-22,4.48,4.53,4.48,4.49,7078600,4.36411
2015-04-21,4.58,4.58,4.46,4.48,8091900,4.35439
2015-04-20,4.43,4.52,4.39,4.51,6621500,4.38355
2015-04-17,4.57,4.57,4.45,4.50,6399400,4.37383
2015-04-16,4.54,4.61,4.54,4.57,7373600,4.44187
2015-04-15,4.56,4.56,4.48,4.52,5624400,4.39327
2015-04-14,4.54,4.60,4.52,4.57,5210300,4.44187
2015-04-13,4.62,4.65,4.57,4.57,3985300,4.44187
2015-04-10,4.59,4.60,4.57,4.60,5075700,4.47103
2015-04-09,4.61,4.62,4.53,4.55,7428200,4.42243
2015-04-08,4.56,4.61,4.55,4.61,4994800,4.48075
2015-04-07,4.62,4.63,4.51,4.55,9768400,4.42243
2015-04-06,4.55,4.55,4.55,4.55,000,4.42243
2015-04-03,4.55,4.55,4.55,4.55,000,4.42243
2015-04-02,4.55,4.57,4.52,4.55,14514600,4.42243
2015-04-01,4.47,4.515,4.445,4.50,10464200,4.37383
2015-03-31,4.63,4.69,4.50,4.50,13147100,4.37383
2015-03-30,4.50,4.59,4.50,4.57,8223300,4.44187
2015-03-27,4.53,4.62,4.525,4.55,7959600,4.42243
2015-03-26,4.55,4.59,4.45,4.55,11124400,4.42243
2015-03-25,4.62,4.66,4.58,4.61,7725400,4.48075
2015-03-24,4.55,4.60,4.53,4.56,3964300,4.43215
2015-03-23,4.60,4.62,4.535,4.56,6830800,4.43215
2015-03-20,4.51,4.65,4.495,4.65,26653100,4.51963
2015-03-19,4.50,4.53,4.49,4.53,16636200,4.40299
2015-03-18,4.44,4.46,4.35,4.40,14374300,4.27664
2015-03-17,4.49,4.50,4.42,4.42,5337500,4.29607
2015-03-16,4.39,4.46,4.36,4.44,6507600,4.31551
2015-03-13,4.54,4.54,4.44,4.47,4716800,4.34467
2015-03-12,4.47,4.54,4.47,4.51,5235200,4.38355
2015-03-11,4.41,4.49,4.39,4.48,8978200,4.35439
2015-03-10,4.46,4.49,4.38,4.45,14979400,4.32523
2015-03-09,4.64,4.67,4.47,4.47,10670500,4.34467
2015-03-06,4.72,4.72,4.65,4.71,3609900,4.57794
2015-03-05,4.72,4.72,4.61,4.70,8319600,4.56822
2015-03-04,4.80,4.80,4.71,4.72,6406000,4.58766
2015-03-03,4.78,4.81,4.72,4.78,11859100,4.64598
2015-03-02,4.69,4.795,4.68,4.77,9184500,4.63626
2015-02-27,4.70,4.71,4.66,4.69,10236100,4.5585
2015-02-26,4.68,4.72,4.64,4.67,7209800,4.53907
2015-02-25,4.66,4.70,4.65,4.68,9167200,4.54878
2015-02-24,4.70,4.73,4.63,4.64,9431400,4.50991
2015-02-23,4.64,4.74,4.63,4.71,7888000,4.57794
2015-02-20,4.68,4.705,4.62,4.67,10059400,4.53907
2015-02-19,4.74,4.77,4.685,4.74,9018100,4.6071
2015-02-18,4.74,4.77,4.69,4.73,8399300,4.59738
2015-02-17,4.71,4.76,4.67,4.70,3859600,4.56822
2015-02-16,4.79,4.79,4.68,4.74,6177600,4.6071
2015-02-13,4.75,4.82,4.725,4.79,10759000,4.6557
2015-02-12,4.74,4.78,4.675,4.70,7611900,4.56822
2015-02-11,4.70,4.77,4.65,4.73,13129700,4.59738
2015-02-10,4.56,4.63,4.49,4.60,7929100,4.47103
2015-02-09,4.56,4.57,4.45,4.55,11540000,4.42243
2015-02-06,4.59,4.62,4.56,4.58,7917400,4.45159
2015-02-05,4.52,4.60,4.50,4.60,7578500,4.47103
2015-02-04,4.70,4.70,4.45,4.53,16115800,4.40299
2015-02-03,4.45,4.62,4.38,4.57,10865600,4.44187
2015-02-02,4.42,4.47,4.40,4.42,6614200,4.29607
2015-01-30,4.38,4.425,4.37,4.38,12160100,4.2572
2015-01-29,4.36,4.39,4.34,4.34,7994200,4.21832
2015-01-28,4.41,4.41,4.35,4.38,5340600,4.2572
2015-01-27,4.40,4.43,4.37,4.41,7626400,4.28636
2015-01-26,4.35,4.35,4.35,4.35,000,4.22804
2015-01-23,4.29,4.36,4.28,4.35,7361000,4.22804
2015-01-22,4.19,4.23,4.18,4.23,5912300,4.1114
2015-01-21,4.17,4.25,4.16,4.23,4867100,4.1114
2015-01-20,4.14,4.185,4.11,4.15,5436100,4.03365
2015-01-19,4.16,4.185,4.11,4.16,4297700,4.04336
