date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,3.98,3.98,3.98,3.98,000,3.98
2015-06-04,3.98,3.98,3.98,3.98,000,3.98
2015-06-03,3.98,3.98,3.98,3.98,000,3.98
2015-06-02,3.98,3.98,3.98,3.98,000,3.98
2015-06-01,3.98,3.98,3.98,3.98,000,3.98
2015-05-29,3.96,4.02,3.95,3.98,6390100,3.98
2015-05-28,3.97,4.00,3.935,3.96,3857700,3.96
2015-05-27,4.01,4.03,3.96,3.97,3067500,3.97
2015-05-26,3.99,4.03,3.99,4.00,5445000,4.00
2015-05-25,4.07,4.08,4.02,4.02,2062400,4.02
2015-05-22,4.01,4.07,4.00,4.05,2946100,4.05
2015-05-21,4.00,4.04,3.97,3.98,2120200,3.98
2015-05-20,4.04,4.07,3.99,4.00,1781900,4.00
2015-05-19,4.06,4.08,4.04,4.04,928200,4.04
2015-05-18,4.09,4.12,4.06,4.07,895400,4.07
2015-05-15,4.06,4.11,4.06,4.09,1192500,4.09
2015-05-14,4.01,4.08,4.01,4.05,1002300,4.05
2015-05-13,4.07,4.12,4.05,4.10,1560900,4.10
2015-05-12,4.11,4.13,4.08,4.11,2581200,4.11
2015-05-11,4.08,4.15,4.08,4.12,1612800,4.12
2015-05-08,4.06,4.13,4.06,4.10,2776200,4.10
2015-05-07,4.08,4.09,4.05,4.06,4014400,4.06
2015-05-06,4.08,4.11,4.07,4.09,825000,4.09
2015-05-05,4.16,4.19,4.11,4.13,2320800,4.13
2015-05-04,4.21,4.23,4.14,4.19,2320800,4.19
2015-05-01,4.15,4.21,4.15,4.19,2520900,4.19
2015-04-30,4.17,4.20,4.15,4.18,4686200,4.18
2015-04-29,4.18,4.22,4.17,4.20,4998300,4.20
2015-04-28,4.24,4.285,4.22,4.23,3298000,4.23
2015-04-27,4.16,4.25,4.16,4.24,4703400,4.24
2015-04-24,4.16,4.20,4.13,4.14,3816800,4.14
2015-04-23,4.13,4.20,4.12,4.17,3374100,4.17
2015-04-22,4.14,4.165,4.12,4.14,4344300,4.14
2015-04-21,4.19,4.24,4.15,4.17,8503300,4.17
2015-04-20,4.22,4.24,4.20,4.21,659200,4.21
2015-04-17,4.26,4.26,4.22,4.22,604300,4.22
2015-04-16,4.33,4.37,4.26,4.27,743900,4.27
2015-04-15,4.33,4.42,4.31,4.34,820700,4.34
2015-04-14,4.25,4.29,4.25,4.29,537600,4.29
2015-04-13,4.22,4.28,4.20,4.24,1181200,4.24
2015-04-10,4.19,4.23,4.17,4.21,520600,4.21
2015-04-09,4.23,4.24,4.19,4.19,590500,4.19
2015-04-08,4.23,4.26,4.19,4.22,503600,4.22
2015-04-07,4.27,4.31,4.21,4.21,2858500,4.21
2015-04-06,4.22,4.22,4.22,4.22,000,4.22
2015-04-03,4.22,4.22,4.22,4.22,000,4.22
2015-04-02,4.20,4.25,4.19,4.22,1304100,4.22
2015-04-01,4.16,4.21,4.155,4.18,938700,4.18
2015-03-31,4.13,4.17,4.13,4.16,1131600,4.16
2015-03-30,4.13,4.14,4.08,4.08,1243500,4.08
2015-03-27,4.03,4.12,4.03,4.12,728300,4.12
2015-03-26,4.00,4.07,3.98,4.05,1731700,4.05
2015-03-25,4.00,4.04,3.98,4.02,1459600,4.02
2015-03-24,4.00,4.01,3.97,3.99,939600,3.99
2015-03-23,4.03,4.03,3.965,3.99,844700,3.99
2015-03-20,3.97,4.03,3.95,4.02,2252100,4.02
2015-03-19,3.90,3.95,3.88,3.94,2086300,3.94
2015-03-18,3.95,3.97,3.91,3.93,962200,3.93
2015-03-17,3.92,3.96,3.92,3.94,896200,3.94
2015-03-16,3.87,3.925,3.85,3.88,930400,3.88
2015-03-13,3.89,3.89,3.855,3.88,914200,3.88
2015-03-12,3.89,3.925,3.87,3.89,1846400,3.89
2015-03-11,3.86,3.92,3.83,3.88,689300,3.88
2015-03-10,3.86,3.89,3.86,3.88,687200,3.88
2015-03-09,3.92,3.93,3.84,3.86,674200,3.86
2015-03-06,3.86,3.90,3.84,3.87,528300,3.87
2015-03-05,3.91,3.915,3.835,3.86,2088400,3.86
2015-03-04,3.94,3.95,3.90,3.90,1015400,3.90
2015-03-03,3.99,4.01,3.95,3.96,862400,3.96
2015-03-02,4.00,4.03,3.91,3.94,2130600,3.94
2015-02-27,4.05,4.07,4.00,4.06,656500,4.06
2015-02-26,4.03,4.05,4.00,4.04,530200,4.04
2015-02-25,4.01,4.05,3.99,4.02,850700,4.02
2015-02-24,4.00,4.03,3.94,4.01,1184500,4.01
2015-02-23,4.05,4.05,3.955,3.98,851000,3.98
2015-02-20,4.01,4.05,4.01,4.04,448900,4.04
