date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,21.24,21.37,21.10,21.37,1974200,21.37
2015-06-29,21.12,21.34,21.01,21.18,1679000,21.18
2015-06-26,21.90,22.01,21.33,21.44,1674700,21.44
2015-06-25,21.99,22.04,21.64,21.70,2002300,21.70
2015-06-24,21.78,21.89,21.64,21.85,2091700,21.85
2015-06-23,21.65,21.79,21.54,21.67,1551800,21.67
2015-06-22,21.76,21.79,21.32,21.42,1088200,21.42
2015-06-19,21.70,21.77,21.52,21.62,1784600,21.62
2015-06-18,21.37,21.37,21.08,21.21,2231400,21.21
2015-06-17,20.95,21.47,20.93,21.37,3504900,21.37
2015-06-16,20.70,21.00,20.53,20.73,2404100,20.73
2015-06-15,20.78,20.78,20.15,20.40,2796400,20.40
2015-06-12,19.82,20.35,19.62,20.13,1244000,20.13
2015-06-11,19.60,19.65,19.47,19.60,1330700,19.60
2015-06-10,19.70,19.73,19.365,19.50,1106100,19.50
2015-06-09,19.80,19.86,19.53,19.69,2073900,19.69
2015-06-08,19.60,19.60,19.60,19.60,000,19.60
2015-06-05,19.66,19.78,19.49,19.60,1080000,19.60
2015-06-04,19.95,20.08,19.50,19.51,1293400,19.51
2015-06-03,19.75,19.79,19.36,19.59,1363000,19.59
2015-06-02,20.20,20.21,19.79,19.81,1070200,19.81
2015-06-01,20.10,20.15,19.82,20.07,1147700,20.07
2015-05-29,20.35,20.45,20.08,20.08,5296300,20.08
2015-05-28,20.01,20.01,19.89,19.95,1021800,19.95
2015-05-27,19.97,20.07,19.85,19.90,1472500,19.90
2015-05-26,19.99,20.00,19.84,19.90,924100,19.90
2015-05-25,19.85,19.94,19.68,19.89,1454700,19.89
2015-05-22,19.92,19.92,19.70,19.76,1138600,19.76
2015-05-21,19.30,19.79,19.30,19.77,2204200,19.77
2015-05-20,19.36,19.55,19.19,19.30,2803100,19.30
2015-05-19,19.38,19.41,19.22,19.27,1827200,19.27
2015-05-18,19.80,19.80,19.29,19.31,870600,19.31
2015-05-15,19.50,19.63,19.42,19.54,2283700,19.54
2015-05-14,19.32,19.41,19.23,19.32,1267200,19.32
2015-05-13,19.32,19.37,19.04,19.30,3328900,19.30
2015-05-12,19.44,19.47,19.23,19.26,1219600,19.26
2015-05-11,19.70,19.72,19.41,19.43,1362200,19.43
2015-05-08,20.09,20.10,19.42,19.45,1076700,19.45
2015-05-07,19.50,19.73,19.34,19.55,1126900,19.55
2015-05-06,19.71,19.735,19.33,19.53,994300,19.53
2015-05-05,20.09,20.24,19.79,19.86,1026400,19.86
2015-05-04,19.86,20.15,19.84,19.86,735200,19.86
2015-05-01,19.95,19.95,19.65,19.79,817100,19.79
2015-04-30,19.89,20.00,19.35,19.87,1476600,19.87
2015-04-29,20.51,20.66,19.99,20.01,1216800,20.01
2015-04-28,20.95,21.08,20.50,20.55,1473500,20.55
2015-04-27,21.05,21.18,20.975,21.00,1049700,21.00
2015-04-24,20.80,20.97,20.65,20.94,1246700,20.94
2015-04-23,20.71,20.73,20.35,20.63,989100,20.63
2015-04-22,21.00,21.02,20.62,20.71,1123400,20.71
2015-04-21,20.58,20.74,20.50,20.67,1440800,20.67
2015-04-20,20.58,20.58,20.22,20.36,683000,20.36
2015-04-17,20.79,20.84,20.50,20.58,1107500,20.58
2015-04-16,20.87,20.91,20.57,20.75,733200,20.75
2015-04-15,20.98,21.02,20.71,20.74,854400,20.74
2015-04-14,20.90,20.96,20.84,20.95,705000,20.95
2015-04-13,21.05,21.20,20.81,20.90,666900,20.90
2015-04-10,20.61,20.97,20.51,20.90,1115900,20.90
2015-04-09,21.00,21.02,20.43,20.47,953300,20.47
2015-04-08,20.88,20.96,20.61,20.80,1010800,20.80
2015-04-07,20.94,21.21,20.72,20.82,1371200,20.82
2015-04-06,20.47,20.47,20.47,20.47,000,20.47
2015-04-03,20.47,20.47,20.47,20.47,000,20.47
2015-04-02,21.42,21.47,20.44,20.47,1334100,20.47
2015-04-01,20.44,20.90,20.40,20.53,1087900,20.53
2015-03-31,20.50,20.74,20.42,20.44,1363800,20.44
2015-03-30,20.00,20.36,20.00,20.27,1190300,20.27
2015-03-27,20.47,20.54,20.325,20.39,1242900,20.39
2015-03-26,20.72,20.72,20.31,20.47,1373600,20.47
2015-03-25,20.42,20.93,20.42,20.72,1640200,20.72
2015-03-24,20.21,20.27,20.05,20.27,1387900,20.27
2015-03-23,20.29,20.35,20.01,20.17,1224700,20.17
2015-03-20,20.00,20.28,19.91,20.05,1332900,20.05
2015-03-19,19.60,19.92,19.60,19.90,1450000,19.90
2015-03-18,19.40,19.60,19.31,19.55,1026000,19.55
2015-03-17,19.57,19.73,19.49,19.52,695500,19.52
2015-03-16,19.50,19.51,19.32,19.38,560400,19.38
2015-03-13,19.70,19.70,19.43,19.56,592200,19.56
2015-03-12,19.79,19.79,19.58,19.64,3250600,19.64
2015-03-11,19.60,19.63,19.25,19.43,978800,19.43
2015-03-10,19.78,19.78,19.55,19.60,1778900,19.60
2015-03-09,19.79,19.96,19.65,19.67,900300,19.67
2015-03-06,19.67,19.83,19.62,19.75,1182100,19.75
2015-03-05,19.89,20.09,19.84,19.85,1179900,19.492
2015-03-04,19.77,19.82,19.64,19.80,1166700,19.443
2015-03-03,19.42,19.70,19.42,19.65,1131100,19.295
2015-03-02,19.40,19.63,19.39,19.39,1065900,19.04
2015-02-27,19.46,19.65,19.39,19.44,1310800,19.089
2015-02-26,19.37,19.49,19.27,19.40,954000,19.05
2015-02-25,19.66,19.66,19.44,19.56,1175000,19.207
2015-02-24,19.49,19.65,19.44,19.55,1981100,19.197
2015-02-23,19.39,19.45,19.19,19.38,730200,19.03
2015-02-20,19.33,19.47,19.23,19.36,898700,19.01
2015-02-19,19.14,19.34,19.01,19.28,1265300,18.932
2015-02-18,19.15,19.23,18.90,19.02,1451500,18.677
2015-02-17,18.98,19.11,18.72,18.91,947000,18.569
2015-02-16,19.17,19.17,18.88,18.94,690500,18.598
2015-02-13,19.00,19.24,18.93,19.07,1122500,18.726
2015-02-12,19.42,19.55,18.74,18.77,2097900,18.431
2015-02-11,19.91,19.91,19.215,19.25,953700,18.902
2015-02-10,19.73,19.74,19.40,19.42,873800,19.069
2015-02-09,19.34,19.56,19.30,19.54,706600,19.187
2015-02-06,19.34,19.34,19.14,19.24,796300,18.893
2015-02-05,19.15,19.36,18.99,19.15,1512800,18.804
2015-02-04,19.05,19.21,19.00,19.09,1213800,18.745
2015-02-03,19.01,19.01,18.65,18.85,999300,18.51
2015-02-02,18.91,19.04,18.83,18.95,603900,18.608
2015-01-30,18.96,19.04,18.82,18.84,1715100,18.50
2015-01-29,18.69,18.90,18.68,18.85,1031000,18.51
2015-01-28,18.93,18.93,18.67,18.90,830600,18.559
2015-01-27,19.05,19.12,18.79,18.93,1081100,18.588
2015-01-26,18.61,18.61,18.61,18.61,000,18.274
2015-01-23,18.59,18.65,18.50,18.61,912200,18.274
2015-01-22,18.50,18.57,18.25,18.32,1029900,17.989
2015-01-21,18.06,18.33,18.04,18.33,1123700,17.999
2015-01-20,18.00,18.04,17.82,17.88,839600,17.557
2015-01-19,17.99,17.99,17.83,17.90,1035100,17.577
2015-01-16,18.30,18.30,17.81,17.90,1076400,17.577
2015-01-15,18.21,18.29,18.16,18.24,1099100,17.911
2015-01-14,18.20,18.33,18.075,18.15,808100,17.822
2015-01-13,18.14,18.18,17.94,18.14,1645600,17.813
2015-01-12,18.44,18.51,18.335,18.38,1149600,18.048
2015-01-09,18.50,18.58,18.31,18.52,1126200,18.186
2015-01-08,18.53,18.53,18.33,18.42,845100,18.087
2015-01-07,18.35,18.65,18.31,18.53,783000,18.195
2015-01-06,18.70,18.80,18.42,18.49,987100,18.156
2015-01-05,18.88,18.89,18.68,18.70,558500,18.362
2015-01-02,18.66,18.82,18.53,18.66,360700,18.323
2015-01-01,18.50,18.50,18.50,18.50,000,18.166
2014-12-31,18.56,18.65,18.45,18.50,333000,18.166
2014-12-30,19.00,19.00,18.44,18.46,602200,18.127
2014-12-29,18.45,18.80,18.45,18.75,765400,18.412
2014-12-26,18.38,18.38,18.38,18.38,000,18.048
2014-12-25,18.38,18.38,18.38,18.38,000,18.048
2014-12-24,18.41,18.41,18.29,18.38,237100,18.048
2014-12-23,18.50,18.57,18.35,18.42,1265200,18.087
2014-12-22,18.06,18.29,18.06,18.24,1048300,17.911
2014-12-19,17.85,18.06,17.77,17.96,2388700,17.636
2014-12-18,17.56,17.80,17.56,17.63,2019400,17.312
2014-12-17,17.49,17.73,17.49,17.55,1920400,17.233
2014-12-16,17.71,17.80,17.41,17.44,1640000,17.125
2014-12-15,17.80,17.86,17.69,17.71,1052700,17.39
2014-12-12,17.89,18.15,17.74,17.83,1829300,17.508
2014-12-11,17.50,17.93,17.46,17.81,2334800,17.488
2014-12-10,17.42,17.46,17.23,17.33,1894000,17.017
2014-12-09,17.36,17.585,17.36,17.45,1508600,17.135
2014-12-08,17.35,17.57,17.33,17.41,875400,17.096
2014-12-05,17.53,17.57,17.09,17.30,1024600,16.988
2014-12-04,17.49,17.62,17.37,17.53,775700,17.214
2014-12-03,17.30,17.51,17.25,17.35,924800,17.037
2014-12-02,17.40,17.40,17.26,17.30,827100,16.988
2014-12-01,17.48,17.73,17.22,17.26,711400,16.948
2014-11-28,17.76,17.76,17.36,17.45,997800,17.135
2014-11-27,17.30,17.62,17.26,17.57,1185900,17.253
2014-11-26,17.15,17.21,17.00,17.15,1892600,16.84
2014-11-25,17.65,17.70,17.15,17.22,1856000,16.909
2014-11-24,17.50,17.68,17.44,17.52,1605000,17.204
2014-11-21,17.18,17.41,17.005,17.26,1771200,16.948
2014-11-20,17.48,17.53,17.14,17.18,2637400,16.87
2014-11-19,18.50,18.50,18.34,18.40,677700,18.068
2014-11-18,18.63,18.685,18.36,18.45,1556700,18.117
2014-11-17,18.68,18.69,18.44,18.51,892100,18.176
2014-11-14,18.73,18.84,18.69,18.77,915800,18.431
2014-11-13,18.88,19.03,18.78,18.80,738000,18.461
2014-11-12,19.05,19.06,18.88,18.88,720400,18.539
2014-11-11,19.06,19.12,18.97,18.99,1073500,18.647
2014-11-10,19.13,19.16,18.90,19.02,611100,18.677
2014-11-07,19.10,19.26,19.06,19.13,1017600,18.785
2014-11-06,19.20,19.20,18.91,19.02,791200,18.677
2014-11-05,19.20,19.30,18.94,19.02,999500,18.677
2014-11-04,18.75,19.21,18.74,19.17,997800,18.824
2014-11-03,18.76,18.88,18.62,18.66,708700,18.323
2014-10-31,18.67,18.75,18.61,18.68,901200,18.343
2014-10-30,18.55,18.66,18.52,18.55,1009500,18.215
2014-10-29,18.62,18.82,18.42,18.45,1079900,18.117
2014-10-28,18.61,18.70,18.52,18.57,684400,18.235
2014-10-27,18.42,18.64,18.42,18.60,809100,18.264
2014-10-24,18.37,18.50,18.30,18.35,1035600,18.019
2014-10-23,18.02,18.25,18.02,18.20,1122900,17.871
2014-10-22,17.89,18.03,17.86,17.98,1107100,17.655
2014-10-21,17.75,17.775,17.665,17.70,1303200,17.38
2014-10-20,17.54,17.82,17.54,17.71,1306200,17.39
2014-10-17,17.18,17.47,17.18,17.28,3440400,16.968
2014-10-16,17.00,17.18,16.88,17.08,1531600,16.772
2014-10-15,16.93,17.205,16.93,17.18,955800,16.87
2014-10-14,16.85,17.13,16.81,17.01,1806500,16.703
2014-10-13,17.00,17.00,16.85,16.90,1218300,16.595
2014-10-10,17.03,17.17,17.00,17.02,1978800,16.713
2014-10-09,17.31,17.61,17.29,17.39,1231400,17.076
2014-10-08,17.20,17.32,17.17,17.30,1093400,16.988
2014-10-07,17.63,17.64,17.26,17.39,1304300,17.076
2014-10-06,17.49,17.65,17.485,17.59,1190400,17.272
2014-10-03,17.33,17.49,17.31,17.47,976000,17.155
2014-10-02,17.40,17.44,17.36,17.42,1227600,17.106
2014-10-01,17.39,17.67,17.34,17.61,1071300,17.292
2014-09-30,17.53,17.61,17.44,17.54,1231900,17.223
2014-09-29,17.45,17.57,17.40,17.50,1250600,17.184
2014-09-26,17.46,17.54,17.40,17.52,741500,17.204
2014-09-25,17.60,17.68,17.53,17.65,1365000,17.331
2014-09-24,17.36,17.51,17.28,17.51,1290700,17.194
2014-09-23,17.25,17.64,17.22,17.57,1348200,17.253
2014-09-22,17.45,17.45,17.28,17.30,1074000,16.988
2014-09-19,17.39,17.535,17.33,17.48,1436300,17.164
2014-09-18,17.22,17.40,17.16,17.29,1944000,16.978
2014-09-17,16.90,16.98,16.84,16.97,1718000,16.664
2014-09-16,16.87,16.87,16.73,16.86,2217400,16.556
2014-09-15,16.65,16.83,16.50,16.83,1429500,16.526
2014-09-12,16.83,16.96,16.67,16.74,1301600,16.438
2014-09-11,17.24,17.28,16.89,16.94,1294300,16.634
2014-09-10,17.16,17.31,17.085,17.24,1110900,16.929
2014-09-09,17.11,17.33,17.08,17.31,703600,16.997
2014-09-08,17.27,17.34,17.02,17.08,613700,16.772
2014-09-05,17.30,17.46,17.12,17.28,844500,16.968
2014-09-04,17.68,17.765,17.68,17.70,735800,16.895
2014-09-03,17.75,17.79,17.66,17.71,733600,16.905
2014-09-02,17.55,17.74,17.55,17.74,886400,16.933
2014-09-01,17.74,17.74,17.54,17.58,499200,16.781
2014-08-29,17.71,17.76,17.60,17.63,1124200,16.828
2014-08-28,17.61,17.72,17.56,17.69,709000,16.886
2014-08-27,17.61,17.785,17.61,17.75,1224200,16.943
2014-08-26,17.76,17.83,17.59,17.68,2089000,16.876
2014-08-25,17.55,17.69,17.49,17.68,733000,16.876
2014-08-22,17.55,17.64,17.42,17.55,1259400,16.752
2014-08-21,17.92,17.95,17.47,17.54,2138200,16.742
2014-08-20,17.62,17.80,17.53,17.75,1076700,16.943
2014-08-19,17.51,17.66,17.33,17.62,2270900,16.819
2014-08-18,17.86,17.91,17.74,17.81,817700,17.00
2014-08-15,18.04,18.19,17.74,17.77,931600,16.962
2014-08-14,17.74,18.04,17.68,17.92,1455700,17.105
2014-08-13,17.80,17.82,17.64,17.81,1149900,17.00
2014-08-12,17.82,17.95,17.82,17.87,1420000,17.057
2014-08-11,17.66,17.82,17.58,17.79,752900,16.981
2014-08-08,17.66,17.81,17.50,17.63,1017200,16.828
2014-08-07,18.02,18.02,17.78,17.87,1649200,17.057
2014-08-06,17.76,17.96,17.76,17.96,848400,17.143
2014-08-05,17.85,17.97,17.75,17.88,1347800,17.067
2014-08-04,17.97,18.07,17.82,17.87,628600,17.057
2014-08-01,17.95,18.09,17.89,18.05,907000,17.229
2014-07-31,18.01,18.26,18.01,18.17,1202500,17.344
2014-07-30,17.87,18.20,17.76,18.02,1494300,17.201
2014-07-29,17.94,18.23,17.92,18.12,599000,17.296
2014-07-28,18.05,18.20,18.02,18.11,599300,17.286
2014-07-25,18.20,18.23,18.06,18.12,1095300,17.296
2014-07-24,18.10,18.22,18.06,18.16,946900,17.334
2014-07-23,17.98,18.125,17.91,18.08,1512700,17.258
2014-07-22,17.75,18.05,17.72,17.99,1047800,17.172
2014-07-21,17.91,17.99,17.83,17.92,636900,17.105
2014-07-18,17.60,17.92,17.58,17.89,1307700,17.076
2014-07-17,17.65,17.79,17.62,17.68,962000,16.876
2014-07-16,17.63,17.66,17.50,17.64,592500,16.838
2014-07-15,17.55,17.63,17.52,17.61,446400,16.809
2014-07-14,17.63,17.675,17.55,17.57,380600,16.771
2014-07-11,17.40,17.59,17.39,17.55,760400,16.752
2014-07-10,17.53,17.62,17.44,17.62,885900,16.819
2014-07-09,17.63,17.63,17.36,17.52,1336300,16.723
2014-07-08,17.48,17.68,17.35,17.65,938500,16.847
2014-07-07,17.35,17.40,17.26,17.31,417900,16.523
