date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.84,11.17,10.70,11.00,462100,11.00
2015-06-29,11.02,11.12,10.88,10.98,201900,10.98
2015-06-26,11.35,11.42,11.06,11.30,715500,11.30
2015-06-25,11.45,11.49,11.39,11.40,212500,11.40
2015-06-24,11.16,11.57,11.05,11.43,252800,11.43
2015-06-23,11.25,11.33,11.09,11.19,504400,11.19
2015-06-22,10.98,11.29,10.95,11.18,334500,11.18
2015-06-19,10.55,10.92,10.51,10.92,702800,10.92
2015-06-18,10.20,10.48,10.18,10.42,524400,10.42
2015-06-17,10.00,10.17,9.90,10.10,217300,10.10
2015-06-16,9.99,10.19,9.905,9.96,292900,9.96
2015-06-15,10.00,10.00,9.84,9.96,222400,9.96
2015-06-12,9.98,10.075,9.87,9.98,164500,9.98
2015-06-11,9.80,10.10,9.80,9.98,197600,9.98
2015-06-10,9.83,9.91,9.67,9.79,215500,9.79
2015-06-09,9.60,9.98,9.58,9.83,261200,9.83
2015-06-08,9.65,9.65,9.65,9.65,000,9.65
2015-06-05,9.81,9.81,9.53,9.65,433900,9.65
2015-06-04,10.39,10.54,9.85,9.87,477200,9.87
2015-06-03,10.27,10.36,10.11,10.36,431700,10.36
2015-06-02,10.57,10.57,10.23,10.35,261700,10.35
2015-06-01,10.34,10.58,10.31,10.55,403000,10.55
2015-05-29,10.57,10.58,10.33,10.34,3091600,10.34
2015-05-28,10.41,10.56,10.38,10.50,287300,10.50
2015-05-27,10.47,10.53,10.34,10.42,216800,10.42
2015-05-26,10.50,10.59,10.46,10.47,248100,10.47
2015-05-25,10.20,10.44,10.17,10.44,516500,10.44
2015-05-22,10.20,10.20,10.03,10.17,279700,10.17
2015-05-21,9.99,10.32,9.94,10.17,264100,10.17
2015-05-20,9.89,10.00,9.89,9.94,275900,9.94
2015-05-19,9.79,9.89,9.74,9.83,165900,9.83
2015-05-18,9.65,9.79,9.58,9.72,316000,9.72
2015-05-15,9.71,9.715,9.59,9.63,237300,9.63
2015-05-14,9.73,9.85,9.65,9.71,212800,9.71
2015-05-13,9.40,9.86,9.37,9.73,393300,9.73
2015-05-12,9.29,9.49,9.24,9.37,303600,9.37
2015-05-11,9.33,9.34,9.15,9.25,133400,9.25
2015-05-08,9.16,9.33,9.05,9.29,246300,9.29
2015-05-07,9.30,9.30,9.04,9.13,133200,9.13
2015-05-06,9.30,9.35,9.14,9.33,246700,9.33
2015-05-05,9.14,9.36,9.07,9.29,285800,9.29
2015-05-04,9.20,9.28,9.04,9.14,343300,9.14
2015-05-01,9.00,9.20,8.97,9.08,171600,9.08
2015-04-30,9.14,9.14,8.78,8.96,97600,8.96
2015-04-29,9.18,9.20,8.89,8.98,221200,8.98
2015-04-28,8.85,9.20,8.84,9.16,190800,9.16
2015-04-27,8.80,8.85,8.64,8.84,127200,8.84
2015-04-24,8.75,8.87,8.67,8.75,244300,8.75
2015-04-23,8.66,8.82,8.63,8.71,164200,8.71
2015-04-22,8.59,8.69,8.54,8.65,259500,8.65
2015-04-21,8.41,8.59,8.37,8.54,254300,8.54
2015-04-20,8.25,8.465,8.17,8.34,129200,8.34
2015-04-17,8.32,8.36,8.24,8.26,197100,8.26
2015-04-16,8.21,8.30,8.16,8.26,145100,8.26
2015-04-15,8.28,8.30,8.14,8.14,229600,8.14
2015-04-14,8.10,8.32,8.10,8.27,238500,8.27
2015-04-13,8.05,8.10,8.00,8.08,128300,8.08
2015-04-10,7.90,8.04,7.87,8.00,129200,8.00
2015-04-09,7.79,7.88,7.76,7.83,125600,7.83
2015-04-08,7.58,7.81,7.58,7.79,72100,7.79
2015-04-07,7.75,7.84,7.60,7.60,126800,7.60
2015-04-06,7.69,7.69,7.69,7.69,000,7.69
2015-04-03,7.69,7.69,7.69,7.69,000,7.69
2015-04-02,7.66,7.77,7.64,7.69,109200,7.69
2015-04-01,7.41,7.86,7.375,7.63,184700,7.63
2015-03-31,7.21,7.465,7.16,7.41,134500,7.41
2015-03-30,7.31,7.31,7.17,7.25,122400,7.25
2015-03-27,7.38,7.51,7.32,7.38,35400,7.38
2015-03-26,7.60,7.60,7.39,7.41,82900,7.41
2015-03-25,7.78,7.785,7.46,7.53,83700,7.53
2015-03-24,7.80,7.89,7.76,7.82,69800,7.82
2015-03-23,7.82,7.85,7.66,7.74,159600,7.74
2015-03-20,7.78,7.98,7.73,7.73,1216300,7.73
2015-03-19,7.60,7.78,7.59,7.72,205700,7.72
2015-03-18,7.63,7.64,7.54,7.57,72700,7.57
2015-03-17,7.60,7.65,7.58,7.63,143100,7.63
2015-03-16,7.66,7.68,7.59,7.60,116100,7.60
2015-03-13,7.57,7.71,7.57,7.68,186000,7.68
2015-03-12,7.70,7.70,7.51,7.55,82300,7.55
2015-03-11,7.61,7.68,7.44,7.68,178700,7.68
2015-03-10,7.60,7.64,7.50,7.59,128300,7.59
2015-03-09,7.70,7.72,7.42,7.50,263500,7.50
2015-03-06,7.72,7.85,7.39,7.55,202600,7.55
2015-03-05,7.40,7.70,7.33,7.70,272800,7.70
2015-03-04,7.30,7.48,7.29,7.44,178800,7.44
2015-03-03,7.39,7.50,7.26,7.29,277600,7.29
2015-03-02,7.34,7.40,7.31,7.39,109500,7.24
2015-02-27,7.10,7.35,7.08,7.27,81800,7.12244
2015-02-26,7.50,7.58,6.87,7.05,425800,6.9069
2015-02-25,7.20,7.50,7.17,7.50,117100,7.34777
2015-02-24,6.97,7.20,6.91,7.18,81000,7.03426
2015-02-23,7.35,7.35,7.01,7.01,105800,6.86771
2015-02-20,7.43,7.44,7.27,7.34,127500,7.19101
2015-02-19,7.33,7.47,7.31,7.43,101500,7.27919
2015-02-18,7.44,7.46,7.275,7.33,131600,7.18122
2015-02-17,7.40,7.44,7.31,7.40,161800,7.2498
2015-02-16,7.05,7.41,7.04,7.37,580800,7.22041
2015-02-13,7.00,7.06,6.96,7.02,164200,6.87751
2015-02-12,6.70,7.02,6.70,7.00,199300,6.85792
2015-02-11,6.72,6.75,6.66,6.73,149100,6.5934
2015-02-10,6.80,6.82,6.68,6.72,83300,6.5836
2015-02-09,6.69,6.85,6.65,6.81,146000,6.67177
2015-02-06,6.75,6.75,6.63,6.68,60800,6.54441
2015-02-05,6.60,6.73,6.51,6.73,52300,6.5934
2015-02-04,6.46,6.60,6.46,6.60,338500,6.46604
2015-02-03,6.70,6.70,6.48,6.54,90300,6.40725
2015-02-02,6.53,6.75,6.49,6.60,166600,6.46604
2015-01-30,6.45,6.62,6.44,6.62,180500,6.48563
