date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.75,0.77,0.745,0.77,2188900,0.77
2015-06-29,0.775,0.78,0.745,0.76,2475800,0.76
2015-06-26,0.78,0.80,0.77,0.79,2778200,0.79
2015-06-25,0.795,0.807,0.79,0.79,1024100,0.79
2015-06-24,0.78,0.80,0.777,0.795,1942500,0.795
2015-06-23,0.775,0.79,0.77,0.785,1826100,0.785
2015-06-22,0.74,0.77,0.73,0.765,2146000,0.765
2015-06-19,0.755,0.765,0.735,0.745,7047600,0.745
2015-06-18,0.765,0.78,0.745,0.745,3962500,0.745
2015-06-17,0.775,0.79,0.77,0.78,2565200,0.78
2015-06-16,0.78,0.80,0.77,0.77,1869500,0.77
2015-06-15,0.805,0.81,0.795,0.795,1572600,0.795
2015-06-12,0.82,0.825,0.805,0.81,1019900,0.81
2015-06-11,0.805,0.825,0.80,0.815,1175300,0.815
2015-06-10,0.81,0.817,0.79,0.81,1546800,0.81
2015-06-09,0.80,0.82,0.797,0.815,2304800,0.815
2015-06-08,0.81,0.81,0.81,0.81,000,0.81
2015-06-05,0.805,0.82,0.765,0.81,3448900,0.81
2015-06-04,0.835,0.835,0.805,0.81,3170700,0.81
2015-06-03,0.825,0.847,0.82,0.84,2528000,0.84
2015-06-02,0.85,0.85,0.825,0.825,1492600,0.825
2015-06-01,0.86,0.87,0.84,0.84,1784000,0.84
2015-05-29,0.87,0.87,0.855,0.87,1972200,0.87
2015-05-28,0.865,0.875,0.865,0.87,928700,0.87
2015-05-27,0.87,0.875,0.855,0.865,1419400,0.865
2015-05-26,0.875,0.88,0.865,0.875,1135500,0.875
2015-05-25,0.865,0.88,0.865,0.865,1637200,0.865
2015-05-22,0.85,0.86,0.845,0.86,764700,0.86
2015-05-21,0.84,0.85,0.84,0.845,1624800,0.845
2015-05-20,0.84,0.85,0.83,0.835,2399400,0.835
2015-05-19,0.85,0.855,0.84,0.845,2125800,0.845
2015-05-18,0.855,0.855,0.85,0.85,668600,0.85
2015-05-15,0.845,0.865,0.845,0.855,885500,0.855
2015-05-14,0.835,0.85,0.83,0.85,2157600,0.85
2015-05-13,0.81,0.85,0.81,0.85,2147900,0.85
2015-05-12,0.81,0.825,0.81,0.82,1596300,0.82
2015-05-11,0.83,0.84,0.81,0.81,2348300,0.81
2015-05-08,0.84,0.8425,0.83,0.83,2084700,0.83
2015-05-07,0.84,0.857,0.835,0.84,3476400,0.84
2015-05-06,0.86,0.87,0.855,0.86,4394400,0.86
2015-05-05,0.89,0.89,0.865,0.88,2175500,0.88
2015-05-04,0.87,0.875,0.86,0.87,925100,0.87
2015-05-01,0.86,0.872,0.86,0.86,1123600,0.86
2015-04-30,0.86,0.89,0.86,0.87,4961000,0.87
2015-04-29,0.865,0.89,0.855,0.88,3306800,0.88
2015-04-28,0.85,0.875,0.845,0.875,1582500,0.875
2015-04-27,0.87,0.87,0.83,0.84,2083300,0.84
2015-04-24,0.85,0.87,0.845,0.87,1456700,0.87
2015-04-23,0.85,0.855,0.84,0.845,804800,0.845
2015-04-22,0.86,0.865,0.85,0.855,896800,0.855
2015-04-21,0.85,0.86,0.845,0.86,1380600,0.86
2015-04-20,0.83,0.845,0.815,0.845,1339500,0.845
2015-04-17,0.85,0.85,0.83,0.83,1798900,0.83
2015-04-16,0.835,0.86,0.832,0.855,1406800,0.855
2015-04-15,0.855,0.865,0.82,0.835,2807900,0.835
2015-04-14,0.845,0.865,0.845,0.86,2218800,0.86
2015-04-13,0.855,0.86,0.84,0.855,1493900,0.855
2015-04-10,0.85,0.86,0.85,0.855,2193100,0.855
2015-04-09,0.875,0.875,0.85,0.85,2033000,0.85
2015-04-08,0.875,0.88,0.865,0.88,1997800,0.88
