date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.30,3.33,3.26,3.30,1884900,3.30
2015-06-29,3.36,3.42,3.32,3.37,1598500,3.37
2015-06-26,3.45,3.59,3.425,3.43,3504500,3.43
2015-06-25,3.70,3.72,3.545,3.56,1326300,3.56
2015-06-24,3.71,3.72,3.67,3.69,871000,3.69
2015-06-23,3.70,3.72,3.68,3.71,2143000,3.71
2015-06-22,3.64,3.70,3.61,3.67,1612600,3.67
2015-06-19,3.70,3.78,3.65,3.65,1688100,3.65
2015-06-18,3.76,3.765,3.63,3.69,1687100,3.69
2015-06-17,3.72,3.78,3.69,3.73,1042200,3.73
2015-06-16,3.70,3.76,3.655,3.71,805600,3.71
2015-06-15,3.77,3.81,3.71,3.73,959200,3.73
2015-06-12,3.68,3.78,3.68,3.78,2864200,3.78
2015-06-11,3.67,3.77,3.67,3.76,4015100,3.76
2015-06-10,3.56,3.70,3.56,3.66,1745800,3.66
2015-06-09,3.72,3.77,3.58,3.58,2001200,3.58
2015-06-08,3.74,3.74,3.74,3.74,000,3.74
2015-06-05,3.67,3.74,3.64,3.74,1389300,3.74
2015-06-04,3.76,3.76,3.62,3.65,1731400,3.65
2015-06-03,3.60,3.78,3.60,3.78,3273900,3.78
2015-06-02,3.68,3.71,3.62,3.65,1869500,3.65
2015-06-01,3.79,3.79,3.61,3.63,3118600,3.63
2015-05-29,3.84,3.86,3.74,3.79,4401500,3.79
2015-05-28,3.80,3.85,3.74,3.84,6069600,3.84
2015-05-27,3.74,3.80,3.68,3.78,3912800,3.78
2015-05-26,3.90,3.91,3.77,3.80,9156100,3.80
2015-05-25,3.89,4.04,3.875,3.90,15134900,3.90
2015-05-22,3.25,3.29,3.21,3.24,1303400,3.24
2015-05-21,3.14,3.29,3.14,3.27,2282200,3.27
2015-05-20,3.07,3.12,2.96,3.10,2266000,3.10
2015-05-19,3.27,3.30,3.13,3.17,2088500,3.17
2015-05-18,3.25,3.30,3.21,3.26,2077700,3.26
2015-05-15,3.19,3.23,3.13,3.22,3513100,3.22
2015-05-14,3.25,3.25,3.02,3.16,3395700,3.16
2015-05-13,3.15,3.34,3.15,3.25,5233400,3.25
2015-05-12,2.97,3.10,2.95,3.08,4560500,3.08
2015-05-11,2.92,2.98,2.90,2.93,1173300,2.93
2015-05-08,2.84,2.92,2.82,2.82,917600,2.82
2015-05-07,2.70,2.90,2.70,2.85,1627900,2.85
2015-05-06,2.77,2.87,2.74,2.75,6114700,2.75
