date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.68,3.77,3.68,3.75,793100,3.75
2015-06-29,3.67,3.72,3.67,3.71,1054600,3.71
2015-06-26,3.72,3.75,3.72,3.73,582100,3.73
2015-06-25,3.77,3.77,3.72,3.75,1295800,3.75
2015-06-24,3.81,3.81,3.75,3.77,556800,3.77
2015-06-23,3.74,3.83,3.73,3.82,896100,3.82
2015-06-22,3.73,3.73,3.68,3.72,522900,3.72
2015-06-19,3.68,3.75,3.66,3.73,521400,3.73
2015-06-18,3.75,3.78,3.67,3.68,701300,3.68
2015-06-17,3.82,3.82,3.78,3.80,564900,3.80
2015-06-16,3.91,3.91,3.80,3.80,376300,3.80
2015-06-15,3.97,3.98,3.88,3.89,453700,3.89
2015-06-12,4.02,4.04,3.98,3.99,934200,3.99
2015-06-11,4.05,4.05,3.98,4.03,486700,4.03
2015-06-10,4.02,4.07,3.985,4.05,582300,4.05
2015-06-09,4.03,4.05,4.01,4.02,295200,4.02
2015-06-08,4.05,4.05,4.05,4.05,000,4.05
2015-06-05,4.04,4.09,4.03,4.05,1621100,4.05
2015-06-04,4.06,4.07,4.035,4.05,500300,4.05
2015-06-03,4.05,4.06,4.03,4.04,642300,4.04
2015-06-02,4.13,4.17,4.08,4.09,1441800,4.09
2015-06-01,4.10,4.13,4.08,4.11,258900,4.11
2015-05-29,4.12,4.15,4.09,4.13,490100,4.13
2015-05-28,4.13,4.13,4.08,4.09,294300,4.09
2015-05-27,4.08,4.18,4.08,4.14,2609900,4.14
2015-05-26,4.07,4.09,4.05,4.06,856900,4.06
2015-05-25,4.08,4.11,4.07,4.10,1028900,4.10
2015-05-22,4.02,4.09,4.02,4.05,286000,4.05
2015-05-21,3.93,4.02,3.91,4.00,442600,4.00
2015-05-20,3.90,3.95,3.88,3.93,510400,3.93
2015-05-19,3.92,3.92,3.84,3.90,685100,3.90
2015-05-18,3.95,3.97,3.93,3.93,146800,3.93
2015-05-15,3.95,3.95,3.90,3.94,251600,3.94
2015-05-14,3.93,3.94,3.87,3.94,328400,3.94
2015-05-13,3.90,3.96,3.88,3.96,360900,3.96
2015-05-12,3.85,3.895,3.845,3.87,427300,3.87
2015-05-11,3.85,3.90,3.85,3.90,243700,3.90
2015-05-08,3.89,3.93,3.84,3.85,415400,3.85
2015-05-07,3.89,3.93,3.85,3.87,368000,3.87
2015-05-06,3.99,4.00,3.88,3.88,581300,3.88
