date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.65,1.70,1.65,1.70,1584000,1.70
2015-06-29,1.69,1.70,1.657,1.70,1048800,1.70
2015-06-26,1.665,1.70,1.652,1.68,1481900,1.68
2015-06-25,1.665,1.705,1.655,1.68,3791700,1.68
2015-06-24,1.68,1.745,1.615,1.655,9715000,1.655
2015-06-23,1.545,1.545,1.545,1.545,000,1.545
2015-06-22,1.545,1.545,1.545,1.545,000,1.545
2015-06-19,1.525,1.57,1.525,1.545,7177100,1.545
2015-06-18,1.565,1.565,1.505,1.52,1650200,1.52
2015-06-17,1.575,1.59,1.565,1.57,1848100,1.57
2015-06-16,1.595,1.5975,1.57,1.585,2626500,1.585
2015-06-15,1.57,1.59,1.565,1.58,1833900,1.58
2015-06-12,1.575,1.60,1.555,1.585,1657900,1.585
2015-06-11,1.535,1.585,1.525,1.585,2284800,1.585
2015-06-10,1.505,1.565,1.505,1.53,2534200,1.53
2015-06-09,1.485,1.51,1.485,1.50,939000,1.50
2015-06-08,1.495,1.495,1.495,1.495,000,1.495
2015-06-05,1.49,1.50,1.47,1.495,1583400,1.495
2015-06-04,1.55,1.56,1.485,1.50,2771300,1.50
2015-06-03,1.465,1.53,1.465,1.51,2705200,1.51
2015-06-02,1.46,1.49,1.44,1.48,1973300,1.48
2015-06-01,1.46,1.475,1.43,1.465,1355800,1.465
2015-05-29,1.495,1.50,1.445,1.445,7404800,1.445
2015-05-28,1.38,1.51,1.37,1.50,4426800,1.50
2015-05-27,1.37,1.40,1.365,1.385,2775400,1.385
2015-05-26,1.37,1.395,1.365,1.375,1798700,1.375
2015-05-25,1.40,1.43,1.36,1.375,5851200,1.375
2015-05-22,1.23,1.245,1.215,1.23,557800,1.23
2015-05-21,1.235,1.24,1.20,1.22,1176800,1.22
2015-05-20,1.25,1.265,1.21,1.225,1447400,1.225
2015-05-19,1.30,1.305,1.25,1.25,1750300,1.25
2015-05-18,1.29,1.335,1.27,1.30,1435900,1.30
2015-05-15,1.28,1.29,1.25,1.275,892100,1.275
2015-05-14,1.28,1.29,1.26,1.27,950900,1.27
2015-05-13,1.25,1.32,1.25,1.29,2357100,1.29
2015-05-12,1.255,1.275,1.25,1.265,735000,1.265
2015-05-11,1.26,1.28,1.25,1.255,1024000,1.255
2015-05-08,1.255,1.26,1.25,1.255,491000,1.255
2015-05-07,1.255,1.265,1.25,1.25,1000100,1.25
2015-05-06,1.27,1.27,1.25,1.255,931100,1.255
2015-05-05,1.28,1.295,1.255,1.255,2113300,1.255
2015-05-04,1.285,1.31,1.265,1.275,985700,1.275
2015-05-01,1.30,1.315,1.28,1.285,1315700,1.285
2015-04-30,1.29,1.31,1.28,1.295,662300,1.295
2015-04-29,1.295,1.31,1.285,1.29,606100,1.29
2015-04-28,1.315,1.32,1.27,1.29,529400,1.29
