date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.945,1.97,1.92,1.955,5080000,1.955
2015-06-29,1.96,1.96,1.92,1.955,7291700,1.955
2015-06-26,1.97,1.98,1.93,1.96,4716800,1.96
2015-06-25,1.965,2.02,1.945,2.01,6462500,2.01
2015-06-24,1.975,1.995,1.962,1.98,3444100,1.98
2015-06-23,1.96,1.98,1.957,1.975,3656500,1.975
2015-06-22,1.92,1.955,1.917,1.95,4296300,1.95
2015-06-19,1.905,1.95,1.895,1.915,5665300,1.915
2015-06-18,1.905,1.93,1.89,1.91,6299700,1.91
2015-06-17,1.915,1.945,1.905,1.93,3153800,1.93
2015-06-16,1.92,1.94,1.905,1.92,2969800,1.92
2015-06-15,1.92,1.935,1.895,1.92,3370400,1.92
2015-06-12,1.91,1.95,1.91,1.94,3413000,1.94
2015-06-11,1.92,1.95,1.91,1.935,3631700,1.935
2015-06-10,1.88,1.93,1.87,1.915,3515000,1.915
2015-06-09,1.90,1.922,1.88,1.88,2842200,1.88
2015-06-08,1.91,1.91,1.91,1.91,000,1.91
2015-06-05,1.895,1.915,1.89,1.91,2712500,1.91
2015-06-04,1.94,1.94,1.895,1.90,7074100,1.90
2015-06-03,1.96,1.975,1.935,1.95,5239500,1.95
2015-06-02,2.00,2.01,1.97,1.98,3991400,1.98
2015-06-01,1.985,2.01,1.96,1.995,4329600,1.995
2015-05-29,2.00,2.01,1.99,1.995,6603500,1.995
2015-05-28,1.995,2.00,1.97,2.00,3033800,2.00
2015-05-27,1.99,1.995,1.96,1.97,4778800,1.97
2015-05-26,1.99,2.01,1.99,2.00,2259400,2.00
2015-05-25,1.985,2.015,1.975,1.99,5534400,1.99
2015-05-22,1.92,1.98,1.92,1.975,4282000,1.975
2015-05-21,1.925,1.945,1.905,1.925,4684100,1.925
2015-05-20,1.925,1.96,1.915,1.925,4778700,1.925
2015-05-19,1.92,1.975,1.91,1.96,4735200,1.96
2015-05-18,1.995,2.01,1.94,1.95,3869300,1.95
2015-05-15,1.965,2.00,1.955,2.00,4609100,2.00
2015-05-14,1.925,1.95,1.90,1.95,3497500,1.95
2015-05-13,1.94,1.94,1.905,1.935,2661800,1.935
2015-05-12,1.88,1.93,1.88,1.925,4527400,1.925
2015-05-11,1.95,1.95,1.885,1.905,2840100,1.905
2015-05-08,1.88,1.905,1.875,1.905,5717600,1.905
2015-05-07,1.94,1.955,1.855,1.87,7977000,1.87
2015-05-06,1.965,1.965,1.93,1.95,4445600,1.95
2015-05-05,1.99,2.00,1.955,1.975,5440700,1.975
2015-05-04,1.975,1.98,1.945,1.965,3863100,1.965
2015-05-01,1.925,1.965,1.92,1.945,5231400,1.945
2015-04-30,2.02,2.05,1.942,1.95,8558300,1.95
2015-04-29,2.06,2.07,2.01,2.02,2892700,2.02
2015-04-28,2.04,2.07,2.025,2.06,3961400,2.06
2015-04-27,2.01,2.04,2.00,2.03,2742600,2.03
2015-04-24,1.98,2.02,1.965,2.00,3879200,2.00
2015-04-23,1.96,1.98,1.93,1.98,4139200,1.98
2015-04-22,1.96,1.96,1.93,1.935,3944500,1.935
2015-04-21,1.97,1.97,1.945,1.955,3971300,1.955
2015-04-20,1.95,1.97,1.945,1.955,2540700,1.955
2015-04-17,1.97,1.99,1.95,1.95,4076000,1.95
2015-04-16,1.98,1.995,1.975,1.98,3931400,1.98
2015-04-15,2.00,2.00,1.97,1.98,4223500,1.98
2015-04-14,2.03,2.03,1.995,2.01,3982400,2.01
2015-04-13,2.02,2.05,2.01,2.04,5448900,2.04
2015-04-10,1.98,2.02,1.955,1.99,6566500,1.99
2015-04-09,1.95,1.9675,1.92,1.955,6873600,1.955
2015-04-08,1.93,1.955,1.905,1.915,5120500,1.915
2015-04-07,1.955,1.972,1.925,1.925,4931200,1.925
