date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.41,5.43,5.33,5.37,448300,5.37
2015-06-29,5.50,5.52,5.41,5.44,394000,5.44
2015-06-26,5.53,5.575,5.46,5.56,404300,5.56
2015-06-25,5.54,5.59,5.53,5.54,452500,5.54
2015-06-24,5.45,5.52,5.44,5.52,253900,5.52
2015-06-23,5.46,5.46,5.39,5.43,337900,5.43
2015-06-22,5.53,5.55,5.45,5.46,255300,5.46
2015-06-19,5.50,5.60,5.47,5.52,527400,5.52
2015-06-18,5.60,5.63,5.49,5.50,648700,5.50
2015-06-17,5.66,5.67,5.61,5.63,235600,5.63
2015-06-16,5.68,5.68,5.60,5.65,122500,5.65
2015-06-15,5.68,5.69,5.64,5.68,283200,5.68
2015-06-12,5.69,5.70,5.66,5.68,324900,5.68
2015-06-11,5.77,5.77,5.66,5.70,352800,5.70
2015-06-10,5.77,5.81,5.76,5.76,174600,5.76
2015-06-09,5.79,5.82,5.74,5.78,326300,5.78
2015-06-08,5.80,5.80,5.80,5.80,000,5.80
2015-06-05,5.79,5.85,5.78,5.80,397100,5.80
2015-06-04,5.87,5.87,5.76,5.77,298700,5.77
2015-06-03,5.82,5.88,5.82,5.83,1341000,5.83
2015-06-02,5.84,5.87,5.79,5.84,765800,5.84
2015-06-01,5.84,5.87,5.80,5.81,151400,5.81
2015-05-29,5.90,5.90,5.83,5.89,377400,5.89
2015-05-28,5.88,5.93,5.84,5.89,609900,5.89
2015-05-27,5.95,5.95,5.785,5.85,2383600,5.85
2015-05-26,6.00,6.05,5.94,5.97,5302600,5.97
2015-05-25,6.01,6.02,5.96,6.02,254700,6.02
2015-05-22,5.86,5.99,5.86,5.94,162500,5.94
2015-05-21,5.75,5.82,5.71,5.82,451600,5.82
2015-05-20,5.78,5.78,5.73,5.73,194000,5.73
2015-05-19,5.81,5.82,5.77,5.77,439300,5.77
2015-05-18,5.85,5.85,5.81,5.82,134400,5.82
2015-05-15,5.80,5.88,5.79,5.88,219000,5.88
2015-05-14,5.81,5.85,5.79,5.82,587700,5.82
2015-05-13,5.84,5.86,5.80,5.81,154700,5.81
2015-05-12,5.80,5.84,5.80,5.82,458300,5.82
2015-05-11,5.91,5.91,5.84,5.87,177700,5.87
2015-05-08,5.89,5.93,5.85,5.85,271900,5.85
2015-05-07,5.85,5.92,5.85,5.88,298700,5.88
2015-05-06,6.00,6.02,5.90,5.91,291000,5.91
2015-05-05,6.10,6.10,6.00,6.03,414400,6.03
2015-05-04,6.07,6.10,6.01,6.08,1902600,6.08
2015-05-01,5.99,6.06,5.99,6.03,824200,6.03
2015-04-30,5.96,6.05,5.96,6.05,456400,6.05
2015-04-29,5.98,6.01,5.97,5.99,338100,5.99
2015-04-28,6.01,6.03,5.955,5.98,467200,5.98
2015-04-27,5.96,6.04,5.95,6.02,175500,6.02
2015-04-24,5.98,5.98,5.92,5.94,404100,5.94
2015-04-23,6.06,6.06,5.95,5.96,871600,5.96
2015-04-22,6.14,6.14,6.05,6.10,555100,6.10
2015-04-21,5.95,6.15,5.95,6.15,1272800,6.15
2015-04-20,5.86,5.91,5.86,5.88,197500,5.88
2015-04-17,5.91,5.98,5.86,5.87,276100,5.87
2015-04-16,5.88,5.96,5.84,5.93,367600,5.93
2015-04-15,5.90,5.90,5.77,5.86,951900,5.86
2015-04-14,5.90,5.95,5.90,5.93,96300,5.93
2015-04-13,6.00,6.02,5.90,5.91,840100,5.91
2015-04-10,5.95,5.99,5.94,5.98,446100,5.98
2015-04-09,5.93,5.96,5.91,5.92,406600,5.92
2015-04-08,5.91,5.97,5.90,5.95,252400,5.95
2015-04-07,5.93,6.01,5.87,5.91,619800,5.91
2015-04-06,5.88,5.88,5.88,5.88,000,5.88
2015-04-03,5.88,5.88,5.88,5.88,000,5.88
