date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.145,0.145,0.14,0.14,4420900,0.14
2015-06-29,0.15,0.15,0.14,0.14,2573200,0.14
2015-06-26,0.145,0.15,0.14,0.15,3414500,0.15
2015-06-25,0.145,0.15,0.145,0.145,3151300,0.145
2015-06-24,0.145,0.15,0.145,0.145,2566900,0.145
2015-06-23,0.15,0.155,0.145,0.145,3417600,0.145
2015-06-22,0.145,0.155,0.14,0.15,8870700,0.15
2015-06-19,0.155,0.155,0.14,0.145,39433900,0.145
2015-06-18,0.16,0.16,0.15,0.155,3781800,0.155
2015-06-17,0.16,0.16,0.155,0.155,1365600,0.155
2015-06-16,0.16,0.16,0.155,0.155,891800,0.155
2015-06-15,0.16,0.165,0.155,0.155,3401200,0.155
2015-06-12,0.165,0.17,0.16,0.165,2849300,0.165
2015-06-11,0.165,0.17,0.165,0.165,1128100,0.165
2015-06-10,0.165,0.17,0.16,0.16,1783300,0.16
2015-06-09,0.17,0.175,0.165,0.165,1605800,0.165
2015-06-08,0.17,0.17,0.17,0.17,000,0.17
2015-06-05,0.17,0.175,0.167,0.17,2796600,0.17
2015-06-04,0.18,0.18,0.17,0.17,3050600,0.17
2015-06-03,0.18,0.18,0.175,0.175,1227200,0.175
2015-06-02,0.18,0.185,0.175,0.175,2177100,0.175
2015-06-01,0.185,0.185,0.18,0.18,570200,0.18
2015-05-29,0.185,0.185,0.18,0.18,960500,0.18
2015-05-28,0.185,0.185,0.18,0.18,944300,0.18
2015-05-27,0.18,0.185,0.18,0.18,798800,0.18
2015-05-26,0.185,0.185,0.18,0.18,781600,0.18
2015-05-25,0.185,0.185,0.18,0.18,859800,0.18
2015-05-22,0.185,0.185,0.18,0.18,912900,0.18
2015-05-21,0.185,0.19,0.18,0.19,1138500,0.19
2015-05-20,0.185,0.19,0.18,0.185,3289000,0.185
2015-05-19,0.19,0.195,0.19,0.195,2667200,0.195
2015-05-18,0.185,0.19,0.182,0.185,1131000,0.185
2015-05-15,0.19,0.19,0.18,0.18,1490700,0.18
2015-05-14,0.185,0.19,0.18,0.185,3128300,0.185
2015-05-13,0.18,0.182,0.175,0.18,2244600,0.18
2015-05-12,0.18,0.185,0.175,0.175,1930000,0.175
2015-05-11,0.18,0.185,0.18,0.18,2589800,0.18
2015-05-08,0.18,0.185,0.18,0.18,1204400,0.18
2015-05-07,0.175,0.20,0.175,0.18,12244300,0.18
2015-05-06,0.18,0.185,0.175,0.18,2231500,0.18
2015-05-05,0.18,0.18,0.175,0.18,1225500,0.18
2015-05-04,0.18,0.18,0.172,0.18,1758100,0.18
2015-05-01,0.175,0.175,0.17,0.175,2625900,0.175
2015-04-30,0.18,0.185,0.175,0.175,2552900,0.175
2015-04-29,0.185,0.19,0.175,0.18,3860000,0.18
2015-04-28,0.175,0.18,0.175,0.18,2217300,0.18
2015-04-27,0.18,0.18,0.17,0.17,5333800,0.17
2015-04-24,0.17,0.19,0.17,0.18,11179400,0.18
2015-04-23,0.17,0.175,0.165,0.165,4343600,0.165
2015-04-22,0.175,0.175,0.17,0.17,3117500,0.17
2015-04-21,0.175,0.175,0.17,0.17,1742100,0.17
2015-04-20,0.175,0.175,0.17,0.17,2074300,0.17
2015-04-16,0.175,0.18,0.17,0.175,2782600,0.175
2015-04-15,0.175,0.18,0.17,0.17,4266700,0.17
2015-04-13,0.19,0.19,0.18,0.18,1336400,0.18
2015-04-10,0.18,0.185,0.175,0.185,1435000,0.185
2015-04-09,0.185,0.19,0.175,0.185,2058100,0.185
2015-04-08,0.19,0.19,0.185,0.185,675300,0.185
2015-04-07,0.195,0.20,0.185,0.19,1913400,0.19
2015-04-06,0.19,0.19,0.19,0.19,000,0.19
2015-04-03,0.19,0.19,0.19,0.19,000,0.19
2015-04-02,0.185,0.195,0.182,0.19,3225800,0.19
2015-04-01,0.19,0.19,0.18,0.18,3900900,0.18
2015-03-31,0.18,0.20,0.175,0.20,3438500,0.20
2015-03-30,0.195,0.195,0.18,0.18,2390000,0.18
2015-03-27,0.205,0.21,0.19,0.195,3302800,0.195
2015-03-26,0.205,0.21,0.20,0.20,2461200,0.20
2015-03-25,0.205,0.21,0.20,0.21,2408500,0.21
2015-03-24,0.195,0.21,0.19,0.21,5817900,0.21
2015-03-23,0.18,0.195,0.18,0.19,6221100,0.19
2015-03-20,0.18,0.18,0.172,0.175,3040400,0.175
2015-03-19,0.175,0.185,0.172,0.175,5077100,0.175
2015-03-18,0.175,0.175,0.165,0.165,2225200,0.165
2015-03-17,0.18,0.18,0.172,0.18,1152500,0.18
2015-03-16,0.16,0.18,0.16,0.18,2893800,0.18
2015-03-13,0.165,0.17,0.155,0.16,5406600,0.16
2015-03-12,0.175,0.175,0.16,0.165,4774100,0.165
2015-03-11,0.175,0.18,0.17,0.17,1609000,0.17
2015-03-10,0.19,0.19,0.17,0.175,4793300,0.175
2015-03-09,0.19,0.195,0.185,0.19,2436600,0.19
2015-03-06,0.20,0.20,0.195,0.195,458500,0.195
2015-03-05,0.20,0.205,0.195,0.20,1453200,0.20
2015-03-04,0.195,0.205,0.192,0.195,3775700,0.195
2015-03-03,0.20,0.205,0.192,0.195,4278700,0.195
2015-03-02,0.21,0.215,0.205,0.205,1998100,0.205
2015-02-27,0.205,0.21,0.205,0.205,1734400,0.205
2015-02-26,0.21,0.21,0.20,0.205,2613600,0.205
2015-02-25,0.21,0.21,0.20,0.205,1668000,0.205
2015-02-24,0.21,0.215,0.20,0.20,2457100,0.20
2015-02-23,0.215,0.215,0.205,0.215,1619500,0.215
2015-02-20,0.21,0.22,0.21,0.21,1823900,0.21
2015-02-19,0.205,0.22,0.205,0.215,4045200,0.215
2015-02-18,0.205,0.21,0.202,0.205,2435400,0.205
