date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.455,0.465,0.44,0.46,368400,0.46
2015-06-29,0.455,0.4675,0.445,0.455,290300,0.455
2015-06-26,0.49,0.49,0.46,0.47,423500,0.47
2015-06-25,0.46,0.48,0.46,0.47,142100,0.47
2015-06-24,0.45,0.475,0.435,0.46,531700,0.46
2015-06-23,0.47,0.47,0.43,0.44,418400,0.44
2015-06-22,0.47,0.47,0.45,0.455,96700,0.455
2015-06-19,0.455,0.475,0.45,0.47,137100,0.47
2015-06-18,0.455,0.455,0.45,0.45,136100,0.45
2015-06-17,0.455,0.46,0.45,0.455,198700,0.455
2015-06-16,0.475,0.475,0.45,0.465,329900,0.465
2015-06-15,0.48,0.49,0.475,0.475,221600,0.475
2015-06-12,0.49,0.50,0.48,0.48,280800,0.48
2015-06-11,0.49,0.50,0.485,0.49,53900,0.49
2015-06-10,0.49,0.495,0.485,0.485,36400,0.485
2015-06-09,0.50,0.50,0.485,0.485,230800,0.485
2015-06-08,0.51,0.51,0.51,0.51,000,0.51
2015-06-05,0.49,0.51,0.485,0.51,131900,0.51
2015-06-04,0.495,0.502,0.485,0.485,71800,0.485
2015-06-03,0.49,0.50,0.485,0.495,118800,0.495
2015-06-02,0.50,0.505,0.49,0.49,71200,0.49
2015-06-01,0.51,0.51,0.50,0.50,75600,0.50
2015-05-29,0.505,0.51,0.50,0.51,42900,0.51
2015-05-28,0.50,0.52,0.50,0.505,181200,0.505
2015-05-27,0.50,0.51,0.49,0.50,456300,0.50
2015-05-26,0.505,0.52,0.505,0.505,227500,0.505
2015-05-25,0.515,0.52,0.50,0.51,81400,0.51
2015-05-22,0.52,0.53,0.505,0.505,118000,0.505
2015-05-21,0.53,0.53,0.52,0.52,40800,0.52
2015-05-20,0.53,0.54,0.52,0.54,97500,0.54
2015-05-19,0.54,0.545,0.52,0.525,78200,0.525
2015-05-18,0.535,0.54,0.525,0.525,28600,0.525
2015-05-15,0.535,0.55,0.53,0.535,107100,0.535
2015-05-14,0.54,0.555,0.535,0.55,296700,0.55
2015-05-13,0.51,0.535,0.51,0.535,128200,0.535
2015-05-12,0.51,0.52,0.51,0.51,37300,0.51
2015-05-11,0.51,0.52,0.505,0.51,43700,0.51
2015-05-08,0.51,0.515,0.50,0.505,48900,0.505
2015-05-07,0.515,0.52,0.50,0.50,170900,0.50
2015-05-06,0.53,0.53,0.515,0.515,150500,0.515
2015-05-05,0.525,0.54,0.515,0.515,104700,0.515
2015-05-04,0.52,0.54,0.515,0.515,136000,0.515
2015-05-01,0.53,0.535,0.52,0.52,98800,0.52
2015-04-30,0.53,0.545,0.52,0.525,74700,0.525
2015-04-29,0.51,0.535,0.51,0.53,216500,0.53
2015-04-28,0.53,0.535,0.505,0.51,203400,0.51
2015-04-27,0.55,0.55,0.505,0.52,251300,0.52
2015-04-24,0.57,0.585,0.54,0.56,343600,0.56
2015-04-23,0.505,0.57,0.505,0.57,569500,0.57
2015-04-22,0.50,0.505,0.485,0.485,225400,0.485
2015-04-21,0.50,0.52,0.49,0.49,122900,0.49
2015-04-20,0.505,0.505,0.485,0.485,86900,0.485
2015-04-17,0.495,0.505,0.49,0.505,191100,0.505
2015-04-16,0.52,0.525,0.495,0.495,221200,0.495
2015-04-15,0.50,0.52,0.495,0.51,71400,0.51
2015-04-13,0.495,0.495,0.485,0.485,18700,0.485
2015-04-10,0.50,0.50,0.485,0.495,211200,0.495
2015-04-09,0.49,0.49,0.475,0.485,329600,0.485
2015-04-08,0.50,0.50,0.485,0.485,146200,0.485
2015-04-07,0.50,0.505,0.485,0.50,264400,0.50
2015-04-06,0.485,0.485,0.485,0.485,000,0.485
2015-04-03,0.485,0.485,0.485,0.485,000,0.485
2015-04-02,0.50,0.50,0.475,0.485,221800,0.485
2015-04-01,0.50,0.50,0.49,0.495,272500,0.495
2015-03-31,0.515,0.525,0.505,0.505,76500,0.505
2015-03-30,0.52,0.52,0.505,0.505,108400,0.505
