date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.44,3.49,3.43,3.46,48000,3.46
2015-06-29,3.40,3.51,3.375,3.49,112700,3.49
2015-06-26,3.47,3.49,3.37,3.38,215500,3.38
2015-06-25,3.39,3.525,3.38,3.45,211900,3.45
2015-06-24,3.30,3.39,3.27,3.39,118400,3.39
2015-06-23,3.42,3.45,3.26,3.31,144800,3.31
2015-06-22,3.41,3.44,3.35,3.39,114700,3.39
2015-06-19,3.34,3.41,3.27,3.41,331900,3.41
2015-06-18,3.35,3.36,3.32,3.35,110200,3.35
2015-06-17,3.31,3.37,3.28,3.37,136200,3.37
2015-06-16,3.28,3.32,3.28,3.31,95400,3.31
2015-06-15,3.32,3.32,3.26,3.26,41900,3.26
2015-06-12,3.33,3.33,3.24,3.32,60700,3.32
2015-06-11,3.34,3.34,3.27,3.29,93900,3.29
2015-06-10,3.23,3.35,3.23,3.34,202500,3.34
2015-06-09,3.26,3.26,3.22,3.24,46100,3.24
2015-06-08,3.27,3.27,3.27,3.27,000,3.27
2015-06-05,3.20,3.27,3.20,3.27,88600,3.27
2015-06-04,3.25,3.27,3.22,3.22,19100,3.22
2015-06-03,3.25,3.29,3.24,3.25,13000,3.25
2015-06-02,3.31,3.31,3.24,3.26,33700,3.26
2015-06-01,3.25,3.32,3.25,3.31,100100,3.31
2015-05-29,3.26,3.28,3.21,3.24,92600,3.24
2015-05-28,3.27,3.30,3.25,3.30,40600,3.30
2015-05-27,3.25,3.27,3.22,3.26,59500,3.26
2015-05-26,3.25,3.33,3.21,3.25,162900,3.25
2015-05-25,3.19,3.30,3.18,3.28,114700,3.28
2015-05-22,3.17,3.19,3.12,3.19,70700,3.19
2015-05-21,3.22,3.22,3.13,3.19,57300,3.19
2015-05-20,3.16,3.19,3.12,3.19,61000,3.19
2015-05-19,3.19,3.24,3.18,3.18,65900,3.18
2015-05-18,3.26,3.30,3.19,3.25,40500,3.25
2015-05-15,3.24,3.30,3.21,3.30,145800,3.30
2015-05-14,3.18,3.24,3.16,3.24,114000,3.24
2015-05-13,3.20,3.24,3.18,3.20,44400,3.20
2015-05-12,3.17,3.24,3.17,3.20,155500,3.20
2015-05-11,3.24,3.25,3.16,3.20,136800,3.20
2015-05-08,3.22,3.28,3.19,3.24,670900,3.24
2015-05-07,3.20,3.22,3.14,3.19,193700,3.19
2015-05-06,3.20,3.26,3.20,3.24,69900,3.24
2015-05-05,3.22,3.28,3.20,3.27,260300,3.27
2015-05-04,3.24,3.24,3.22,3.24,110100,3.24
2015-05-01,3.32,3.32,3.24,3.29,132600,3.29
2015-04-30,3.28,3.33,3.25,3.27,116900,3.27
2015-04-29,3.20,3.29,3.20,3.28,224200,3.28
2015-04-28,3.25,3.27,3.14,3.19,182900,3.19
2015-04-27,3.31,3.34,3.24,3.25,172700,3.25
2015-04-24,3.31,3.38,3.28,3.34,97000,3.34
2015-04-23,3.38,3.38,3.22,3.32,57300,3.32
2015-04-22,3.31,3.34,3.27,3.34,125700,3.34
2015-04-21,3.31,3.33,3.19,3.27,108700,3.27
2015-04-20,3.30,3.38,3.29,3.29,87700,3.29
2015-04-17,3.35,3.45,3.32,3.34,88800,3.34
2015-04-16,3.32,3.39,3.30,3.35,76000,3.35
2015-04-15,3.41,3.41,3.26,3.31,100600,3.31
2015-04-14,3.36,3.40,3.35,3.40,143500,3.40
2015-04-13,3.42,3.42,3.36,3.38,92000,3.38
2015-04-10,3.43,3.465,3.40,3.45,28800,3.45
2015-04-09,3.40,3.49,3.36,3.49,77700,3.49
2015-04-08,3.50,3.50,3.37,3.38,47700,3.38
2015-04-07,3.49,3.52,3.37,3.42,121000,3.42
2015-04-06,3.50,3.50,3.50,3.50,000,3.50
2015-04-03,3.50,3.50,3.50,3.50,000,3.50
2015-04-02,3.47,3.54,3.46,3.50,90900,3.50
2015-04-01,3.50,3.52,3.46,3.52,40300,3.52
2015-03-31,3.46,3.55,3.42,3.54,75300,3.54
2015-03-30,3.48,3.49,3.42,3.44,65500,3.44
2015-03-27,3.49,3.54,3.47,3.52,73600,3.52
2015-03-26,3.40,3.55,3.40,3.50,124700,3.50
2015-03-25,3.55,3.55,3.40,3.41,95400,3.41
2015-03-24,3.42,3.58,3.42,3.52,85500,3.52
2015-03-23,3.44,3.46,3.40,3.46,145800,3.46
2015-03-20,3.42,3.45,3.35,3.41,264200,3.41
2015-03-19,3.45,3.51,3.44,3.44,219000,3.44
2015-03-18,3.43,3.50,3.37,3.49,83400,3.49
2015-03-17,3.51,3.56,3.42,3.42,188500,3.32
2015-03-16,3.63,3.63,3.53,3.53,62900,3.42678
2015-03-13,3.65,3.65,3.50,3.57,56600,3.46561
2015-03-12,3.46,3.55,3.46,3.54,51700,3.43649
2015-03-11,3.55,3.58,3.49,3.50,338700,3.39766
2015-03-10,3.70,3.70,3.56,3.60,199100,3.49474
2015-03-09,3.64,3.72,3.60,3.72,67500,3.61123
2015-03-06,3.69,3.69,3.60,3.64,276300,3.53357
2015-03-05,3.70,3.72,3.63,3.68,142500,3.5724
2015-03-04,3.67,3.70,3.65,3.66,72000,3.55298
2015-03-03,3.71,3.77,3.70,3.74,108600,3.63064
2015-03-02,3.71,3.79,3.70,3.70,70200,3.59181
2015-02-27,3.71,3.77,3.70,3.77,150900,3.65977
2015-02-26,3.70,3.765,3.68,3.72,115900,3.61123
2015-02-25,3.73,3.75,3.70,3.72,145200,3.61123
2015-02-24,3.70,3.79,3.70,3.73,120100,3.62094
2015-02-23,3.84,3.89,3.71,3.71,180300,3.60152
2015-02-20,4.01,4.01,3.75,3.80,780100,3.68889
2015-02-19,3.90,4.14,3.82,3.95,904900,3.8345
2015-02-18,3.61,3.63,3.56,3.56,34900,3.45591
2015-02-17,3.62,3.65,3.59,3.65,44200,3.54327
2015-02-16,3.54,3.64,3.54,3.64,88200,3.53357
2015-02-13,3.50,3.59,3.50,3.54,69800,3.43649
2015-02-12,3.55,3.58,3.50,3.54,67500,3.43649
2015-02-11,3.51,3.58,3.51,3.58,7500,3.47532
2015-02-10,3.51,3.59,3.51,3.59,58200,3.48503
2015-02-09,3.57,3.57,3.50,3.51,35800,3.40737
2015-02-06,3.48,3.58,3.48,3.53,82200,3.42678
2015-02-05,3.49,3.50,3.47,3.47,61600,3.36854
2015-02-04,3.50,3.52,3.48,3.50,354600,3.39766
2015-02-03,3.54,3.54,3.43,3.50,178700,3.39766
2015-02-02,3.58,3.60,3.53,3.54,76200,3.43649
2015-01-30,3.58,3.60,3.50,3.60,98000,3.49474
2015-01-29,3.59,3.60,3.54,3.55,60500,3.4462
2015-01-28,3.58,3.60,3.56,3.60,30300,3.49474
2015-01-27,3.55,3.59,3.52,3.59,54000,3.48503
2015-01-26,3.56,3.56,3.56,3.56,000,3.45591
2015-01-23,3.55,3.57,3.51,3.56,49300,3.45591
2015-01-22,3.59,3.60,3.52,3.53,95200,3.42678
2015-01-21,3.59,3.59,3.55,3.58,69300,3.47532
2015-01-20,3.55,3.59,3.525,3.59,84700,3.48503
2015-01-19,3.58,3.59,3.55,3.58,43800,3.47532
2015-01-16,3.57,3.59,3.55,3.56,86400,3.45591
2015-01-15,3.59,3.61,3.58,3.60,25500,3.49474
2015-01-14,3.60,3.63,3.585,3.59,32000,3.48503
2015-01-13,3.60,3.60,3.575,3.59,103700,3.48503
2015-01-12,3.59,3.60,3.57,3.59,124300,3.48503
2015-01-09,3.59,3.60,3.53,3.59,92200,3.48503
2015-01-08,3.54,3.60,3.54,3.60,12800,3.49474
2015-01-07,3.59,3.59,3.41,3.56,73300,3.45591
2015-01-06,3.60,3.60,3.56,3.58,39200,3.47532
2015-01-05,3.60,3.62,3.57,3.60,35100,3.49474
2015-01-02,3.51,3.60,3.51,3.55,41000,3.4462
2015-01-01,3.53,3.53,3.53,3.53,000,3.42678
2014-12-31,3.47,3.53,3.47,3.53,10900,3.42678
2014-12-30,3.48,3.55,3.42,3.52,55200,3.41708
2014-12-29,3.45,3.54,3.42,3.48,25000,3.37825
2014-12-26,3.49,3.49,3.49,3.49,000,3.38795
2014-12-25,3.49,3.49,3.49,3.49,000,3.38795
2014-12-24,3.54,3.54,3.49,3.49,40200,3.38795
2014-12-23,3.49,3.50,3.40,3.49,157400,3.38795
2014-12-22,3.53,3.53,3.44,3.50,203300,3.39766
2014-12-19,3.43,3.56,3.42,3.56,339500,3.45591
2014-12-18,3.41,3.43,3.39,3.43,173200,3.32971
2014-12-17,3.40,3.45,3.35,3.39,119000,3.29088
2014-12-16,3.41,3.50,3.38,3.43,286000,3.32971
2014-12-15,3.42,3.42,3.29,3.42,122300,3.32
2014-12-12,3.44,3.49,3.42,3.44,235600,3.33942
2014-12-11,3.25,3.33,3.21,3.30,111100,3.20351
2014-12-10,3.30,3.33,3.25,3.33,51700,3.23263
2014-12-09,3.38,3.38,3.30,3.31,39400,3.21322
2014-12-08,3.34,3.45,3.33,3.35,60400,3.25205
2014-12-05,3.33,3.43,3.32,3.34,84300,3.24234
2014-12-04,3.44,3.44,3.31,3.34,76000,3.24234
2014-12-03,3.40,3.46,3.36,3.45,82500,3.34912
2014-12-02,3.42,3.51,3.39,3.45,162900,3.34912
2014-12-01,3.55,3.59,3.40,3.42,149500,3.32
2014-11-28,3.51,3.60,3.50,3.50,82000,3.39766
