date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.49,2.50,2.48,2.48,1124300,2.48
2015-06-29,2.49,2.50,2.47,2.48,1034600,2.48
2015-06-26,2.50,2.51,2.48,2.48,912700,2.48
2015-06-25,2.49,2.53,2.49,2.50,884900,2.50
2015-06-24,2.49,2.495,2.46,2.49,1202500,2.49
2015-06-23,2.55,2.56,2.48,2.48,1099900,2.48
2015-06-22,2.52,2.54,2.50,2.52,828600,2.52
2015-06-19,2.47,2.53,2.46,2.53,1347300,2.53
2015-06-18,2.45,2.48,2.43,2.44,1508800,2.44
2015-06-17,2.51,2.52,2.46,2.46,1380600,2.46
2015-06-16,2.51,2.52,2.48,2.51,789400,2.51
2015-06-15,2.50,2.50,2.48,2.50,1122500,2.50
2015-06-12,2.55,2.57,2.49,2.50,1963700,2.50
2015-06-11,2.64,2.65,2.55,2.55,2188200,2.55
2015-06-10,2.66,2.68,2.65,2.66,1577500,2.66
2015-06-09,2.67,2.69,2.65,2.66,2138100,2.66
2015-06-08,2.69,2.69,2.69,2.69,000,2.69
2015-06-05,2.64,2.69,2.64,2.69,1723500,2.69
2015-06-04,2.65,2.65,2.62,2.63,2857500,2.63
2015-06-03,2.65,2.66,2.625,2.64,2059300,2.64
2015-06-02,2.63,2.67,2.63,2.64,2979500,2.64
2015-06-01,2.56,2.59,2.55,2.57,1998400,2.57
2015-05-29,2.57,2.60,2.555,2.57,2218100,2.57
2015-05-28,2.50,2.59,2.50,2.59,2448900,2.59
2015-05-27,2.54,2.545,2.465,2.47,4133600,2.47
2015-05-26,2.58,2.585,2.54,2.55,2864700,2.55
2015-05-25,2.55,2.59,2.55,2.58,1677200,2.58
2015-05-22,2.58,2.59,2.545,2.55,1162800,2.55
2015-05-21,2.59,2.59,2.55,2.58,3510800,2.58
2015-05-20,2.60,2.63,2.59,2.61,1251100,2.61
2015-05-19,2.64,2.65,2.60,2.60,2017000,2.60
2015-05-18,2.70,2.72,2.66,2.66,4849300,2.66
2015-05-15,2.69,2.70,2.675,2.68,1733500,2.68
2015-05-14,2.65,2.68,2.64,2.67,2563100,2.67
2015-05-13,2.64,2.67,2.615,2.65,4728000,2.65
2015-05-12,2.64,2.68,2.62,2.67,894100,2.67
2015-05-11,2.68,2.68,2.63,2.66,949800,2.66
2015-05-08,2.71,2.73,2.68,2.68,534300,2.68
2015-05-07,2.73,2.74,2.68,2.71,979000,2.71
2015-05-06,2.80,2.80,2.745,2.76,1464800,2.76
2015-05-05,2.81,2.865,2.81,2.83,1338300,2.83
2015-05-04,2.85,2.85,2.81,2.82,1026100,2.82
2015-05-01,2.83,2.86,2.805,2.85,1146700,2.85
2015-04-30,2.77,2.83,2.75,2.81,1072300,2.81
2015-04-29,2.76,2.79,2.75,2.77,567600,2.77
2015-04-28,2.82,2.82,2.75,2.77,850700,2.77
2015-04-27,2.80,2.83,2.74,2.82,957400,2.82
2015-04-24,2.75,2.81,2.73,2.79,1023300,2.79
2015-04-23,2.80,2.815,2.73,2.75,4181300,2.75
2015-04-22,2.84,2.85,2.80,2.81,1318100,2.81
2015-04-21,2.89,2.91,2.82,2.82,1289700,2.82
2015-04-20,2.84,2.87,2.84,2.84,1524700,2.84
2015-04-17,2.87,2.89,2.83,2.84,732700,2.84
2015-04-16,2.90,2.90,2.83,2.88,1306000,2.88
2015-04-15,2.91,2.93,2.88,2.90,1168600,2.90
2015-04-14,2.92,2.93,2.89,2.92,442000,2.92
2015-04-13,2.95,2.97,2.915,2.93,635200,2.93
2015-04-10,2.90,2.95,2.87,2.94,770300,2.94
2015-04-09,2.94,2.94,2.87,2.90,880400,2.90
2015-04-08,3.00,3.00,2.92,2.93,1221700,2.93
