date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.70,0.73,0.69,0.73,228700,0.73
2015-06-29,0.71,0.73,0.68,0.70,391300,0.70
2015-06-26,0.74,0.745,0.715,0.73,207900,0.73
2015-06-25,0.74,0.745,0.715,0.72,1056800,0.72
2015-06-24,0.75,0.75,0.74,0.745,191100,0.745
2015-06-23,0.76,0.765,0.735,0.74,518900,0.74
2015-06-22,0.78,0.78,0.74,0.74,195400,0.74
2015-06-19,0.795,0.795,0.76,0.78,1095400,0.78
2015-06-18,0.775,0.79,0.775,0.78,1105700,0.78
2015-06-17,0.775,0.80,0.77,0.785,580300,0.785
2015-06-16,0.76,0.765,0.747,0.76,454100,0.76
2015-06-15,0.775,0.775,0.745,0.75,664800,0.75
2015-06-12,0.765,0.78,0.755,0.78,244800,0.78
2015-06-11,0.755,0.765,0.75,0.755,50900,0.755
2015-06-10,0.74,0.79,0.74,0.745,273100,0.745
2015-06-09,0.73,0.78,0.72,0.73,488300,0.73
2015-06-08,0.73,0.73,0.73,0.73,000,0.73
2015-06-05,0.75,0.755,0.72,0.73,850600,0.73
2015-06-04,0.755,0.76,0.71,0.72,344300,0.72
2015-06-03,0.795,0.81,0.745,0.765,322500,0.765
2015-06-02,0.80,0.815,0.785,0.81,184700,0.81
2015-06-01,0.80,0.805,0.78,0.78,413000,0.78
2015-05-29,0.775,0.79,0.75,0.79,108900,0.79
2015-05-28,0.80,0.80,0.775,0.78,204800,0.78
2015-05-27,0.80,0.805,0.78,0.80,288100,0.80
2015-05-26,0.78,0.80,0.772,0.80,887100,0.80
2015-05-25,0.76,0.78,0.76,0.78,180800,0.78
2015-05-22,0.78,0.80,0.745,0.765,286700,0.765
2015-05-21,0.75,0.77,0.75,0.76,280600,0.76
2015-05-20,0.77,0.77,0.74,0.76,426400,0.76
2015-05-19,0.84,0.845,0.77,0.79,384100,0.79
2015-05-18,0.82,0.84,0.78,0.84,338500,0.84
2015-05-15,0.80,0.82,0.77,0.82,925700,0.82
2015-05-14,0.77,0.80,0.77,0.795,251900,0.795
2015-05-13,0.765,0.805,0.76,0.77,1208900,0.77
2015-05-12,0.695,0.775,0.695,0.77,1018700,0.77
2015-05-11,0.73,0.73,0.68,0.70,541700,0.70
2015-05-08,0.71,0.73,0.67,0.73,824700,0.73
2015-05-07,0.685,0.72,0.68,0.705,981700,0.705
2015-05-06,0.655,0.68,0.64,0.68,1363800,0.68
2015-05-05,0.64,0.67,0.635,0.65,1800800,0.65
2015-05-04,0.635,0.635,0.61,0.625,494700,0.625
2015-05-01,0.57,0.625,0.56,0.605,977600,0.605
2015-04-30,0.55,0.58,0.53,0.58,1810200,0.58
2015-04-29,0.51,0.52,0.50,0.51,194500,0.51
2015-04-28,0.50,0.50,0.48,0.50,261800,0.50
2015-04-27,0.505,0.505,0.50,0.505,59400,0.505
2015-04-24,0.52,0.52,0.49,0.50,165400,0.50
2015-04-23,0.535,0.54,0.51,0.52,140500,0.52
2015-04-22,0.55,0.55,0.525,0.525,146500,0.525
2015-04-21,0.54,0.57,0.525,0.54,331900,0.54
2015-04-20,0.525,0.56,0.522,0.545,523900,0.545
2015-04-17,0.51,0.545,0.505,0.545,336800,0.545
2015-04-16,0.50,0.515,0.495,0.51,426400,0.51
2015-04-15,0.48,0.495,0.48,0.49,368400,0.49
2015-04-14,0.48,0.50,0.48,0.50,105600,0.50
2015-04-13,0.49,0.495,0.47,0.48,114400,0.48
2015-04-10,0.48,0.4875,0.475,0.485,49900,0.485
2015-04-09,0.515,0.515,0.475,0.48,458000,0.48
2015-04-08,0.50,0.52,0.50,0.51,658400,0.51
2015-04-07,0.465,0.48,0.455,0.48,204800,0.48
2015-04-06,0.47,0.47,0.47,0.47,000,0.47
2015-04-03,0.47,0.47,0.47,0.47,000,0.47
2015-04-02,0.47,0.475,0.46,0.47,164600,0.47
2015-04-01,0.445,0.475,0.44,0.47,588700,0.47
2015-03-31,0.44,0.45,0.44,0.44,137800,0.44
2015-03-30,0.44,0.455,0.44,0.44,398100,0.44
2015-03-27,0.45,0.45,0.43,0.445,437700,0.445
2015-03-26,0.45,0.45,0.435,0.435,345100,0.435
2015-03-25,0.45,0.45,0.44,0.44,139100,0.44
2015-03-24,0.455,0.46,0.445,0.445,282400,0.445
2015-03-23,0.435,0.485,0.435,0.455,362000,0.455
2015-03-20,0.43,0.435,0.43,0.435,88500,0.435
2015-03-19,0.435,0.44,0.43,0.43,187000,0.43
2015-03-18,0.45,0.455,0.43,0.44,285900,0.44
2015-03-17,0.44,0.46,0.44,0.45,538700,0.45
2015-03-16,0.467,0.467,0.45,0.45,332400,0.45
2015-03-13,0.48,0.485,0.465,0.465,96100,0.465
2015-03-12,0.48,0.48,0.462,0.465,54900,0.465
2015-03-11,0.50,0.505,0.465,0.465,160700,0.465
2015-03-10,0.49,0.50,0.485,0.50,1932200,0.50
2015-03-09,0.50,0.50,0.485,0.49,257100,0.49
2015-03-06,0.52,0.525,0.495,0.50,251900,0.50
2015-03-05,0.515,0.535,0.505,0.52,35500,0.52
2015-03-04,0.535,0.5375,0.505,0.515,416400,0.515
2015-03-03,0.52,0.53,0.515,0.515,202900,0.515
2015-03-02,0.52,0.535,0.51,0.515,156000,0.515
2015-02-27,0.51,0.54,0.51,0.515,177700,0.515
2015-02-26,0.54,0.54,0.515,0.52,89600,0.52
2015-02-25,0.53,0.545,0.52,0.54,201900,0.54
2015-02-24,0.545,0.545,0.515,0.525,115500,0.525
2015-02-23,0.535,0.55,0.535,0.54,188700,0.54
2015-02-20,0.55,0.55,0.53,0.54,130500,0.54
2015-02-19,0.545,0.55,0.52,0.535,164800,0.535
2015-02-18,0.535,0.565,0.535,0.545,735900,0.545
2015-02-17,0.515,0.545,0.515,0.54,411400,0.54
2015-02-16,0.48,0.52,0.48,0.515,250600,0.515
2015-02-13,0.49,0.505,0.47,0.48,173600,0.48
2015-02-12,0.50,0.515,0.495,0.495,78900,0.495
2015-02-11,0.51,0.52,0.495,0.50,216900,0.50
2015-02-10,0.53,0.53,0.505,0.52,200800,0.52
2015-02-09,0.49,0.545,0.49,0.54,808600,0.54
2015-02-06,0.49,0.50,0.47,0.50,137500,0.50
2015-02-05,0.47,0.49,0.465,0.49,106600,0.49
2015-02-04,0.45,0.48,0.445,0.48,458000,0.48
2015-02-03,0.475,0.475,0.445,0.47,195900,0.47
2015-02-02,0.465,0.475,0.455,0.475,78900,0.475
2015-01-30,0.465,0.465,0.45,0.465,83000,0.465
2015-01-29,0.445,0.46,0.435,0.46,167800,0.46
2015-01-28,0.44,0.445,0.43,0.445,160800,0.445
2015-01-27,0.46,0.48,0.437,0.445,884700,0.445
2015-01-26,0.48,0.48,0.48,0.48,000,0.48
2015-01-23,0.475,0.485,0.46,0.48,123700,0.48
2015-01-22,0.50,0.50,0.455,0.475,209200,0.475
2015-01-21,0.50,0.50,0.485,0.495,23700,0.495
2015-01-20,0.50,0.505,0.495,0.50,35000,0.50
2015-01-19,0.505,0.51,0.485,0.505,81200,0.505
2015-01-16,0.485,0.51,0.48,0.50,196000,0.50
2015-01-15,0.51,0.51,0.47,0.48,163600,0.48
2015-01-14,0.51,0.53,0.50,0.51,145100,0.51
2015-01-13,0.535,0.535,0.51,0.515,645500,0.515
2015-01-12,0.54,0.545,0.525,0.535,175700,0.535
2015-01-09,0.54,0.555,0.54,0.55,145900,0.55
2015-01-08,0.56,0.57,0.545,0.545,415100,0.545
2015-01-07,0.57,0.57,0.545,0.55,71500,0.55
2015-01-06,0.56,0.57,0.535,0.55,61700,0.55
2015-01-05,0.55,0.55,0.54,0.55,79800,0.55
2015-01-02,0.53,0.55,0.525,0.55,157500,0.55
2015-01-01,0.525,0.525,0.525,0.525,000,0.525
2014-12-31,0.505,0.53,0.505,0.525,139800,0.525
2014-12-30,0.52,0.52,0.505,0.505,49700,0.505
2014-12-29,0.52,0.52,0.51,0.515,89200,0.515
2014-12-26,0.52,0.52,0.52,0.52,000,0.52
2014-12-25,0.52,0.52,0.52,0.52,000,0.52
2014-12-24,0.515,0.525,0.50,0.52,59300,0.52
2014-12-23,0.51,0.515,0.50,0.515,152500,0.515
2014-12-22,0.52,0.525,0.50,0.51,153700,0.51
2014-12-19,0.52,0.53,0.50,0.52,161800,0.52
2014-12-18,0.485,0.52,0.485,0.52,389200,0.52
2014-12-17,0.45,0.485,0.445,0.485,555200,0.485
2014-12-16,0.415,0.445,0.41,0.445,440100,0.445
2014-12-15,0.44,0.45,0.42,0.42,222800,0.42
2014-12-12,0.46,0.46,0.44,0.445,132900,0.445
2014-12-11,0.465,0.47,0.43,0.455,636400,0.455
2014-12-10,0.485,0.49,0.465,0.475,441500,0.475
2014-12-09,0.50,0.505,0.47,0.485,463600,0.485
2014-12-08,0.505,0.515,0.50,0.50,69700,0.50
2014-12-05,0.50,0.52,0.48,0.52,378600,0.52
2014-12-04,0.52,0.52,0.51,0.52,140000,0.52
2014-12-03,0.48,0.52,0.48,0.52,322000,0.52
2014-12-02,0.49,0.50,0.48,0.48,613600,0.48
2014-12-01,0.505,0.5075,0.49,0.49,407500,0.49
2014-11-28,0.50,0.51,0.49,0.505,386700,0.505
2014-11-27,0.515,0.515,0.495,0.495,463000,0.495
2014-11-26,0.51,0.52,0.49,0.51,403700,0.51
2014-11-25,0.49,0.52,0.48,0.51,531400,0.51
2014-11-24,0.50,0.50,0.475,0.48,654200,0.48
2014-11-21,0.51,0.51,0.49,0.505,548200,0.505
2014-11-20,0.545,0.545,0.505,0.515,233700,0.515
2014-11-19,0.525,0.54,0.515,0.53,559400,0.53
2014-11-18,0.54,0.55,0.525,0.53,420200,0.53
2014-11-17,0.555,0.555,0.472,0.545,1953800,0.545
2014-11-14,0.57,0.58,0.55,0.55,485000,0.55
2014-11-13,0.59,0.595,0.545,0.565,917600,0.565
2014-11-12,0.61,0.615,0.575,0.585,1029400,0.585
2014-11-11,0.625,0.625,0.60,0.60,178000,0.60
2014-11-10,0.625,0.635,0.612,0.625,521400,0.625
2014-11-07,0.625,0.63,0.605,0.625,748000,0.625
2014-11-06,0.61,0.62,0.61,0.62,448100,0.62
2014-11-05,0.62,0.62,0.615,0.615,313500,0.615
2014-11-04,0.63,0.63,0.607,0.615,305000,0.615
