date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,28.52,29.11,28.50,29.05,320000,29.05
2015-06-29,29.01,29.49,28.80,28.89,295600,28.89
2015-06-26,29.46,30.35,29.21,29.68,234400,29.68
2015-06-25,30.08,30.08,29.42,29.49,166100,29.49
2015-06-24,30.58,30.98,30.08,30.20,174600,30.20
2015-06-23,30.45,31.28,30.24,30.66,291700,30.66
2015-06-22,30.00,30.58,29.91,30.29,217000,30.29
2015-06-19,29.58,30.14,29.41,29.97,367400,29.97
2015-06-18,29.31,29.45,29.00,29.33,274500,29.33
2015-06-17,29.81,29.86,29.26,29.58,199000,29.58
2015-06-16,28.90,30.17,28.89,29.71,330200,29.71
2015-06-15,29.25,29.25,28.80,29.20,215900,29.20
2015-06-12,29.00,29.77,28.90,29.20,243700,29.20
2015-06-11,29.38,29.435,28.93,29.18,299000,29.18
2015-06-10,28.56,29.57,28.37,29.28,277100,29.28
2015-06-09,28.41,29.65,27.92,29.20,347600,29.20
2015-06-08,29.04,29.04,29.04,29.04,000,29.04
2015-06-05,27.82,29.20,27.82,29.04,365100,29.04
2015-06-04,29.42,29.74,27.82,27.82,504100,27.82
2015-06-03,29.91,30.20,29.39,29.42,379000,29.42
2015-06-02,30.40,30.53,28.94,30.37,637500,30.37
2015-06-01,30.16,34.00,29.64,30.52,747500,30.52
2015-05-29,26.68,26.68,26.68,26.68,000,26.68
2015-05-28,27.05,27.27,26.65,26.68,215100,26.68
2015-05-27,27.50,27.50,26.50,26.93,248900,26.93
2015-05-26,27.00,27.58,26.79,27.40,224500,27.40
2015-05-25,27.14,27.63,26.86,27.17,353700,27.17
2015-05-22,28.61,28.70,27.50,27.55,300000,27.55
2015-05-21,27.85,28.50,27.80,28.40,517200,28.40
2015-05-20,26.35,27.86,26.22,27.54,525500,27.54
2015-05-19,27.00,27.60,26.54,26.79,714300,26.79
2015-05-18,28.00,28.44,26.89,27.10,766300,27.10
2015-05-15,26.36,29.25,26.36,28.00,1688600,28.00
2015-05-14,25.15,27.14,24.99,27.00,2985200,27.00
2015-05-13,19.55,19.99,19.24,19.98,353300,19.98
2015-05-12,19.01,19.71,18.75,19.68,358800,19.68
2015-05-11,19.95,19.95,18.95,19.05,485600,19.05
2015-05-08,19.80,20.18,19.80,19.97,328100,19.97
2015-05-07,19.25,19.84,18.54,19.68,574500,19.68
2015-05-06,20.00,20.16,19.36,19.54,743300,19.54
2015-05-05,20.43,21.00,20.02,20.36,502100,20.36
2015-05-04,21.02,21.30,20.40,20.47,504000,20.47
2015-05-01,21.04,21.11,20.66,20.88,472300,20.88
2015-04-30,21.80,21.80,20.94,21.25,554600,21.25
2015-04-29,23.00,23.20,22.08,22.12,368400,22.12
2015-04-28,23.40,23.40,22.81,22.91,264400,22.91
2015-04-27,23.25,23.55,22.96,23.45,182200,23.45
2015-04-24,23.20,23.48,22.60,23.15,323800,23.15
2015-04-23,23.00,23.84,22.50,23.13,359600,23.13
2015-04-22,24.30,24.30,22.66,22.96,410800,22.96
2015-04-21,24.26,25.16,23.54,23.80,412000,23.80
2015-04-20,24.00,24.00,23.27,23.54,361600,23.54
2015-04-17,25.00,25.35,24.01,24.18,339600,24.18
2015-04-16,25.00,25.45,23.17,24.99,587000,24.99
2015-04-15,26.72,26.72,24.56,24.82,784500,24.82
2015-04-14,25.02,26.76,24.86,26.34,601300,26.34
2015-04-13,23.80,24.72,23.59,24.65,393400,24.65
2015-04-10,23.06,23.50,23.00,23.39,436100,23.39
2015-04-09,21.70,22.92,21.70,22.89,595600,22.89
2015-04-08,21.29,21.69,21.28,21.66,362300,21.66
2015-04-07,21.10,21.23,21.00,21.03,262600,21.03
2015-04-06,21.00,21.00,21.00,21.00,000,21.00
2015-04-03,21.00,21.00,21.00,21.00,000,21.00
2015-04-02,20.82,21.36,20.74,21.00,439100,21.00
2015-04-01,20.71,21.01,20.665,20.73,422400,20.73
2015-03-31,20.80,21.17,20.59,20.80,497000,20.80
2015-03-30,20.15,20.64,19.79,20.43,392000,20.43
2015-03-27,19.95,20.665,19.86,20.17,691600,20.17
2015-03-26,21.24,21.24,20.00,20.02,1006800,20.02
2015-03-25,21.51,21.80,21.25,21.50,537800,21.50
2015-03-24,20.84,21.67,20.84,21.55,672500,21.55
2015-03-23,21.52,21.52,20.13,20.84,824800,20.84
2015-03-20,21.90,22.45,21.35,21.49,871000,21.49
2015-03-19,21.99,22.80,21.00,21.87,1432000,21.87
2015-03-18,18.55,23.01,18.29,20.95,3284400,20.95
2015-03-17,15.00,19.50,14.80,17.53,6970600,17.53
2015-03-16,39.00,39.00,39.00,39.00,000,39.00
2015-03-13,39.85,39.95,38.84,39.00,457800,39.00
2015-03-12,38.45,39.25,38.02,39.13,592800,39.13
2015-03-11,35.91,38.11,35.67,37.58,379200,37.58
2015-03-10,35.50,36.50,35.46,36.08,536100,36.08
2015-03-09,35.48,35.79,34.36,34.54,196200,34.54
2015-03-06,35.10,36.00,35.06,35.79,254700,35.79
2015-03-05,35.03,35.30,34.61,34.90,336500,34.90
2015-03-04,34.00,35.50,33.85,34.92,765000,34.92
2015-03-03,35.00,35.26,33.25,33.77,571300,33.77
2015-03-02,35.45,35.74,34.70,34.70,365800,34.70
2015-02-27,35.50,36.10,35.45,35.55,324800,35.55
2015-02-26,36.00,36.00,34.96,35.20,352200,35.20
2015-02-25,34.77,36.23,34.64,36.20,638000,36.20
2015-02-24,33.62,34.70,33.45,34.53,493500,34.53
2015-02-23,33.48,33.76,32.80,32.89,465500,32.89
2015-02-20,33.22,34.04,32.71,32.98,488600,32.98
2015-02-19,34.49,35.41,32.13,32.79,1056200,32.79
2015-02-18,30.28,34.12,30.11,33.81,1214500,33.81
2015-02-17,30.40,30.40,29.94,30.11,178100,30.11
2015-02-16,30.68,30.68,29.94,30.30,260400,30.30
2015-02-13,31.06,31.23,30.50,30.62,250700,30.62
2015-02-12,31.25,31.48,30.73,30.76,416600,30.76
2015-02-11,31.30,31.42,30.97,31.20,545700,31.20
2015-02-10,31.00,31.53,30.84,31.17,507800,31.17
2015-02-09,29.63,31.21,29.53,31.06,520100,31.06
2015-02-06,28.50,29.64,28.50,29.47,594200,29.47
2015-02-05,27.88,28.40,27.87,28.37,336500,28.37
2015-02-04,27.84,28.00,27.66,27.88,247800,27.88
2015-02-03,28.00,28.00,27.40,27.70,302000,27.70
2015-02-02,27.00,28.21,27.00,27.66,658100,27.66
2015-01-30,27.30,27.31,26.87,26.95,245400,26.95
2015-01-29,26.76,27.19,26.605,27.01,147200,27.01
2015-01-28,26.50,26.95,26.43,26.88,169500,26.88
2015-01-27,26.87,27.27,26.80,26.88,230600,26.88
2015-01-26,26.89,26.89,26.89,26.89,000,26.89
2015-01-23,26.80,27.13,26.58,26.89,185200,26.89
2015-01-22,27.00,27.30,26.36,26.45,110300,26.45
2015-01-21,27.00,27.39,26.81,26.95,206800,26.95
2015-01-20,26.64,26.93,26.30,26.85,211100,26.85
2015-01-19,26.78,26.92,26.48,26.70,134400,26.70
2015-01-16,27.08,27.14,26.06,26.71,269100,26.71
2015-01-15,27.48,27.77,27.04,27.50,194000,27.50
2015-01-14,28.00,28.19,27.65,27.79,118500,27.79
2015-01-13,27.85,28.30,27.79,28.09,108300,28.09
2015-01-12,27.86,28.10,27.59,28.02,92000,28.02
2015-01-09,28.00,28.29,27.86,28.00,225000,28.00
2015-01-08,27.81,28.00,27.45,27.62,152600,27.62
2015-01-07,28.00,28.13,27.41,27.63,211000,27.63
2015-01-06,28.35,28.52,28.00,28.26,153000,28.26
2015-01-05,28.56,28.90,28.38,28.47,170600,28.47
2015-01-02,28.40,28.84,28.33,28.51,47200,28.51
2015-01-01,28.37,28.37,28.37,28.37,000,28.37
2014-12-31,28.48,28.60,28.22,28.37,27500,28.37
2014-12-30,28.90,28.99,28.26,28.33,101600,28.33
2014-12-29,28.25,29.025,28.23,28.90,125400,28.90
2014-12-26,28.15,28.15,28.15,28.15,000,28.15
2014-12-25,28.15,28.15,28.15,28.15,000,28.15
2014-12-24,28.85,28.85,27.86,28.15,81400,28.15
2014-12-23,29.00,29.00,28.00,28.60,165300,28.60
2014-12-22,28.46,29.19,27.82,28.95,335200,28.95
2014-12-19,26.39,27.82,26.38,27.64,370100,27.64
2014-12-18,26.30,26.66,25.73,25.87,317100,25.87
2014-12-17,24.90,26.67,24.72,26.26,314300,26.26
2014-12-16,25.80,25.91,23.41,25.10,769900,25.10
2014-12-15,27.99,27.99,24.00,25.80,620600,25.80
2014-12-12,28.55,28.74,28.04,28.14,207000,28.14
2014-12-11,28.37,28.94,28.33,28.67,173400,28.67
2014-12-10,28.75,29.47,28.37,28.96,163800,28.96
2014-12-09,29.20,29.47,28.68,28.82,198500,28.82
2014-12-08,28.49,29.49,28.42,29.32,277600,29.32
2014-12-05,28.07,28.69,28.07,28.39,331700,28.39
2014-12-04,28.88,29.31,28.01,28.27,267400,28.27
2014-12-03,27.15,28.79,27.05,28.63,447100,28.63
2014-12-02,26.45,27.18,26.26,27.15,317700,27.15
2014-12-01,26.74,26.96,25.91,26.00,194900,26.00
2014-11-28,27.25,27.35,26.59,26.59,156900,26.59
2014-11-27,26.60,27.15,26.56,27.00,141500,27.00
2014-11-26,26.25,26.655,26.04,26.64,92800,26.64
2014-11-25,26.50,26.54,26.01,26.20,164000,26.20
2014-11-24,26.20,26.65,26.11,26.65,109400,26.65
2014-11-21,26.57,26.70,25.76,26.10,237100,26.10
2014-11-20,26.32,26.95,26.21,26.55,202600,26.55
2014-11-19,26.59,26.97,26.15,26.32,206100,26.32
2014-11-18,25.99,26.80,25.91,26.55,153400,26.55
2014-11-17,27.10,27.19,25.72,25.85,272900,25.85
2014-11-14,27.00,27.25,26.92,27.01,173200,27.01
2014-11-13,26.80,27.02,26.73,26.98,206400,26.98
2014-11-12,26.90,27.08,26.66,26.80,244600,26.80
2014-11-11,26.59,26.86,26.41,26.83,197500,26.83
2014-11-10,26.50,27.00,26.46,26.47,161300,26.47
2014-11-07,26.20,26.50,26.11,26.50,212300,26.50
2014-11-06,26.20,26.39,25.54,25.84,210300,25.84
2014-11-05,26.00,26.26,25.77,26.00,301100,26.00
2014-11-04,25.91,26.05,25.70,25.92,132300,25.92
2014-11-03,26.11,26.52,25.76,25.88,201400,25.88
2014-10-31,25.59,26.03,25.59,25.99,254200,25.99
2014-10-30,25.67,25.71,25.42,25.59,244700,25.59
2014-10-29,25.64,26.20,25.48,25.60,320500,25.60
2014-10-28,24.85,25.62,24.74,25.19,577000,25.19
2014-10-27,23.75,24.89,23.67,24.69,400100,24.69
2014-10-24,23.93,24.04,23.56,23.62,281100,23.62
2014-10-23,23.90,23.96,23.46,23.75,244100,23.75
2014-10-22,22.71,23.87,22.71,23.81,314800,23.81
2014-10-21,22.59,22.65,22.46,22.55,231200,22.55
2014-10-20,22.44,22.68,22.39,22.50,219900,22.50
2014-10-17,22.56,22.59,22.31,22.36,280900,22.36
2014-10-16,22.47,22.55,21.83,22.36,273500,22.36
2014-10-15,22.48,22.94,22.48,22.73,279200,22.73
2014-10-14,22.03,22.44,22.00,22.37,577200,22.37
2014-10-13,21.80,22.27,21.80,22.03,249100,22.03
2014-10-10,22.00,22.09,21.71,21.98,318800,21.98
2014-10-09,22.00,22.37,21.97,22.27,238400,22.27
2014-10-08,21.98,22.04,21.60,21.88,213800,21.88
2014-10-07,22.46,22.46,21.78,22.12,248200,22.12
2014-10-06,22.25,22.39,22.04,22.22,139600,22.22
2014-10-03,22.03,22.44,22.02,22.22,270900,22.08
2014-10-02,22.20,22.52,21.96,22.02,240600,21.683
2014-10-01,21.84,22.35,21.60,22.30,228600,21.958
2014-09-30,21.60,22.17,21.60,21.97,243000,21.633
2014-09-29,21.81,21.92,21.60,21.61,115900,21.279
2014-09-26,21.80,21.99,21.55,21.94,161700,21.604
2014-09-25,22.05,22.19,21.90,22.10,200500,21.761
2014-09-24,22.20,22.22,21.82,22.00,150600,21.663
2014-09-23,21.79,22.28,21.79,22.20,250700,21.86
2014-09-22,22.39,22.43,21.81,21.83,136400,21.495
2014-09-19,22.40,22.63,22.31,22.39,222200,22.047
2014-09-18,22.96,22.97,22.19,22.31,270800,21.968
2014-09-17,21.92,22.58,21.92,22.55,204500,22.204
2014-09-16,21.93,22.02,21.60,21.90,193000,21.564
2014-09-15,21.90,22.00,21.78,21.99,121500,21.653
2014-09-12,22.20,22.26,21.78,22.00,251200,21.663
2014-09-11,22.23,22.42,21.98,22.15,153200,21.811
2014-09-10,22.40,22.43,21.88,21.99,257400,21.653
2014-09-09,22.26,22.58,22.26,22.54,127600,22.195
2014-09-08,22.60,22.62,22.11,22.22,191100,21.879
2014-09-05,22.76,22.79,22.34,22.39,244200,22.047
2014-09-04,23.08,23.19,22.73,22.80,213000,22.451
2014-09-03,22.98,23.33,22.95,22.98,299000,22.628
2014-09-02,22.50,22.93,22.345,22.74,225900,22.391
2014-09-01,21.80,22.34,21.80,22.30,288600,21.958
2014-08-29,21.58,22.14,21.57,21.80,288200,21.466
2014-08-28,21.53,21.59,21.27,21.40,322300,21.072
2014-08-27,21.01,21.77,21.01,21.68,256100,21.348
2014-08-26,21.00,21.21,20.92,20.95,365600,20.629
2014-08-25,20.95,21.11,20.71,20.97,212800,20.649
2014-08-22,20.54,21.065,20.54,20.91,234500,20.59
2014-08-21,20.20,20.49,20.00,20.40,304600,20.087
2014-08-20,20.40,20.73,19.80,20.00,240600,19.693
2014-08-19,20.39,20.40,19.97,20.04,347300,19.733
2014-08-18,20.08,20.38,19.90,20.22,294400,19.91
2014-08-15,19.57,20.48,19.47,20.20,432500,19.89
2014-08-14,18.95,19.41,18.88,19.40,224700,19.103
2014-08-13,18.95,19.03,18.83,18.95,119200,18.66
2014-08-12,18.62,19.00,18.60,18.97,151700,18.679
2014-08-11,18.42,18.68,18.42,18.60,137700,18.315
2014-08-08,18.62,18.68,18.21,18.31,192900,18.029
2014-08-07,18.75,18.82,18.51,18.69,231000,18.404
2014-08-06,18.88,18.97,18.76,18.77,228000,18.482
2014-08-05,18.60,18.98,18.60,18.90,323800,18.61
2014-08-04,18.50,18.53,18.32,18.35,110200,18.069
2014-08-01,18.84,18.86,18.50,18.60,130900,18.315
2014-07-31,18.95,18.99,18.82,18.88,131600,18.591
2014-07-30,18.90,18.97,18.84,18.93,267600,18.64
2014-07-29,18.60,18.95,18.57,18.86,239000,18.571
2014-07-28,18.60,18.72,18.55,18.60,308500,18.315
2014-07-25,18.70,18.74,18.54,18.61,100400,18.325
2014-07-24,18.90,18.98,18.66,18.77,137600,18.482
2014-07-23,18.70,18.91,18.62,18.80,212200,18.512
2014-07-22,18.62,18.76,18.62,18.70,174600,18.413
2014-07-21,18.65,18.74,18.48,18.69,188600,18.404
2014-07-18,18.29,18.70,18.28,18.62,164300,18.335
2014-07-17,18.57,18.59,18.42,18.46,306000,18.177
2014-07-16,18.64,18.76,18.33,18.39,219700,18.108
2014-07-15,18.50,18.60,18.34,18.51,259300,18.226
2014-07-14,18.76,18.90,18.40,18.50,234500,18.216
2014-07-11,18.60,18.94,18.43,18.76,121400,18.472
2014-07-10,18.70,18.73,18.43,18.70,112400,18.413
2014-07-09,18.95,19.00,18.62,18.67,157900,18.384
2014-07-08,18.98,19.38,18.91,19.07,211500,18.778
2014-07-07,19.02,19.05,18.55,18.79,188000,18.502
2014-07-04,17.90,19.10,17.90,18.92,467400,18.63
2014-07-03,17.30,17.75,17.25,17.64,485600,17.37
2014-07-02,16.95,17.16,16.85,16.98,404300,16.72
2014-07-01,16.80,17.13,16.78,16.93,147700,16.671
2014-06-30,16.89,16.99,16.62,16.88,112500,16.621
2014-06-27,17.04,17.15,16.87,16.89,68600,16.631
2014-06-26,16.61,17.01,16.61,17.00,90100,16.739
2014-06-25,16.72,16.79,16.40,16.69,126000,16.434
2014-06-24,16.91,16.97,16.82,16.85,62400,16.592
2014-06-23,17.05,17.10,16.87,16.96,78700,16.70
2014-06-20,16.90,17.00,16.76,17.00,99900,16.739
2014-06-19,17.05,17.13,16.83,16.90,268900,16.641
2014-06-18,16.40,17.15,16.33,17.12,212000,16.858
2014-06-17,16.00,16.50,16.00,16.50,110600,16.247
2014-06-16,16.27,16.34,16.00,16.14,168600,15.893
2014-06-13,16.68,16.68,16.10,16.34,192700,16.09
2014-06-12,16.80,16.90,16.67,16.83,66600,16.572
2014-06-11,16.83,17.00,16.80,16.90,105700,16.641
2014-06-10,17.20,17.20,16.81,16.87,66200,16.611
2014-06-09,17.17,17.17,17.17,17.17,000,16.907
2014-06-06,16.80,17.20,16.80,17.17,142100,16.907
2014-06-05,16.86,16.90,16.70,16.80,134300,16.543
2014-06-04,17.00,17.03,16.85,16.91,106800,16.651
2014-06-03,17.20,17.20,16.77,16.92,179700,16.661
2014-06-02,17.20,17.36,17.06,17.19,225000,16.927
2014-05-30,17.20,17.22,17.07,17.20,368000,16.936
2014-05-29,17.12,17.21,17.02,17.11,84800,16.848
2014-05-28,17.20,17.24,16.95,16.98,180200,16.72
