date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.82,7.98,7.80,7.83,5709400,7.83
2015-06-29,7.98,7.98,7.86,7.94,4416200,7.94
2015-06-26,8.15,8.19,8.02,8.05,9041500,8.05
2015-06-25,8.32,8.35,8.21,8.22,3609100,8.22
2015-06-24,8.39,8.45,8.35,8.39,3894700,8.39
2015-06-23,8.30,8.39,8.21,8.35,4942200,8.35
2015-06-22,8.28,8.28,8.12,8.24,2755300,8.24
2015-06-19,8.35,8.44,8.245,8.36,7186300,8.36
2015-06-18,8.19,8.325,8.125,8.31,9067600,8.31
2015-06-17,8.05,8.17,7.95,8.16,3832600,8.16
2015-06-16,8.10,8.11,7.96,7.99,3035800,7.99
2015-06-15,8.22,8.235,8.09,8.12,3717800,8.12
2015-06-12,8.27,8.35,8.17,8.34,4852900,8.34
2015-06-11,8.17,8.28,8.16,8.27,4950400,8.27
2015-06-10,8.14,8.17,8.02,8.07,4064200,8.07
2015-06-09,7.82,8.14,7.80,8.00,3655300,8.00
2015-06-08,7.91,7.91,7.91,7.91,000,7.91
2015-06-05,7.96,7.97,7.79,7.91,3447900,7.91
2015-06-04,8.00,8.09,7.83,7.96,4549900,7.96
2015-06-03,8.10,8.19,7.98,8.00,4285000,8.00
2015-06-02,8.33,8.33,8.08,8.08,4379800,8.08
2015-06-01,8.35,8.38,8.17,8.32,3654900,8.32
2015-05-29,8.23,8.31,8.18,8.25,7970700,8.25
2015-05-28,8.22,8.23,8.11,8.17,3456000,8.17
2015-05-27,8.20,8.31,8.09,8.23,4174900,8.23
2015-05-26,8.33,8.45,8.31,8.35,3447200,8.35
2015-05-25,8.16,8.35,8.15,8.27,3988900,8.27
2015-05-22,8.07,8.16,8.00,8.09,3997700,8.09
2015-05-21,7.88,7.94,7.75,7.91,5894400,7.91
2015-05-20,7.99,7.99,7.71,7.78,8355400,7.78
2015-05-19,8.25,8.25,8.01,8.09,7342000,8.09
2015-05-18,8.43,8.47,8.20,8.20,5249300,8.20
2015-05-15,8.70,8.71,8.37,8.46,5091200,8.46
2015-05-14,8.73,8.75,8.58,8.63,3680700,8.63
2015-05-13,8.80,8.95,8.705,8.71,5726700,8.71
2015-05-12,8.71,8.76,8.65,8.66,4386800,8.66
2015-05-11,8.72,8.77,8.59,8.59,5106900,8.59
2015-05-08,8.85,8.90,8.55,8.59,10098500,8.59
2015-05-07,9.08,9.18,8.88,9.03,9569300,9.03
2015-05-06,8.85,9.18,8.79,9.10,8500200,9.10
2015-05-05,8.76,8.89,8.72,8.76,6734800,8.76
2015-05-04,8.49,8.70,8.47,8.65,6677300,8.65
2015-05-01,8.41,8.48,8.37,8.39,5848800,8.39
2015-04-30,8.35,8.52,8.16,8.30,9505400,8.30
2015-04-29,8.36,8.41,8.21,8.28,6398000,8.28
2015-04-28,8.30,8.50,8.25,8.30,8077300,8.30
2015-04-27,8.08,8.36,8.07,8.35,12758400,8.35
