date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,51.52,51.55,50.57,50.75,269100,50.75
2015-06-26,52.01,52.37,51.62,52.20,652200,52.20
2015-06-25,53.63,53.63,53.21,53.21,346100,53.21
2015-06-24,53.77,53.93,53.66,53.78,131700,53.78
2015-06-23,53.44,53.78,53.44,53.67,173900,53.67
2015-06-22,52.86,53.03,52.55,53.03,87000,53.03
2015-06-19,52.70,53.05,52.64,52.85,186800,52.85
2015-06-18,52.85,52.85,51.91,52.13,94600,52.13
2015-06-17,52.59,52.97,52.59,52.88,124900,52.88
2015-06-16,52.41,52.67,52.20,52.30,242900,52.30
2015-06-15,52.09,52.31,51.85,52.27,256300,52.27
2015-06-12,52.49,52.49,52.18,52.36,160900,52.36
2015-06-11,52.13,52.50,52.03,52.43,116800,52.43
2015-06-10,51.72,51.79,51.50,51.77,153800,51.77
2015-06-09,51.98,52.18,51.61,51.65,126300,51.65
2015-06-05,51.84,52.21,51.64,51.97,125100,51.97
2015-06-04,52.92,52.92,51.96,52.01,157100,52.01
2015-06-03,53.11,53.11,52.63,52.66,369500,52.66
2015-06-02,54.31,54.48,53.23,53.23,362800,53.23
2015-06-01,54.28,54.34,53.64,54.13,112400,54.13
2015-05-29,54.26,54.92,54.23,54.63,609700,54.63
2015-05-28,54.40,54.40,53.74,53.96,351600,53.96
2015-05-27,54.23,54.31,53.95,54.09,204600,54.09
2015-05-26,54.08,54.55,54.08,54.50,115400,54.50
2015-05-25,53.53,54.19,53.53,54.00,85100,54.00
2015-05-22,53.77,53.77,53.43,53.54,55200,53.54
2015-05-21,53.05,53.55,53.05,53.46,118200,53.46
2015-05-20,53.00,53.10,52.68,53.01,149700,53.01
2015-05-19,53.66,53.66,53.00,53.17,154200,53.17
2015-05-18,54.10,54.37,53.39,53.39,63100,53.39
2015-05-15,54.18,54.29,53.82,54.09,82500,54.09
2015-05-14,53.64,53.68,53.35,53.68,40700,53.68
2015-05-13,53.59,53.89,53.44,53.88,190100,53.88
2015-05-12,52.84,53.46,52.70,53.32,81100,53.32
2015-05-11,53.40,53.60,52.69,52.70,74300,52.70
2015-05-08,53.26,53.43,52.82,52.94,278100,52.94
2015-05-07,53.00,53.08,52.46,52.81,161300,52.81
2015-05-06,54.12,54.15,53.45,53.45,166900,53.45
2015-05-05,55.19,55.47,54.46,54.64,154400,54.64
2015-05-04,54.71,54.93,54.39,54.66,90600,54.66
2015-05-01,54.28,54.65,54.11,54.58,183600,54.58
2015-04-30,54.37,54.45,53.97,54.38,166500,54.38
2015-04-29,55.66,55.71,54.81,54.81,91500,54.81
2015-04-28,56.29,56.29,55.87,55.87,111200,55.87
2015-04-27,55.86,56.24,55.86,56.24,147100,56.24
2015-04-24,55.21,55.77,55.21,55.74,294900,55.74
2015-04-23,54.85,54.95,54.69,54.82,74800,54.82
2015-04-22,55.15,55.16,54.60,54.72,36200,54.72
2015-04-21,55.26,55.34,54.98,55.09,86500,55.09
2015-04-20,54.99,54.99,54.55,54.84,201000,54.84
2015-04-17,55.82,55.82,55.08,55.16,73400,55.16
2015-04-16,55.85,56.04,55.68,55.84,52900,55.84
2015-04-15,55.88,55.96,55.31,55.48,82100,55.48
2015-04-14,55.85,55.89,55.66,55.79,97100,55.79
2015-04-10,55.95,56.05,55.66,55.98,29900,55.98
2015-04-09,56.05,56.05,55.66,55.67,77200,55.67
2015-04-08,55.64,56.13,55.64,56.00,74100,56.00
2015-04-07,55.76,56.15,55.32,55.55,123900,55.55
2015-04-02,55.14,55.43,54.58,55.31,52900,55.31
2015-04-01,54.92,55.31,54.83,55.04,187400,55.04
2015-03-31,55.50,55.72,55.27,55.36,126400,55.36
2015-03-30,55.20,55.21,54.66,54.82,197000,54.82
2015-03-27,55.06,55.74,55.06,55.57,40900,55.57
2015-03-26,55.67,55.67,55.15,55.15,82700,55.15
2015-03-25,56.00,56.24,55.95,56.11,67100,56.11
2015-03-24,55.86,56.15,55.86,56.06,56600,56.06
2015-03-23,56.17,56.27,55.82,55.92,72500,55.92
2015-03-20,55.76,56.17,55.74,56.17,143800,56.17
2015-03-19,55.30,55.90,55.30,55.82,532200,55.82
2015-03-18,54.67,54.79,54.43,54.76,67700,54.76
2015-03-17,54.90,55.01,54.73,54.78,161800,54.78
2015-03-16,54.38,54.52,54.05,54.43,38300,54.43
2015-03-13,54.95,54.98,54.33,54.50,38200,54.50
2015-03-12,54.17,54.92,54.17,54.92,99900,54.92
2015-03-11,54.16,54.43,53.90,54.27,59700,54.27
2015-03-10,54.76,54.79,54.36,54.61,141500,54.61
2015-03-09,54.90,54.90,54.40,54.43,70100,54.43
2015-03-06,55.47,55.53,54.94,55.14,63000,55.14
2015-03-05,55.07,55.28,54.90,55.28,237100,55.28
2015-03-04,55.63,55.63,55.13,55.20,137400,55.20
2015-03-03,55.85,56.09,55.22,55.45,106600,55.45
2015-03-02,55.48,55.94,55.37,55.62,109100,55.62
2015-02-27,55.24,55.55,54.84,55.42,67900,55.42
2015-02-26,55.43,55.43,55.05,55.11,99900,55.11
2015-02-25,55.28,55.59,55.21,55.43,98800,55.43
2015-02-24,55.02,55.22,54.80,55.21,63400,55.21
2015-02-23,54.86,55.01,54.59,54.94,61600,54.94
2015-02-20,55.01,55.01,54.58,54.63,44500,54.63
2015-02-19,55.00,55.31,54.75,54.93,141300,54.93
2015-02-18,54.79,54.98,54.43,54.91,153900,54.91
2015-02-17,54.37,54.64,54.27,54.41,191600,54.41
2015-02-16,54.61,54.71,54.15,54.58,109500,54.58
2015-02-13,53.75,54.65,53.75,54.53,450300,54.53
2015-02-12,53.92,53.92,53.22,53.35,93200,53.35
2015-02-11,54.00,54.00,53.37,53.51,64400,53.51
2015-02-10,54.01,54.01,53.58,53.78,40300,53.78
2015-02-09,53.79,53.92,53.57,53.92,129900,53.92
2015-02-06,54.03,54.26,53.83,53.89,245700,53.89
2015-02-05,53.52,53.94,53.36,53.88,182500,53.88
2015-02-04,53.54,53.80,53.18,53.52,200400,53.52
2015-02-03,52.39,52.99,52.17,52.82,490100,52.82
2015-02-02,51.84,52.29,51.80,52.08,103000,52.08
2015-01-30,51.81,52.10,51.79,51.82,175800,51.82
2015-01-29,51.19,51.69,51.09,51.57,115000,51.57
2015-01-28,51.18,51.53,51.14,51.44,59800,51.44
2015-01-27,51.04,51.47,50.99,51.32,222700,51.32
2015-01-23,50.78,51.00,50.66,51.00,126800,51.00
2015-01-22,50.31,50.45,50.11,50.20,149100,50.20
2015-01-21,49.50,50.00,49.48,49.98,48700,49.98
2015-01-16,49.20,49.39,48.80,49.08,135600,49.08
2015-01-15,49.51,49.51,49.12,49.39,47000,49.39
2015-01-14,50.00,50.09,49.53,49.60,36000,49.60
2015-01-13,49.91,50.22,49.79,49.99,117500,49.99
2015-01-12,50.26,50.51,50.24,50.28,55600,50.28
2015-01-09,49.93,50.69,49.93,50.69,46800,50.69
2015-01-08,49.90,50.05,49.74,49.77,83400,49.77
2015-01-07,49.88,49.88,49.30,49.63,58200,49.63
2015-01-06,50.18,50.18,49.46,49.77,232400,49.77
2015-01-05,50.69,50.73,50.32,50.65,42600,50.65
2015-01-02,50.03,50.40,50.03,50.40,84800,50.40
2014-12-30,50.90,50.90,50.23,50.25,78000,50.25
2014-12-29,50.98,50.98,50.21,50.90,82200,50.90
2014-12-24,51.24,51.45,50.96,51.27,66100,50.012
2014-12-23,52.10,52.20,51.10,51.20,235900,49.943
2014-12-22,50.97,51.69,50.96,51.69,109200,50.421
2014-12-19,50.26,50.76,50.05,50.61,137800,49.368
2014-12-18,49.41,50.00,49.31,49.50,122600,48.285
2014-12-17,48.96,49.27,48.91,49.00,121600,47.797
2014-12-16,48.95,49.11,48.78,48.89,174200,47.69
2014-12-15,49.00,49.41,48.85,49.15,296300,47.944
2014-12-12,49.45,49.74,49.37,49.51,87300,48.295
2014-12-11,49.25,49.79,49.16,49.67,100400,48.451
2014-12-10,50.17,50.17,49.52,49.94,186700,48.714
2014-12-09,50.57,50.76,50.16,50.19,121200,48.958
2014-12-08,50.86,51.30,50.86,50.98,129300,49.729
2014-12-05,50.88,51.15,50.37,50.61,56300,49.368
2014-12-04,50.64,51.00,50.64,50.93,101600,49.68
2014-12-03,50.02,50.60,49.88,50.50,125000,49.26
2014-12-02,49.71,50.19,49.43,50.10,166000,48.87
2014-12-01,50.43,50.49,49.41,49.43,151400,48.217
2014-11-28,51.09,51.09,50.41,50.46,80700,49.221
