date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,9.10,9.20,9.01,9.14,784500,9.14
2015-06-29,9.11,9.24,9.04,9.21,1010300,9.21
2015-06-26,9.50,9.53,9.38,9.40,654700,9.40
2015-06-25,9.82,9.83,9.58,9.60,830800,9.60
2015-06-24,9.76,9.93,9.71,9.80,567800,9.80
2015-06-23,9.99,10.06,9.74,9.77,718100,9.77
2015-06-22,9.79,9.94,9.69,9.88,556000,9.88
2015-06-19,9.80,9.91,9.70,9.71,925600,9.71
2015-06-18,9.87,9.98,9.67,9.72,889200,9.72
2015-06-17,9.97,10.06,9.93,9.98,592600,9.98
2015-06-16,10.07,10.09,9.92,9.94,578400,9.94
2015-06-15,10.04,10.11,10.00,10.02,343500,10.02
2015-06-12,10.07,10.16,10.02,10.04,399500,10.04
2015-06-11,9.86,10.09,9.86,10.07,661100,10.07
2015-06-10,9.87,9.90,9.78,9.80,797000,9.80
2015-06-09,9.91,10.10,9.88,9.92,904800,9.92
2015-06-08,9.98,9.98,9.98,9.98,000,9.98
2015-06-05,9.86,10.11,9.80,9.98,1087600,9.98
2015-06-04,10.18,10.23,9.89,9.89,649300,9.89
2015-06-03,10.12,10.30,10.01,10.14,804700,10.14
2015-06-02,10.61,10.63,10.33,10.41,831200,10.41
2015-06-01,10.67,10.70,10.45,10.52,558500,10.52
2015-05-29,10.82,10.89,10.70,10.70,804100,10.70
2015-05-28,10.89,10.89,10.74,10.80,841100,10.80
2015-05-27,10.85,10.91,10.77,10.82,928900,10.82
2015-05-26,10.71,10.96,10.71,10.85,1017100,10.85
2015-05-25,10.76,10.92,10.66,10.69,356000,10.69
2015-05-22,10.65,10.90,10.64,10.81,715200,10.81
2015-05-21,10.43,10.62,10.42,10.58,503300,10.58
2015-05-20,10.46,10.58,10.45,10.49,484600,10.49
2015-05-19,10.45,10.57,10.40,10.56,1017900,10.56
2015-05-18,10.58,10.59,10.27,10.44,668400,10.44
2015-05-15,10.55,10.66,10.46,10.56,694900,10.56
2015-05-14,10.16,10.48,10.00,10.45,844600,10.45
2015-05-13,9.78,10.27,9.76,10.27,1418900,10.27
2015-05-12,9.75,9.92,9.67,9.83,1009800,9.83
2015-05-11,9.90,10.09,9.87,9.92,521100,9.92
2015-05-08,9.79,10.20,9.76,9.90,691200,9.90
2015-05-07,9.50,9.94,9.50,9.88,842400,9.88
2015-05-06,9.80,9.92,9.77,9.89,577700,9.89
2015-05-05,9.90,10.11,9.90,9.98,736200,9.98
2015-05-04,9.75,9.89,9.74,9.80,530400,9.80
2015-05-01,9.75,9.765,9.56,9.75,327500,9.75
2015-04-30,9.88,9.96,9.83,9.88,497800,9.88
2015-04-29,9.98,10.09,9.97,10.07,470700,10.07
2015-04-28,10.01,10.08,9.95,10.00,502100,10.00
2015-04-27,9.85,10.06,9.78,9.99,973400,9.99
2015-04-24,9.90,10.00,9.83,9.85,364900,9.85
2015-04-23,9.79,9.86,9.65,9.79,296400,9.79
2015-04-22,9.84,9.91,9.73,9.79,695600,9.79
2015-04-21,9.79,9.85,9.73,9.80,433400,9.80
2015-04-20,9.98,10.00,9.76,9.84,486300,9.84
2015-04-17,10.19,10.25,9.93,10.04,475300,10.04
2015-04-16,10.20,10.28,10.14,10.23,719500,10.23
2015-04-15,10.13,10.18,9.94,10.00,544200,10.00
2015-04-14,10.17,10.24,10.10,10.18,268700,10.18
2015-04-13,10.25,10.36,10.22,10.25,694300,10.25
2015-04-10,10.33,10.33,10.17,10.30,504700,10.30
2015-04-09,10.36,10.47,10.25,10.30,325000,10.30
2015-04-08,10.05,10.28,10.05,10.28,838700,10.28
2015-04-07,9.90,10.04,9.90,10.00,918000,10.00
2015-04-06,9.85,9.85,9.85,9.85,000,9.85
2015-04-03,9.85,9.85,9.85,9.85,000,9.85
2015-04-02,9.70,9.89,9.57,9.85,600300,9.85
2015-04-01,9.61,9.75,9.60,9.67,962600,9.67
2015-03-31,9.42,9.76,9.42,9.61,1257300,9.61
2015-03-30,9.24,9.42,9.24,9.37,2685100,9.37
2015-03-27,9.23,9.55,9.20,9.44,370400,9.44
2015-03-26,9.15,9.43,9.09,9.42,516600,9.42
2015-03-25,9.40,9.40,9.27,9.30,948500,9.30
2015-03-24,9.31,9.505,9.31,9.39,199400,9.39
2015-03-23,9.42,9.47,9.29,9.39,217000,9.39
2015-03-20,9.50,9.53,9.44,9.50,484600,9.50
2015-03-19,9.69,9.70,9.46,9.50,790400,9.50
2015-03-18,9.56,9.71,9.43,9.70,567700,9.70
2015-03-17,9.48,9.63,9.35,9.61,986300,9.61
2015-03-16,9.36,9.48,9.29,9.41,473600,9.41
2015-03-13,9.25,9.38,9.19,9.36,887200,9.36
2015-03-12,9.12,9.36,9.12,9.28,422100,9.28
2015-03-11,9.16,9.18,9.00,9.10,499600,9.10
2015-03-10,9.32,9.37,9.09,9.20,416000,9.20
2015-03-09,9.32,9.41,9.26,9.35,397500,9.35
2015-03-06,9.32,9.45,9.22,9.43,542000,9.43
2015-03-05,9.23,9.32,9.13,9.32,540000,9.32
2015-03-04,9.41,9.52,9.17,9.25,1178300,9.25
2015-03-03,9.60,9.62,9.295,9.44,1863500,9.44
2015-03-02,9.69,9.70,9.48,9.57,783300,9.57
2015-02-27,9.74,9.78,9.64,9.65,1005300,9.65
2015-02-26,9.86,9.87,9.65,9.80,1287500,9.80
2015-02-25,9.83,10.23,9.735,10.05,1122700,9.78571
2015-02-24,9.81,9.85,9.75,9.80,1146100,9.54229
