date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,13.25,13.45,13.25,13.43,5169500,13.43
2015-06-29,13.39,13.46,13.30,13.33,2791800,13.33
2015-06-26,13.58,13.64,13.51,13.60,4147500,13.60
2015-06-25,13.76,13.76,13.68,13.71,2098900,13.71
2015-06-24,13.82,13.86,13.75,13.75,3291300,13.75
2015-06-23,13.73,13.89,13.67,13.82,5189500,13.82
2015-06-22,13.45,13.65,13.415,13.61,3814200,13.61
2015-06-19,13.51,13.54,13.43,13.49,6751100,13.49
2015-06-18,13.63,13.64,13.29,13.41,4935300,13.41
2015-06-17,13.62,13.70,13.51,13.65,3324700,13.65
2015-06-16,13.56,13.715,13.48,13.50,3662000,13.50
2015-06-15,13.30,13.43,13.23,13.39,2195100,13.39
2015-06-12,13.36,13.38,13.28,13.36,2177000,13.36
2015-06-11,13.16,13.38,13.12,13.35,3061600,13.35
2015-06-10,13.17,13.18,13.01,13.12,2365700,13.12
2015-06-09,13.06,13.27,13.05,13.15,3554900,13.15
2015-06-08,13.16,13.16,13.16,13.16,000,13.16
2015-06-05,13.26,13.31,13.07,13.16,3170800,13.16
2015-06-04,13.39,13.39,13.095,13.24,4255800,13.24
2015-06-03,13.25,13.31,13.12,13.21,3042900,13.21
2015-06-02,13.51,13.51,13.25,13.30,2898900,13.30
2015-06-01,13.40,13.44,13.26,13.40,2369000,13.40
2015-05-29,13.41,13.63,13.40,13.53,7069800,13.53
2015-05-28,13.50,13.50,13.26,13.42,3272600,13.42
2015-05-27,13.40,13.44,13.32,13.42,2892900,13.42
2015-05-26,13.26,13.40,13.21,13.40,2329900,13.40
2015-05-25,13.18,13.335,13.125,13.22,1798000,13.22
2015-05-22,13.16,13.17,13.08,13.12,1958900,13.12
2015-05-21,13.07,13.16,13.02,13.10,3239800,13.10
2015-05-20,13.16,13.20,13.00,13.08,2923700,13.08
2015-05-19,13.33,13.33,13.07,13.16,4355900,13.16
2015-05-18,13.38,13.48,13.22,13.22,2488800,13.22
2015-05-15,13.57,13.57,13.37,13.45,2535200,13.45
2015-05-14,13.33,13.48,13.30,13.45,3605800,13.45
2015-05-13,13.15,13.36,13.11,13.35,3754600,13.35
2015-05-12,13.01,13.25,12.99,13.17,4174100,13.17
2015-05-11,13.12,13.13,12.92,12.94,2865700,12.94
2015-05-08,13.09,13.13,12.95,12.95,3198700,12.95
2015-05-07,12.80,13.03,12.68,12.97,5539900,12.97
2015-05-06,13.02,13.09,12.90,12.90,4522200,12.90
2015-05-05,13.09,13.23,13.00,13.12,5276200,13.12
2015-05-04,13.01,13.13,12.92,12.97,3272300,12.97
2015-05-01,13.20,13.21,13.03,13.05,3964600,13.05
2015-04-30,13.16,13.18,13.025,13.115,4050500,13.115
2015-04-29,13.30,13.33,13.16,13.16,7489300,13.16
2015-04-28,13.50,13.62,13.40,13.51,3763300,13.51
2015-04-27,13.75,13.78,13.58,13.62,3866200,13.62
2015-04-24,13.75,13.86,13.71,13.80,2558800,13.80
2015-04-23,13.70,13.73,13.60,13.68,3154600,13.68
2015-04-22,13.74,13.75,13.57,13.71,4203400,13.71
2015-04-21,14.08,14.10,13.84,13.87,2905300,13.87
2015-04-20,13.80,13.91,13.75,13.90,2506100,13.90
2015-04-17,14.20,14.20,13.86,13.93,3229200,13.93
2015-04-16,14.06,14.22,14.06,14.18,4249500,14.18
2015-04-15,13.95,14.02,13.88,14.00,6600500,14.00
2015-04-14,13.61,13.91,13.60,13.84,4394300,13.84
2015-04-13,13.60,13.64,13.51,13.57,2473600,13.57
2015-04-10,13.48,13.55,13.32,13.42,3414400,13.42
2015-04-09,13.50,13.65,13.37,13.38,2734200,13.38
2015-04-08,13.58,13.67,13.42,13.44,3975300,13.44
2015-04-07,13.81,13.82,13.48,13.55,3986000,13.55
2015-04-06,13.68,13.68,13.68,13.68,000,13.68
2015-04-03,13.68,13.68,13.68,13.68,000,13.68
2015-04-02,13.65,13.77,13.54,13.68,2629100,13.68
2015-04-01,13.50,13.52,13.415,13.52,4419600,13.52
2015-03-31,13.57,13.63,13.44,13.50,3151500,13.50
2015-03-30,13.63,13.655,13.415,13.49,3842800,13.49
2015-03-27,13.72,13.75,13.555,13.74,7801400,13.74
2015-03-26,13.75,13.75,13.60,13.61,4697100,13.61
2015-03-25,13.83,13.94,13.77,13.81,5803900,13.81
2015-03-24,13.82,13.87,13.74,13.76,2665100,13.76
2015-03-23,13.80,13.84,13.68,13.75,2217300,13.75
2015-03-20,13.73,13.87,13.73,13.82,6325000,13.82
2015-03-19,13.69,13.76,13.61,13.73,4280400,13.73
2015-03-18,13.48,13.53,13.34,13.48,5070700,13.48
