date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.14,6.56,6.12,6.54,679700,6.54
2015-06-29,6.25,6.25,6.12,6.21,444700,6.21
2015-06-26,6.38,6.41,6.12,6.39,588300,6.39
2015-06-25,6.60,6.60,6.44,6.45,206600,6.45
2015-06-24,6.61,6.76,6.55,6.59,463600,6.59
2015-06-23,6.64,6.83,6.62,6.66,506900,6.66
2015-06-22,6.48,6.56,6.37,6.55,261000,6.55
2015-06-19,6.41,6.59,6.40,6.50,685400,6.50
2015-06-18,6.48,6.50,6.35,6.39,471300,6.39
2015-06-17,6.44,6.55,6.36,6.54,410900,6.54
2015-06-16,6.73,6.73,6.38,6.41,402600,6.41
2015-06-15,6.73,6.76,6.64,6.67,230300,6.67
2015-06-12,6.68,6.80,6.62,6.74,313200,6.74
2015-06-11,6.60,6.80,6.60,6.69,353100,6.69
2015-06-10,6.42,6.63,6.40,6.62,366100,6.62
2015-06-09,6.70,6.72,6.59,6.61,356900,6.61
2015-06-08,6.71,6.71,6.71,6.71,000,6.71
2015-06-05,6.69,6.805,6.60,6.71,281600,6.71
2015-06-04,6.93,6.96,6.70,6.72,340700,6.72
2015-06-03,6.98,6.98,6.81,6.93,347700,6.93
2015-06-02,7.21,7.23,6.955,7.01,528900,7.01
2015-06-01,7.60,7.60,7.11,7.16,705900,7.16
2015-05-29,7.60,7.73,7.59,7.63,356400,7.63
2015-05-28,7.54,7.62,7.50,7.58,415400,7.58
2015-05-27,7.41,7.56,7.35,7.54,235000,7.54
2015-05-26,7.26,7.48,7.26,7.48,600600,7.48
2015-05-25,7.18,7.27,7.14,7.24,334300,7.24
2015-05-22,7.18,7.36,7.17,7.19,325600,7.19
2015-05-21,7.08,7.15,7.02,7.15,482200,7.15
2015-05-20,7.17,7.20,6.97,7.03,470100,7.03
2015-05-19,7.34,7.35,7.14,7.17,433600,7.17
2015-05-18,7.26,7.40,7.23,7.33,689100,7.33
2015-05-15,7.30,7.35,7.19,7.24,473800,7.24
2015-05-14,7.18,7.32,7.16,7.28,603600,7.28
2015-05-13,7.21,7.34,7.20,7.24,525200,7.24
2015-05-12,7.24,7.34,7.11,7.27,663700,7.27
2015-05-11,7.20,7.40,7.20,7.30,451900,7.30
2015-05-08,7.26,7.38,7.18,7.20,360000,7.20
2015-05-07,7.19,7.37,7.18,7.28,419700,7.28
2015-05-06,7.32,7.555,7.27,7.28,473200,7.28
2015-05-05,7.64,7.75,7.42,7.44,475100,7.44
2015-05-04,7.39,7.64,7.31,7.61,350900,7.61
2015-05-01,7.30,7.50,7.27,7.45,182300,7.45
2015-04-30,7.19,7.40,7.19,7.36,274100,7.36
2015-04-29,7.55,7.56,7.33,7.37,378800,7.37
2015-04-28,7.53,7.65,7.52,7.56,508900,7.56
2015-04-27,7.46,7.55,7.46,7.50,386500,7.50
2015-04-24,7.29,7.48,7.29,7.45,398500,7.45
2015-04-23,7.18,7.26,7.08,7.21,210000,7.21
2015-04-22,7.03,7.22,7.00,7.17,346200,7.17
2015-04-21,7.07,7.12,7.03,7.05,202000,7.05
2015-04-20,7.16,7.16,6.94,7.04,397500,7.04
2015-04-17,7.31,7.32,7.15,7.18,486600,7.18
2015-04-16,7.10,7.35,7.02,7.31,587900,7.31
2015-04-15,7.10,7.11,6.95,7.07,415400,7.07
2015-04-14,7.00,7.17,6.80,7.13,408300,7.13
2015-04-13,7.31,7.31,6.88,6.91,406700,6.91
2015-04-10,7.21,7.34,7.18,7.32,277200,7.32
2015-04-09,7.29,7.29,7.17,7.19,224400,7.19
2015-04-08,7.09,7.32,7.09,7.29,446000,7.29
2015-04-07,7.16,7.29,7.04,7.09,351000,7.09
2015-04-06,7.15,7.15,7.15,7.15,000,7.15
2015-04-03,7.15,7.15,7.15,7.15,000,7.15
2015-04-02,7.11,7.21,7.11,7.15,338200,7.15
2015-04-01,7.21,7.27,7.06,7.13,498700,7.13
2015-03-31,7.16,7.29,7.14,7.21,880300,7.21
2015-03-30,7.01,7.16,6.92,7.12,397500,7.12
2015-03-27,7.00,7.22,6.97,7.18,348700,7.18
2015-03-26,7.12,7.14,7.00,7.09,392200,7.09
2015-03-25,7.25,7.27,7.15,7.18,482100,7.18
2015-03-24,7.41,7.60,7.35,7.52,558900,7.234
2015-03-23,7.51,7.52,7.21,7.37,553200,7.09
2015-03-20,7.64,7.65,7.37,7.46,879900,7.177
2015-03-19,7.69,7.75,7.61,7.69,901000,7.398
2015-03-18,7.54,7.67,7.39,7.50,508500,7.215
2015-03-17,7.29,7.495,7.29,7.46,517700,7.177
2015-03-16,7.26,7.30,7.15,7.27,438900,6.994
2015-03-13,7.28,7.40,7.25,7.34,251900,7.061
