date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.015,1.035,1.005,1.02,3382500,1.02
2015-06-29,1.03,1.055,1.022,1.025,3708300,1.025
2015-06-26,1.04,1.065,1.032,1.05,4168600,1.05
2015-06-25,1.07,1.075,1.045,1.05,4917900,1.05
2015-06-24,1.125,1.127,1.06,1.065,2990100,1.065
2015-06-23,1.11,1.135,1.105,1.13,5729800,1.13
2015-06-22,1.085,1.11,1.07,1.105,4482900,1.105
2015-06-19,1.05,1.0875,1.05,1.085,7452500,1.085
2015-06-18,1.05,1.055,1.04,1.055,9971100,1.055
2015-06-17,1.03,1.06,1.025,1.035,7461200,1.035
2015-06-16,1.03,1.04,1.015,1.02,6514500,1.02
2015-06-15,1.005,1.025,1.00,1.025,3116700,1.025
2015-06-12,1.025,1.0275,0.995,1.01,4497700,1.01
2015-06-11,1.04,1.045,1.02,1.025,4059200,1.025
2015-06-10,1.07,1.085,1.03,1.035,5495100,1.035
2015-06-09,1.165,1.17,1.02,1.05,14050800,1.05
2015-06-08,1.185,1.185,1.185,1.185,000,1.185
2015-06-05,1.17,1.205,1.17,1.185,3787500,1.185
2015-06-04,1.21,1.21,1.17,1.17,3259200,1.17
2015-06-03,1.22,1.225,1.205,1.21,3471600,1.21
2015-06-02,1.26,1.275,1.23,1.24,5539800,1.24
2015-06-01,1.25,1.275,1.225,1.26,3479100,1.26
2015-05-29,1.22,1.27,1.217,1.25,4333100,1.25
2015-05-28,1.23,1.23,1.20,1.215,2618600,1.215
2015-05-27,1.245,1.2525,1.21,1.22,4397800,1.22
2015-05-26,1.25,1.27,1.245,1.25,5325400,1.25
2015-05-25,1.23,1.255,1.22,1.25,2993600,1.25
2015-05-22,1.20,1.23,1.197,1.22,2037800,1.22
2015-05-21,1.19,1.20,1.17,1.195,4996000,1.195
2015-05-20,1.20,1.21,1.16,1.175,6678800,1.175
2015-05-19,1.22,1.2225,1.192,1.20,4832400,1.20
2015-05-18,1.215,1.235,1.215,1.22,4548600,1.22
2015-05-15,1.22,1.23,1.205,1.215,2828400,1.215
2015-05-14,1.22,1.22,1.17,1.22,4275700,1.22
2015-05-13,1.22,1.23,1.205,1.21,5271200,1.21
2015-05-12,1.225,1.24,1.215,1.235,4631500,1.235
2015-05-11,1.245,1.25,1.227,1.235,2946700,1.235
2015-05-08,1.255,1.2575,1.22,1.225,4751200,1.225
2015-05-07,1.25,1.29,1.242,1.265,4141600,1.265
2015-05-06,1.29,1.30,1.25,1.25,3873400,1.25
2015-05-05,1.33,1.33,1.27,1.295,7005400,1.295
2015-05-04,1.305,1.345,1.305,1.31,3921500,1.31
2015-05-01,1.275,1.315,1.275,1.315,4625900,1.315
2015-04-30,1.225,1.31,1.21,1.265,6517700,1.265
2015-04-29,1.36,1.36,1.36,1.36,000,1.36
2015-04-28,1.375,1.385,1.355,1.36,1688800,1.36
2015-04-27,1.335,1.375,1.32,1.37,4115500,1.37
2015-04-24,1.345,1.345,1.325,1.335,2447900,1.335
2015-04-23,1.34,1.355,1.325,1.34,2377300,1.34
2015-04-22,1.36,1.365,1.325,1.335,2782700,1.335
2015-04-21,1.375,1.385,1.36,1.365,2195800,1.365
2015-04-20,1.39,1.395,1.34,1.36,2121200,1.36
2015-04-17,1.415,1.42,1.39,1.40,5429600,1.40
