date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.93,0.98,0.92,0.97,2144000,0.97
2015-06-29,0.92,0.94,0.91,0.92,1982200,0.92
2015-06-26,0.95,0.955,0.92,0.94,1697800,0.94
2015-06-25,0.99,0.99,0.95,0.965,865900,0.965
2015-06-24,0.985,0.995,0.975,0.995,906200,0.995
2015-06-23,0.99,0.995,0.965,0.99,1475600,0.99
2015-06-22,0.985,0.995,0.96,0.98,1407700,0.98
2015-06-19,0.95,1.01,0.95,0.97,4769700,0.97
2015-06-18,0.955,0.965,0.907,0.96,4222000,0.96
2015-06-17,0.98,0.985,0.955,0.98,1258300,0.98
2015-06-16,0.99,0.99,0.94,0.98,1272900,0.98
2015-06-15,0.99,0.99,0.97,0.975,891700,0.975
2015-06-12,0.985,0.99,0.98,0.99,646300,0.99
2015-06-11,0.985,0.995,0.98,0.995,740600,0.995
2015-06-10,0.98,0.99,0.955,0.98,1122100,0.98
2015-06-09,1.00,1.01,0.95,0.97,1964500,0.97
2015-06-08,1.01,1.01,1.01,1.01,000,1.01
2015-06-05,0.975,1.02,0.965,1.01,1086900,1.01
2015-06-04,1.015,1.02,0.98,0.98,969300,0.98
2015-06-03,1.04,1.045,0.99,1.005,1708200,1.005
2015-06-02,1.03,1.06,0.997,1.05,1804300,1.05
2015-06-01,1.06,1.06,0.985,1.005,1513100,1.005
2015-05-29,1.075,1.085,1.05,1.055,1430800,1.055
2015-05-28,1.09,1.09,1.045,1.065,774500,1.065
2015-05-27,1.075,1.09,1.065,1.08,1671800,1.08
2015-05-26,1.075,1.09,1.07,1.085,1442400,1.085
2015-05-25,1.075,1.095,1.065,1.065,1247800,1.065
2015-05-22,1.06,1.08,1.055,1.07,616100,1.07
2015-05-21,1.055,1.085,1.05,1.055,2741300,1.055
2015-05-20,1.04,1.06,1.025,1.05,1359100,1.05
2015-05-19,1.045,1.06,1.03,1.045,1002100,1.045
2015-05-18,1.055,1.065,1.045,1.045,406800,1.045
2015-05-15,1.025,1.055,1.01,1.055,2195600,1.055
2015-05-14,1.005,1.025,1.005,1.02,656200,1.02
2015-05-13,1.01,1.02,1.00,1.005,1015500,1.005
2015-05-12,1.015,1.03,1.00,1.005,1689800,1.005
2015-05-11,1.015,1.03,0.96,1.015,1488600,1.015
2015-05-08,1.02,1.06,1.02,1.035,487700,1.035
2015-05-07,1.05,1.095,1.03,1.04,1737900,1.04
2015-05-06,1.10,1.105,1.057,1.075,1023500,1.075
2015-05-05,1.07,1.12,1.065,1.095,2296800,1.095
2015-05-04,1.07,1.08,1.045,1.065,1716400,1.065
2015-05-01,1.06,1.07,1.05,1.065,680400,1.065
2015-04-30,1.05,1.115,1.05,1.07,3386000,1.07
2015-04-29,1.065,1.07,1.05,1.05,1290400,1.05
2015-04-28,1.06,1.07,1.05,1.05,835600,1.05
2015-04-27,1.055,1.07,1.05,1.06,1031200,1.06
2015-04-24,1.04,1.055,1.025,1.05,2240000,1.05
2015-04-23,1.03,1.04,1.005,1.04,1740600,1.04
2015-04-22,0.995,1.04,0.99,1.025,1621100,1.025
2015-04-21,1.025,1.025,0.96,0.995,3656200,0.995
2015-04-20,1.04,1.052,1.01,1.01,1071000,1.01
2015-04-17,1.05,1.06,1.03,1.04,1044400,1.04
2015-04-16,1.06,1.075,1.04,1.045,1260900,1.045
2015-04-15,1.00,1.05,0.997,1.03,1933100,1.03
2015-04-14,1.005,1.03,0.98,0.995,2051200,0.995
2015-04-13,1.095,1.105,1.005,1.015,2298600,1.015
2015-04-10,1.11,1.12,1.085,1.09,1226400,1.09
2015-04-09,1.12,1.125,1.10,1.11,1841000,1.11
2015-04-08,1.095,1.135,1.085,1.125,917100,1.125
2015-04-07,1.07,1.10,1.055,1.085,759900,1.085
2015-04-06,1.075,1.075,1.075,1.075,000,1.075
2015-04-03,1.075,1.075,1.075,1.075,000,1.075
2015-04-02,1.05,1.075,1.03,1.075,778400,1.075
2015-04-01,1.10,1.105,1.045,1.06,1474800,1.06
2015-03-31,1.155,1.155,1.135,1.15,1229600,1.10714
2015-03-30,1.13,1.145,1.13,1.14,791400,1.09752
2015-03-27,1.13,1.15,1.125,1.15,1518000,1.10714
2015-03-26,1.15,1.155,1.135,1.145,1610200,1.10233
2015-03-25,1.13,1.19,1.11,1.17,2575500,1.1264
2015-03-24,1.12,1.145,1.10,1.105,1468900,1.06382
2015-03-23,1.08,1.13,1.08,1.12,1083200,1.07826
2015-03-20,1.115,1.145,1.095,1.11,1451100,1.06863
2015-03-19,1.10,1.11,1.085,1.11,3808200,1.06863
2015-03-18,1.065,1.09,1.045,1.085,1942100,1.04457
2015-03-17,1.025,1.082,1.022,1.07,5783600,1.03012
2015-03-16,1.06,1.065,1.015,1.02,2855000,0.98199
2015-03-13,1.02,1.035,0.98,1.01,1987000,0.97236
2015-03-12,1.015,1.05,1.015,1.045,1595000,1.00606
2015-03-11,0.99,1.02,0.975,1.015,1617400,0.97717
2015-03-10,0.99,1.04,0.987,1.00,2231700,0.96273
2015-03-09,1.07,1.07,0.935,1.005,5744300,0.96755
2015-03-06,1.09,1.097,1.02,1.085,1597600,1.04457
2015-03-05,1.085,1.095,1.07,1.09,1017000,1.04938
2015-03-04,1.10,1.12,1.07,1.095,2697600,1.05419
2015-03-03,1.115,1.115,1.085,1.105,1878000,1.06382
2015-03-02,1.11,1.115,1.095,1.10,1358500,1.05901
2015-02-27,1.085,1.115,1.075,1.095,3370100,1.05419
2015-02-26,1.055,1.10,1.04,1.075,3756800,1.03494
2015-02-25,0.94,1.105,0.94,1.105,3468100,1.06382
2015-02-24,0.93,0.95,0.92,0.935,2008600,0.90016
2015-02-23,0.93,0.955,0.925,0.925,1755000,0.89053
2015-02-20,0.94,0.945,0.91,0.92,1576100,0.88571
2015-02-19,0.945,0.96,0.935,0.94,1253500,0.90497
2015-02-18,0.95,0.96,0.935,0.945,863800,0.90978
2015-02-17,0.945,0.955,0.935,0.95,570700,0.9146
2015-02-16,0.945,0.955,0.93,0.95,939000,0.9146
2015-02-13,0.93,0.96,0.925,0.945,1795100,0.90978
2015-02-12,0.975,0.985,0.91,0.915,2896900,0.8809
2015-02-11,1.015,1.015,0.94,0.95,801200,0.9146
2015-02-10,1.02,1.02,0.985,0.985,444100,0.94829
2015-02-09,1.01,1.02,0.98,1.00,1377900,0.96273
2015-02-06,1.015,1.025,1.00,1.01,573900,0.97236
2015-02-05,0.985,1.01,0.98,1.00,1212500,0.96273
