date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.285,0.29,0.275,0.28,3788900,0.28
2015-06-29,0.29,0.29,0.285,0.285,2845600,0.285
2015-06-26,0.305,0.31,0.29,0.29,5334700,0.29
2015-06-25,0.315,0.32,0.307,0.31,2780700,0.31
2015-06-24,0.32,0.325,0.32,0.32,2392900,0.32
2015-06-23,0.305,0.325,0.305,0.315,4401100,0.315
2015-06-22,0.29,0.305,0.285,0.305,3506200,0.305
2015-06-19,0.28,0.295,0.28,0.29,9492700,0.29
2015-06-18,0.285,0.2875,0.275,0.275,5098800,0.275
2015-06-17,0.29,0.295,0.29,0.29,2085300,0.29
2015-06-16,0.285,0.29,0.28,0.285,3874800,0.285
2015-06-15,0.30,0.30,0.285,0.285,4522100,0.285
2015-06-12,0.31,0.315,0.295,0.295,9138600,0.295
2015-06-11,0.32,0.325,0.305,0.31,8107400,0.31
2015-06-10,0.34,0.345,0.305,0.31,8399000,0.31
2015-06-09,0.335,0.345,0.33,0.33,2936600,0.33
2015-06-08,0.34,0.34,0.34,0.34,000,0.34
2015-06-05,0.345,0.35,0.33,0.34,1957800,0.34
2015-06-04,0.37,0.37,0.35,0.35,2001300,0.35
2015-06-03,0.375,0.38,0.36,0.36,2358700,0.36
2015-06-02,0.385,0.385,0.375,0.375,1539900,0.375
2015-06-01,0.39,0.39,0.38,0.38,1208700,0.38
2015-05-29,0.39,0.39,0.38,0.39,1277500,0.39
2015-05-28,0.385,0.39,0.375,0.375,1522100,0.375
2015-05-27,0.375,0.39,0.37,0.375,2268400,0.375
2015-05-26,0.38,0.395,0.375,0.385,1523900,0.385
2015-05-25,0.36,0.38,0.36,0.38,1089200,0.38
2015-05-22,0.36,0.37,0.357,0.36,1909400,0.36
2015-05-21,0.345,0.355,0.345,0.35,2014200,0.35
2015-05-20,0.355,0.36,0.34,0.345,3275500,0.345
2015-05-19,0.375,0.375,0.36,0.36,3489300,0.36
2015-05-18,0.385,0.39,0.37,0.37,1401500,0.37
2015-05-15,0.395,0.40,0.38,0.38,3192200,0.38
2015-05-14,0.395,0.40,0.39,0.40,1202500,0.40
2015-05-13,0.40,0.41,0.395,0.395,7308500,0.395
2015-05-12,0.385,0.395,0.38,0.395,1632900,0.395
2015-05-11,0.38,0.39,0.375,0.39,2261000,0.39
2015-05-08,0.385,0.385,0.37,0.37,2566500,0.37
2015-05-07,0.38,0.39,0.37,0.385,2987600,0.385
2015-05-06,0.395,0.40,0.38,0.38,7938900,0.38
2015-05-05,0.40,0.405,0.39,0.39,3690200,0.39
2015-05-04,0.405,0.4125,0.39,0.40,4180000,0.40
2015-05-01,0.405,0.42,0.40,0.40,7087200,0.40
2015-04-30,0.415,0.425,0.405,0.405,6033900,0.405
2015-04-29,0.45,0.45,0.415,0.42,5051800,0.42
2015-04-28,0.465,0.465,0.445,0.46,3914500,0.46
2015-04-27,0.46,0.47,0.45,0.465,3578100,0.465
2015-04-24,0.425,0.4575,0.425,0.455,7752300,0.455
2015-04-23,0.40,0.41,0.40,0.41,1920600,0.41
2015-04-22,0.405,0.407,0.395,0.40,2813900,0.40
2015-04-21,0.42,0.435,0.40,0.41,5913900,0.41
2015-04-20,0.395,0.415,0.387,0.415,5120700,0.415
2015-04-17,0.38,0.40,0.377,0.395,9842100,0.395
2015-04-16,0.37,0.385,0.37,0.385,9537100,0.385
2015-04-15,0.325,0.355,0.325,0.355,6384400,0.355
2015-04-14,0.32,0.32,0.315,0.32,620400,0.32
2015-04-13,0.32,0.325,0.31,0.315,2289200,0.315
2015-04-10,0.315,0.32,0.315,0.32,683400,0.32
2015-04-09,0.315,0.3175,0.31,0.31,1000700,0.31
2015-04-08,0.315,0.325,0.31,0.315,2743500,0.315
2015-04-07,0.32,0.325,0.31,0.31,3367500,0.31
2015-04-06,0.31,0.31,0.31,0.31,000,0.31
2015-04-03,0.31,0.31,0.31,0.31,000,0.31
2015-04-02,0.32,0.322,0.31,0.31,2209000,0.31
2015-04-01,0.31,0.32,0.31,0.31,1473200,0.31
2015-03-31,0.315,0.32,0.307,0.315,2027300,0.315
2015-03-30,0.315,0.32,0.31,0.31,2691500,0.31
2015-03-27,0.34,0.345,0.32,0.325,4798500,0.325
2015-03-26,0.325,0.34,0.315,0.34,4433800,0.34
2015-03-25,0.325,0.335,0.325,0.325,1785800,0.325
2015-03-24,0.31,0.325,0.305,0.325,3880500,0.325
2015-03-23,0.305,0.31,0.302,0.305,1099700,0.305
2015-03-20,0.31,0.31,0.295,0.305,2974200,0.305
2015-03-19,0.31,0.315,0.305,0.305,3959600,0.305
2015-03-18,0.305,0.305,0.295,0.295,8331200,0.295
2015-03-17,0.31,0.32,0.30,0.315,10155900,0.315
2015-03-16,0.325,0.327,0.31,0.31,3451300,0.31
2015-03-13,0.33,0.335,0.325,0.335,1749700,0.335
2015-03-12,0.32,0.33,0.315,0.33,2317000,0.33
2015-03-11,0.32,0.325,0.31,0.32,3730100,0.32
2015-03-10,0.335,0.34,0.325,0.33,2158300,0.33
2015-03-09,0.335,0.34,0.33,0.335,2791700,0.335
2015-03-06,0.35,0.35,0.335,0.34,2617900,0.34
2015-03-05,0.36,0.36,0.345,0.355,1778000,0.355
2015-03-04,0.345,0.365,0.34,0.355,3447300,0.355
2015-03-03,0.35,0.35,0.34,0.34,2348300,0.34
2015-03-02,0.345,0.35,0.34,0.345,2455800,0.345
2015-02-27,0.335,0.345,0.332,0.34,2999000,0.34
2015-02-26,0.335,0.34,0.325,0.34,3492600,0.34
2015-02-25,0.34,0.34,0.32,0.325,3792900,0.325
2015-02-24,0.34,0.345,0.332,0.335,2221600,0.335
2015-02-23,0.345,0.345,0.33,0.335,3526700,0.335
2015-02-20,0.35,0.3525,0.345,0.345,4952800,0.345
2015-02-19,0.35,0.355,0.34,0.35,2777900,0.35
2015-02-18,0.37,0.375,0.35,0.355,4305900,0.355
2015-02-17,0.385,0.385,0.355,0.37,6095100,0.37
2015-02-16,0.375,0.385,0.372,0.385,6626000,0.385
2015-02-13,0.37,0.3725,0.355,0.355,4545800,0.355
2015-02-12,0.335,0.355,0.327,0.35,5031800,0.35
2015-02-11,0.36,0.362,0.34,0.345,4707200,0.345
2015-02-10,0.39,0.39,0.365,0.37,5819700,0.37
2015-02-09,0.385,0.40,0.37,0.39,11772300,0.39
