date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.88,4.99,4.86,4.98,14332700,4.98
2015-06-29,4.94,4.94,4.85,4.86,11584800,4.86
2015-06-26,5.07,5.08,4.99,4.99,7998400,4.99
2015-06-25,5.30,5.32,5.23,5.23,8340100,5.105
2015-06-24,5.35,5.37,5.30,5.32,4088900,5.19285
2015-06-23,5.30,5.35,5.29,5.34,5782900,5.21237
2015-06-22,5.26,5.30,5.24,5.26,5571700,5.13428
2015-06-19,5.12,5.255,5.12,5.20,9513000,5.07572
2015-06-18,5.13,5.17,5.09,5.10,11800900,4.97811
2015-06-17,5.23,5.24,5.18,5.18,7790100,5.05619
2015-06-16,5.33,5.34,5.23,5.25,7128100,5.12452
2015-06-15,5.26,5.32,5.26,5.30,5025900,5.17333
2015-06-12,5.26,5.31,5.25,5.28,5101300,5.15381
2015-06-11,5.28,5.28,5.21,5.24,7566800,5.11476
2015-06-10,5.30,5.36,5.28,5.28,6002100,5.15381
2015-06-09,5.32,5.41,5.31,5.35,4517700,5.22213
2015-06-08,5.36,5.36,5.36,5.36,000,5.23189
2015-06-05,5.34,5.40,5.32,5.36,5131100,5.23189
2015-06-04,5.42,5.45,5.35,5.36,7149400,5.23189
2015-06-03,5.44,5.475,5.38,5.46,7204200,5.3295
2015-06-02,5.57,5.575,5.435,5.46,10263400,5.3295
2015-06-01,5.63,5.63,5.52,5.55,8399400,5.41735
2015-05-29,5.64,5.74,5.64,5.69,10349400,5.55401
2015-05-28,5.62,5.66,5.57,5.64,7730300,5.5052
2015-05-27,5.53,5.63,5.51,5.61,6848900,5.47592
2015-05-26,5.52,5.57,5.49,5.53,4529900,5.39783
2015-05-25,5.47,5.52,5.45,5.51,5415500,5.37831
2015-05-22,5.38,5.43,5.36,5.43,7352400,5.30022
2015-05-21,5.33,5.38,5.33,5.36,6501200,5.23189
2015-05-20,5.27,5.34,5.25,5.33,6824600,5.20261
2015-05-19,5.24,5.25,5.19,5.23,7890800,5.105
2015-05-18,5.28,5.29,5.23,5.24,5373400,5.11476
2015-05-15,5.23,5.26,5.185,5.26,5531200,5.13428
2015-05-14,5.21,5.23,5.14,5.16,9282400,5.03667
2015-05-13,5.26,5.28,5.22,5.28,7545000,5.15381
2015-05-12,5.24,5.27,5.185,5.25,4808400,5.12452
2015-05-11,5.30,5.30,5.20,5.22,3804100,5.09524
2015-05-08,5.25,5.25,5.18,5.19,4137600,5.06596
2015-05-07,5.20,5.22,5.13,5.17,9696700,5.04643
2015-05-06,5.28,5.33,5.19,5.21,5994600,5.08548
2015-05-05,5.40,5.40,5.30,5.35,6639300,5.22213
2015-05-04,5.38,5.39,5.31,5.34,4799000,5.21237
2015-05-01,5.37,5.385,5.28,5.33,5209200,5.20261
2015-04-30,5.42,5.42,5.33,5.39,5144800,5.26118
2015-04-29,5.46,5.475,5.40,5.41,6341600,5.2807
2015-04-28,5.48,5.50,5.44,5.46,3027900,5.3295
2015-04-27,5.47,5.47,5.43,5.46,4490100,5.3295
2015-04-24,5.45,5.46,5.43,5.46,6832100,5.3295
2015-04-23,5.44,5.44,5.39,5.42,3266200,5.29046
2015-04-22,5.37,5.43,5.37,5.41,3248700,5.2807
2015-04-21,5.39,5.40,5.33,5.37,2723300,5.24165
2015-04-20,5.34,5.36,5.30,5.34,2853300,5.21237
2015-04-17,5.40,5.42,5.34,5.37,2375100,5.24165
2015-04-16,5.45,5.45,5.38,5.40,3282700,5.27094
2015-04-15,5.41,5.43,5.33,5.42,4239000,5.29046
2015-04-14,5.40,5.445,5.38,5.42,3495100,5.29046
2015-04-13,5.40,5.42,5.36,5.39,2075700,5.26118
2015-04-10,5.33,5.39,5.32,5.38,3502900,5.25142
2015-04-09,5.38,5.39,5.30,5.31,3208200,5.18309
2015-04-08,5.32,5.37,5.30,5.36,3606800,5.23189
2015-04-07,5.26,5.35,5.245,5.27,4293100,5.14404
2015-04-06,5.23,5.23,5.23,5.23,000,5.105
2015-04-03,5.23,5.23,5.23,5.23,000,5.105
2015-04-02,5.27,5.29,5.23,5.23,2833000,5.105
2015-04-01,5.24,5.28,5.22,5.27,8282100,5.14404
2015-03-31,5.24,5.29,5.17,5.18,5070500,5.05619
2015-03-30,5.21,5.26,5.16,5.17,4024200,5.04643
2015-03-27,5.25,5.30,5.23,5.25,9968900,5.12452
2015-03-26,5.25,5.26,5.20,5.21,7300800,5.08548
2015-03-25,5.33,5.34,5.25,5.29,5722400,5.16357
2015-03-24,5.27,5.32,5.25,5.28,2983400,5.15381
2015-03-23,5.26,5.28,5.22,5.25,3008900,5.12452
2015-03-20,5.33,5.38,5.27,5.29,14458700,5.16357
2015-03-19,5.30,5.33,5.25,5.31,7016600,5.18309
2015-03-18,5.18,5.21,5.17,5.20,8121800,5.07572
2015-03-17,5.21,5.23,5.17,5.18,2631900,5.05619
2015-03-16,5.19,5.19,5.14,5.18,2734700,5.05619
2015-03-13,5.34,5.34,5.20,5.22,3145900,5.09524
2015-03-12,5.25,5.31,5.23,5.29,3340900,5.16357
2015-03-11,5.13,5.26,5.12,5.24,5959800,5.11476
2015-03-10,5.13,5.185,5.13,5.15,8618700,5.02691
2015-03-09,5.19,5.225,5.09,5.12,3839100,4.99763
2015-03-06,5.23,5.27,5.22,5.25,3253900,5.12452
2015-03-05,5.21,5.23,5.16,5.21,4409500,5.08548
2015-03-04,5.26,5.26,5.19,5.23,6052700,5.105
2015-03-03,5.20,5.24,5.15,5.20,7042700,5.07572
2015-03-02,5.15,5.20,5.125,5.14,4342500,5.01715
2015-02-27,5.07,5.17,5.015,5.16,7598600,5.03667
2015-02-26,5.10,5.13,4.93,5.00,6872700,4.8805
2015-02-25,5.11,5.18,5.10,5.18,5663200,5.05619
