date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.80,3.88,3.69,3.74,1054900,3.74
2015-06-29,4.00,4.05,3.83,3.86,642400,3.86
2015-06-26,4.20,4.20,4.04,4.06,618900,4.06
2015-06-25,4.12,4.18,4.00,4.14,933400,4.14
2015-06-24,4.15,4.23,4.05,4.06,706100,4.06
2015-06-23,4.34,4.34,4.12,4.13,574900,4.13
2015-06-22,4.11,4.29,4.05,4.25,4595600,4.25
2015-06-19,4.10,4.18,4.04,4.04,1210400,4.04
2015-06-18,3.81,4.11,3.75,4.10,2382400,4.10
2015-06-17,3.73,3.76,3.59,3.72,2868400,3.72
2015-06-16,3.83,3.92,3.67,3.69,802800,3.69
2015-06-15,4.02,4.03,3.88,3.90,412500,3.90
2015-06-12,3.95,4.05,3.95,3.98,828300,3.98
2015-06-11,3.81,4.00,3.77,3.92,1933700,3.92
2015-06-10,3.75,3.84,3.74,3.76,2293300,3.76
2015-06-09,3.90,3.92,3.56,3.73,1306800,3.73
2015-06-08,3.78,3.78,3.78,3.78,000,3.78
2015-06-05,3.73,3.80,3.57,3.78,1340400,3.78
2015-06-04,4.03,4.04,3.63,3.69,2583500,3.69
2015-06-03,4.40,4.40,4.08,4.10,687900,4.10
2015-06-02,4.41,4.49,4.325,4.35,518100,4.35
2015-06-01,4.47,4.47,4.24,4.28,454000,4.28
2015-05-29,4.60,4.80,4.48,4.50,2052800,4.50
2015-05-28,4.36,4.44,4.27,4.40,615100,4.40
2015-05-27,4.38,4.38,4.29,4.30,277400,4.30
2015-05-26,4.50,4.50,4.40,4.42,359800,4.42
2015-05-25,4.49,4.51,4.43,4.50,554600,4.50
2015-05-22,4.50,4.51,4.44,4.46,543500,4.46
2015-05-21,4.30,4.45,4.25,4.44,1985300,4.44
2015-05-20,4.12,4.26,3.99,4.22,416300,4.22
2015-05-19,4.19,4.19,4.13,4.14,1191000,4.14
2015-05-18,4.12,4.18,4.12,4.16,550000,4.16
2015-05-15,4.14,4.17,4.08,4.12,139900,4.12
2015-05-14,4.25,4.25,4.05,4.09,506800,4.09
2015-05-13,4.22,4.34,4.19,4.23,422900,4.23
2015-05-12,4.22,4.35,4.18,4.22,491400,4.22
2015-05-11,4.18,4.23,4.06,4.20,540900,4.20
2015-05-08,3.96,4.07,3.96,4.02,262400,4.02
2015-05-07,4.01,4.08,3.96,4.04,567800,4.04
2015-05-06,3.97,4.10,3.97,4.04,788900,4.04
2015-05-05,4.14,4.20,4.00,4.05,597500,4.05
2015-05-04,4.00,4.06,3.94,4.02,733500,4.02
2015-05-01,3.95,4.085,3.81,3.90,531300,3.90
2015-04-30,3.80,3.94,3.75,3.91,620600,3.91
2015-04-29,3.95,3.95,3.80,3.83,499600,3.83
2015-04-28,3.83,3.94,3.77,3.86,764600,3.86
2015-04-27,3.78,3.89,3.74,3.80,920400,3.80
2015-04-24,3.60,3.78,3.54,3.71,754300,3.71
2015-04-23,3.52,3.59,3.48,3.52,364300,3.52
2015-04-22,3.64,3.64,3.50,3.52,331300,3.52
2015-04-21,3.57,3.65,3.53,3.59,284500,3.59
2015-04-20,3.55,3.58,3.49,3.52,309600,3.52
2015-04-17,3.53,3.61,3.48,3.57,585600,3.57
2015-04-16,3.55,3.59,3.52,3.55,418300,3.55
2015-04-15,3.59,3.62,3.48,3.50,679700,3.50
2015-04-14,3.47,3.63,3.47,3.60,932900,3.60
2015-04-13,3.59,3.59,3.49,3.50,368700,3.50
2015-04-10,3.68,3.68,3.54,3.58,289100,3.58
2015-04-09,3.78,3.79,3.60,3.61,394100,3.61
2015-04-08,3.73,3.80,3.68,3.74,486800,3.74
2015-04-07,3.88,3.91,3.70,3.72,513700,3.72
2015-04-06,3.79,3.79,3.79,3.79,000,3.79
2015-04-03,3.79,3.79,3.79,3.79,000,3.79
2015-04-02,3.75,3.815,3.70,3.79,1224400,3.79
2015-04-01,3.61,3.79,3.61,3.69,1338900,3.69
2015-03-31,3.68,3.76,3.63,3.70,759200,3.70
2015-03-30,3.52,3.67,3.52,3.60,890700,3.60
2015-03-27,3.75,3.83,3.58,3.68,857100,3.68
2015-03-26,3.86,3.87,3.64,3.80,690700,3.80
2015-03-25,3.90,3.97,3.85,3.89,508200,3.89
2015-03-24,3.95,4.05,3.91,3.93,697400,3.93
2015-03-23,3.99,4.06,3.83,3.97,1177000,3.97
2015-03-20,4.14,4.22,4.02,4.02,4329100,4.02
2015-03-19,4.33,4.36,4.13,4.18,765600,4.18
2015-03-18,4.40,4.43,4.30,4.34,335700,4.34
2015-03-17,4.38,4.46,4.34,4.39,456800,4.39
2015-03-16,4.34,4.53,4.34,4.38,277100,4.38
2015-03-13,4.34,4.46,4.33,4.40,344200,4.40
2015-03-12,4.38,4.41,4.26,4.31,428800,4.31
2015-03-11,4.45,4.51,4.37,4.39,365800,4.39
2015-03-10,4.42,4.54,4.35,4.45,796800,4.45
2015-03-09,4.71,4.71,4.38,4.50,644700,4.50
2015-03-06,4.68,4.78,4.57,4.72,881700,4.72
2015-03-05,4.53,4.66,4.45,4.59,455200,4.59
2015-03-04,4.50,4.60,4.38,4.55,272900,4.55
2015-03-03,4.46,4.53,4.34,4.50,340300,4.50
2015-03-02,4.43,4.60,4.43,4.46,585900,4.46
2015-02-27,4.54,4.54,4.43,4.43,454300,4.43
2015-02-26,4.45,4.52,4.45,4.51,152000,4.51
2015-02-25,4.52,4.55,4.43,4.50,401600,4.50
2015-02-24,4.44,4.54,4.40,4.49,926400,4.49
2015-02-23,4.28,4.44,4.23,4.42,353400,4.42
2015-02-20,4.45,4.49,4.21,4.28,377300,4.28
2015-02-19,4.50,4.54,4.31,4.36,435600,4.36
2015-02-18,4.30,4.50,4.23,4.48,495400,4.48
2015-02-17,4.60,4.60,4.26,4.34,816100,4.34
2015-02-16,4.35,4.68,4.35,4.55,687600,4.55
2015-02-13,4.10,4.31,4.06,4.25,950500,4.25
2015-02-12,4.15,4.22,4.05,4.10,486400,4.10
2015-02-11,4.20,4.30,4.11,4.14,623100,4.14
2015-02-10,3.97,4.16,3.97,4.05,1106600,4.05
2015-02-09,3.77,3.86,3.76,3.85,137800,3.85
