date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.52,4.56,4.505,4.55,4664400,4.55
2015-06-29,4.50,4.53,4.45,4.47,2624700,4.47
2015-06-26,4.59,4.635,4.56,4.59,3519900,4.59
2015-06-25,4.70,4.71,4.62,4.67,3367300,4.67
2015-06-24,4.70,4.75,4.65,4.71,2412100,4.71
2015-06-23,4.70,4.75,4.665,4.71,3301000,4.71
2015-06-22,4.60,4.67,4.55,4.63,2704800,4.63
2015-06-19,4.65,4.685,4.61,4.62,5758200,4.62
2015-06-18,4.61,4.66,4.55,4.59,6867100,4.59
2015-06-17,4.71,4.74,4.61,4.62,5886700,4.62
2015-06-16,4.70,4.775,4.65,4.66,2874600,4.66
2015-06-15,4.68,4.75,4.68,4.74,3119600,4.74
2015-06-12,4.73,4.79,4.71,4.75,2328700,4.75
2015-06-11,4.70,4.79,4.70,4.75,3877400,4.75
2015-06-10,4.65,4.72,4.63,4.65,5546200,4.65
2015-06-09,4.75,4.77,4.55,4.63,5774000,4.63
2015-06-08,4.80,4.80,4.80,4.80,000,4.80
2015-06-05,4.73,4.835,4.73,4.80,2095900,4.80
2015-06-04,4.81,4.85,4.725,4.76,2669100,4.76
2015-06-03,4.81,4.85,4.715,4.78,3542800,4.78
2015-06-02,4.98,4.98,4.83,4.88,3450100,4.88
2015-06-01,5.02,5.02,4.91,4.98,4213600,4.98
2015-05-29,4.98,5.07,4.965,5.03,4928000,5.03
2015-05-28,4.95,4.95,4.85,4.95,3553900,4.95
2015-05-27,4.94,4.94,4.815,4.92,5595000,4.92
2015-05-26,4.78,4.87,4.77,4.87,2744500,4.87
2015-05-25,4.68,4.78,4.66,4.76,4784000,4.76
2015-05-22,4.72,4.725,4.64,4.66,1434300,4.66
2015-05-21,4.68,4.72,4.65,4.69,2360500,4.69
2015-05-20,4.58,4.64,4.555,4.62,2433000,4.62
2015-05-19,4.70,4.72,4.52,4.56,4822300,4.56
2015-05-18,4.81,4.84,4.71,4.71,3285400,4.71
2015-05-15,4.75,4.85,4.73,4.82,2426400,4.82
2015-05-14,4.60,4.72,4.57,4.72,5110700,4.72
2015-05-13,4.59,4.65,4.54,4.65,3031500,4.65
2015-05-12,4.58,4.59,4.49,4.55,3594900,4.55
2015-05-11,4.65,4.65,4.54,4.55,3659500,4.55
2015-05-08,4.55,4.63,4.53,4.57,2657600,4.57
2015-05-07,4.50,4.56,4.45,4.53,4122700,4.53
2015-05-06,4.70,4.72,4.57,4.59,3904700,4.59
2015-05-05,4.90,4.91,4.73,4.75,4212400,4.75
2015-05-04,4.83,4.935,4.79,4.85,3768400,4.85
2015-05-01,4.95,4.95,4.80,4.83,3201100,4.83
2015-04-30,4.85,4.94,4.81,4.87,3175200,4.87
2015-04-29,4.90,4.93,4.785,4.91,3553000,4.91
2015-04-28,4.93,4.97,4.87,4.90,2300000,4.90
2015-04-27,4.91,4.96,4.90,4.95,2474000,4.95
2015-04-24,4.75,4.93,4.73,4.88,4091300,4.88
2015-04-23,4.69,4.75,4.62,4.73,3763100,4.73
2015-04-22,4.72,4.73,4.65,4.69,2795200,4.69
2015-04-21,4.66,4.74,4.65,4.73,2004900,4.73
2015-04-20,4.64,4.71,4.62,4.68,1755600,4.68
2015-04-17,4.76,4.79,4.69,4.71,2583300,4.71
2015-04-16,4.85,4.86,4.76,4.80,4887200,4.80
2015-04-15,4.83,4.83,4.75,4.79,4195900,4.79
2015-04-14,4.78,4.81,4.76,4.76,1734100,4.76
2015-04-13,4.82,4.865,4.81,4.83,2266700,4.83
2015-04-10,4.76,4.85,4.76,4.83,2512900,4.83
