date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,9.27,9.32,9.215,9.30,6566100,9.30
2015-06-29,9.46,9.46,9.20,9.22,7295900,9.22
2015-06-26,9.60,9.64,9.49,9.53,6264700,9.53
2015-06-25,10.04,10.06,9.92,9.92,5722000,9.7001
2015-06-24,10.15,10.15,10.02,10.04,3910600,9.81744
2015-06-23,10.16,10.21,10.00,10.07,5192700,9.84677
2015-06-22,10.10,10.12,9.99,10.02,3091500,9.79788
2015-06-19,9.95,10.15,9.95,10.08,4878800,9.85655
2015-06-18,10.00,10.04,9.87,9.92,7272600,9.7001
2015-06-17,10.04,10.04,9.94,9.99,4625200,9.76855
2015-06-16,10.02,10.08,9.92,9.95,3818400,9.72943
2015-06-15,9.82,9.99,9.80,9.98,4523800,9.75877
2015-06-12,9.80,9.90,9.79,9.88,2873700,9.66099
2015-06-11,9.80,9.83,9.69,9.80,6054300,9.58276
2015-06-10,10.05,10.05,9.78,9.83,3983500,9.6121
2015-06-09,10.00,10.08,9.91,9.96,4980300,9.73921
2015-06-08,9.91,9.91,9.91,9.91,000,9.69032
2015-06-05,9.89,10.05,9.84,9.91,2980400,9.69032
2015-06-04,10.02,10.07,9.80,9.81,6219900,9.59254
2015-06-03,9.96,10.05,9.925,10.05,6499500,9.82722
2015-06-02,10.31,10.31,9.97,10.01,5217500,9.78811
2015-06-01,10.10,10.24,10.03,10.12,5019200,9.89567
2015-05-29,10.25,10.32,10.17,10.17,13681300,9.94456
2015-05-28,10.25,10.28,10.09,10.14,6480300,9.91522
2015-05-27,10.43,10.46,10.23,10.25,7160700,10.02278
2015-05-26,10.53,10.57,10.46,10.50,3103800,10.26724
2015-05-25,10.30,10.59,10.26,10.49,4020200,10.25746
2015-05-22,10.37,10.385,10.235,10.25,2987100,10.02278
2015-05-21,10.30,10.38,10.23,10.30,5647800,10.07168
2015-05-20,9.96,10.225,9.93,10.22,4281800,9.99345
2015-05-19,10.08,10.08,9.915,9.96,3780700,9.73921
2015-05-18,10.15,10.18,10.00,10.04,3192400,9.81744
2015-05-15,9.96,10.07,9.93,10.07,5429300,9.84677
2015-05-14,9.70,9.85,9.69,9.81,4920100,9.59254
2015-05-13,9.84,9.89,9.73,9.83,5431100,9.6121
2015-05-12,9.70,9.77,9.63,9.76,4917000,9.54365
2015-05-11,9.88,9.91,9.72,9.75,4075500,9.53387
2015-05-08,9.78,9.82,9.73,9.74,4926100,9.52409
2015-05-07,9.82,9.90,9.67,9.71,11992400,9.49476
2015-05-06,10.16,10.20,10.01,10.02,7540000,9.79788
2015-05-05,10.25,10.42,10.18,10.29,6365300,10.0619
2015-05-04,10.04,10.20,10.02,10.11,4629400,9.88589
2015-05-01,9.95,9.99,9.86,9.99,3512200,9.76855
2015-04-30,9.85,9.93,9.70,9.92,5028500,9.7001
2015-04-29,9.95,9.97,9.82,9.83,3901800,9.6121
2015-04-28,10.07,10.08,9.915,9.96,2465300,9.73921
2015-04-27,10.04,10.09,9.97,10.02,2224200,9.79788
2015-04-24,9.90,10.06,9.87,10.00,4187600,9.77833
2015-04-23,9.80,9.85,9.72,9.82,2751600,9.60232
2015-04-22,9.88,9.90,9.775,9.83,4361000,9.6121
2015-04-21,9.83,9.87,9.73,9.81,2379600,9.59254
2015-04-20,9.72,9.78,9.68,9.73,3987600,9.51431
2015-04-17,9.89,9.93,9.77,9.77,8937400,9.55343
2015-04-16,10.00,10.01,9.87,9.90,2583900,9.68054
2015-04-15,9.95,9.98,9.87,9.92,3364000,9.7001
2015-04-14,9.89,9.94,9.835,9.93,4665600,9.70988
2015-04-13,9.79,9.84,9.73,9.80,1866300,9.58276
2015-04-10,9.80,9.80,9.725,9.78,2835000,9.5632
2015-04-09,9.77,9.77,9.635,9.65,2467000,9.43608
2015-04-08,9.60,9.72,9.58,9.67,2964900,9.45564
2015-04-07,9.62,9.74,9.56,9.58,5022300,9.36764
2015-04-06,9.53,9.53,9.53,9.53,000,9.31875
2015-04-03,9.53,9.53,9.53,9.53,000,9.31875
2015-04-02,9.62,9.62,9.48,9.53,3164600,9.31875
2015-04-01,9.42,9.59,9.41,9.53,5573700,9.31875
2015-03-31,9.75,9.82,9.50,9.53,17198100,9.31875
2015-03-30,9.56,9.655,9.55,9.63,4234500,9.41653
2015-03-27,9.50,9.69,9.445,9.69,6454000,9.4752
2015-03-26,9.54,9.56,9.42,9.43,2697900,9.22096
2015-03-25,9.67,9.70,9.54,9.59,3095800,9.37742
2015-03-24,9.59,9.64,9.53,9.58,3244100,9.36764
2015-03-23,9.60,9.60,9.45,9.52,3025700,9.30897
2015-03-20,9.63,9.63,9.53,9.57,6395900,9.35786
2015-03-19,9.63,9.68,9.53,9.58,7241500,9.36764
2015-03-18,9.30,9.42,9.24,9.42,5671600,9.21118
2015-03-17,9.20,9.315,9.16,9.30,3796200,9.09384
2015-03-16,9.12,9.16,9.055,9.12,1841800,8.91783
2015-03-13,9.28,9.29,9.11,9.17,2228400,8.96673
2015-03-12,9.24,9.31,9.16,9.24,2834400,9.03517
2015-03-11,9.05,9.255,9.04,9.19,2709000,8.98628
2015-03-10,9.09,9.11,9.04,9.09,3956300,8.8885
2015-03-09,9.30,9.30,9.00,9.02,4674200,8.82005
2015-03-06,9.37,9.43,9.29,9.34,4256000,9.13296
2015-03-05,9.36,9.39,9.30,9.36,4781000,9.15251
2015-03-04,9.34,9.36,9.19,9.33,5114800,9.12318
2015-03-03,9.24,9.30,9.13,9.25,6217500,9.04495
2015-03-02,9.15,9.24,9.15,9.16,2937400,8.95695
2015-02-27,8.97,9.19,8.92,9.15,7712000,8.94717
2015-02-26,9.07,9.11,8.90,8.92,5985400,8.72227
2015-02-25,9.25,9.27,9.06,9.09,4862300,8.8885
2015-02-24,9.24,9.31,9.15,9.18,4173300,8.9765
