date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.20,0.20,0.19,0.19,2961000,0.19
2015-06-29,0.195,0.20,0.195,0.195,3008800,0.195
2015-06-26,0.205,0.21,0.195,0.195,5285000,0.195
2015-06-25,0.215,0.22,0.205,0.21,2959200,0.21
2015-06-24,0.22,0.22,0.21,0.21,1660400,0.21
2015-06-23,0.22,0.225,0.215,0.22,3663500,0.22
2015-06-22,0.215,0.22,0.21,0.22,2834400,0.22
2015-06-19,0.21,0.22,0.205,0.22,4031900,0.22
2015-06-18,0.23,0.23,0.205,0.205,6862200,0.205
2015-06-17,0.265,0.265,0.235,0.235,6481100,0.235
2015-06-16,0.26,0.265,0.255,0.26,4703700,0.26
2015-06-15,0.26,0.265,0.25,0.26,14620000,0.26
2015-06-12,0.25,0.27,0.25,0.265,6507000,0.265
2015-06-11,0.245,0.255,0.245,0.25,6752100,0.25
2015-06-10,0.24,0.25,0.24,0.245,12955000,0.245
2015-06-09,0.235,0.25,0.235,0.245,6695100,0.245
2015-06-08,0.24,0.24,0.24,0.24,000,0.24
2015-06-05,0.235,0.24,0.23,0.24,3835800,0.24
2015-06-04,0.235,0.24,0.23,0.235,2388300,0.235
2015-06-03,0.23,0.24,0.225,0.235,4573000,0.235
2015-06-02,0.23,0.235,0.23,0.23,1799500,0.23
2015-06-01,0.235,0.24,0.23,0.23,2895100,0.23
2015-05-29,0.23,0.24,0.225,0.24,3331700,0.24
2015-05-28,0.23,0.23,0.225,0.225,263900,0.225
2015-05-27,0.225,0.23,0.225,0.225,817300,0.225
2015-05-26,0.225,0.23,0.22,0.23,1895300,0.23
2015-05-25,0.22,0.225,0.22,0.225,1652100,0.225
2015-05-22,0.22,0.225,0.22,0.225,783700,0.225
2015-05-21,0.225,0.225,0.22,0.225,2939800,0.225
2015-05-20,0.22,0.225,0.22,0.225,4539900,0.225
2015-05-19,0.22,0.225,0.22,0.22,2605600,0.22
2015-05-18,0.225,0.23,0.22,0.22,1333200,0.22
2015-05-15,0.225,0.23,0.22,0.23,4603700,0.23
2015-05-14,0.22,0.225,0.215,0.225,1123100,0.225
2015-05-13,0.22,0.225,0.215,0.225,1395800,0.225
2015-05-12,0.22,0.225,0.217,0.225,1296600,0.225
2015-05-11,0.22,0.225,0.215,0.22,2381700,0.22
2015-05-08,0.21,0.222,0.21,0.22,3671000,0.22
2015-05-07,0.21,0.22,0.21,0.21,2673900,0.21
2015-05-06,0.22,0.2275,0.21,0.21,6030000,0.21
2015-05-05,0.21,0.22,0.21,0.22,2807700,0.22
2015-05-04,0.205,0.215,0.205,0.215,2683300,0.215
2015-05-01,0.205,0.21,0.195,0.205,4991000,0.205
2015-04-30,0.21,0.21,0.205,0.205,6916200,0.205
2015-04-29,0.21,0.2125,0.205,0.205,1442100,0.205
2015-04-28,0.21,0.215,0.21,0.21,1836400,0.21
2015-04-27,0.205,0.215,0.205,0.21,4483500,0.21
2015-04-24,0.215,0.215,0.205,0.205,1908100,0.205
2015-04-23,0.21,0.215,0.21,0.21,4573300,0.21
2015-04-22,0.22,0.22,0.21,0.21,2634100,0.21
2015-04-21,0.205,0.225,0.205,0.215,11255300,0.215
2015-04-20,0.205,0.21,0.205,0.205,1137400,0.205
2015-04-17,0.205,0.215,0.205,0.205,6016300,0.205
2015-04-16,0.20,0.21,0.20,0.205,3896000,0.205
2015-04-15,0.20,0.205,0.20,0.20,5993200,0.20
2015-04-14,0.20,0.205,0.20,0.20,2179400,0.20
2015-04-13,0.205,0.2075,0.20,0.20,2413300,0.20
2015-04-10,0.205,0.2075,0.202,0.205,1934800,0.205
2015-04-09,0.205,0.2075,0.20,0.20,4204400,0.20
2015-04-08,0.20,0.205,0.20,0.20,3614900,0.20
2015-04-07,0.205,0.2075,0.20,0.20,4277800,0.20
2015-04-06,0.205,0.205,0.205,0.205,000,0.205
2015-04-03,0.205,0.205,0.205,0.205,000,0.205
2015-04-02,0.205,0.21,0.20,0.205,3026600,0.205
2015-04-01,0.205,0.21,0.205,0.205,2307300,0.205
2015-03-31,0.215,0.215,0.205,0.205,6614900,0.205
2015-03-30,0.225,0.225,0.21,0.21,2915300,0.21
2015-03-27,0.22,0.2275,0.22,0.225,4381600,0.225
2015-03-26,0.225,0.23,0.22,0.22,1719500,0.22
2015-03-25,0.23,0.235,0.225,0.225,2265500,0.225
2015-03-24,0.23,0.235,0.225,0.23,2380300,0.23
2015-03-23,0.22,0.23,0.21,0.23,6651700,0.23
2015-03-20,0.225,0.225,0.215,0.22,20922200,0.22
2015-03-19,0.225,0.225,0.22,0.22,4601200,0.22
2015-03-18,0.23,0.235,0.22,0.22,5090200,0.22
2015-03-17,0.235,0.235,0.23,0.235,2082100,0.235
2015-03-16,0.23,0.235,0.23,0.235,659200,0.235
2015-03-13,0.23,0.2325,0.23,0.23,563100,0.23
2015-03-12,0.23,0.235,0.227,0.235,4420200,0.235
2015-03-11,0.225,0.24,0.22,0.235,5814900,0.235
2015-03-10,0.235,0.235,0.23,0.23,2658800,0.23
2015-03-09,0.235,0.24,0.23,0.24,3957500,0.24
2015-03-06,0.24,0.24,0.232,0.24,3785200,0.24
2015-03-05,0.235,0.24,0.23,0.24,7688100,0.24
2015-03-04,0.24,0.24,0.23,0.235,2858500,0.235
2015-03-03,0.235,0.24,0.227,0.24,3434500,0.24
2015-03-02,0.23,0.237,0.225,0.23,3554100,0.23
2015-02-27,0.24,0.24,0.225,0.23,5237600,0.23
2015-02-26,0.225,0.235,0.22,0.235,5526900,0.235
2015-02-25,0.21,0.225,0.205,0.225,6192900,0.225
2015-02-24,0.205,0.21,0.205,0.21,884400,0.21
2015-02-23,0.205,0.21,0.205,0.21,1216400,0.21
2015-02-20,0.205,0.2075,0.205,0.205,1135900,0.205
2015-02-19,0.205,0.21,0.205,0.205,1954200,0.205
2015-02-18,0.21,0.21,0.205,0.21,1734500,0.21
2015-02-17,0.205,0.21,0.205,0.21,1288500,0.21
2015-02-16,0.205,0.21,0.205,0.21,1204300,0.21
2015-02-13,0.21,0.21,0.20,0.21,4744300,0.21
2015-02-12,0.21,0.21,0.20,0.21,2506500,0.21
2015-02-11,0.205,0.2075,0.20,0.205,2797600,0.205
2015-02-10,0.21,0.21,0.20,0.20,1695400,0.20
2015-02-09,0.21,0.215,0.205,0.21,2523900,0.21
2015-02-06,0.215,0.215,0.21,0.215,1039200,0.215
2015-02-05,0.215,0.215,0.205,0.21,1741400,0.21
2015-02-04,0.215,0.215,0.205,0.215,2166600,0.215
2015-02-03,0.20,0.22,0.195,0.21,12027600,0.21
2015-02-02,0.20,0.205,0.20,0.20,1703500,0.20
2015-01-30,0.205,0.205,0.195,0.20,5998800,0.20
2015-01-29,0.195,0.205,0.195,0.20,10069700,0.20
2015-01-28,0.20,0.202,0.195,0.195,4295700,0.195
2015-01-27,0.20,0.205,0.20,0.20,3096800,0.20
2015-01-26,0.20,0.20,0.20,0.20,000,0.20
2015-01-23,0.205,0.205,0.20,0.20,1546000,0.20
2015-01-22,0.205,0.21,0.20,0.20,2222600,0.20
2015-01-21,0.205,0.21,0.20,0.20,2892700,0.20
2015-01-20,0.205,0.21,0.20,0.20,4281500,0.20
2015-01-19,0.205,0.21,0.205,0.205,3255400,0.205
2015-01-16,0.205,0.21,0.205,0.205,1528400,0.205
2015-01-15,0.205,0.21,0.20,0.205,4304300,0.205
2015-01-14,0.215,0.215,0.205,0.205,3084800,0.205
2015-01-13,0.21,0.215,0.21,0.215,1677100,0.215
2015-01-12,0.215,0.22,0.205,0.22,2221800,0.22
2015-01-09,0.205,0.215,0.205,0.215,1847100,0.215
2015-01-08,0.21,0.21,0.205,0.205,1166900,0.205
2015-01-07,0.21,0.21,0.205,0.205,2737400,0.205
2015-01-06,0.215,0.22,0.21,0.215,2011000,0.215
2015-01-05,0.215,0.22,0.21,0.22,2037500,0.22
2015-01-02,0.225,0.225,0.21,0.215,2106600,0.215
2015-01-01,0.225,0.225,0.225,0.225,000,0.225
2014-12-31,0.225,0.225,0.22,0.225,1042700,0.225
