date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.62,1.625,1.58,1.605,2906600,1.605
2015-06-29,1.66,1.675,1.63,1.645,1216400,1.645
2015-06-26,1.68,1.70,1.67,1.69,421600,1.69
2015-06-25,1.68,1.695,1.645,1.675,781100,1.675
2015-06-24,1.685,1.71,1.67,1.69,728800,1.69
2015-06-23,1.67,1.695,1.65,1.685,596800,1.685
2015-06-22,1.67,1.68,1.615,1.67,1383500,1.67
2015-06-19,1.70,1.705,1.64,1.675,2330600,1.675
2015-06-18,1.78,1.81,1.735,1.755,296200,1.755
2015-06-17,1.78,1.80,1.76,1.77,299700,1.77
2015-06-16,1.745,1.81,1.725,1.76,330100,1.76
2015-06-15,1.80,1.80,1.75,1.75,246800,1.75
2015-06-12,1.825,1.83,1.78,1.80,594200,1.80
2015-06-11,1.80,1.84,1.785,1.80,561200,1.80
2015-06-10,1.815,1.85,1.76,1.77,627600,1.77
2015-06-09,1.78,1.85,1.76,1.795,581300,1.795
2015-06-08,1.74,1.74,1.74,1.74,000,1.74
2015-06-05,1.67,1.74,1.67,1.74,461700,1.74
2015-06-04,1.785,1.785,1.65,1.65,747500,1.65
2015-06-03,1.82,1.825,1.75,1.765,408500,1.765
2015-06-02,1.865,1.90,1.82,1.82,188000,1.82
2015-06-01,1.88,1.895,1.825,1.855,219500,1.855
2015-05-29,1.885,1.93,1.87,1.895,519700,1.895
2015-05-28,1.85,1.885,1.815,1.875,167300,1.875
2015-05-27,1.885,1.885,1.82,1.85,212700,1.85
2015-05-26,1.89,1.91,1.87,1.90,270600,1.90
2015-05-25,1.915,1.915,1.87,1.90,172600,1.90
2015-05-22,1.89,1.915,1.88,1.90,287200,1.90
2015-05-21,1.89,1.915,1.87,1.88,205900,1.88
2015-05-20,1.985,1.99,1.85,1.875,897100,1.875
2015-05-19,1.98,2.03,1.965,1.975,2053600,1.975
2015-05-18,1.88,1.95,1.865,1.95,2026200,1.95
2015-05-15,1.845,1.89,1.83,1.87,996200,1.87
2015-05-14,1.83,1.85,1.81,1.845,274500,1.845
2015-05-13,1.805,1.835,1.785,1.83,542400,1.83
2015-05-12,1.78,1.81,1.75,1.81,373100,1.81
2015-05-11,1.80,1.80,1.755,1.78,129400,1.78
2015-05-08,1.80,1.83,1.78,1.80,214100,1.80
2015-05-07,1.81,1.82,1.76,1.795,272000,1.795
2015-05-06,1.84,1.85,1.80,1.835,334200,1.835
2015-05-05,1.78,1.84,1.78,1.83,913800,1.83
2015-05-04,1.73,1.79,1.73,1.79,434200,1.79
2015-05-01,1.68,1.72,1.67,1.72,142500,1.72
2015-04-30,1.685,1.69,1.625,1.66,1142800,1.66
2015-04-29,1.69,1.70,1.66,1.67,245600,1.67
2015-04-28,1.625,1.70,1.625,1.70,402700,1.70
2015-04-27,1.645,1.685,1.61,1.67,586100,1.67
2015-04-24,1.615,1.66,1.59,1.655,420700,1.655
2015-04-23,1.625,1.63,1.59,1.60,466700,1.60
2015-04-22,1.69,1.70,1.61,1.625,423100,1.625
2015-04-21,1.67,1.69,1.645,1.69,173100,1.69
2015-04-20,1.65,1.675,1.605,1.635,311100,1.635
2015-04-17,1.65,1.675,1.635,1.635,532600,1.635
2015-04-16,1.63,1.655,1.62,1.635,327800,1.635
2015-04-15,1.65,1.655,1.61,1.63,304300,1.63
2015-04-14,1.66,1.66,1.625,1.66,544000,1.66
2015-04-13,1.69,1.70,1.62,1.68,428300,1.68
2015-04-10,1.70,1.75,1.67,1.69,510300,1.69
2015-04-09,1.75,1.76,1.715,1.75,209300,1.75
2015-04-08,1.72,1.76,1.715,1.715,285900,1.715
2015-04-07,1.76,1.76,1.72,1.72,309200,1.72
2015-04-06,1.735,1.735,1.735,1.735,000,1.735
2015-04-03,1.735,1.735,1.735,1.735,000,1.735
2015-04-02,1.725,1.78,1.725,1.735,236100,1.735
2015-04-01,1.79,1.79,1.74,1.76,377300,1.76
2015-03-31,1.73,1.79,1.715,1.76,770000,1.76
2015-03-30,1.70,1.72,1.65,1.715,176300,1.715
2015-03-27,1.68,1.73,1.645,1.73,243500,1.73
2015-03-26,1.735,1.735,1.67,1.70,311500,1.70
