date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.58,2.66,2.53,2.63,593300,2.63
2015-06-29,2.75,2.77,2.69,2.71,574100,2.61357
2015-06-26,2.79,2.80,2.75,2.75,284000,2.65215
2015-06-25,2.76,2.82,2.75,2.79,346500,2.69072
2015-06-24,2.75,2.77,2.74,2.76,281200,2.66179
2015-06-23,2.76,2.80,2.74,2.76,343600,2.66179
2015-06-22,2.81,2.82,2.74,2.75,253400,2.65215
2015-06-19,2.76,2.80,2.74,2.80,980700,2.70037
2015-06-18,2.73,2.76,2.73,2.75,271700,2.65215
2015-06-17,2.76,2.79,2.73,2.74,329000,2.6425
2015-06-16,2.76,2.80,2.75,2.77,144900,2.67144
2015-06-15,2.80,2.83,2.75,2.77,317900,2.67144
2015-06-12,2.87,2.87,2.76,2.80,254100,2.70037
2015-06-11,2.81,2.87,2.81,2.82,222300,2.71966
2015-06-10,2.80,2.83,2.77,2.80,212300,2.70037
2015-06-09,2.82,2.83,2.74,2.76,306400,2.66179
2015-06-08,2.82,2.82,2.82,2.82,000,2.71966
2015-06-05,2.73,2.84,2.73,2.82,437400,2.71966
2015-06-04,2.80,2.81,2.73,2.73,361400,2.63286
2015-06-03,2.84,2.84,2.80,2.82,236800,2.71966
2015-06-02,2.89,2.91,2.82,2.83,319000,2.7293
2015-06-01,2.96,2.97,2.88,2.89,315200,2.78717
2015-05-29,3.02,3.04,2.98,2.98,272600,2.87396
2015-05-28,2.94,3.03,2.93,3.02,230500,2.91254
2015-05-27,2.86,2.93,2.78,2.91,320800,2.80645
2015-05-26,2.87,2.90,2.86,2.90,116000,2.79681
2015-05-25,2.75,2.89,2.74,2.86,213100,2.75823
2015-05-22,2.78,2.80,2.64,2.74,751400,2.6425
2015-05-21,2.77,2.83,2.75,2.82,93100,2.71966
2015-05-20,2.76,2.77,2.71,2.77,165000,2.67144
2015-05-19,2.90,2.90,2.76,2.76,169100,2.66179
2015-05-18,2.90,2.95,2.86,2.90,102400,2.79681
2015-05-15,2.84,2.99,2.84,2.90,287800,2.79681
2015-05-14,2.83,2.90,2.82,2.83,240600,2.7293
2015-05-13,2.67,2.83,2.66,2.82,211300,2.71966
2015-05-12,2.67,2.68,2.63,2.66,152700,2.56535
2015-05-11,2.72,2.75,2.68,2.68,151100,2.58464
2015-05-08,2.70,2.74,2.70,2.71,128400,2.61357
2015-05-07,2.67,2.70,2.67,2.70,119500,2.60393
2015-05-06,2.70,2.71,2.67,2.67,211900,2.57499
2015-05-05,2.75,2.785,2.71,2.71,169700,2.61357
2015-05-04,2.68,2.79,2.66,2.79,308000,2.69072
2015-05-01,2.65,2.69,2.65,2.66,66300,2.56535
2015-04-30,2.65,2.69,2.61,2.64,159600,2.54606
2015-04-29,2.58,2.66,2.58,2.66,176900,2.56535
2015-04-28,2.66,2.67,2.58,2.58,213800,2.4882
2015-04-27,2.66,2.69,2.65,2.66,133200,2.56535
2015-04-24,2.70,2.705,2.65,2.65,166500,2.55571
2015-04-23,2.71,2.73,2.67,2.70,244000,2.60393
2015-04-22,2.79,2.79,2.70,2.76,269100,2.66179
2015-04-21,2.77,2.785,2.74,2.76,109500,2.66179
2015-04-20,2.75,2.77,2.72,2.75,259800,2.65215
2015-04-17,2.70,2.77,2.69,2.77,154300,2.67144
2015-04-16,2.73,2.75,2.70,2.70,91900,2.60393
2015-04-15,2.72,2.75,2.70,2.73,184000,2.63286
