date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.12,3.33,3.12,3.33,829400,3.33
2015-06-29,3.18,3.19,3.11,3.12,697700,3.12
2015-06-26,3.21,3.23,3.17,3.22,616800,3.22
2015-06-25,3.31,3.31,3.21,3.22,276900,3.22
2015-06-24,3.34,3.34,3.29,3.32,291100,3.32
2015-06-23,3.28,3.36,3.26,3.35,462200,3.35
2015-06-22,3.29,3.29,3.23,3.27,210800,3.27
2015-06-19,3.20,3.30,3.19,3.25,782600,3.25
2015-06-18,3.22,3.24,3.16,3.20,725800,3.20
2015-06-17,3.29,3.29,3.22,3.25,433800,3.25
2015-06-16,3.34,3.34,3.24,3.24,436800,3.24
2015-06-15,3.35,3.37,3.31,3.31,262400,3.31
2015-06-12,3.33,3.37,3.31,3.35,214000,3.35
2015-06-11,3.33,3.35,3.29,3.34,322200,3.34
2015-06-10,3.33,3.34,3.30,3.32,1164600,3.32
2015-06-09,3.35,3.48,3.33,3.35,582200,3.35
2015-06-08,3.35,3.35,3.35,3.35,000,3.35
2015-06-05,3.35,3.41,3.30,3.35,619600,3.35
2015-06-04,3.30,3.39,3.30,3.35,697000,3.35
2015-06-03,3.25,3.30,3.25,3.28,372200,3.28
2015-06-02,3.34,3.34,3.25,3.25,563000,3.25
2015-06-01,3.31,3.34,3.26,3.34,483600,3.34
2015-05-29,3.30,3.34,3.29,3.30,299900,3.30
2015-05-28,3.32,3.34,3.26,3.29,239600,3.29
2015-05-27,3.33,3.35,3.30,3.31,354100,3.31
2015-05-26,3.34,3.36,3.32,3.34,414200,3.34
2015-05-25,3.23,3.34,3.23,3.34,515600,3.34
2015-05-22,3.26,3.29,3.24,3.27,287200,3.27
2015-05-21,3.24,3.27,3.22,3.25,620800,3.25
2015-05-20,3.21,3.25,3.17,3.25,719500,3.25
2015-05-19,3.22,3.23,3.18,3.20,664200,3.20
2015-05-18,3.32,3.33,3.22,3.22,607400,3.22
2015-05-15,3.28,3.345,3.25,3.33,808100,3.33
2015-05-14,3.26,3.26,3.21,3.26,1232700,3.26
2015-05-13,3.21,3.30,3.20,3.30,348900,3.30
2015-05-12,3.21,3.25,3.20,3.22,514200,3.22
2015-05-11,3.29,3.31,3.22,3.23,281900,3.23
2015-05-08,3.30,3.32,3.24,3.24,1041400,3.24
2015-05-07,3.26,3.32,3.24,3.30,991500,3.30
2015-05-06,3.33,3.37,3.29,3.33,617400,3.33
2015-05-05,3.35,3.38,3.32,3.32,728600,3.32
2015-05-04,3.32,3.35,3.275,3.28,509500,3.28
2015-05-01,3.24,3.33,3.23,3.31,566900,3.31
2015-04-30,3.21,3.29,3.20,3.24,819200,3.24
2015-04-29,3.25,3.25,3.20,3.21,555600,3.21
2015-04-28,3.18,3.24,3.16,3.20,1227700,3.20
2015-04-27,3.20,3.22,3.15,3.16,851200,3.16
2015-04-24,3.23,3.23,3.17,3.19,900200,3.19
2015-04-23,3.18,3.28,3.15,3.16,1415300,3.16
2015-04-22,3.20,3.30,3.20,3.29,877600,3.29
2015-04-21,3.18,3.29,3.13,3.19,1043400,3.19
2015-04-20,3.25,3.26,3.15,3.16,1077600,3.16
2015-04-17,3.26,3.27,3.20,3.24,1083800,3.24
2015-04-16,3.34,3.37,3.25,3.26,1288800,3.26
2015-04-15,3.53,3.54,3.30,3.30,991700,3.30
2015-04-14,3.54,3.57,3.53,3.54,423000,3.54
2015-04-13,3.56,3.60,3.54,3.56,3017400,3.56
2015-04-10,3.54,3.58,3.53,3.58,408600,3.58
2015-04-09,3.52,3.55,3.50,3.54,396300,3.54
2015-04-08,3.42,3.52,3.42,3.49,1117000,3.49
2015-04-07,3.40,3.44,3.40,3.41,432600,3.41
2015-04-06,3.40,3.40,3.40,3.40,000,3.40
2015-04-03,3.40,3.40,3.40,3.40,000,3.40
2015-04-02,3.38,3.42,3.375,3.40,394900,3.40
2015-04-01,3.40,3.43,3.36,3.37,549500,3.37
2015-03-31,3.33,3.425,3.32,3.40,787600,3.40
2015-03-30,3.35,3.36,3.33,3.34,799900,3.34
2015-03-27,3.45,3.46,3.31,3.35,1021900,3.35
2015-03-26,3.49,3.50,3.44,3.47,634100,3.47
2015-03-25,3.53,3.53,3.49,3.51,697500,3.51
2015-03-24,3.56,3.58,3.53,3.53,341200,3.53
2015-03-23,3.59,3.61,3.57,3.57,182200,3.57
2015-03-20,3.54,3.62,3.53,3.59,333000,3.59
2015-03-19,3.55,3.55,3.50,3.53,680700,3.53
2015-03-18,3.50,3.54,3.47,3.49,800100,3.49
2015-03-17,3.54,3.54,3.50,3.50,317000,3.50
2015-03-16,3.54,3.56,3.51,3.52,487900,3.52
2015-03-13,3.57,3.57,3.53,3.53,312600,3.53
2015-03-12,3.60,3.66,3.59,3.63,366600,3.545
2015-03-11,3.65,3.66,3.59,3.59,474000,3.506
2015-03-10,3.69,3.71,3.65,3.65,487100,3.565
2015-03-09,3.75,3.76,3.67,3.67,334500,3.584
2015-03-06,3.80,3.83,3.76,3.76,527200,3.672
2015-03-05,3.75,3.80,3.73,3.79,418900,3.701
2015-03-04,3.70,3.75,3.69,3.73,620500,3.643
2015-03-03,3.70,3.73,3.68,3.68,335000,3.594
2015-03-02,3.75,3.79,3.68,3.69,562100,3.604
2015-02-27,3.74,3.75,3.68,3.75,790500,3.662
2015-02-26,3.74,3.75,3.63,3.75,832000,3.662
2015-02-25,3.70,3.76,3.69,3.75,477400,3.662
2015-02-24,3.64,3.68,3.62,3.66,2849200,3.574
2015-02-23,3.68,3.68,3.63,3.64,397900,3.555
2015-02-20,3.67,3.69,3.61,3.62,337900,3.535
2015-02-19,3.66,3.69,3.62,3.66,680000,3.574
2015-02-18,3.70,3.72,3.64,3.66,613000,3.574
2015-02-17,3.82,3.83,3.66,3.69,654800,3.604
2015-02-16,3.91,3.92,3.81,3.82,511600,3.731
2015-02-13,4.02,4.02,3.88,3.89,763900,3.799
2015-02-12,3.95,4.15,3.90,3.90,933400,3.809
2015-02-11,3.88,3.90,3.86,3.89,296700,3.799
2015-02-10,3.85,3.87,3.84,3.86,250100,3.77
2015-02-09,3.82,3.86,3.82,3.85,411900,3.76
2015-02-06,3.91,3.92,3.83,3.83,242400,3.74
2015-02-05,3.85,3.90,3.84,3.90,260600,3.809
2015-02-04,3.90,3.90,3.84,3.85,327200,3.76
2015-02-03,3.86,3.89,3.84,3.87,183200,3.779
2015-02-02,3.77,3.84,3.765,3.84,334000,3.75
2015-01-30,3.78,3.78,3.72,3.77,353200,3.682
2015-01-29,3.76,3.81,3.75,3.77,292100,3.682
2015-01-28,3.71,3.79,3.70,3.77,202800,3.682
2015-01-27,3.72,3.75,3.68,3.73,297900,3.643
2015-01-26,3.72,3.72,3.72,3.72,000,3.633
2015-01-23,3.70,3.72,3.68,3.72,379300,3.633
2015-01-22,3.70,3.70,3.66,3.68,245000,3.594
2015-01-21,3.68,3.72,3.66,3.69,89200,3.604
2015-01-20,3.62,3.72,3.61,3.67,422100,3.584
2015-01-19,3.66,3.67,3.61,3.62,249200,3.535
2015-01-16,3.64,3.69,3.60,3.62,408400,3.535
2015-01-15,3.61,3.70,3.60,3.68,575700,3.594
2015-01-14,3.69,3.71,3.61,3.64,597100,3.555
2015-01-13,3.80,3.82,3.65,3.71,859500,3.623
2015-01-12,3.90,3.93,3.89,3.90,145000,3.809
2015-01-09,3.84,3.90,3.82,3.90,255300,3.809
2015-01-08,3.81,3.84,3.80,3.84,231100,3.75
2015-01-07,3.86,3.865,3.76,3.81,370300,3.721
2015-01-06,3.94,3.94,3.86,3.89,270500,3.799
2015-01-05,3.90,3.98,3.88,3.98,382600,3.887
2015-01-02,3.91,3.93,3.87,3.91,104900,3.818
2015-01-01,3.91,3.91,3.91,3.91,000,3.818
2014-12-31,3.93,3.94,3.91,3.91,60100,3.818
2014-12-30,3.93,3.97,3.91,3.91,230600,3.818
2014-12-29,3.89,3.96,3.89,3.93,143900,3.838
2014-12-26,3.87,3.87,3.87,3.87,000,3.779
2014-12-25,3.87,3.87,3.87,3.87,000,3.779
