date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.067,0.071,0.066,0.07,4796000,0.07
2015-06-29,0.075,0.075,0.07,0.07,4419200,0.07
2015-06-26,0.074,0.075,0.073,0.075,3643800,0.075
2015-06-25,0.078,0.078,0.074,0.076,11550300,0.076
2015-06-24,0.077,0.081,0.075,0.077,9083400,0.077
2015-06-23,0.078,0.079,0.07,0.075,6060100,0.075
2015-06-22,0.084,0.084,0.078,0.078,4456500,0.078
2015-06-19,0.087,0.087,0.08,0.084,7988000,0.084
2015-06-18,0.088,0.088,0.086,0.086,1445100,0.086
2015-06-17,0.089,0.09,0.087,0.087,2890700,0.087
2015-06-16,0.088,0.0915,0.087,0.088,5478900,0.088
2015-06-15,0.089,0.091,0.087,0.087,3233400,0.087
2015-06-12,0.089,0.093,0.088,0.088,6025900,0.088
2015-06-11,0.094,0.1025,0.091,0.092,41741200,0.092
2015-06-10,0.086,0.088,0.085,0.087,2280200,0.087
2015-06-09,0.085,0.087,0.085,0.086,1707700,0.086
2015-06-08,0.086,0.086,0.086,0.086,000,0.086
2015-06-05,0.086,0.087,0.085,0.086,1303500,0.086
2015-06-04,0.088,0.089,0.085,0.088,1701100,0.088
2015-06-03,0.087,0.087,0.085,0.085,1205000,0.085
2015-06-02,0.088,0.089,0.085,0.085,3628900,0.085
2015-06-01,0.086,0.088,0.084,0.088,2668100,0.088
2015-05-29,0.085,0.087,0.084,0.087,2317600,0.087
2015-05-28,0.086,0.089,0.083,0.085,4698700,0.085
2015-05-27,0.088,0.088,0.085,0.086,4279200,0.086
2015-05-26,0.09,0.09,0.088,0.089,3385600,0.089
2015-05-25,0.089,0.091,0.087,0.089,5374800,0.089
2015-05-22,0.088,0.091,0.086,0.089,3321700,0.089
2015-05-21,0.085,0.089,0.084,0.086,3680800,0.086
2015-05-20,0.087,0.087,0.084,0.084,5295000,0.084
2015-05-19,0.089,0.095,0.087,0.09,17196600,0.09
2015-05-18,0.085,0.09,0.085,0.087,3476700,0.087
2015-05-15,0.081,0.088,0.08,0.085,11247800,0.085
2015-05-14,0.085,0.085,0.079,0.079,7010000,0.079
2015-05-13,0.087,0.089,0.081,0.085,8037800,0.085
2015-05-12,0.09,0.092,0.087,0.089,10895100,0.089
2015-05-11,0.079,0.089,0.078,0.088,24487300,0.088
2015-05-08,0.083,0.083,0.077,0.078,6935300,0.078
2015-05-07,0.091,0.099,0.08,0.081,22424200,0.081
2015-05-06,0.077,0.105,0.076,0.089,36589000,0.089
2015-05-05,0.077,0.08,0.074,0.08,15092300,0.08
2015-05-04,0.065,0.075,0.065,0.073,15000800,0.073
2015-05-01,0.064,0.068,0.062,0.063,16148900,0.063
2015-04-30,0.053,0.059,0.052,0.059,15738800,0.059
2015-04-29,0.052,0.052,0.05,0.051,2490800,0.051
2015-04-28,0.055,0.055,0.05,0.051,13042300,0.051
2015-04-27,0.054,0.054,0.053,0.054,12994200,0.054
2015-04-24,0.049,0.054,0.049,0.051,15669500,0.051
2015-04-23,0.051,0.051,0.049,0.049,1293100,0.049
2015-04-22,0.052,0.053,0.047,0.051,7326600,0.051
2015-04-21,0.053,0.053,0.051,0.051,5173000,0.051
2015-04-20,0.053,0.054,0.052,0.054,10831400,0.054
2015-04-17,0.054,0.054,0.052,0.053,2752600,0.053
2015-04-16,0.056,0.0565,0.052,0.053,14597900,0.053
2015-04-15,0.056,0.056,0.053,0.053,9468400,0.053
2015-04-13,0.056,0.06,0.054,0.059,8734200,0.059
2015-04-10,0.055,0.056,0.054,0.055,3600300,0.055
2015-04-09,0.052,0.056,0.051,0.056,6272900,0.056
2015-04-08,0.054,0.054,0.05,0.051,8100000,0.051
2015-04-07,0.054,0.0555,0.052,0.052,4344500,0.052
2015-04-06,0.053,0.053,0.053,0.053,000,0.053
2015-04-03,0.053,0.053,0.053,0.053,000,0.053
2015-04-02,0.054,0.055,0.051,0.053,2978100,0.053
2015-04-01,0.054,0.056,0.049,0.055,6819300,0.055
2015-03-31,0.055,0.055,0.049,0.05,3576200,0.05
2015-03-30,0.054,0.056,0.053,0.056,887300,0.056
2015-03-27,0.057,0.057,0.054,0.055,2990400,0.055
2015-03-26,0.056,0.059,0.055,0.056,4752300,0.056
2015-03-25,0.057,0.057,0.055,0.055,1596700,0.055
2015-03-24,0.059,0.0595,0.054,0.057,9037100,0.057
2015-03-23,0.06,0.061,0.055,0.058,6219500,0.058
2015-03-20,0.059,0.059,0.055,0.055,4275900,0.055
2015-03-19,0.059,0.062,0.059,0.06,2969300,0.06
2015-03-18,0.057,0.058,0.056,0.057,469200,0.057
2015-03-17,0.058,0.059,0.056,0.057,1537000,0.057
2015-03-16,0.061,0.061,0.057,0.058,1803800,0.058
2015-03-13,0.062,0.064,0.06,0.062,4657300,0.062
2015-03-12,0.064,0.064,0.06,0.061,1606900,0.061
2015-03-11,0.062,0.063,0.062,0.063,1635300,0.063
2015-03-10,0.064,0.068,0.064,0.067,2252900,0.067
2015-03-09,0.062,0.062,0.059,0.062,2663800,0.062
2015-03-06,0.07,0.07,0.062,0.063,6000100,0.063
2015-03-05,0.075,0.075,0.069,0.069,3508700,0.069
2015-03-04,0.076,0.076,0.072,0.074,1557100,0.074
2015-03-03,0.077,0.08,0.074,0.076,4886900,0.076
2015-03-02,0.072,0.076,0.071,0.075,3782500,0.075
2015-02-27,0.067,0.07,0.066,0.07,3544300,0.07
2015-02-26,0.063,0.065,0.063,0.065,1207800,0.065
2015-02-25,0.065,0.067,0.061,0.062,3471500,0.062
2015-02-24,0.067,0.067,0.063,0.065,4587800,0.065
2015-02-23,0.07,0.07,0.067,0.067,3797200,0.067
2015-02-20,0.073,0.074,0.07,0.071,2034500,0.071
2015-02-19,0.074,0.074,0.071,0.072,1565700,0.072
2015-02-18,0.077,0.077,0.073,0.074,3202600,0.074
2015-02-17,0.078,0.08,0.074,0.074,4129700,0.074
2015-02-16,0.074,0.0795,0.073,0.077,7320100,0.077
2015-02-13,0.072,0.074,0.071,0.073,5452100,0.073
2015-02-12,0.069,0.073,0.068,0.07,5552100,0.07
2015-02-11,0.069,0.073,0.067,0.068,2257300,0.068
2015-02-10,0.076,0.076,0.066,0.071,8943800,0.071
2015-02-09,0.075,0.078,0.073,0.074,5777700,0.074
2015-02-06,0.073,0.08,0.073,0.074,18585500,0.074
2015-02-05,0.071,0.073,0.069,0.073,10566100,0.073
2015-02-04,0.072,0.073,0.068,0.073,24929800,0.073
2015-02-03,0.055,0.073,0.054,0.066,56532600,0.066
2015-02-02,0.057,0.058,0.046,0.058,67840700,0.058
2015-01-30,0.092,0.092,0.034,0.049,205790100,0.049
2015-01-29,0.105,0.11,0.105,0.11,939600,0.11
2015-01-28,0.11,0.11,0.105,0.11,4432300,0.11
2015-01-27,0.11,0.115,0.105,0.11,3486600,0.11
2015-01-26,0.11,0.11,0.11,0.11,000,0.11
2015-01-23,0.11,0.115,0.105,0.11,6464000,0.11
2015-01-22,0.11,0.1125,0.105,0.11,5983800,0.11
2015-01-21,0.11,0.11,0.105,0.11,4205000,0.11
2015-01-20,0.115,0.12,0.11,0.115,1939400,0.115
2015-01-19,0.125,0.13,0.115,0.12,3368000,0.12
2015-01-16,0.135,0.135,0.11,0.12,5881500,0.12
2015-01-15,0.115,0.13,0.115,0.125,6270300,0.125
2015-01-14,0.125,0.13,0.11,0.11,9110800,0.11
2015-01-13,0.145,0.145,0.135,0.14,1824400,0.14
2015-01-12,0.15,0.16,0.147,0.15,2567900,0.15
2015-01-09,0.16,0.16,0.15,0.155,1858300,0.155
2015-01-08,0.15,0.155,0.14,0.155,2958900,0.155
2015-01-07,0.155,0.157,0.15,0.15,1865900,0.15
2015-01-06,0.155,0.16,0.15,0.16,6132800,0.16
2015-01-05,0.17,0.175,0.155,0.17,6046000,0.17
2015-01-02,0.135,0.155,0.13,0.155,4392700,0.155
2015-01-01,0.13,0.13,0.13,0.13,000,0.13
2014-12-31,0.12,0.13,0.12,0.13,2440700,0.13
2014-12-30,0.115,0.12,0.112,0.12,1294900,0.12
2014-12-29,0.115,0.12,0.11,0.11,2670000,0.11
2014-12-26,0.115,0.115,0.115,0.115,000,0.115
2014-12-25,0.115,0.115,0.115,0.115,000,0.115
2014-12-24,0.11,0.115,0.107,0.115,1254200,0.115
2014-12-23,0.11,0.11,0.105,0.105,1537700,0.105
2014-12-22,0.099,0.11,0.091,0.105,5197200,0.105
2014-12-19,0.105,0.107,0.095,0.096,11390800,0.096
2014-12-18,0.11,0.11,0.10,0.105,3617700,0.105
2014-12-17,0.11,0.11,0.105,0.105,1798400,0.105
2014-12-16,0.10,0.105,0.10,0.105,2459600,0.105
2014-12-15,0.10,0.105,0.10,0.10,2965500,0.10
2014-12-12,0.105,0.1075,0.097,0.10,10304000,0.10
2014-12-11,0.11,0.11,0.10,0.11,6791500,0.11
2014-12-10,0.12,0.12,0.11,0.115,3171400,0.115
2014-12-09,0.12,0.12,0.115,0.115,7413400,0.115
2014-12-08,0.135,0.14,0.12,0.125,11999000,0.125
2014-12-05,0.13,0.14,0.125,0.13,12175800,0.13
2014-12-04,0.14,0.145,0.122,0.125,12067400,0.125
2014-12-03,0.13,0.14,0.125,0.135,9583600,0.135
2014-12-02,0.14,0.14,0.12,0.13,13138400,0.13
2014-12-01,0.155,0.155,0.12,0.12,13909400,0.12
2014-11-28,0.17,0.175,0.16,0.16,3123700,0.16
2014-11-27,0.185,0.185,0.17,0.17,3880500,0.17
2014-11-26,0.175,0.185,0.175,0.18,4627700,0.18
2014-11-25,0.18,0.185,0.16,0.17,35698600,0.17
2014-11-24,0.20,0.20,0.175,0.175,3842100,0.175
2014-11-21,0.18,0.19,0.175,0.185,2800600,0.185
2014-11-20,0.19,0.19,0.172,0.18,2746800,0.18
2014-11-19,0.19,0.19,0.182,0.185,2095300,0.185
2014-11-18,0.195,0.20,0.19,0.19,1995700,0.19
2014-11-17,0.20,0.205,0.195,0.195,2552200,0.195
2014-11-14,0.20,0.202,0.19,0.20,3805300,0.20
2014-11-13,0.20,0.205,0.195,0.20,4198700,0.20
2014-11-12,0.205,0.205,0.195,0.20,893600,0.20
2014-11-11,0.205,0.21,0.195,0.20,1899100,0.20
2014-11-10,0.21,0.21,0.19,0.205,2546400,0.205
2014-11-07,0.225,0.225,0.20,0.205,5730800,0.205
2014-11-06,0.24,0.24,0.215,0.22,3134100,0.22
2014-11-05,0.255,0.26,0.235,0.235,2958700,0.235
2014-11-04,0.26,0.27,0.255,0.26,1123000,0.26
2014-11-03,0.255,0.2675,0.255,0.265,3398400,0.265
2014-10-31,0.25,0.26,0.25,0.26,655700,0.26
2014-10-30,0.255,0.255,0.247,0.255,1440800,0.255
2014-10-29,0.25,0.2575,0.245,0.255,2140500,0.255
2014-10-28,0.255,0.255,0.235,0.245,3447800,0.245
2014-10-27,0.265,0.265,0.25,0.255,1294600,0.255
2014-10-24,0.255,0.265,0.252,0.265,2326000,0.265
2014-10-23,0.255,0.255,0.245,0.255,1283900,0.255
2014-10-22,0.235,0.2675,0.235,0.255,4826900,0.255
2014-10-21,0.225,0.225,0.215,0.225,3324600,0.225
2014-10-20,0.24,0.245,0.22,0.225,3958200,0.225
2014-10-17,0.24,0.245,0.22,0.225,7011300,0.225
2014-10-16,0.24,0.245,0.232,0.235,1473500,0.235
2014-10-15,0.25,0.25,0.24,0.24,855900,0.24
2014-10-14,0.24,0.25,0.24,0.25,539800,0.25
2014-10-13,0.24,0.25,0.24,0.245,554400,0.245
2014-10-10,0.25,0.255,0.24,0.24,5177400,0.24
2014-10-09,0.255,0.2575,0.252,0.255,2502800,0.255
2014-10-08,0.255,0.255,0.245,0.25,2151800,0.25
2014-10-07,0.265,0.265,0.24,0.26,2110000,0.26
2014-10-06,0.245,0.255,0.242,0.255,266400,0.255
2014-10-03,0.25,0.255,0.237,0.25,2178700,0.25
2014-10-02,0.255,0.255,0.25,0.25,1429700,0.25
2014-10-01,0.25,0.255,0.245,0.255,3283200,0.255
2014-09-30,0.275,0.275,0.25,0.25,5537000,0.25
2014-09-29,0.28,0.282,0.26,0.27,2946700,0.27
2014-09-26,0.28,0.285,0.27,0.28,3329200,0.28
2014-09-25,0.29,0.29,0.28,0.285,2164900,0.285
2014-09-24,0.285,0.29,0.277,0.285,5714000,0.285
2014-09-23,0.28,0.285,0.28,0.285,3775300,0.285
2014-09-22,0.30,0.30,0.285,0.285,3087000,0.285
2014-09-19,0.295,0.30,0.29,0.30,5117500,0.30
2014-09-18,0.295,0.295,0.29,0.29,1927600,0.29
2014-09-17,0.29,0.295,0.287,0.295,4115000,0.295
2014-09-16,0.29,0.29,0.28,0.28,1224600,0.28
2014-09-15,0.29,0.29,0.28,0.29,1952800,0.29
2014-09-12,0.285,0.29,0.28,0.29,1979800,0.29
2014-09-11,0.29,0.29,0.28,0.29,3488400,0.29
2014-09-10,0.285,0.29,0.275,0.29,5958400,0.29
2014-09-09,0.28,0.29,0.275,0.29,3003700,0.29
2014-09-08,0.275,0.28,0.27,0.275,1925200,0.275
2014-09-05,0.285,0.29,0.272,0.28,6394100,0.28
2014-09-04,0.295,0.295,0.28,0.28,4483100,0.28
2014-09-03,0.30,0.30,0.29,0.295,5618800,0.295
2014-09-02,0.31,0.312,0.295,0.30,6535300,0.30
2014-09-01,0.33,0.34,0.31,0.315,23517400,0.315
2014-08-29,0.30,0.30,0.30,0.30,000,0.30
2014-08-28,0.30,0.30,0.30,0.30,000,0.30
2014-08-27,0.30,0.30,0.30,0.30,000,0.30
2014-08-26,0.30,0.30,0.30,0.30,000,0.30
2014-08-25,0.30,0.30,0.30,0.30,000,0.30
2014-08-22,0.31,0.31,0.297,0.30,1063000,0.30
2014-08-21,0.31,0.31,0.302,0.31,1149600,0.31
2014-08-20,0.305,0.305,0.30,0.305,457700,0.305
2014-08-19,0.29,0.305,0.29,0.30,2946400,0.30
2014-08-18,0.295,0.295,0.285,0.285,1329200,0.285
2014-08-15,0.29,0.3025,0.285,0.295,2812400,0.295
2014-08-14,0.29,0.295,0.29,0.295,480500,0.295
2014-08-13,0.285,0.2925,0.28,0.29,4692400,0.29
2014-08-12,0.29,0.29,0.28,0.28,4108900,0.28
2014-08-11,0.295,0.2975,0.285,0.29,2191000,0.29
2014-08-08,0.30,0.305,0.295,0.295,5625800,0.295
2014-08-07,0.30,0.305,0.30,0.30,1825800,0.30
2014-08-06,0.30,0.305,0.295,0.30,11107400,0.30
2014-08-05,0.32,0.32,0.30,0.305,4467700,0.305
2014-08-04,0.315,0.32,0.31,0.315,3196600,0.315
2014-08-01,0.31,0.32,0.31,0.32,3608500,0.32
2014-07-31,0.335,0.335,0.29,0.325,9597100,0.325
2014-07-30,0.33,0.34,0.33,0.34,552100,0.34
2014-07-29,0.335,0.3375,0.33,0.33,755600,0.33
2014-07-28,0.335,0.34,0.335,0.335,3731100,0.335
2014-07-25,0.34,0.34,0.335,0.34,618600,0.34
2014-07-24,0.34,0.34,0.33,0.335,2523500,0.335
2014-07-23,0.335,0.34,0.332,0.34,904100,0.34
2014-07-22,0.34,0.34,0.335,0.335,463900,0.335
2014-07-21,0.34,0.34,0.33,0.34,636800,0.34
2014-07-18,0.335,0.34,0.33,0.34,2126200,0.34
2014-07-17,0.33,0.345,0.33,0.335,2103100,0.335
2014-07-16,0.33,0.337,0.33,0.335,2160600,0.335
2014-07-15,0.34,0.34,0.332,0.335,3135300,0.335
2014-07-14,0.335,0.345,0.335,0.335,645000,0.335
2014-07-11,0.34,0.345,0.335,0.335,2073900,0.335
2014-07-10,0.33,0.34,0.33,0.34,2224500,0.34
2014-07-09,0.335,0.34,0.33,0.33,904800,0.33
2014-07-08,0.335,0.35,0.335,0.335,2581400,0.335
2014-07-07,0.345,0.345,0.335,0.345,1157000,0.345
2014-07-04,0.35,0.35,0.342,0.345,2622100,0.345
2014-07-03,0.34,0.355,0.337,0.345,3724000,0.345
2014-07-02,0.32,0.335,0.315,0.33,2326200,0.33
2014-07-01,0.32,0.322,0.31,0.315,2437100,0.315
2014-06-30,0.325,0.3275,0.317,0.32,1951200,0.32
2014-06-27,0.34,0.34,0.325,0.325,2172900,0.325
2014-06-26,0.34,0.3425,0.332,0.34,2918800,0.34
2014-06-25,0.335,0.34,0.325,0.34,2175700,0.34
2014-06-24,0.335,0.335,0.33,0.335,1961200,0.335
2014-06-23,0.33,0.335,0.325,0.335,4149700,0.335
2014-06-20,0.32,0.32,0.315,0.32,7305700,0.32
2014-06-19,0.32,0.325,0.315,0.32,3070700,0.32
2014-06-18,0.325,0.33,0.307,0.315,4198800,0.315
2014-06-17,0.325,0.33,0.32,0.325,1353500,0.325
2014-06-16,0.33,0.335,0.315,0.33,6538300,0.33
