date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.39,2.41,2.37,2.41,54700,2.41
2015-06-29,2.42,2.44,2.35,2.39,145400,2.39
2015-06-26,2.42,2.47,2.42,2.42,77600,2.42
2015-06-25,2.50,2.51,2.49,2.50,186400,2.4393
2015-06-24,2.50,2.51,2.49,2.50,154200,2.4393
2015-06-23,2.50,2.505,2.47,2.50,224200,2.4393
2015-06-22,2.48,2.52,2.48,2.48,181900,2.41979
2015-06-19,2.47,2.51,2.47,2.51,76900,2.44906
2015-06-18,2.48,2.51,2.46,2.47,124100,2.41003
2015-06-17,2.47,2.50,2.45,2.50,267600,2.4393
2015-06-16,2.52,2.52,2.48,2.48,162600,2.41979
2015-06-15,2.50,2.54,2.47,2.50,200000,2.4393
2015-06-12,2.51,2.53,2.47,2.47,236100,2.41003
2015-06-11,2.53,2.54,2.48,2.48,153100,2.41979
2015-06-10,2.49,2.53,2.46,2.47,113200,2.41003
2015-06-09,2.55,2.55,2.45,2.45,190600,2.39051
2015-06-08,2.53,2.53,2.53,2.53,000,2.46857
2015-06-05,2.47,2.54,2.46,2.53,98600,2.46857
2015-06-04,2.54,2.54,2.46,2.46,119600,2.40027
2015-06-03,2.50,2.51,2.46,2.46,251900,2.40027
2015-06-02,2.50,2.53,2.48,2.48,169600,2.41979
2015-06-01,2.47,2.50,2.46,2.46,88900,2.40027
2015-05-29,2.48,2.50,2.47,2.47,28000,2.41003
2015-05-28,2.48,2.48,2.46,2.47,56900,2.41003
2015-05-27,2.47,2.49,2.46,2.46,82100,2.40027
2015-05-26,2.50,2.50,2.45,2.49,229200,2.42954
2015-05-25,2.52,2.56,2.47,2.49,142400,2.42954
2015-05-22,2.55,2.55,2.51,2.51,141700,2.44906
2015-05-21,2.52,2.56,2.50,2.51,178400,2.44906
2015-05-20,2.49,2.52,2.49,2.52,35500,2.45881
2015-05-19,2.48,2.53,2.48,2.49,637300,2.42954
2015-05-18,2.50,2.52,2.48,2.49,505900,2.42954
2015-05-15,2.50,2.52,2.50,2.52,64400,2.45881
2015-05-14,2.53,2.53,2.45,2.45,225600,2.39051
2015-05-13,2.46,2.53,2.44,2.51,298300,2.44906
2015-05-12,2.44,2.45,2.36,2.45,182200,2.39051
2015-05-11,2.50,2.50,2.37,2.43,201300,2.371
2015-05-08,2.51,2.51,2.46,2.47,131700,2.41003
2015-05-07,2.54,2.54,2.45,2.46,291400,2.40027
2015-05-06,2.54,2.555,2.52,2.53,179700,2.46857
2015-05-05,2.54,2.60,2.54,2.54,74700,2.47833
2015-05-04,2.61,2.61,2.54,2.54,94100,2.47833
2015-05-01,2.56,2.60,2.55,2.60,109100,2.53687
2015-04-30,2.60,2.62,2.56,2.58,88500,2.51736
2015-04-29,2.56,2.57,2.54,2.56,146800,2.49784
2015-04-28,2.58,2.62,2.55,2.56,63600,2.49784
2015-04-27,2.61,2.625,2.58,2.58,93800,2.51736
2015-04-24,2.61,2.64,2.59,2.61,31600,2.54663
2015-04-23,2.63,2.64,2.60,2.64,100100,2.5759
2015-04-22,2.61,2.64,2.59,2.64,154500,2.5759
2015-04-21,2.61,2.63,2.59,2.61,57600,2.54663
2015-04-20,2.62,2.63,2.57,2.63,125600,2.56614
2015-04-17,2.62,2.63,2.58,2.61,146700,2.54663
2015-04-16,2.60,2.63,2.58,2.62,151400,2.55639
2015-04-15,2.59,2.625,2.59,2.61,89700,2.54663
2015-04-14,2.56,2.58,2.54,2.54,122800,2.47833
2015-04-13,2.61,2.62,2.55,2.56,162100,2.49784
2015-04-10,2.57,2.66,2.53,2.66,81300,2.59542
2015-04-09,2.53,2.57,2.52,2.54,110800,2.47833
2015-04-08,2.52,2.58,2.52,2.58,127700,2.51736
2015-04-07,2.55,2.59,2.50,2.50,191100,2.4393
2015-04-06,2.54,2.54,2.54,2.54,000,2.47833
2015-04-03,2.54,2.54,2.54,2.54,000,2.47833
2015-04-02,2.55,2.58,2.51,2.54,122400,2.47833
2015-04-01,2.55,2.57,2.52,2.54,205000,2.47833
2015-03-31,2.52,2.60,2.52,2.55,331100,2.48809
2015-03-30,2.55,2.55,2.49,2.51,292500,2.44906
2015-03-27,2.58,2.60,2.53,2.55,246100,2.48809
2015-03-26,2.66,2.67,2.60,2.61,186400,2.49716
2015-03-25,2.64,2.68,2.64,2.66,383300,2.545
2015-03-24,2.66,2.68,2.62,2.64,171200,2.52586
2015-03-23,2.66,2.67,2.64,2.65,307400,2.53543
2015-03-20,2.65,2.70,2.63,2.63,191800,2.5163
2015-03-19,2.67,2.71,2.63,2.71,319500,2.59284
