date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.03,6.17,6.02,6.14,39617700,6.14
2015-06-29,6.15,6.155,6.025,6.07,28558100,6.07
2015-06-26,6.26,6.28,6.18,6.20,36670200,6.20
2015-06-25,6.33,6.34,6.29,6.29,22751700,6.29
2015-06-24,6.29,6.34,6.26,6.34,22569800,6.34
2015-06-23,6.23,6.29,6.22,6.28,26468100,6.28
2015-06-22,6.15,6.20,6.145,6.18,16999900,6.18
2015-06-19,6.12,6.18,6.10,6.13,29103000,6.13
2015-06-18,6.12,6.14,6.05,6.09,50153200,6.09
2015-06-17,6.07,6.15,6.06,6.12,26770400,6.12
2015-06-16,6.01,6.08,6.00,6.03,19631600,6.03
2015-06-15,6.01,6.02,5.97,5.99,18899700,5.99
2015-06-12,6.04,6.06,6.01,6.03,14526600,6.03
2015-06-11,6.00,6.04,6.00,6.04,13698800,6.04
2015-06-10,6.01,6.03,5.95,5.96,21175300,5.96
2015-06-09,6.00,6.07,5.99,6.02,18958700,6.02
2015-06-08,6.01,6.01,6.01,6.01,000,6.01
2015-06-05,6.00,6.06,6.00,6.01,16677200,6.01
2015-06-04,6.10,6.13,6.00,6.00,26108700,6.00
2015-06-03,6.12,6.125,6.08,6.09,21986400,6.09
2015-06-02,6.23,6.23,6.14,6.14,17146700,6.14
2015-06-01,6.20,6.23,6.15,6.20,13364200,6.20
2015-05-29,6.19,6.28,6.17,6.22,32324000,6.22
2015-05-28,6.23,6.24,6.13,6.15,18710100,6.15
2015-05-27,6.28,6.28,6.20,6.21,14464200,6.21
2015-05-26,6.29,6.30,6.26,6.29,8934300,6.29
2015-05-25,6.23,6.30,6.22,6.28,18925800,6.28
2015-05-22,6.21,6.225,6.18,6.20,16063000,6.20
2015-05-21,6.18,6.21,6.155,6.18,32397400,6.18
2015-05-20,6.16,6.20,6.09,6.13,34934200,6.13
2015-05-19,6.20,6.22,6.13,6.13,23026000,6.13
2015-05-18,6.20,6.22,6.17,6.18,16632900,6.18
2015-05-15,6.21,6.23,6.16,6.20,19960100,6.20
2015-05-14,6.12,6.16,6.08,6.15,19671000,6.15
2015-05-13,6.09,6.15,6.06,6.15,20128500,6.15
2015-05-12,6.05,6.11,5.96,6.11,48933400,6.11
2015-05-11,6.21,6.225,6.05,6.05,44261800,6.05
2015-05-08,6.19,6.235,6.16,6.17,20805000,6.17
2015-05-07,6.17,6.21,6.11,6.15,38855400,6.15
2015-05-06,6.31,6.33,6.22,6.23,30165300,6.23
2015-05-05,6.36,6.42,6.33,6.38,40779800,6.38
2015-05-04,6.26,6.33,6.25,6.31,19397600,6.31
2015-05-01,6.23,6.265,6.18,6.24,24042600,6.24
2015-04-30,6.28,6.295,6.17,6.23,30459600,6.23
2015-04-29,6.39,6.40,6.295,6.32,21641500,6.32
2015-04-28,6.40,6.40,6.35,6.37,18398400,6.37
2015-04-27,6.33,6.39,6.33,6.39,17857500,6.39
2015-04-24,6.30,6.32,6.28,6.32,36102300,6.32
2015-04-23,6.25,6.27,6.21,6.26,18721200,6.26
2015-04-22,6.22,6.26,6.215,6.25,28506700,6.25
2015-04-21,6.24,6.27,6.175,6.19,21906600,6.19
2015-04-20,6.13,6.205,6.12,6.17,22704400,6.17
2015-04-17,6.21,6.22,6.13,6.14,32489200,6.14
2015-04-16,6.18,6.25,6.17,6.23,24860800,6.23
2015-04-15,6.30,6.30,6.18,6.19,23243100,6.19
2015-04-14,6.31,6.325,6.27,6.28,17470000,6.28
2015-04-13,6.29,6.34,6.28,6.32,15230500,6.32
2015-04-10,6.29,6.30,6.25,6.28,16597800,6.28
2015-04-09,6.33,6.35,6.26,6.27,16491300,6.27
2015-04-08,6.34,6.39,6.30,6.32,17077800,6.32
2015-04-07,6.35,6.40,6.33,6.33,24316600,6.33
2015-04-06,6.32,6.32,6.32,6.32,000,6.32
2015-04-03,6.32,6.32,6.32,6.32,000,6.32
2015-04-02,6.35,6.38,6.31,6.32,14752800,6.32
2015-04-01,6.32,6.38,6.31,6.33,21878900,6.33
2015-03-31,6.39,6.395,6.30,6.31,21663900,6.31
