date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.00,3.04,2.99,3.02,1015000,3.02
2015-06-29,3.06,3.07,2.98,2.98,1098300,2.98
2015-06-26,3.05,3.08,3.02,3.06,872100,3.06
2015-06-25,3.07,3.08,3.04,3.04,641700,3.04
2015-06-24,3.03,3.07,3.01,3.06,1150800,3.06
2015-06-23,3.04,3.05,3.015,3.03,695000,3.03
2015-06-22,3.10,3.10,3.04,3.04,1414900,3.04
2015-06-19,3.15,3.15,3.09,3.09,7506200,3.09
2015-06-18,3.18,3.19,3.12,3.15,1269300,3.15
2015-06-17,3.23,3.24,3.20,3.22,383200,3.22
2015-06-16,3.25,3.26,3.21,3.21,893200,3.21
2015-06-15,3.27,3.27,3.23,3.26,768000,3.26
2015-06-12,3.25,3.27,3.25,3.26,578900,3.26
2015-06-11,3.33,3.33,3.24,3.26,1522600,3.26
2015-06-10,3.35,3.38,3.34,3.36,453400,3.36
2015-06-09,3.37,3.38,3.335,3.34,500100,3.34
2015-06-08,3.41,3.41,3.41,3.41,000,3.41
2015-06-05,3.35,3.44,3.35,3.41,393600,3.41
2015-06-04,3.39,3.41,3.34,3.34,455700,3.34
2015-06-03,3.41,3.42,3.37,3.39,888000,3.39
2015-06-02,3.49,3.52,3.43,3.43,827900,3.43
2015-06-01,3.48,3.49,3.45,3.47,502000,3.47
2015-05-29,3.51,3.54,3.50,3.51,883800,3.51
2015-05-28,3.62,3.62,3.50,3.50,559500,3.50
2015-05-27,3.58,3.615,3.57,3.60,698500,3.60
2015-05-26,3.64,3.65,3.56,3.59,788200,3.59
2015-05-25,3.65,3.66,3.63,3.65,436000,3.65
2015-05-22,3.64,3.71,3.61,3.70,585700,3.70
2015-05-21,3.50,3.63,3.46,3.62,964900,3.62
2015-05-20,3.48,3.505,3.475,3.49,723200,3.49
2015-05-19,3.53,3.56,3.48,3.48,3121300,3.48
2015-05-18,3.60,3.60,3.53,3.53,271300,3.53
2015-05-15,3.59,3.60,3.57,3.59,383400,3.59
2015-05-14,3.57,3.59,3.55,3.58,649300,3.58
2015-05-13,3.53,3.605,3.49,3.59,307900,3.59
2015-05-12,3.53,3.57,3.505,3.55,1284200,3.55
2015-05-11,3.55,3.57,3.51,3.54,497400,3.54
2015-05-08,3.55,3.59,3.55,3.55,302900,3.55
2015-05-07,3.55,3.57,3.515,3.55,482700,3.55
2015-05-06,3.62,3.64,3.57,3.57,357000,3.57
2015-05-05,3.71,3.72,3.64,3.67,267800,3.67
2015-05-04,3.64,3.70,3.64,3.67,314100,3.67
2015-05-01,3.62,3.65,3.61,3.64,215200,3.64
2015-04-30,3.65,3.66,3.62,3.64,1202300,3.64
2015-04-29,3.75,3.76,3.665,3.68,344900,3.68
2015-04-28,3.77,3.78,3.74,3.77,323700,3.77
2015-04-27,3.71,3.80,3.71,3.77,238500,3.77
2015-04-24,3.66,3.74,3.64,3.71,777000,3.71
