date,Open,High,Low,Close,Volume,Adj Close
2015-05-28,9.02,9.02,9.02,9.02,000,9.02
2015-05-27,9.02,9.02,9.02,9.02,000,9.02
2015-05-26,9.02,9.02,9.02,9.02,000,9.02
2015-05-25,9.02,9.02,9.02,9.02,000,9.02
2015-05-22,9.02,9.02,9.02,9.02,000,9.02
2015-05-21,9.02,9.02,9.02,9.02,000,9.02
2015-05-20,9.02,9.02,9.02,9.02,000,9.02
2015-05-19,9.02,9.02,9.02,9.02,000,9.02
2015-05-18,9.02,9.02,9.02,9.02,000,9.02
2015-05-15,9.02,9.02,9.02,9.02,000,9.02
2015-05-14,9.02,9.03,9.01,9.02,17523900,9.02
2015-05-13,9.00,9.03,9.00,9.02,1906000,9.02
2015-05-12,9.00,9.01,9.00,9.00,2947400,9.00
2015-05-11,9.00,9.01,8.99,8.99,4768100,8.99
2015-05-08,8.99,9.01,8.99,9.00,2606500,9.00
2015-05-07,8.99,9.00,8.99,9.00,3630500,9.00
2015-05-06,9.00,9.00,8.99,8.99,3099700,8.99
2015-05-05,8.99,9.00,8.98,9.00,7142900,9.00
2015-05-04,8.98,8.99,8.97,8.98,3304700,8.98
2015-05-01,8.97,8.98,8.97,8.98,1652500,8.98
2015-04-30,8.97,8.98,8.97,8.98,3422100,8.98
2015-04-29,8.97,8.99,8.97,8.97,12437900,8.97
2015-04-28,8.97,8.99,8.97,8.97,1102500,8.97
2015-04-27,8.99,9.00,8.98,8.99,989000,8.99
2015-04-24,8.98,8.99,8.97,8.99,2345600,8.99
2015-04-23,8.98,8.98,8.97,8.98,6365000,8.98
2015-04-22,8.98,8.99,8.97,8.97,1924500,8.97
2015-04-21,8.98,8.99,8.97,8.97,1754200,8.97
2015-04-20,8.97,8.99,8.97,8.97,1353300,8.97
2015-04-17,8.98,8.98,8.97,8.98,1958100,8.98
2015-04-16,8.96,8.98,8.96,8.98,2143000,8.98
2015-04-15,8.96,8.98,8.96,8.96,1341300,8.96
2015-04-14,8.95,8.98,8.95,8.97,4019900,8.97
2015-04-13,8.96,8.97,8.95,8.97,1323600,8.97
2015-04-10,8.96,8.96,8.95,8.96,1752600,8.96
2015-04-09,8.95,8.96,8.95,8.95,2133600,8.95
2015-04-08,8.95,8.97,8.94,8.97,3595600,8.97
2015-04-07,8.94,8.95,8.94,8.94,2660800,8.94
2015-04-06,8.93,8.93,8.93,8.93,000,8.93
2015-04-03,8.93,8.93,8.93,8.93,000,8.93
2015-04-02,8.91,8.94,8.91,8.93,3371800,8.93
2015-04-01,8.87,8.92,8.87,8.90,2245900,8.90
2015-03-31,8.88,8.88,8.86,8.86,4959300,8.86
2015-03-30,8.87,8.88,8.86,8.87,2029600,8.87
2015-03-27,8.87,8.88,8.86,8.86,2679300,8.86
2015-03-26,8.88,8.89,8.86,8.86,13868100,8.86
2015-03-25,8.89,8.89,8.88,8.88,4267700,8.88
2015-03-24,8.88,8.89,8.88,8.88,2432900,8.88
2015-03-23,8.89,8.90,8.88,8.88,2170400,8.88
2015-03-20,8.88,8.90,8.88,8.89,7213900,8.89
