date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.00,3.05,2.96,3.02,55600,3.02
2015-06-29,3.11,3.11,2.95,3.00,55600,3.00
2015-06-26,3.02,3.06,2.97,3.03,18700,3.03
2015-06-25,3.10,3.15,3.00,3.00,378200,3.00
2015-06-24,3.06,3.10,3.05,3.10,104200,3.10
2015-06-23,2.95,3.06,2.95,3.06,41100,3.06
2015-06-22,3.06,3.06,2.95,2.95,111400,2.95
2015-06-19,3.03,3.06,3.02,3.03,81600,3.03
2015-06-18,3.03,3.08,3.01,3.03,69200,3.03
2015-06-17,3.05,3.13,3.01,3.05,111000,3.05
2015-06-16,3.05,3.17,3.04,3.05,135000,3.05
2015-06-15,3.04,3.11,2.99,3.04,65800,3.04
2015-06-12,3.11,3.14,2.96,3.04,137500,3.04
2015-06-11,3.08,3.16,3.08,3.10,51200,3.10
2015-06-10,3.20,3.20,3.09,3.10,155500,3.10
2015-06-09,3.18,3.24,3.11,3.11,255000,3.11
2015-06-08,3.25,3.25,3.25,3.25,000,3.25
2015-06-05,3.17,3.30,3.15,3.25,146600,3.25
2015-06-04,3.08,3.18,3.06,3.13,151600,3.13
2015-06-03,3.11,3.19,3.11,3.16,87500,3.16
2015-06-02,3.17,3.19,3.06,3.12,220900,3.12
2015-06-01,3.18,3.18,3.12,3.14,79700,3.14
2015-05-29,3.15,3.25,3.15,3.15,232300,3.15
2015-05-28,3.135,3.17,3.13,3.15,145100,3.15
2015-05-27,3.17,3.17,3.12,3.15,232400,3.15
2015-05-26,3.06,3.19,3.06,3.17,133600,3.17
2015-05-25,3.08,3.10,3.06,3.08,304300,3.08
2015-05-22,3.08,3.11,3.03,3.08,125300,3.08
2015-05-21,3.11,3.11,3.05,3.07,80800,3.07
2015-05-20,3.10,3.12,3.05,3.11,191300,3.11
2015-05-19,3.07,3.09,3.02,3.09,152000,3.09
2015-05-18,3.10,3.11,3.08,3.08,12500,3.08
2015-05-15,3.11,3.12,3.08,3.10,70500,3.10
2015-05-14,3.12,3.12,3.06,3.09,41800,3.09
2015-05-13,3.13,3.17,3.10,3.15,174200,3.15
2015-05-12,3.07,3.15,3.04,3.09,168600,3.09
2015-05-11,3.06,3.15,3.06,3.11,107700,3.11
2015-05-08,3.03,3.06,3.00,3.02,126100,3.02
2015-05-07,3.13,3.13,3.02,3.02,179500,3.02
2015-05-06,3.11,3.15,3.07,3.13,124000,3.13
2015-05-05,3.05,3.11,3.05,3.11,167700,3.11
2015-05-04,3.02,3.08,3.02,3.07,166500,3.07
2015-05-01,3.07,3.07,3.01,3.04,96600,3.04
2015-04-30,2.98,3.07,2.98,3.02,359000,3.02
2015-04-29,3.06,3.06,2.97,3.01,241700,3.01
2015-04-28,3.01,3.04,2.98,3.04,164100,3.04
2015-04-27,2.93,3.05,2.895,3.02,368500,3.02
2015-04-24,2.93,2.95,2.87,2.93,1237200,2.93
2015-04-23,2.90,2.96,2.89,2.96,346100,2.96
2015-04-22,2.87,2.91,2.84,2.90,179100,2.90
2015-04-21,2.90,2.90,2.85,2.87,35400,2.87
2015-04-20,2.90,2.92,2.82,2.92,575500,2.92
2015-04-17,2.98,2.98,2.89,2.90,123300,2.90
2015-04-16,2.90,2.95,2.89,2.90,110400,2.90
2015-04-15,2.91,2.91,2.86,2.90,492900,2.90
2015-04-14,2.96,2.96,2.86,2.91,126100,2.91
2015-04-13,2.95,2.97,2.93,2.97,186900,2.97
2015-04-10,2.93,2.95,2.92,2.95,170400,2.95
2015-04-09,2.93,2.95,2.90,2.95,55600,2.95
2015-04-08,2.90,2.94,2.90,2.93,210000,2.93
2015-04-07,2.84,2.93,2.82,2.89,189200,2.89
2015-04-06,2.92,2.92,2.92,2.92,000,2.92
2015-04-03,2.92,2.92,2.92,2.92,000,2.92
2015-04-02,2.94,2.96,2.92,2.92,79400,2.92
2015-04-01,2.83,2.945,2.83,2.93,140900,2.93
2015-03-31,2.92,2.92,2.82,2.83,110000,2.83
2015-03-30,2.93,2.95,2.88,2.88,39500,2.88
2015-03-27,2.91,2.96,2.905,2.94,260400,2.94
2015-03-26,2.88,2.92,2.83,2.90,109300,2.90
2015-03-25,2.92,2.94,2.86,2.89,81000,2.89
2015-03-24,2.96,2.96,2.89,2.90,304000,2.90
2015-03-23,2.96,2.99,2.96,2.98,640100,2.98
2015-03-20,2.90,2.96,2.89,2.95,186300,2.95
2015-03-19,2.91,3.00,2.90,2.92,80600,2.92
2015-03-18,2.89,2.94,2.82,2.94,85500,2.94
2015-03-17,2.95,2.97,2.86,2.86,117700,2.86
2015-03-16,2.90,2.90,2.83,2.89,55900,2.89
2015-03-13,3.00,3.00,2.83,2.92,71500,2.92
2015-03-12,2.94,3.01,2.90,2.92,229800,2.92
2015-03-11,2.87,3.02,2.87,2.97,228300,2.97
2015-03-10,2.90,2.98,2.78,2.91,350600,2.91
2015-03-09,2.94,2.99,2.90,2.90,260400,2.843
2015-03-06,2.92,2.935,2.81,2.89,1708100,2.833
2015-03-05,2.98,2.98,2.90,2.91,278400,2.853
2015-03-04,3.03,3.04,2.93,2.98,271400,2.921
2015-03-03,3.10,3.10,2.97,3.08,268000,3.019
2015-03-02,3.01,3.12,2.985,3.10,475600,3.039
2015-02-27,2.98,3.02,2.96,3.00,339700,2.941
2015-02-26,2.90,3.02,2.90,2.98,474800,2.921
2015-02-25,2.93,2.94,2.85,2.94,344800,2.882
2015-02-24,2.84,2.97,2.84,2.93,616600,2.872
2015-02-23,2.78,2.83,2.78,2.83,518900,2.774
2015-02-20,2.81,2.82,2.77,2.80,395600,2.745
2015-02-19,2.76,2.81,2.76,2.80,261800,2.745
2015-02-18,2.81,2.82,2.75,2.75,277300,2.696
2015-02-17,2.79,2.81,2.75,2.81,145300,2.755
2015-02-16,2.83,2.83,2.80,2.82,78400,2.764
2015-02-13,2.85,2.85,2.79,2.83,234300,2.774
2015-02-12,2.82,2.85,2.795,2.84,388400,2.784
2015-02-11,2.85,2.90,2.83,2.85,227200,2.794
2015-02-10,2.85,2.86,2.83,2.85,127800,2.794
2015-02-09,2.82,2.86,2.81,2.85,72100,2.794
2015-02-06,2.84,2.85,2.815,2.83,88600,2.774
2015-02-05,2.85,2.86,2.80,2.85,248500,2.794
2015-02-04,2.77,2.87,2.76,2.85,343100,2.794
2015-02-03,2.85,2.86,2.73,2.76,174900,2.706
2015-02-02,2.89,2.89,2.82,2.86,330100,2.804
2015-01-30,2.79,2.93,2.75,2.91,478900,2.853
2015-01-29,2.74,2.80,2.70,2.77,281200,2.715
2015-01-28,2.69,2.76,2.67,2.74,461800,2.686
2015-01-27,2.65,2.74,2.65,2.69,329200,2.637
2015-01-26,2.60,2.60,2.60,2.60,000,2.549
2015-01-23,2.60,2.67,2.60,2.60,657500,2.549
2015-01-22,2.60,2.68,2.55,2.58,836000,2.529
2015-01-21,2.38,2.475,2.38,2.47,124600,2.421
2015-01-20,2.35,2.40,2.35,2.40,23600,2.353
2015-01-19,2.31,2.38,2.31,2.38,74100,2.333
2015-01-16,2.39,2.39,2.29,2.30,228100,2.255
2015-01-15,2.41,2.44,2.33,2.36,297300,2.313
2015-01-14,2.48,2.49,2.41,2.41,112500,2.363
2015-01-13,2.49,2.52,2.42,2.49,127200,2.441
2015-01-12,2.48,2.52,2.46,2.50,83100,2.451
2015-01-09,2.46,2.52,2.46,2.50,69900,2.451
2015-01-08,2.49,2.50,2.41,2.43,87700,2.382
2015-01-07,2.49,2.50,2.40,2.48,166100,2.431
2015-01-06,2.41,2.43,2.38,2.40,134500,2.353
2015-01-05,2.45,2.46,2.38,2.39,91200,2.343
2015-01-02,2.38,2.46,2.32,2.43,135900,2.382
2015-01-01,2.38,2.38,2.38,2.38,000,2.333
2014-12-31,2.41,2.42,2.38,2.38,29500,2.333
2014-12-30,2.43,2.43,2.38,2.40,38500,2.353
2014-12-29,2.37,2.45,2.37,2.41,128600,2.363
2014-12-26,2.38,2.38,2.38,2.38,000,2.333
2014-12-25,2.38,2.38,2.38,2.38,000,2.333
2014-12-24,2.37,2.40,2.35,2.38,56400,2.333
2014-12-23,2.40,2.40,2.36,2.37,226700,2.323
2014-12-22,2.37,2.46,2.33,2.38,291200,2.333
2014-12-19,2.38,2.39,2.305,2.34,363300,2.294
2014-12-18,2.36,2.39,2.36,2.37,207400,2.323
