date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.74,0.77,0.735,0.77,5943600,0.77
2015-06-29,0.75,0.76,0.74,0.745,3958100,0.745
2015-06-26,0.755,0.775,0.755,0.765,4800300,0.765
2015-06-25,0.775,0.78,0.76,0.775,4645800,0.775
2015-06-24,0.78,0.80,0.755,0.775,11122300,0.775
2015-06-23,0.765,0.79,0.76,0.78,10943900,0.78
2015-06-22,0.74,0.77,0.73,0.765,5148000,0.765
2015-06-19,0.73,0.755,0.725,0.755,10001200,0.755
2015-06-18,0.72,0.73,0.712,0.725,42361200,0.725
2015-06-17,0.75,0.755,0.727,0.74,5745600,0.74
2015-06-16,0.785,0.785,0.745,0.75,9728100,0.75
2015-06-15,0.775,0.7925,0.75,0.775,9739000,0.775
2015-06-12,0.805,0.83,0.78,0.78,9694800,0.78
2015-06-11,0.79,0.82,0.79,0.815,6949500,0.815
2015-06-10,0.80,0.81,0.785,0.80,2479700,0.80
2015-06-09,0.795,0.82,0.795,0.80,2983100,0.80
2015-06-08,0.815,0.815,0.815,0.815,000,0.815
2015-06-05,0.795,0.82,0.785,0.815,2737400,0.815
2015-06-04,0.82,0.835,0.805,0.81,3673700,0.81
2015-06-03,0.78,0.82,0.78,0.82,8866400,0.82
2015-06-02,0.825,0.84,0.79,0.795,5479700,0.795
2015-06-01,0.81,0.8275,0.795,0.82,13977800,0.82
2015-05-29,0.78,0.825,0.78,0.815,14245300,0.815
2015-05-28,0.78,0.785,0.77,0.78,1798400,0.78
2015-05-27,0.765,0.78,0.76,0.77,10709900,0.77
2015-05-26,0.75,0.77,0.75,0.77,2322500,0.77
2015-05-25,0.745,0.762,0.742,0.75,3886600,0.75
2015-05-22,0.735,0.745,0.73,0.74,3037100,0.74
2015-05-21,0.725,0.74,0.715,0.735,3972000,0.735
2015-05-20,0.69,0.72,0.675,0.72,5431100,0.72
2015-05-19,0.70,0.705,0.685,0.685,3409700,0.685
2015-05-18,0.71,0.72,0.705,0.71,1439400,0.71
2015-05-15,0.71,0.72,0.705,0.715,4389100,0.715
2015-05-14,0.70,0.715,0.70,0.71,11370300,0.71
2015-05-13,0.715,0.73,0.695,0.705,34001800,0.705
2015-05-12,0.715,0.725,0.685,0.705,28746100,0.705
2015-05-11,0.77,0.785,0.76,0.78,4608600,0.78
2015-05-08,0.745,0.767,0.74,0.755,3644000,0.755
2015-05-07,0.76,0.77,0.74,0.745,6544700,0.745
2015-05-06,0.765,0.78,0.765,0.765,4978200,0.765
2015-05-05,0.80,0.802,0.755,0.77,13292700,0.77
2015-05-04,0.80,0.81,0.785,0.80,3452400,0.80
2015-05-01,0.75,0.80,0.742,0.795,8272500,0.795
2015-04-30,0.76,0.77,0.75,0.765,3848300,0.765
2015-04-29,0.785,0.79,0.75,0.765,4952100,0.765
2015-04-28,0.79,0.795,0.78,0.785,1893300,0.785
2015-04-27,0.795,0.81,0.78,0.785,3983500,0.785
2015-04-24,0.79,0.81,0.79,0.80,2638700,0.80
2015-04-23,0.78,0.79,0.765,0.785,4433600,0.785
2015-04-22,0.775,0.79,0.77,0.78,2213500,0.78
2015-04-21,0.79,0.79,0.77,0.78,2706700,0.78
2015-04-20,0.785,0.785,0.765,0.78,2892400,0.78
2015-04-17,0.80,0.81,0.785,0.795,10490700,0.795
2015-04-16,0.795,0.81,0.79,0.805,4222200,0.805
2015-04-15,0.78,0.795,0.78,0.785,2702700,0.785
2015-04-14,0.785,0.80,0.78,0.79,6360000,0.79
2015-04-13,0.805,0.825,0.78,0.79,3174400,0.79
2015-04-10,0.795,0.81,0.785,0.81,4678600,0.81
2015-04-09,0.79,0.80,0.79,0.79,3445900,0.79
2015-04-08,0.785,0.8075,0.78,0.80,6741500,0.80
2015-04-07,0.795,0.805,0.78,0.79,4855900,0.79
2015-04-06,0.795,0.795,0.795,0.795,000,0.795
2015-04-03,0.795,0.795,0.795,0.795,000,0.795
2015-04-02,0.77,0.795,0.765,0.795,11904800,0.795
2015-04-01,0.785,0.80,0.75,0.77,16372300,0.77
2015-03-31,0.805,0.815,0.785,0.795,8602300,0.795
2015-03-30,0.83,0.835,0.79,0.80,8218500,0.80
2015-03-27,0.83,0.85,0.812,0.84,5552800,0.84
2015-03-26,0.805,0.86,0.80,0.835,11653200,0.835
2015-03-25,0.82,0.845,0.82,0.825,3618800,0.825
2015-03-24,0.825,0.855,0.81,0.83,9817200,0.83
2015-03-23,0.815,0.8575,0.81,0.84,9302600,0.84
2015-03-20,0.77,0.825,0.77,0.81,17325600,0.81
2015-03-19,0.775,0.79,0.757,0.78,14742600,0.78
2015-03-18,0.755,0.79,0.755,0.78,12093200,0.78
2015-03-17,0.785,0.79,0.765,0.79,13224700,0.79
2015-03-16,0.755,0.79,0.752,0.785,7377500,0.785
2015-03-13,0.74,0.76,0.735,0.76,14092900,0.76
2015-03-12,0.73,0.76,0.725,0.755,8704000,0.755
2015-03-11,0.725,0.735,0.72,0.735,8141600,0.735
2015-03-10,0.76,0.76,0.72,0.735,3371900,0.735
2015-03-09,0.765,0.765,0.745,0.76,2866000,0.76
2015-03-06,0.765,0.775,0.752,0.77,11796800,0.77
2015-03-05,0.74,0.765,0.735,0.765,5997000,0.765
2015-03-04,0.755,0.755,0.735,0.74,4577700,0.74
2015-03-03,0.75,0.76,0.745,0.745,12822100,0.745
2015-03-02,0.725,0.75,0.71,0.74,9394900,0.74
2015-02-27,0.71,0.715,0.695,0.715,7065600,0.715
2015-02-26,0.72,0.735,0.71,0.71,4743900,0.71
2015-02-25,0.74,0.76,0.73,0.73,10440400,0.73
2015-02-24,0.78,0.78,0.735,0.755,11183800,0.745
2015-02-23,0.78,0.79,0.75,0.785,11279500,0.7746
2015-02-20,0.75,0.805,0.735,0.795,25478700,0.78447
2015-02-19,0.905,0.905,0.885,0.895,3119800,0.88315
2015-02-18,0.89,0.895,0.875,0.895,5864800,0.88315
2015-02-17,0.89,0.895,0.875,0.89,11496100,0.87821
2015-02-16,0.875,0.905,0.875,0.895,4183400,0.88315
2015-02-13,0.895,0.912,0.88,0.905,5190500,0.89301
2015-02-12,0.875,0.90,0.86,0.88,4827400,0.86834
2015-02-11,0.895,0.895,0.845,0.855,5978500,0.84368
2015-02-10,0.885,0.89,0.855,0.86,2513100,0.84861
2015-02-09,0.89,0.905,0.86,0.88,3394400,0.86834
2015-02-06,0.905,0.905,0.887,0.90,2740900,0.88808
2015-02-05,0.885,0.91,0.875,0.905,4696700,0.89301
2015-02-04,0.86,0.885,0.85,0.885,4144000,0.87328
2015-02-03,0.82,0.85,0.815,0.845,5563900,0.83381
2015-02-02,0.815,0.825,0.802,0.815,4878200,0.80421
2015-01-30,0.845,0.85,0.815,0.825,4860500,0.81407
2015-01-29,0.855,0.865,0.83,0.84,5226800,0.82887
2015-01-28,0.85,0.875,0.85,0.865,3300400,0.85354
2015-01-27,0.835,0.86,0.835,0.86,5200600,0.84861
2015-01-26,0.83,0.83,0.83,0.83,000,0.81901
2015-01-23,0.82,0.835,0.812,0.83,6659700,0.81901
2015-01-22,0.82,0.825,0.79,0.80,3744400,0.7894
2015-01-21,0.80,0.827,0.80,0.82,4690700,0.80914
2015-01-20,0.81,0.815,0.785,0.805,4412400,0.79434
2015-01-19,0.815,0.8275,0.80,0.81,5298900,0.79927
2015-01-16,0.81,0.82,0.80,0.81,4298600,0.79927
2015-01-15,0.815,0.83,0.795,0.82,5771000,0.80914
2015-01-14,0.82,0.83,0.815,0.825,7814300,0.81407
2015-01-13,0.83,0.845,0.82,0.84,2008400,0.82887
2015-01-12,0.825,0.85,0.82,0.845,1786500,0.83381
2015-01-09,0.825,0.835,0.82,0.835,1890300,0.82394
2015-01-08,0.83,0.84,0.815,0.815,6896300,0.80421
2015-01-07,0.83,0.835,0.81,0.83,8712900,0.81901
2015-01-06,0.855,0.857,0.835,0.84,6259700,0.82887
2015-01-05,0.855,0.875,0.85,0.87,3712200,0.85848
2015-01-02,0.885,0.895,0.855,0.87,4173500,0.85848
2015-01-01,0.86,0.86,0.86,0.86,000,0.84861
2014-12-31,0.87,0.90,0.85,0.86,3641500,0.84861
2014-12-30,0.86,0.885,0.855,0.855,2910600,0.84368
2014-12-29,0.845,0.865,0.845,0.855,1306000,0.84368
2014-12-26,0.84,0.84,0.84,0.84,000,0.82887
2014-12-25,0.84,0.84,0.84,0.84,000,0.82887
2014-12-24,0.82,0.86,0.817,0.84,959700,0.82887
2014-12-23,0.84,0.845,0.815,0.815,5048300,0.80421
2014-12-22,0.84,0.86,0.822,0.845,6379100,0.83381
2014-12-19,0.80,0.83,0.80,0.825,22900400,0.81407
2014-12-18,0.78,0.805,0.735,0.795,19799400,0.78447
2014-12-17,0.82,0.84,0.795,0.83,13064700,0.81901
2014-12-16,0.84,0.84,0.815,0.83,7713000,0.81901
2014-12-15,0.84,0.85,0.805,0.84,6421900,0.82887
2014-12-12,0.855,0.86,0.83,0.85,8667900,0.83874
2014-12-11,0.86,0.88,0.805,0.865,7905500,0.85354
2014-12-10,0.89,0.895,0.875,0.88,3758200,0.86834
2014-12-09,0.905,0.905,0.875,0.90,7977400,0.88808
2014-12-08,0.895,0.925,0.89,0.92,5934700,0.90781
2014-12-05,0.885,0.895,0.885,0.895,2326600,0.88315
2014-12-04,0.895,0.895,0.875,0.89,3670000,0.87821
2014-12-03,0.895,0.895,0.88,0.89,2871500,0.87821
2014-12-02,0.895,0.905,0.875,0.885,6467000,0.87328
2014-12-01,0.925,0.93,0.89,0.90,4618900,0.88808
2014-11-28,0.92,0.93,0.915,0.915,2629300,0.90288
2014-11-27,0.93,0.945,0.922,0.935,4814100,0.92262
2014-11-26,0.92,0.935,0.92,0.93,4723100,0.91768
2014-11-25,0.93,0.932,0.915,0.925,4649400,0.91275
2014-11-24,0.92,0.935,0.905,0.935,4591900,0.92262
2014-11-21,0.915,0.93,0.91,0.91,4609500,0.89795
2014-11-20,0.92,0.93,0.915,0.915,3044900,0.90288
2014-11-19,0.905,0.93,0.905,0.915,6133800,0.90288
2014-11-18,0.915,0.92,0.902,0.915,4763500,0.90288
2014-11-17,0.92,0.92,0.91,0.91,3552900,0.89795
2014-11-14,0.915,0.925,0.905,0.915,4451800,0.90288
2014-11-13,0.91,0.92,0.90,0.91,7674400,0.89795
2014-11-12,0.915,0.92,0.90,0.91,4298200,0.89795
2014-11-11,0.91,0.915,0.90,0.91,2762600,0.89795
2014-11-10,0.90,0.915,0.90,0.91,4450800,0.89795
2014-11-07,0.92,0.92,0.90,0.905,5321200,0.89301
