date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,8.80,9.06,8.78,8.97,1742600,8.97
2015-06-29,8.95,8.97,8.77,8.92,1412800,8.92
2015-06-26,9.13,9.23,8.96,9.15,1023600,9.15
2015-06-25,9.37,9.38,9.23,9.23,1054700,9.23
2015-06-24,9.45,9.45,9.31,9.37,853100,9.37
2015-06-23,9.20,9.49,9.20,9.36,1937300,9.36
2015-06-22,8.77,9.07,8.76,9.05,811300,9.05
2015-06-19,8.61,8.83,8.61,8.73,1376600,8.73
2015-06-18,8.60,8.62,8.51,8.58,1629700,8.58
2015-06-17,8.65,8.71,8.63,8.68,767300,8.68
2015-06-16,8.60,8.66,8.51,8.58,913500,8.58
2015-06-15,8.56,8.60,8.48,8.60,973900,8.60
2015-06-12,8.60,8.75,8.59,8.64,955700,8.64
2015-06-11,8.62,8.71,8.62,8.68,1409300,8.68
2015-06-10,8.60,8.65,8.45,8.55,1836100,8.55
2015-06-09,8.60,8.79,8.57,8.62,986900,8.62
2015-06-08,8.65,8.65,8.65,8.65,000,8.65
2015-06-05,8.63,8.76,8.60,8.65,699900,8.65
2015-06-04,8.81,8.85,8.62,8.63,1435900,8.63
2015-06-03,8.86,8.91,8.73,8.80,1538100,8.80
2015-06-02,9.01,9.105,8.86,8.91,1223000,8.91
2015-06-01,8.96,9.07,8.93,9.04,1066300,9.04
2015-05-29,8.96,9.10,8.96,9.04,1366400,9.04
2015-05-28,8.98,8.98,8.80,8.93,1356700,8.93
2015-05-27,9.00,9.03,8.71,8.91,2635900,8.91
2015-05-26,9.09,9.14,9.035,9.09,535400,9.09
2015-05-25,9.17,9.20,9.05,9.09,476300,9.09
2015-05-22,9.19,9.235,9.06,9.10,972700,9.10
2015-05-21,9.02,9.20,8.95,9.16,1034400,9.16
2015-05-20,8.80,8.96,8.80,8.91,757900,8.91
2015-05-19,8.80,8.87,8.77,8.80,959100,8.80
2015-05-18,9.00,9.045,8.80,8.81,1069800,8.81
2015-05-15,9.02,9.05,8.95,9.00,965200,9.00
2015-05-14,8.90,9.05,8.90,9.00,879700,9.00
2015-05-13,9.00,9.01,8.75,9.00,941600,9.00
2015-05-12,8.98,9.07,8.96,8.99,1015300,8.99
2015-05-11,9.10,9.15,8.89,9.00,1277200,9.00
2015-05-08,9.10,9.14,9.00,9.06,956700,9.06
2015-05-07,9.04,9.04,8.91,8.99,1793200,8.99
2015-05-06,8.95,9.26,8.74,9.16,2238300,9.16
2015-05-05,8.98,8.98,8.57,8.79,2302000,8.79
2015-05-04,8.85,9.04,8.85,8.94,2429100,8.94
2015-05-01,8.70,8.90,8.50,8.90,1576400,8.90
2015-04-30,8.70,8.95,8.48,8.94,2258600,8.94
2015-04-29,9.23,9.26,9.01,9.01,1115100,9.01
2015-04-28,9.04,9.23,8.99,9.17,2150600,9.17
2015-04-27,9.19,9.26,8.72,9.01,4959400,9.01
2015-04-24,9.60,9.60,9.43,9.60,836500,9.60
2015-04-23,9.40,9.51,9.27,9.51,1375500,9.51
2015-04-22,9.47,9.48,9.30,9.35,706100,9.35
2015-04-21,9.37,9.49,9.27,9.49,2132300,9.49
2015-04-20,9.33,9.37,9.18,9.27,884900,9.27
2015-04-17,9.40,9.43,9.31,9.38,1458300,9.38
2015-04-16,9.40,9.45,9.36,9.43,702500,9.43
2015-04-15,9.47,9.47,9.24,9.33,1459500,9.33
2015-04-14,9.55,9.58,9.46,9.53,771700,9.53
2015-04-13,9.42,9.62,9.41,9.55,1012400,9.55
2015-04-10,9.40,9.46,9.32,9.42,859900,9.42
2015-04-09,9.51,9.56,9.40,9.45,1216000,9.37143
2015-04-08,9.61,9.63,9.355,9.37,1156000,9.29209
2015-04-07,9.54,9.72,9.44,9.61,1347300,9.5301
2015-04-06,9.44,9.44,9.44,9.44,000,9.36151
2015-04-03,9.44,9.44,9.44,9.44,000,9.36151
2015-04-02,9.44,9.54,9.36,9.44,1702700,9.36151
2015-04-01,9.23,9.43,9.19,9.36,1707300,9.28218
2015-03-31,9.18,9.28,9.11,9.17,1504300,9.09376
2015-03-30,9.01,9.14,9.00,9.10,1740900,9.02434
2015-03-27,8.98,9.19,8.96,9.07,1060700,8.99459
2015-03-26,8.90,9.02,8.75,8.98,2494100,8.90534
2015-03-25,9.15,9.45,9.08,9.16,1529600,9.08384
2015-03-24,9.11,9.32,8.96,9.14,2205600,9.06401
2015-03-23,8.72,8.88,8.72,8.83,1373800,8.75658
2015-03-20,8.79,8.82,8.70,8.80,1571200,8.72683
2015-03-19,8.70,8.91,8.68,8.84,2705000,8.7665
2015-03-18,8.91,8.91,8.54,8.66,3035800,8.588
2015-03-17,8.91,8.96,8.78,8.91,1451500,8.83592
2015-03-16,9.00,9.01,8.61,8.86,3370600,8.78633
2015-03-13,8.51,9.24,8.50,9.11,5046500,9.03426
2015-03-12,7.49,7.82,7.48,7.74,1007800,7.67565
2015-03-11,7.40,7.60,7.35,7.47,749000,7.40789
2015-03-10,7.45,7.59,7.45,7.51,916400,7.44756
2015-03-09,7.45,7.535,7.31,7.45,856000,7.38806
2015-03-06,7.58,7.68,7.46,7.54,882400,7.47731
2015-03-05,7.69,7.69,7.47,7.56,1042400,7.49714
2015-03-04,7.80,7.80,7.70,7.72,1409400,7.65581
2015-03-03,7.81,7.87,7.72,7.81,1672700,7.74506
2015-03-02,7.68,7.80,7.66,7.80,1278100,7.73515
2015-02-27,7.67,7.71,7.525,7.62,1032300,7.55664
2015-02-26,7.48,7.73,7.40,7.62,1679600,7.55664
2015-02-25,7.41,7.52,7.39,7.50,1081700,7.43764
2015-02-24,7.46,7.50,7.305,7.35,850800,7.28889
2015-02-23,7.35,7.45,7.28,7.44,1057600,7.37814
2015-02-20,7.27,7.33,7.20,7.32,968300,7.25914
2015-02-19,7.40,7.42,7.20,7.25,1176100,7.18972
2015-02-18,7.30,7.44,7.28,7.43,823400,7.36822
2015-02-17,7.37,7.37,7.20,7.29,659100,7.22939
2015-02-16,7.35,7.38,7.28,7.37,1221100,7.30872
2015-02-13,7.39,7.47,7.27,7.30,1074200,7.23931
2015-02-12,7.32,7.38,7.25,7.29,1318000,7.22939
2015-02-11,7.32,7.40,7.22,7.25,791300,7.18972
2015-02-10,7.30,7.35,7.17,7.25,709800,7.18972
2015-02-09,7.30,7.45,7.255,7.30,974300,7.23931
2015-02-06,7.35,7.47,7.25,7.28,1761400,7.21947
2015-02-05,7.14,7.39,7.14,7.31,1821900,7.24922
