date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,9.60,9.62,9.31,9.50,67800,9.50
2015-06-29,9.75,9.85,9.60,9.64,40300,9.64
2015-06-26,9.68,9.87,9.68,9.86,53800,9.86
2015-06-25,10.10,10.40,9.72,9.72,56700,9.72
2015-06-24,10.34,10.42,10.05,10.05,40900,10.05
2015-06-23,10.14,10.59,10.06,10.41,80800,10.41
2015-06-22,9.96,10.30,9.74,10.04,48800,10.04
2015-06-19,10.40,10.46,9.95,9.95,139600,9.95
2015-06-18,10.46,10.46,10.28,10.46,52800,10.46
2015-06-17,10.85,10.85,10.30,10.40,57700,10.40
2015-06-16,10.99,10.99,10.67,10.93,20800,10.93
2015-06-15,11.20,11.39,11.00,11.00,13500,11.00
2015-06-12,11.50,11.50,11.02,11.29,30200,11.29
2015-06-11,10.30,11.40,10.30,11.40,65500,11.40
2015-06-10,10.49,10.60,10.15,10.22,57400,10.22
2015-06-09,10.70,10.80,10.50,10.80,109600,10.80
2015-06-08,10.70,10.70,10.70,10.70,000,10.70
2015-06-05,10.67,10.80,10.65,10.70,60000,10.70
2015-06-04,10.76,10.77,10.60,10.70,133000,10.70
2015-06-03,11.09,11.09,10.60,10.76,52900,10.76
2015-06-02,11.28,11.34,11.05,11.09,35300,11.09
2015-06-01,11.51,11.52,11.22,11.29,42800,11.29
2015-05-29,11.60,11.70,11.42,11.50,18300,11.50
2015-05-28,11.50,11.56,11.41,11.52,14700,11.52
2015-05-27,11.65,11.66,11.38,11.41,65100,11.41
2015-05-26,11.56,11.75,11.56,11.75,35600,11.75
2015-05-25,11.62,11.62,11.50,11.50,23000,11.50
2015-05-22,11.51,11.62,11.50,11.62,29800,11.62
2015-05-21,11.58,11.67,11.48,11.55,40200,11.55
2015-05-20,11.67,11.67,11.06,11.53,66200,11.53
2015-05-19,11.72,11.90,11.67,11.67,6100,11.67
2015-05-18,11.98,12.00,11.67,11.67,55600,11.67
2015-05-15,12.00,12.01,11.91,11.98,28200,11.98
2015-05-14,11.83,12.00,11.60,12.00,47200,12.00
2015-05-13,11.95,12.00,11.81,11.87,77900,11.87
2015-05-12,11.96,12.05,11.91,12.00,21500,12.00
2015-05-11,11.98,12.05,11.96,12.00,29400,12.00
2015-05-08,12.00,12.13,11.92,11.97,42400,11.97
2015-05-07,12.04,12.28,11.77,12.01,66100,12.01
2015-05-06,12.06,12.30,12.03,12.30,29500,12.30
2015-05-05,12.13,12.18,12.07,12.15,63800,12.15
2015-05-04,12.07,12.13,12.03,12.11,49800,12.11
2015-05-01,12.09,12.17,12.01,12.10,17900,12.10
2015-04-30,12.25,12.28,12.02,12.10,26800,12.10
2015-04-29,12.19,12.43,12.12,12.39,38300,12.39
2015-04-28,12.14,12.43,12.02,12.30,75400,12.30
2015-04-27,12.38,12.45,12.00,12.01,51600,12.01
2015-04-24,12.45,12.50,12.30,12.50,92200,12.50
2015-04-23,12.67,12.67,12.02,12.30,216300,12.30
2015-04-22,13.50,13.50,12.65,12.74,171400,12.74
2015-04-21,13.70,13.89,13.70,13.80,40800,13.80
2015-04-20,13.70,13.82,13.67,13.77,25100,13.77
2015-04-17,13.91,13.95,13.74,13.83,39100,13.83
2015-04-16,13.66,13.99,13.62,13.99,40100,13.99
2015-04-15,13.65,13.70,13.56,13.70,34200,13.70
2015-04-14,13.35,13.65,13.35,13.64,30000,13.64
2015-04-13,13.60,13.67,13.30,13.55,39100,13.55
2015-04-10,13.32,13.59,13.32,13.59,22300,13.59
2015-04-09,13.18,13.40,13.18,13.30,22000,13.30
2015-04-08,13.05,13.21,13.02,13.18,41200,13.18
2015-04-07,13.00,13.20,12.98,13.19,26200,13.19
2015-04-06,13.00,13.00,13.00,13.00,000,13.00
2015-04-03,13.00,13.00,13.00,13.00,000,13.00
2015-04-02,13.00,13.03,12.99,13.00,10000,13.00
2015-04-01,12.95,13.02,12.92,13.02,25000,13.02
2015-03-31,12.91,13.20,12.85,13.02,38900,13.02
2015-03-30,12.90,12.91,12.77,12.91,34300,12.91
2015-03-27,12.96,12.96,12.87,12.91,68900,12.91
2015-03-26,13.20,13.20,12.80,12.94,49300,12.94
2015-03-25,13.46,13.48,13.34,13.37,18500,13.37
2015-03-24,13.65,13.65,13.46,13.50,34900,13.50
2015-03-23,13.83,13.83,13.53,13.64,15800,13.64
2015-03-20,13.20,13.83,13.15,13.83,84700,13.83
2015-03-19,13.38,13.49,13.30,13.45,55700,13.45
2015-03-18,13.04,13.38,13.00,13.38,75900,13.38
2015-03-17,13.03,13.10,12.90,13.10,66200,13.10
2015-03-16,12.94,13.05,12.94,13.02,19000,13.02
2015-03-13,13.10,13.10,12.90,12.94,42800,12.94
2015-03-12,12.71,13.10,12.71,13.10,80700,13.10
2015-03-11,12.70,12.73,12.65,12.70,59500,12.70
2015-03-10,12.70,12.73,12.56,12.70,49100,12.70
2015-03-09,12.65,12.74,12.61,12.70,59600,12.70
2015-03-06,12.60,12.67,12.50,12.67,60500,12.67
2015-03-05,12.75,12.76,12.56,12.61,110800,12.61
2015-03-04,13.07,13.20,12.71,12.75,181900,12.75
2015-03-03,13.20,13.34,12.89,13.09,172300,13.09
2015-03-02,13.65,13.78,13.45,13.68,80400,13.337
2015-02-27,13.50,13.57,13.29,13.50,128300,12.928
2015-02-26,13.06,13.49,13.00,13.49,337200,12.918
2015-02-25,12.99,13.30,12.90,13.20,43300,12.64
2015-02-24,12.75,12.99,12.75,12.93,33800,12.382
2015-02-23,12.50,12.89,12.48,12.75,22000,12.209
2015-02-20,12.76,12.86,12.38,12.45,65100,11.922
2015-02-19,12.88,13.01,12.76,12.82,34500,12.276
2015-02-18,12.92,13.07,12.85,12.96,18300,12.411
2015-02-17,12.95,13.20,12.82,12.82,23400,12.276
2015-02-16,13.17,13.17,12.94,12.99,35900,12.439
2015-02-13,13.00,13.35,12.70,13.03,58800,12.478
2015-02-12,13.50,13.60,13.15,13.15,46200,12.593
2015-02-11,13.14,13.49,13.13,13.49,41700,12.918
2015-02-10,12.73,13.14,12.73,13.14,12600,12.583
2015-02-09,12.72,12.80,12.67,12.74,15200,12.20
2015-02-06,12.72,12.79,12.63,12.74,32000,12.20
2015-02-05,12.64,12.77,12.54,12.70,41600,12.162
2015-02-04,12.30,12.70,12.30,12.70,45200,12.162
2015-02-03,12.20,12.35,12.19,12.26,36500,11.74
2015-02-02,12.10,12.24,12.03,12.18,55400,11.664
2015-01-30,12.01,12.23,12.00,12.14,26200,11.625
2015-01-29,12.10,12.19,11.90,12.06,52800,11.549
2015-01-28,12.21,12.23,12.05,12.11,36900,11.597
2015-01-27,12.15,12.30,11.95,12.20,63400,11.683
2015-01-26,12.30,12.30,12.30,12.30,000,11.779
2015-01-23,12.40,12.65,12.21,12.30,79700,11.779
2015-01-22,12.02,12.46,12.02,12.35,42300,11.826
2015-01-21,11.87,12.10,11.87,11.90,28500,11.396
2015-01-20,12.00,12.20,11.95,12.20,117000,11.683
2015-01-19,11.95,12.05,11.88,11.95,27400,11.443
2015-01-16,12.00,12.04,11.79,11.95,33900,11.443
2015-01-15,11.64,12.05,11.59,12.00,40200,11.491
2015-01-14,11.60,11.70,11.57,11.64,48700,11.147
2015-01-13,11.72,11.73,11.51,11.61,46000,11.118
2015-01-12,11.83,11.97,11.75,11.75,38700,11.252
2015-01-09,12.05,12.10,11.95,12.00,47000,11.491
2015-01-08,12.04,12.05,11.90,12.04,11800,11.53
2015-01-07,12.00,12.14,11.91,12.00,18700,11.491
2015-01-06,12.10,12.10,11.91,12.00,19600,11.491
2015-01-05,12.15,12.39,12.15,12.15,28500,11.635
2015-01-02,11.90,12.30,11.90,12.15,10200,11.635
2015-01-01,12.10,12.10,12.10,12.10,000,11.587
2014-12-31,12.29,12.29,12.10,12.10,4400,11.587
2014-12-30,12.46,12.54,12.10,12.29,11200,11.769
2014-12-29,12.20,12.67,12.20,12.46,15900,11.932
2014-12-26,12.16,12.16,12.16,12.16,000,11.644
2014-12-25,12.16,12.16,12.16,12.16,000,11.644
2014-12-24,12.00,12.16,11.61,12.16,25900,11.644
2014-12-23,12.90,12.93,12.00,12.29,41800,11.769
2014-12-22,12.90,12.99,12.81,12.90,67500,12.353
2014-12-19,12.00,12.70,11.90,12.70,108200,12.162
2014-12-18,12.00,12.12,11.94,12.00,342200,11.491
2014-12-17,11.49,11.88,11.49,11.80,59500,11.30
2014-12-16,11.39,11.50,11.25,11.25,35300,10.773
2014-12-15,11.15,11.39,11.13,11.39,37900,10.907
2014-12-12,11.45,11.45,10.85,11.25,215100,10.773
2014-12-11,11.57,11.57,11.57,11.57,000,11.079
2014-12-10,11.65,11.65,11.50,11.57,30000,11.079
2014-12-09,11.48,11.69,11.48,11.53,35800,11.041
2014-12-08,11.45,11.79,11.45,11.60,55600,11.108
2014-12-05,11.19,11.44,11.19,11.40,67000,10.917
2014-12-04,11.05,11.19,11.01,11.19,44900,10.716
2014-12-03,10.85,11.05,10.83,11.01,16100,10.543
2014-12-02,10.96,10.96,10.82,10.82,26200,10.361
2014-12-01,11.05,11.10,10.94,10.94,15700,10.476
2014-11-28,10.97,11.11,10.97,11.05,16400,10.582
2014-11-27,10.95,11.05,10.95,11.00,13200,10.534
2014-11-26,10.90,11.00,10.90,11.00,11700,10.534
2014-11-25,11.025,11.025,10.80,10.82,80200,10.361
2014-11-24,10.95,11.15,10.95,11.00,52200,10.534
2014-11-21,10.96,11.01,10.75,10.75,31100,10.294
2014-11-20,11.05,11.05,10.89,11.00,34900,10.534
2014-11-19,10.86,11.14,10.86,11.05,56000,10.582
