date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.28,5.42,5.22,5.36,753300,5.36
2015-06-29,5.40,5.40,5.11,5.28,195700,5.28
2015-06-26,5.55,5.58,5.38,5.40,264200,5.40
2015-06-25,5.60,5.65,5.50,5.55,167100,5.55
2015-06-24,5.80,5.80,5.65,5.70,224000,5.70
2015-06-23,5.90,5.965,5.80,5.80,179000,5.80
2015-06-22,6.04,6.04,5.82,5.90,95900,5.90
2015-06-19,6.20,6.31,5.95,5.95,191800,5.95
2015-06-18,6.38,6.38,6.08,6.20,77200,6.20
2015-06-17,6.35,6.49,6.21,6.38,82500,6.38
2015-06-16,6.60,6.65,6.30,6.35,48400,6.35
2015-06-15,6.80,6.80,6.50,6.50,30300,6.50
2015-06-12,6.65,6.75,6.60,6.75,76100,6.75
2015-06-11,6.69,6.72,6.50,6.60,59700,6.60
2015-06-10,6.67,6.70,6.54,6.67,19700,6.67
2015-06-09,6.66,6.74,6.50,6.67,34500,6.67
2015-06-08,6.66,6.66,6.66,6.66,000,6.66
2015-06-05,6.68,6.71,6.60,6.66,33200,6.66
2015-06-04,6.70,6.82,6.53,6.63,53500,6.63
2015-06-03,6.80,6.81,6.62,6.70,70200,6.70
2015-06-02,6.88,6.89,6.75,6.81,52000,6.81
2015-06-01,6.85,6.90,6.84,6.89,58500,6.89
2015-05-29,6.89,6.98,6.82,6.89,30100,6.89
2015-05-28,6.85,7.00,6.83,6.99,91100,6.99
2015-05-27,6.80,6.97,6.795,6.86,56900,6.86
2015-05-26,6.85,6.88,6.80,6.85,38500,6.85
2015-05-25,6.78,6.89,6.71,6.83,65600,6.83
2015-05-22,6.97,6.97,6.75,6.75,24300,6.75
2015-05-21,6.81,6.98,6.81,6.97,37100,6.97
2015-05-20,6.95,6.95,6.78,6.81,32700,6.81
2015-05-19,6.83,7.00,6.83,7.00,75100,7.00
2015-05-18,6.94,6.94,6.75,6.82,50300,6.82
2015-05-15,7.01,7.06,6.76,6.94,45200,6.94
2015-05-14,6.90,7.05,6.90,7.05,121500,7.05
2015-05-13,6.95,6.98,6.85,6.93,49500,6.93
2015-05-12,6.70,6.98,6.58,6.98,62900,6.98
2015-05-11,6.85,6.91,6.71,6.76,52000,6.76
2015-05-08,6.70,7.03,6.70,6.86,67300,6.86
2015-05-07,6.86,6.86,6.69,6.84,91900,6.84
2015-05-06,6.88,6.91,6.85,6.87,90900,6.87
2015-05-05,6.90,6.94,6.84,6.88,91800,6.88
2015-05-04,6.68,6.89,6.68,6.89,171200,6.89
2015-05-01,6.46,6.70,6.41,6.68,137300,6.68
2015-04-30,6.46,6.52,6.45,6.49,42700,6.49
2015-04-29,6.50,6.54,6.44,6.51,90900,6.51
2015-04-28,6.47,6.54,6.42,6.44,51000,6.44
2015-04-27,6.29,6.51,6.28,6.46,91500,6.46
2015-04-24,6.40,6.45,6.15,6.24,94900,6.24
2015-04-23,6.31,6.45,6.30,6.40,67500,6.40
2015-04-22,5.99,6.30,5.97,6.28,71800,6.28
2015-04-21,5.84,5.99,5.83,5.99,43400,5.99
2015-04-20,5.98,5.98,5.68,5.82,121700,5.82
2015-04-17,6.18,6.19,6.00,6.00,113900,6.00
2015-04-16,6.25,6.28,6.06,6.18,79500,6.18
2015-04-15,6.32,6.32,6.16,6.28,44100,6.28
2015-04-14,6.33,6.35,6.27,6.33,81900,6.33
2015-04-13,6.34,6.34,6.27,6.34,26600,6.34
2015-04-10,6.43,6.43,6.25,6.34,56600,6.34
2015-04-09,6.45,6.45,6.31,6.42,50600,6.42
2015-04-08,6.45,6.53,6.35,6.50,66500,6.50
2015-04-07,6.70,6.70,6.31,6.48,72700,6.48
2015-04-06,6.72,6.72,6.72,6.72,000,6.72
2015-04-03,6.72,6.72,6.72,6.72,000,6.72
2015-04-02,6.70,6.72,6.59,6.72,66600,6.72
2015-04-01,6.70,6.74,6.59,6.74,42200,6.74
2015-03-31,6.70,6.74,6.65,6.70,68300,6.70
2015-03-30,6.80,6.81,6.61,6.70,182800,6.70
2015-03-27,6.82,6.86,6.61,6.70,39700,6.70
2015-03-26,6.75,6.85,6.59,6.78,71300,6.78
2015-03-25,6.68,6.78,6.59,6.71,45500,6.71
2015-03-24,6.82,6.84,6.69,6.69,33500,6.69
2015-03-23,6.59,6.82,6.54,6.78,105600,6.78
2015-03-20,7.00,7.00,6.64,6.64,217600,6.64
2015-03-19,7.16,7.16,6.97,7.00,95800,7.00
2015-03-18,7.00,7.40,7.00,7.30,171700,7.064
2015-03-17,7.11,7.18,6.92,7.00,179500,6.774
2015-03-16,7.23,7.33,7.04,7.07,237900,6.842
2015-03-13,7.14,7.24,7.06,7.20,62700,6.968
2015-03-12,7.18,7.28,7.10,7.12,93500,6.89
2015-03-11,7.09,7.19,7.03,7.17,97100,6.938
2015-03-10,7.15,7.15,7.06,7.11,64300,6.88
2015-03-09,7.15,7.15,7.00,7.04,78400,6.813
2015-03-06,7.30,7.30,7.18,7.20,65800,6.968
2015-03-05,7.06,7.30,7.02,7.30,170700,7.064
2015-03-04,7.13,7.13,7.00,7.04,44000,6.813
2015-03-03,7.00,7.15,6.97,7.06,88800,6.832
2015-03-02,7.16,7.16,6.92,6.97,80400,6.745
2015-02-27,7.18,7.20,7.01,7.12,90300,6.89
2015-02-26,7.00,7.14,6.88,7.14,78600,6.909
2015-02-25,6.86,7.06,6.65,7.02,318300,6.793
2015-02-24,7.11,7.12,6.80,6.86,216700,6.638
2015-02-23,7.29,7.29,7.04,7.16,334600,6.929
2015-02-20,7.00,7.48,6.90,7.30,777900,7.064
2015-02-19,6.48,6.88,6.29,6.88,800000,6.658
2015-02-18,5.75,6.65,5.67,6.20,840500,6.00
