date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.36,0.37,0.355,0.37,3137200,0.37
2015-06-29,0.365,0.37,0.355,0.36,2139200,0.36
2015-06-26,0.365,0.365,0.36,0.365,663900,0.365
2015-06-25,0.36,0.365,0.35,0.36,938600,0.36
2015-06-24,0.36,0.365,0.35,0.36,2280100,0.36
2015-06-23,0.35,0.37,0.35,0.36,3637600,0.36
2015-06-22,0.36,0.365,0.35,0.36,2875100,0.36
2015-06-19,0.34,0.36,0.33,0.36,20034700,0.36
2015-06-18,0.335,0.347,0.325,0.34,4044200,0.34
2015-06-17,0.325,0.33,0.31,0.33,3515700,0.33
2015-06-16,0.33,0.335,0.315,0.32,2320000,0.32
2015-06-15,0.34,0.34,0.325,0.325,1931500,0.325
2015-06-12,0.35,0.355,0.335,0.34,1602400,0.34
2015-06-11,0.36,0.36,0.335,0.35,1534500,0.35
2015-06-10,0.36,0.37,0.35,0.35,1259300,0.35
2015-06-09,0.38,0.385,0.35,0.35,1916700,0.35
2015-06-08,0.39,0.39,0.39,0.39,000,0.39
2015-06-05,0.38,0.39,0.365,0.39,743600,0.39
2015-06-04,0.385,0.385,0.37,0.37,553000,0.37
2015-06-03,0.385,0.395,0.382,0.385,518100,0.385
2015-06-02,0.385,0.40,0.385,0.39,477200,0.39
2015-06-01,0.405,0.405,0.38,0.38,1035300,0.38
2015-05-29,0.40,0.405,0.395,0.405,412200,0.405
2015-05-28,0.40,0.405,0.395,0.395,476700,0.395
2015-05-27,0.40,0.405,0.395,0.395,677500,0.395
2015-05-26,0.40,0.41,0.40,0.41,1064100,0.41
2015-05-25,0.40,0.41,0.395,0.395,521400,0.395
2015-05-22,0.405,0.405,0.395,0.395,856800,0.395
2015-05-21,0.405,0.405,0.395,0.40,809600,0.40
2015-05-20,0.40,0.405,0.40,0.40,334800,0.40
2015-05-19,0.41,0.41,0.40,0.40,225900,0.40
2015-05-18,0.405,0.41,0.40,0.405,1057200,0.405
2015-05-15,0.405,0.405,0.40,0.40,563000,0.40
2015-05-14,0.41,0.41,0.40,0.40,1023700,0.40
2015-05-13,0.40,0.41,0.395,0.41,942000,0.41
2015-05-12,0.40,0.4025,0.395,0.395,1180000,0.395
2015-05-11,0.41,0.41,0.40,0.40,1068300,0.40
2015-05-08,0.41,0.415,0.405,0.405,197900,0.405
2015-05-07,0.405,0.42,0.405,0.41,384500,0.41
2015-05-06,0.405,0.415,0.40,0.405,524000,0.405
2015-05-05,0.40,0.42,0.40,0.41,879800,0.41
2015-05-04,0.405,0.41,0.40,0.40,1187200,0.40
2015-05-01,0.40,0.41,0.385,0.405,1302900,0.405
2015-04-30,0.445,0.445,0.445,0.445,000,0.445
2015-04-29,0.445,0.445,0.445,0.445,000,0.445
2015-04-28,0.445,0.445,0.445,0.445,000,0.445
2015-04-27,0.445,0.46,0.44,0.445,565900,0.445
2015-04-24,0.445,0.475,0.445,0.46,465000,0.46
2015-04-23,0.45,0.455,0.44,0.445,579400,0.445
2015-04-22,0.45,0.465,0.45,0.46,205400,0.46
2015-04-21,0.45,0.46,0.44,0.455,323100,0.455
2015-04-20,0.46,0.47,0.46,0.46,363400,0.46
2015-04-17,0.45,0.465,0.45,0.46,384700,0.46
2015-04-16,0.455,0.47,0.455,0.465,484800,0.465
2015-04-15,0.445,0.46,0.44,0.45,544700,0.45
2015-04-14,0.46,0.465,0.44,0.44,569100,0.44
2015-04-13,0.475,0.485,0.46,0.46,389400,0.46
2015-04-10,0.45,0.47,0.45,0.465,273200,0.465
2015-04-09,0.49,0.49,0.45,0.45,488400,0.45
2015-04-08,0.485,0.49,0.48,0.48,284900,0.48
2015-04-07,0.50,0.50,0.485,0.50,436500,0.50
2015-04-06,0.48,0.48,0.48,0.48,000,0.48
2015-04-03,0.48,0.48,0.48,0.48,000,0.48
2015-04-02,0.47,0.48,0.465,0.48,905900,0.48
2015-04-01,0.455,0.455,0.435,0.445,875500,0.445
2015-03-31,0.47,0.475,0.44,0.45,1799600,0.45
2015-03-30,0.50,0.50,0.47,0.475,644600,0.475
2015-03-27,0.515,0.53,0.495,0.505,736300,0.505
