date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.375,1.425,1.35,1.425,1718000,1.425
2015-06-29,1.40,1.41,1.355,1.365,1546500,1.365
2015-06-26,1.445,1.46,1.40,1.43,1796400,1.43
2015-06-25,1.555,1.555,1.46,1.465,739600,1.465
2015-06-24,1.56,1.56,1.54,1.555,1313600,1.555
2015-06-23,1.55,1.58,1.525,1.555,1685100,1.555
2015-06-22,1.525,1.54,1.485,1.53,863000,1.53
2015-06-19,1.455,1.535,1.455,1.535,2289200,1.535
2015-06-18,1.505,1.51,1.44,1.45,2124300,1.45
2015-06-17,1.525,1.56,1.515,1.525,1654600,1.525
2015-06-16,1.53,1.55,1.50,1.51,1690400,1.51
2015-06-15,1.50,1.55,1.50,1.52,1991000,1.52
2015-06-12,1.51,1.54,1.495,1.53,1756400,1.53
2015-06-11,1.57,1.572,1.485,1.525,1620300,1.525
2015-06-10,1.55,1.60,1.51,1.565,1769400,1.565
2015-06-09,1.57,1.58,1.535,1.55,1690700,1.55
2015-06-08,1.60,1.60,1.60,1.60,000,1.60
2015-06-05,1.57,1.60,1.55,1.60,1972200,1.60
2015-06-04,1.645,1.645,1.575,1.575,1388900,1.575
2015-06-03,1.635,1.66,1.615,1.635,7122800,1.635
2015-06-02,1.69,1.70,1.63,1.66,2630000,1.66
2015-06-01,1.67,1.69,1.625,1.68,1763300,1.68
2015-05-29,1.695,1.71,1.66,1.665,1854600,1.665
2015-05-28,1.67,1.702,1.67,1.695,2920000,1.695
2015-05-27,1.68,1.6825,1.645,1.67,1859700,1.67
2015-05-26,1.70,1.70,1.685,1.695,2304700,1.695
2015-05-25,1.69,1.705,1.67,1.70,2065400,1.70
2015-05-22,1.68,1.685,1.665,1.68,1835100,1.68
2015-05-21,1.68,1.69,1.66,1.68,1580500,1.68
2015-05-20,1.665,1.695,1.64,1.68,3675700,1.68
2015-05-19,1.685,1.70,1.645,1.695,1934300,1.695
2015-05-18,1.69,1.72,1.68,1.69,1530700,1.69
2015-05-15,1.695,1.70,1.66,1.685,2731900,1.685
2015-05-14,1.665,1.705,1.635,1.68,2187200,1.68
2015-05-13,1.68,1.71,1.68,1.70,2320900,1.70
2015-05-12,1.63,1.715,1.63,1.70,2827700,1.70
2015-05-11,1.575,1.66,1.565,1.65,3395100,1.65
2015-05-08,1.59,1.6375,1.555,1.57,2457300,1.57
2015-05-07,1.525,1.65,1.525,1.605,2673700,1.605
2015-05-06,1.535,1.615,1.535,1.58,1901100,1.58
2015-05-05,1.505,1.58,1.505,1.56,2549600,1.56
2015-05-04,1.45,1.515,1.43,1.495,3307300,1.495
2015-05-01,1.43,1.455,1.415,1.435,11458200,1.435
2015-04-30,1.40,1.465,1.395,1.445,1778200,1.445
2015-04-29,1.42,1.48,1.405,1.445,2191000,1.445
2015-04-28,1.445,1.445,1.395,1.42,1457800,1.42
2015-04-27,1.40,1.45,1.387,1.44,1434300,1.44
2015-04-24,1.405,1.41,1.38,1.40,867100,1.40
2015-04-23,1.385,1.41,1.375,1.385,566200,1.385
2015-04-22,1.38,1.40,1.365,1.385,974700,1.385
2015-04-21,1.365,1.395,1.347,1.38,546800,1.38
2015-04-20,1.415,1.415,1.335,1.35,1445100,1.35
2015-04-17,1.415,1.43,1.39,1.42,1963600,1.42
2015-04-16,1.335,1.42,1.335,1.415,1282500,1.415
2015-04-15,1.355,1.365,1.31,1.32,2119900,1.32
2015-04-14,1.385,1.395,1.35,1.375,555300,1.375
2015-04-13,1.415,1.44,1.37,1.39,1198500,1.39
2015-04-10,1.39,1.43,1.38,1.405,732400,1.405
2015-04-09,1.38,1.48,1.375,1.385,1919600,1.385
