date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.60,3.735,3.60,3.72,6115300,3.72
2015-06-29,3.73,3.74,3.65,3.65,6618500,3.65
2015-06-26,3.78,3.82,3.735,3.74,4833800,3.74
2015-06-25,3.86,3.86,3.78,3.82,4283500,3.82
2015-06-24,3.82,3.86,3.80,3.86,4914600,3.86
2015-06-23,3.80,3.87,3.78,3.85,3808300,3.85
2015-06-22,3.80,3.82,3.75,3.79,3796900,3.79
2015-06-19,3.81,3.86,3.80,3.80,5995600,3.80
2015-06-18,3.78,3.80,3.74,3.79,7160200,3.79
2015-06-17,3.77,3.805,3.76,3.78,2423300,3.78
2015-06-16,3.77,3.80,3.72,3.74,2530800,3.74
2015-06-15,3.80,3.805,3.755,3.79,3281500,3.79
2015-06-12,3.80,3.835,3.78,3.80,2351300,3.80
2015-06-11,3.82,3.85,3.78,3.80,3114000,3.80
2015-06-10,3.84,3.87,3.79,3.82,2993200,3.82
2015-06-09,3.85,3.90,3.83,3.85,4725900,3.85
2015-06-08,3.87,3.87,3.87,3.87,000,3.87
2015-06-05,3.86,3.93,3.83,3.87,5313200,3.87
2015-06-04,3.95,3.97,3.86,3.87,4067300,3.87
2015-06-03,3.95,3.99,3.91,3.94,2861500,3.94
2015-06-02,4.15,4.15,4.005,4.02,2676600,4.02
2015-06-01,4.13,4.135,4.07,4.11,2868600,4.11
2015-05-29,4.10,4.20,4.09,4.16,7146700,4.16
2015-05-28,4.09,4.09,4.04,4.09,1564600,4.09
2015-05-27,4.07,4.09,4.00,4.09,3697000,4.09
2015-05-26,4.00,4.06,3.99,4.06,3433000,4.06
2015-05-25,3.97,4.00,3.93,3.99,2300900,3.99
2015-05-22,4.00,4.01,3.95,3.97,4103500,3.97
2015-05-21,3.94,4.01,3.94,3.98,2505500,3.98
2015-05-20,3.94,3.97,3.89,3.93,3253800,3.93
2015-05-19,3.97,3.99,3.87,3.96,4883600,3.96
2015-05-18,4.08,4.08,3.98,4.00,2190700,4.00
2015-05-15,4.09,4.12,3.85,4.04,4395900,4.04
2015-05-14,3.97,4.02,3.945,4.02,2359800,4.02
2015-05-13,3.94,3.97,3.91,3.97,2834300,3.97
2015-05-12,3.90,3.93,3.875,3.91,4333600,3.91
2015-05-11,3.95,3.96,3.905,3.92,3136500,3.92
2015-05-08,3.95,3.98,3.90,3.91,2086900,3.91
2015-05-07,3.95,3.98,3.91,3.95,3159600,3.95
2015-05-06,3.99,4.07,3.965,4.01,4335700,4.01
2015-05-05,4.14,4.16,4.05,4.07,3573900,4.07
2015-05-04,4.05,4.13,4.025,4.11,2675500,4.11
2015-05-01,3.99,4.04,3.98,4.02,2413200,4.02
2015-04-30,4.01,4.04,3.98,4.04,3729300,4.04
2015-04-29,4.08,4.08,4.02,4.04,4853200,4.04
2015-04-28,4.06,4.09,4.03,4.09,3288600,4.09
2015-04-27,4.06,4.08,4.03,4.05,3321200,4.05
2015-04-24,4.01,4.11,3.99,4.06,2545400,4.06
2015-04-23,3.93,3.98,3.86,3.96,2562000,3.96
2015-04-22,4.00,4.015,3.93,3.93,3303700,3.93
2015-04-21,3.99,4.01,3.97,4.00,2811500,4.00
2015-04-20,3.97,4.00,3.95,3.96,2688000,3.96
2015-04-17,4.02,4.07,3.995,4.00,2710100,4.00
2015-04-16,4.06,4.08,4.03,4.06,2170200,4.06
2015-04-15,4.06,4.08,4.01,4.04,2933100,4.04
2015-04-14,4.07,4.09,4.045,4.08,2242700,4.08
2015-04-13,4.05,4.09,4.03,4.08,2801700,4.08
2015-04-10,4.04,4.10,4.01,4.06,1534600,4.06
2015-04-09,4.03,4.07,4.00,4.06,2194200,4.06
2015-04-08,4.02,4.04,4.00,4.03,1909600,4.03
2015-04-07,4.02,4.07,3.99,4.02,2574100,4.02
2015-04-06,4.01,4.01,4.01,4.01,000,4.01
2015-04-03,4.01,4.01,4.01,4.01,000,4.01
2015-04-02,3.96,4.03,3.95,4.01,2501000,4.01
2015-04-01,3.93,4.00,3.93,3.95,2709400,3.95
2015-03-31,3.99,4.08,3.96,3.98,3497900,3.98
2015-03-30,3.97,4.00,3.96,3.98,2786800,3.98
2015-03-27,3.93,4.08,3.93,4.04,3349600,4.04
2015-03-26,3.95,3.98,3.93,3.96,3426300,3.96
2015-03-25,4.03,4.03,3.99,4.00,2794400,4.00
2015-03-24,3.99,4.03,3.97,4.00,3565000,4.00
2015-03-23,3.90,4.00,3.89,3.97,4971700,3.97
2015-03-20,3.93,3.98,3.87,3.95,17164200,3.95
2015-03-19,3.95,3.96,3.89,3.91,5199100,3.91
2015-03-18,3.87,3.92,3.82,3.85,6860000,3.85
2015-03-17,3.91,3.94,3.85,3.90,6950500,3.90
2015-03-16,3.95,3.96,3.865,3.89,4664800,3.89
2015-03-13,4.00,4.02,3.95,3.99,5124800,3.99
2015-03-12,3.98,4.04,3.97,4.00,4184200,4.00
2015-03-11,3.91,4.05,3.91,3.99,4289400,3.99
2015-03-10,3.93,3.98,3.91,3.91,3733800,3.91
2015-03-09,3.96,3.98,3.92,3.93,2483500,3.93
2015-03-06,3.95,3.99,3.89,3.99,3571900,3.99
2015-03-05,3.98,3.98,3.91,3.98,2630200,3.98
2015-03-04,4.00,4.00,3.93,3.95,2490500,3.95
2015-03-03,3.99,4.03,3.91,3.99,3148200,3.99
2015-03-02,3.98,4.02,3.96,3.97,2379900,3.97
2015-02-27,3.98,4.03,3.93,3.98,7406200,3.98
2015-02-26,4.13,4.14,4.02,4.05,3992400,3.921
2015-02-25,4.14,4.15,4.08,4.15,4540900,4.018
2015-02-24,4.13,4.16,4.10,4.14,6185500,4.009
2015-02-23,4.04,4.13,4.03,4.10,7861100,3.97
2015-02-20,3.90,4.11,3.85,4.01,11479100,3.883
2015-02-19,3.96,3.96,3.78,3.78,8967700,3.66
2015-02-18,3.92,3.92,3.86,3.87,4138300,3.747
2015-02-17,3.90,3.94,3.89,3.90,3590000,3.776
2015-02-16,3.88,3.92,3.875,3.89,3503200,3.767
2015-02-13,3.88,3.96,3.88,3.95,5101700,3.825
2015-02-12,3.91,3.91,3.85,3.87,5244600,3.747
2015-02-11,3.95,3.955,3.88,3.88,3279000,3.757
2015-02-10,3.89,3.92,3.86,3.90,5109300,3.776
2015-02-09,3.88,3.91,3.83,3.87,3097600,3.747
2015-02-06,3.88,3.90,3.84,3.87,3170800,3.747
2015-02-05,3.84,3.86,3.79,3.82,6392100,3.699
2015-02-04,3.96,3.96,3.83,3.83,6147900,3.708
2015-02-03,3.93,3.98,3.88,3.94,4228500,3.815
2015-02-02,3.88,3.96,3.875,3.95,4003800,3.825
2015-01-30,3.86,3.92,3.84,3.86,4355300,3.737
2015-01-29,3.86,3.91,3.81,3.85,4523700,3.728
2015-01-28,3.80,3.85,3.78,3.85,4807900,3.728
2015-01-27,3.70,3.79,3.69,3.79,3685500,3.67
2015-01-26,3.67,3.67,3.67,3.67,000,3.553
2015-01-23,3.61,3.69,3.60,3.67,3641600,3.553
2015-01-22,3.58,3.61,3.57,3.61,4399500,3.495
2015-01-21,3.52,3.61,3.51,3.57,2989400,3.457
2015-01-20,3.50,3.53,3.50,3.51,3944600,3.399
2015-01-19,3.58,3.59,3.53,3.54,2850500,3.428
2015-01-16,3.57,3.65,3.54,3.54,4502900,3.428
2015-01-15,3.60,3.63,3.58,3.58,3590000,3.466
2015-01-14,3.60,3.68,3.57,3.61,2681400,3.495
2015-01-13,3.54,3.665,3.535,3.64,3404800,3.524
2015-01-12,3.55,3.58,3.535,3.56,2955000,3.447
2015-01-09,3.49,3.56,3.48,3.55,3607100,3.437
2015-01-08,3.49,3.50,3.46,3.50,2778200,3.389
2015-01-07,3.41,3.47,3.39,3.46,3281200,3.35
2015-01-06,3.47,3.53,3.43,3.46,3307800,3.35
2015-01-05,3.50,3.53,3.46,3.49,1893700,3.379
2015-01-02,3.49,3.51,3.44,3.50,831300,3.389
2015-01-01,3.46,3.46,3.46,3.46,000,3.35
2014-12-31,3.46,3.485,3.43,3.46,919600,3.35
2014-12-30,3.56,3.59,3.44,3.44,2716700,3.331
2014-12-29,3.50,3.56,3.48,3.55,1870800,3.437
2014-12-26,3.47,3.47,3.47,3.47,000,3.36
2014-12-25,3.47,3.47,3.47,3.47,000,3.36
2014-12-24,3.49,3.51,3.47,3.47,684300,3.36
2014-12-23,3.50,3.53,3.48,3.48,3161700,3.37
2014-12-22,3.47,3.50,3.45,3.50,3149200,3.389
2014-12-19,3.36,3.47,3.36,3.43,5957600,3.321
2014-12-18,3.44,3.46,3.335,3.38,6096700,3.273
2014-12-17,3.51,3.52,3.42,3.42,4525200,3.311
2014-12-16,3.52,3.53,3.48,3.51,3305200,3.399
2014-12-15,3.43,3.50,3.42,3.50,3440600,3.389
2014-12-12,3.47,3.50,3.44,3.44,3986900,3.331
2014-12-11,3.44,3.495,3.43,3.49,4009200,3.379
2014-12-10,3.39,3.49,3.37,3.46,3471600,3.35
2014-12-09,3.38,3.48,3.38,3.42,3504600,3.311
2014-12-08,3.41,3.43,3.38,3.42,3183300,3.311
2014-12-05,3.47,3.48,3.385,3.40,4916600,3.292
2014-12-04,3.51,3.51,3.40,3.44,3646300,3.331
2014-12-03,3.36,3.50,3.36,3.50,3047800,3.389
2014-12-02,3.40,3.425,3.36,3.41,3426000,3.302
2014-12-01,3.45,3.45,3.38,3.38,1695700,3.273
2014-11-28,3.42,3.46,3.41,3.41,2295700,3.302
2014-11-27,3.51,3.51,3.45,3.46,1421700,3.35
2014-11-26,3.48,3.51,3.47,3.51,1569300,3.399
2014-11-25,3.41,3.485,3.39,3.46,5676500,3.35
2014-11-24,3.41,3.44,3.41,3.41,3527100,3.302
2014-11-21,3.39,3.42,3.39,3.41,2347500,3.302
2014-11-20,3.45,3.47,3.415,3.43,3780100,3.321
2014-11-19,3.49,3.49,3.45,3.47,3196500,3.36
2014-11-18,3.49,3.50,3.47,3.50,2000000,3.389
2014-11-17,3.51,3.51,3.47,3.47,1370200,3.36
2014-11-14,3.49,3.53,3.46,3.49,2907200,3.379
2014-11-13,3.48,3.50,3.47,3.49,3309200,3.379
2014-11-12,3.49,3.50,3.45,3.45,3765800,3.34
2014-11-11,3.45,3.485,3.44,3.48,3825900,3.37
2014-11-10,3.43,3.46,3.39,3.44,3622000,3.331
2014-11-07,3.42,3.48,3.42,3.48,3381200,3.37
2014-11-06,3.45,3.45,3.41,3.43,2448700,3.321
2014-11-05,3.45,3.45,3.40,3.41,4543100,3.302
2014-11-04,3.39,3.48,3.39,3.47,3141300,3.36
2014-11-03,3.46,3.47,3.40,3.43,3389400,3.321
2014-10-31,3.41,3.47,3.39,3.47,4546700,3.36
2014-10-30,3.37,3.40,3.36,3.38,6869200,3.273
2014-10-29,3.35,3.375,3.33,3.36,3952500,3.253
2014-10-28,3.30,3.33,3.29,3.33,2451800,3.224
2014-10-27,3.28,3.305,3.25,3.29,6263900,3.186
2014-10-24,3.24,3.26,3.22,3.26,4343700,3.157
2014-10-23,3.18,3.22,3.165,3.22,2764800,3.118
2014-10-22,3.15,3.20,3.145,3.19,1835500,3.089
2014-10-21,3.11,3.14,3.11,3.14,4049600,3.04
2014-10-20,3.13,3.15,3.13,3.14,2893500,3.04
2014-10-17,3.05,3.11,3.05,3.10,4374500,3.002
2014-10-16,3.03,3.07,3.02,3.05,4974500,2.953
2014-10-15,3.05,3.09,3.045,3.08,3654400,2.982
2014-10-14,3.02,3.08,3.02,3.05,3664500,2.953
2014-10-13,3.02,3.08,3.02,3.05,3678500,2.953
2014-10-10,3.09,3.115,3.06,3.07,6946700,2.973
2014-10-09,3.13,3.15,3.11,3.15,2885800,3.05
2014-10-08,3.11,3.135,3.10,3.12,2665400,3.021
2014-10-07,3.17,3.18,3.11,3.13,4925700,3.031
2014-10-06,3.16,3.18,3.13,3.17,1971500,3.069
2014-10-03,3.13,3.17,3.13,3.17,2013900,3.069
2014-10-02,3.13,3.16,3.12,3.15,2415200,3.05
2014-10-01,3.12,3.18,3.115,3.17,3753100,3.069
2014-09-30,3.16,3.21,3.14,3.15,4814100,3.05
2014-09-29,3.12,3.15,3.12,3.12,2437600,3.021
2014-09-26,3.19,3.20,3.14,3.16,3241600,3.06
2014-09-25,3.18,3.22,3.18,3.21,2579500,3.108
2014-09-24,3.16,3.17,3.145,3.16,5157700,3.06
2014-09-23,3.13,3.20,3.12,3.20,3329700,3.098
2014-09-22,3.16,3.18,3.12,3.12,2990000,3.021
2014-09-19,3.16,3.19,3.15,3.16,4640600,3.06
2014-09-18,3.18,3.185,3.12,3.15,5113900,3.05
2014-09-17,3.17,3.185,3.14,3.16,4529400,3.06
