date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.93,5.01,4.91,4.99,2576200,4.99
2015-06-29,5.00,5.02,4.96,4.98,2307100,4.98
2015-06-26,5.12,5.16,5.05,5.06,2132500,5.06
2015-06-25,5.31,5.31,5.16,5.21,3006400,5.21
2015-06-24,5.22,5.31,5.18,5.30,1887900,5.30
2015-06-23,5.21,5.26,5.19,5.23,1585900,5.23
2015-06-22,5.16,5.16,5.035,5.11,911800,5.11
2015-06-19,5.07,5.14,4.99,5.11,2701500,5.11
2015-06-18,4.97,5.00,4.87,4.92,3790400,4.92
2015-06-17,5.10,5.10,4.99,5.00,1387300,5.00
2015-06-16,5.14,5.15,5.00,5.05,3284800,5.05
2015-06-15,5.10,5.21,5.06,5.19,2299300,5.19
2015-06-12,5.20,5.25,5.14,5.16,1530900,5.16
2015-06-11,5.06,5.22,5.06,5.22,1705800,5.22
2015-06-10,5.03,5.065,5.01,5.04,1059900,5.04
2015-06-09,5.07,5.12,5.04,5.04,1454800,5.04
2015-06-08,5.12,5.12,5.12,5.12,000,5.12
2015-06-05,5.05,5.14,5.05,5.12,1444400,5.12
2015-06-04,5.15,5.15,5.04,5.07,1921200,5.07
2015-06-03,5.14,5.18,5.10,5.12,2378000,5.12
2015-06-02,5.27,5.27,5.18,5.20,2320000,5.20
2015-06-01,5.34,5.36,5.22,5.25,1598000,5.25
2015-05-29,5.34,5.44,5.33,5.38,2030300,5.38
2015-05-28,5.25,5.33,5.20,5.30,1416100,5.30
2015-05-27,5.29,5.32,5.20,5.20,2113900,5.20
2015-05-26,5.36,5.38,5.32,5.37,1436400,5.37
2015-05-25,5.25,5.38,5.25,5.35,1509300,5.35
2015-05-22,5.30,5.35,5.24,5.25,1219200,5.25
2015-05-21,5.35,5.37,5.28,5.32,1398700,5.32
2015-05-20,5.27,5.36,5.26,5.30,2772900,5.30
2015-05-19,5.30,5.395,5.22,5.26,3007600,5.26
2015-05-18,5.25,5.33,5.23,5.30,2175000,5.30
2015-05-15,5.33,5.34,5.25,5.26,1077800,5.26
2015-05-14,5.09,5.23,5.085,5.21,1499200,5.21
2015-05-13,5.13,5.18,5.12,5.14,1303300,5.14
2015-05-12,5.06,5.21,5.045,5.16,2073300,5.16
2015-05-11,5.12,5.14,5.04,5.06,1675800,5.06
2015-05-08,5.20,5.20,5.08,5.08,1795000,5.08
2015-05-07,5.06,5.13,5.01,5.07,1974000,5.07
2015-05-06,5.16,5.21,5.10,5.14,2294500,5.14
2015-05-05,5.51,5.51,5.26,5.30,2248400,5.30
2015-05-04,5.46,5.47,5.32,5.41,2289700,5.41
2015-05-01,5.52,5.56,5.49,5.52,827000,5.52
2015-04-30,5.35,5.58,5.34,5.57,1835300,5.57
2015-04-29,5.58,5.63,5.49,5.50,3555200,5.50
2015-04-28,5.59,5.66,5.53,5.63,2379500,5.63
2015-04-27,5.72,5.74,5.64,5.71,1742000,5.71
2015-04-24,5.58,5.77,5.56,5.71,3842600,5.71
2015-04-23,5.51,5.58,5.44,5.55,1837000,5.55
2015-04-22,5.55,5.59,5.47,5.52,1501000,5.52
2015-04-21,5.51,5.61,5.47,5.55,2095000,5.55
2015-04-20,5.60,5.61,5.51,5.51,2080600,5.51
2015-04-17,5.64,5.74,5.62,5.64,1551000,5.64
2015-04-16,5.81,5.83,5.66,5.69,2857100,5.69
2015-04-15,5.80,5.89,5.75,5.87,2663600,5.87
