date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.12,2.17,2.07,2.12,959800,2.12
2015-06-29,2.06,2.23,2.01,2.21,1215300,2.21
2015-06-26,2.14,2.15,2.05,2.08,1368300,2.08
2015-06-25,2.28,2.30,2.17,2.17,1610500,2.17
2015-06-24,2.35,2.36,2.24,2.27,2595600,2.27
2015-06-23,2.42,2.435,2.31,2.31,1383800,2.31
2015-06-22,2.46,2.48,2.40,2.42,1637800,2.42
2015-06-19,2.55,2.66,2.47,2.49,2489700,2.49
2015-06-18,2.53,2.57,2.51,2.55,2023700,2.55
2015-06-17,2.68,2.69,2.53,2.56,1804800,2.56
2015-06-16,2.72,2.72,2.65,2.70,952200,2.70
2015-06-15,2.75,2.77,2.67,2.70,962200,2.70
2015-06-12,2.61,2.72,2.59,2.71,937300,2.71
2015-06-11,2.63,2.64,2.51,2.59,1297200,2.59
2015-06-10,2.57,2.68,2.55,2.61,1047400,2.61
2015-06-09,2.54,2.57,2.51,2.55,1037500,2.55
2015-06-08,2.53,2.53,2.53,2.53,000,2.53
2015-06-05,2.53,2.55,2.50,2.53,934100,2.53
2015-06-04,2.53,2.58,2.52,2.56,872000,2.56
2015-06-03,2.55,2.57,2.46,2.54,932700,2.54
2015-06-02,2.57,2.58,2.42,2.56,2088300,2.56
2015-06-01,2.40,2.58,2.40,2.56,2479600,2.56
2015-05-29,2.50,2.54,2.25,2.32,7231500,2.32
2015-05-28,2.44,2.525,2.41,2.46,1461200,2.46
2015-05-27,2.34,2.47,2.32,2.41,1525900,2.41
2015-05-26,2.33,2.40,2.32,2.34,717000,2.34
2015-05-25,2.25,2.34,2.18,2.31,398900,2.31
2015-05-22,2.34,2.36,2.21,2.27,1276700,2.27
2015-05-21,2.38,2.39,2.28,2.31,1077400,2.31
2015-05-20,2.24,2.48,2.24,2.36,1198300,2.36
2015-05-19,2.10,2.24,2.07,2.23,1410100,2.23
2015-05-18,2.16,2.20,2.08,2.09,557500,2.09
2015-05-15,2.17,2.20,2.09,2.15,1442300,2.15
2015-05-14,2.14,2.20,2.09,2.16,733900,2.16
2015-05-13,2.16,2.20,2.07,2.13,898400,2.13
2015-05-12,2.08,2.17,1.995,2.14,1161100,2.14
2015-05-11,1.865,2.09,1.865,2.09,1375900,2.09
2015-05-08,1.95,1.975,1.825,1.86,915800,1.86
2015-05-07,1.85,1.965,1.85,1.945,1336400,1.945
2015-05-06,1.84,1.90,1.825,1.89,1377700,1.89
2015-05-05,1.865,1.90,1.855,1.88,3216400,1.88
2015-05-04,1.855,1.895,1.825,1.855,2194700,1.855
2015-05-01,1.73,1.835,1.73,1.83,797900,1.83
2015-04-30,1.65,1.79,1.65,1.745,1173600,1.745
2015-04-29,1.65,1.735,1.615,1.695,1227300,1.695
2015-04-28,1.625,1.69,1.60,1.655,1015000,1.655
2015-04-27,1.675,1.69,1.59,1.63,1135300,1.63
2015-04-24,1.695,1.695,1.64,1.675,667600,1.675
2015-04-23,1.62,1.695,1.62,1.685,1129800,1.685
2015-04-22,1.585,1.62,1.56,1.615,924500,1.615
2015-04-21,1.555,1.595,1.545,1.59,946700,1.59
2015-04-20,1.63,1.63,1.52,1.535,1159600,1.535
2015-04-17,1.65,1.65,1.58,1.63,1375800,1.63
2015-04-16,1.55,1.655,1.545,1.645,1875900,1.645
2015-04-15,1.415,1.525,1.415,1.495,1661100,1.495
2015-04-14,1.435,1.435,1.39,1.40,1811200,1.40
2015-04-13,1.515,1.535,1.43,1.435,1006100,1.435
2015-04-10,1.55,1.555,1.465,1.52,766200,1.52
2015-04-09,1.49,1.555,1.45,1.55,1791500,1.55
2015-04-08,1.40,1.50,1.385,1.49,1952100,1.49
2015-04-07,1.335,1.41,1.317,1.40,2332600,1.40
2015-04-06,1.33,1.33,1.33,1.33,000,1.33
2015-04-03,1.33,1.33,1.33,1.33,000,1.33
2015-04-02,1.37,1.37,1.31,1.33,1781600,1.33
2015-04-01,1.43,1.44,1.35,1.375,1858500,1.375
2015-03-31,1.485,1.485,1.435,1.455,1238400,1.455
2015-03-30,1.50,1.505,1.435,1.465,1883300,1.465
2015-03-27,1.525,1.57,1.50,1.515,1212900,1.515
2015-03-26,1.59,1.59,1.545,1.55,1034600,1.55
2015-03-25,1.65,1.675,1.58,1.595,1488500,1.595
2015-03-24,1.505,1.615,1.505,1.60,1776200,1.60
2015-03-23,1.50,1.53,1.475,1.52,903900,1.52
2015-03-20,1.51,1.51,1.47,1.47,1991000,1.47
2015-03-19,1.50,1.54,1.495,1.51,2423500,1.51
2015-03-18,1.52,1.525,1.485,1.50,1209400,1.50
2015-03-17,1.545,1.547,1.495,1.52,1341600,1.52
2015-03-16,1.595,1.595,1.515,1.54,770800,1.54
2015-03-13,1.53,1.62,1.52,1.615,1182500,1.615
2015-03-12,1.50,1.56,1.50,1.545,1042400,1.545
2015-03-11,1.53,1.53,1.47,1.495,1369700,1.495
2015-03-10,1.59,1.59,1.54,1.545,1301100,1.545
2015-03-09,1.605,1.63,1.55,1.59,935400,1.59
2015-03-06,1.64,1.645,1.61,1.625,875900,1.625
2015-03-05,1.64,1.66,1.625,1.64,1207800,1.64
2015-03-04,1.69,1.695,1.63,1.635,866800,1.635
2015-03-03,1.68,1.70,1.655,1.68,973600,1.68
2015-03-02,1.74,1.745,1.66,1.665,1356000,1.665
2015-02-27,1.73,1.755,1.70,1.735,1553500,1.735
2015-02-26,1.77,1.775,1.70,1.74,1305700,1.74
2015-02-25,1.74,1.78,1.68,1.78,1785100,1.78
2015-02-24,1.77,1.78,1.65,1.75,2836600,1.75
2015-02-23,1.80,1.865,1.65,1.85,2934400,1.85
2015-02-20,1.925,1.97,1.91,1.96,1082700,1.96
2015-02-19,1.91,1.925,1.87,1.91,740700,1.91
2015-02-18,1.91,1.92,1.815,1.90,1413500,1.90
2015-02-17,1.845,1.91,1.80,1.895,1174100,1.895
2015-02-16,1.705,1.87,1.70,1.84,1227000,1.84
2015-02-13,1.645,1.72,1.63,1.685,1435400,1.685
2015-02-12,1.63,1.645,1.57,1.63,1381500,1.63
2015-02-11,1.69,1.70,1.605,1.625,933600,1.625
