date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.74,0.755,0.735,0.75,633200,0.75
2015-06-29,0.745,0.7675,0.74,0.74,993300,0.74
2015-06-26,0.755,0.755,0.745,0.755,490800,0.755
2015-06-25,0.755,0.765,0.745,0.75,243100,0.75
2015-06-24,0.755,0.7575,0.745,0.755,362300,0.755
2015-06-23,0.77,0.77,0.75,0.75,421900,0.75
2015-06-22,0.76,0.765,0.75,0.75,1114700,0.75
2015-06-19,0.78,0.80,0.745,0.745,721500,0.745
2015-06-18,0.78,0.785,0.775,0.78,432700,0.78
2015-06-17,0.775,0.782,0.77,0.775,374500,0.775
2015-06-16,0.80,0.815,0.765,0.77,1160500,0.77
2015-06-15,0.825,0.825,0.80,0.80,197600,0.80
2015-06-12,0.80,0.825,0.797,0.825,513100,0.825
2015-06-11,0.785,0.80,0.775,0.80,498300,0.80
2015-06-10,0.76,0.785,0.755,0.785,253800,0.785
2015-06-09,0.745,0.77,0.74,0.75,604800,0.75
2015-06-08,0.75,0.75,0.75,0.75,000,0.75
2015-06-05,0.78,0.785,0.75,0.75,645400,0.75
2015-06-04,0.775,0.78,0.765,0.78,348900,0.78
2015-06-03,0.77,0.775,0.765,0.77,401900,0.77
2015-06-02,0.77,0.775,0.76,0.76,563300,0.76
2015-06-01,0.74,0.765,0.74,0.755,431400,0.755
2015-05-29,0.76,0.765,0.73,0.74,9148200,0.74
2015-05-28,0.76,0.77,0.755,0.76,350700,0.76
2015-05-27,0.76,0.77,0.755,0.755,229600,0.755
2015-05-26,0.76,0.77,0.75,0.755,756500,0.755
2015-05-25,0.775,0.785,0.76,0.76,434200,0.76
2015-05-22,0.78,0.795,0.775,0.775,350600,0.775
2015-05-21,0.755,0.78,0.755,0.775,395200,0.775
2015-05-20,0.74,0.75,0.73,0.75,1651300,0.75
2015-05-19,0.74,0.74,0.73,0.73,446800,0.73
2015-05-18,0.74,0.74,0.73,0.74,236200,0.74
2015-05-15,0.74,0.74,0.732,0.74,505600,0.74
2015-05-14,0.735,0.74,0.727,0.735,697200,0.735
2015-05-13,0.74,0.7425,0.72,0.73,847200,0.73
2015-05-12,0.745,0.75,0.735,0.74,634100,0.74
2015-05-11,0.73,0.745,0.73,0.74,868100,0.74
2015-05-08,0.73,0.7375,0.725,0.73,281000,0.73
2015-05-07,0.74,0.74,0.72,0.725,712800,0.725
2015-05-06,0.74,0.745,0.725,0.735,455200,0.735
2015-05-05,0.735,0.735,0.72,0.725,450100,0.725
2015-05-04,0.745,0.745,0.725,0.725,576900,0.725
2015-05-01,0.75,0.765,0.742,0.75,373500,0.75
2015-04-30,0.735,0.75,0.73,0.75,453900,0.75
2015-04-29,0.72,0.745,0.72,0.73,331300,0.73
2015-04-28,0.75,0.75,0.73,0.735,318100,0.735
2015-04-27,0.75,0.7575,0.74,0.75,298600,0.75
2015-04-24,0.73,0.745,0.73,0.745,114000,0.745
2015-04-23,0.75,0.75,0.735,0.735,192200,0.735
2015-04-22,0.745,0.75,0.735,0.75,451100,0.75
2015-04-21,0.745,0.75,0.73,0.75,128900,0.75
2015-04-20,0.74,0.745,0.73,0.745,151200,0.745
2015-04-17,0.75,0.75,0.73,0.73,197400,0.73
2015-04-16,0.74,0.75,0.74,0.75,132700,0.75
2015-04-15,0.75,0.7575,0.73,0.74,142000,0.74
2015-04-14,0.77,0.77,0.73,0.75,604900,0.75
2015-04-13,0.76,0.76,0.755,0.755,101900,0.755
2015-04-10,0.77,0.772,0.75,0.75,260400,0.75
2015-04-09,0.775,0.775,0.765,0.77,143900,0.77
2015-04-08,0.765,0.775,0.76,0.775,170300,0.775
2015-04-07,0.79,0.79,0.755,0.765,145500,0.765
2015-04-06,0.795,0.795,0.795,0.795,000,0.795
2015-04-03,0.795,0.795,0.795,0.795,000,0.795
2015-04-02,0.77,0.795,0.765,0.795,348300,0.795
2015-04-01,0.78,0.785,0.765,0.77,349000,0.77
2015-03-31,0.77,0.79,0.77,0.79,145600,0.79
2015-03-30,0.78,0.78,0.75,0.75,320600,0.75
2015-03-27,0.775,0.78,0.772,0.78,94000,0.78
2015-03-26,0.77,0.78,0.765,0.77,200800,0.77
2015-03-25,0.77,0.78,0.765,0.775,73900,0.775
2015-03-24,0.78,0.78,0.76,0.78,99400,0.78
2015-03-23,0.767,0.78,0.76,0.78,202000,0.78
2015-03-20,0.77,0.775,0.76,0.76,681100,0.76
2015-03-19,0.78,0.79,0.77,0.77,1087500,0.77
2015-03-18,0.78,0.79,0.775,0.79,279700,0.79
2015-03-17,0.795,0.7975,0.78,0.78,204100,0.78
2015-03-16,0.78,0.795,0.775,0.795,269600,0.795
2015-03-13,0.805,0.81,0.79,0.795,549300,0.7707
2015-03-12,0.805,0.815,0.79,0.80,322600,0.77555
2015-03-11,0.80,0.815,0.80,0.815,202400,0.79009
2015-03-10,0.825,0.825,0.80,0.81,257300,0.78524
2015-03-09,0.81,0.83,0.81,0.83,277300,0.80463
2015-03-06,0.84,0.84,0.815,0.82,249300,0.79494
2015-03-05,0.805,0.835,0.805,0.835,582500,0.80948
2015-03-04,0.817,0.82,0.80,0.80,135500,0.77555
2015-03-03,0.81,0.83,0.81,0.82,463900,0.79494
2015-03-02,0.805,0.815,0.80,0.805,308800,0.78039
2015-02-27,0.855,0.87,0.78,0.795,1716800,0.7707
2015-02-26,0.835,0.84,0.825,0.84,153800,0.81432
2015-02-25,0.81,0.84,0.805,0.825,501000,0.79978
2015-02-24,0.825,0.83,0.805,0.805,522900,0.78039
2015-02-23,0.835,0.85,0.825,0.825,463900,0.79978
2015-02-20,0.81,0.83,0.81,0.83,473800,0.80463
2015-02-19,0.80,0.8175,0.785,0.805,351400,0.78039
2015-02-18,0.78,0.815,0.775,0.80,692700,0.77555
2015-02-17,0.76,0.78,0.76,0.78,1478700,0.75616
2015-02-16,0.76,0.765,0.76,0.765,439300,0.74162
2015-02-13,0.76,0.765,0.74,0.76,1117900,0.73677
2015-02-12,0.75,0.76,0.75,0.75,575500,0.72708
2015-02-11,0.755,0.77,0.755,0.76,486200,0.73677
2015-02-10,0.735,0.75,0.73,0.75,697200,0.72708
2015-02-09,0.74,0.75,0.73,0.73,699400,0.70769
2015-02-06,0.74,0.745,0.73,0.74,406800,0.71738
2015-02-05,0.74,0.745,0.73,0.735,259600,0.71253
2015-02-04,0.75,0.75,0.74,0.74,302800,0.71738
2015-02-03,0.735,0.765,0.73,0.74,582500,0.71738
2015-02-02,0.74,0.74,0.725,0.725,367600,0.70284
2015-01-30,0.74,0.745,0.735,0.745,510900,0.72223
2015-01-29,0.74,0.74,0.725,0.73,460100,0.70769
2015-01-28,0.73,0.74,0.73,0.74,641800,0.71738
2015-01-27,0.75,0.75,0.735,0.735,522100,0.71253
2015-01-26,0.755,0.755,0.755,0.755,000,0.73192
2015-01-23,0.735,0.76,0.73,0.755,737600,0.73192
2015-01-22,0.75,0.755,0.725,0.725,293300,0.70284
2015-01-21,0.77,0.78,0.745,0.745,623200,0.72223
2015-01-20,0.715,0.785,0.715,0.765,1361900,0.74162
2015-01-19,0.72,0.73,0.71,0.71,278000,0.6883
2015-01-16,0.71,0.73,0.71,0.71,141300,0.6883
2015-01-15,0.72,0.735,0.715,0.715,227300,0.69315
2015-01-14,0.725,0.74,0.72,0.725,63000,0.70284
2015-01-13,0.735,0.745,0.72,0.725,297800,0.70284
2015-01-12,0.745,0.75,0.735,0.735,204700,0.71253
2015-01-09,0.75,0.75,0.745,0.745,116700,0.72223
2015-01-08,0.75,0.75,0.745,0.745,44200,0.72223
2015-01-07,0.74,0.75,0.74,0.75,49000,0.72708
2015-01-06,0.74,0.75,0.74,0.75,51900,0.72708
2015-01-05,0.76,0.76,0.745,0.75,149300,0.72708
2015-01-02,0.75,0.765,0.75,0.765,64000,0.74162
2015-01-01,0.74,0.74,0.74,0.74,000,0.71738
2014-12-31,0.76,0.76,0.74,0.74,76800,0.71738
2014-12-30,0.755,0.755,0.74,0.755,205200,0.73192
2014-12-29,0.74,0.755,0.74,0.745,99800,0.72223
2014-12-26,0.75,0.75,0.75,0.75,000,0.72708
2014-12-25,0.75,0.75,0.75,0.75,000,0.72708
2014-12-24,0.745,0.75,0.735,0.75,64600,0.72708
2014-12-23,0.755,0.755,0.74,0.74,1202800,0.71738
2014-12-22,0.77,0.775,0.735,0.745,329400,0.72223
2014-12-19,0.785,0.795,0.745,0.77,367200,0.74646
2014-12-18,0.76,0.785,0.74,0.785,270100,0.76101
2014-12-17,0.73,0.78,0.722,0.74,1627300,0.71738
2014-12-16,0.76,0.76,0.725,0.725,186300,0.70284
2014-12-15,0.75,0.775,0.712,0.76,91400,0.73677
2014-12-12,0.78,0.78,0.73,0.73,391300,0.70769
2014-12-11,0.82,0.82,0.76,0.76,799900,0.73677
2014-12-10,0.82,0.835,0.80,0.83,1335400,0.80463
2014-12-09,0.80,0.83,0.80,0.82,781500,0.79494
2014-12-08,0.80,0.80,0.78,0.80,394600,0.77555
2014-12-05,0.765,0.79,0.765,0.79,238200,0.76585
2014-12-04,0.76,0.78,0.755,0.78,261100,0.75616
2014-12-03,0.74,0.775,0.73,0.77,200800,0.74646
2014-12-02,0.735,0.745,0.73,0.74,565600,0.71738
2014-12-01,0.73,0.74,0.71,0.735,211100,0.71253
2014-11-28,0.75,0.75,0.725,0.735,251800,0.71253
2014-11-27,0.76,0.762,0.74,0.75,387300,0.72708
2014-11-26,0.80,0.80,0.77,0.78,110500,0.75616
2014-11-25,0.78,0.80,0.74,0.80,292100,0.77555
2014-11-24,0.74,0.77,0.74,0.77,417300,0.74646
2014-11-21,0.755,0.76,0.73,0.74,1238900,0.71738
2014-11-20,0.78,0.78,0.765,0.77,602500,0.74646
2014-11-19,0.745,0.77,0.745,0.76,86700,0.73677
2014-11-18,0.745,0.76,0.735,0.74,264200,0.71738
2014-11-17,0.77,0.777,0.735,0.74,451800,0.71738
2014-11-14,0.77,0.785,0.765,0.77,304000,0.74646
2014-11-13,0.795,0.795,0.765,0.78,363400,0.75616
2014-11-12,0.815,0.815,0.775,0.795,120800,0.7707
2014-11-11,0.82,0.825,0.795,0.805,484300,0.78039
2014-11-10,0.825,0.835,0.82,0.825,136200,0.79978
2014-11-07,0.83,0.84,0.82,0.84,247100,0.81432
2014-11-06,0.84,0.84,0.822,0.83,149000,0.80463
2014-11-05,0.85,0.85,0.83,0.83,129900,0.80463
2014-11-04,0.83,0.85,0.83,0.835,221800,0.80948
2014-11-03,0.84,0.845,0.83,0.84,221300,0.81432
2014-10-31,0.855,0.86,0.81,0.83,1467400,0.80463
2014-10-30,0.86,0.86,0.855,0.86,309100,0.83371
2014-10-29,0.86,0.86,0.847,0.86,468100,0.83371
2014-10-28,0.845,0.86,0.845,0.845,246000,0.81917
2014-10-27,0.85,0.8575,0.845,0.845,298400,0.81917
2014-10-24,0.85,0.865,0.85,0.855,234100,0.82887
2014-10-23,0.85,0.8625,0.845,0.855,213200,0.82887
2014-10-22,0.86,0.87,0.85,0.865,336400,0.83856
2014-10-21,0.87,0.875,0.85,0.85,171700,0.82402
2014-10-20,0.86,0.87,0.855,0.87,343200,0.84341
2014-10-17,0.84,0.87,0.84,0.87,1303900,0.84341
2014-10-16,0.855,0.86,0.835,0.835,219800,0.80948
2014-10-15,0.855,0.87,0.845,0.865,297800,0.83856
2014-10-14,0.83,0.86,0.815,0.85,384800,0.82402
2014-10-13,0.815,0.835,0.76,0.83,673000,0.80463
2014-10-10,0.885,0.89,0.80,0.82,1039600,0.79494
2014-10-09,0.88,0.895,0.855,0.885,307800,0.85795
2014-10-08,0.91,0.915,0.895,0.90,847500,0.83094
2014-10-07,0.93,0.93,0.91,0.93,370200,0.85864
2014-10-06,0.92,0.93,0.917,0.93,257500,0.85864
2014-10-03,0.91,0.935,0.91,0.93,854400,0.85864
2014-10-02,0.92,0.92,0.905,0.92,335200,0.84941
2014-10-01,0.915,0.92,0.90,0.92,249400,0.84941
2014-09-30,0.91,0.915,0.90,0.915,442800,0.84479
2014-09-29,0.905,0.915,0.905,0.91,140700,0.84018
2014-09-26,0.91,0.9175,0.895,0.905,454300,0.83556
2014-09-25,0.91,0.925,0.905,0.925,340800,0.85403
2014-09-24,0.91,0.92,0.907,0.92,301200,0.84941
2014-09-23,0.905,0.92,0.905,0.91,250600,0.84018
2014-09-22,0.895,0.925,0.895,0.925,476100,0.85403
2014-09-19,0.92,0.925,0.895,0.895,976400,0.82633
2014-09-18,0.90,0.92,0.89,0.92,377400,0.84941
2014-09-17,0.93,0.93,0.89,0.89,589900,0.82171
2014-09-16,0.93,0.93,0.92,0.925,329600,0.85403
2014-09-15,0.90,0.93,0.90,0.93,365700,0.85864
2014-09-12,0.925,0.925,0.90,0.905,706000,0.83556
2014-09-11,0.925,0.935,0.92,0.93,897500,0.85864
2014-09-10,0.93,0.93,0.915,0.92,178600,0.84941
2014-09-09,0.90,0.93,0.90,0.93,442100,0.85864
2014-09-08,0.90,0.92,0.885,0.895,345700,0.82633
2014-09-05,0.93,0.93,0.912,0.93,602200,0.85864
2014-09-04,0.885,0.94,0.88,0.94,1202000,0.86787
2014-09-03,0.86,0.8825,0.86,0.88,931400,0.81248
2014-09-02,0.865,0.865,0.855,0.86,832400,0.79401
2014-09-01,0.87,0.87,0.855,0.865,607600,0.79863
2014-08-29,0.87,0.87,0.852,0.86,994000,0.79401
2014-08-28,0.855,0.87,0.845,0.86,475800,0.79401
2014-08-27,0.835,0.855,0.83,0.85,428900,0.78478
2014-08-26,0.84,0.85,0.82,0.83,703700,0.76631
2014-08-25,0.85,0.855,0.84,0.84,492800,0.77555
2014-08-22,0.855,0.855,0.85,0.85,341500,0.78478
2014-08-21,0.845,0.855,0.84,0.85,1129300,0.78478
2014-08-20,0.84,0.85,0.835,0.85,227300,0.78478
2014-08-19,0.86,0.86,0.835,0.84,1354300,0.77555
2014-08-18,0.86,0.87,0.847,0.85,638000,0.78478
2014-08-15,0.85,0.86,0.845,0.85,462400,0.78478
2014-08-14,0.84,0.855,0.835,0.84,5352900,0.77555
2014-08-13,0.835,0.845,0.83,0.835,1807400,0.77093
2014-08-12,0.83,0.85,0.81,0.82,1928400,0.75708
2014-08-11,0.79,0.805,0.79,0.79,1268900,0.72938
2014-08-08,0.80,0.81,0.785,0.80,1181000,0.73862
2014-08-07,0.795,0.81,0.795,0.80,523500,0.73862
2014-08-06,0.795,0.805,0.79,0.80,1824700,0.73862
2014-08-05,0.805,0.805,0.79,0.795,1054000,0.734
2014-08-04,0.81,0.84,0.79,0.795,212500,0.734
2014-08-01,0.77,0.815,0.755,0.805,1202900,0.74323
2014-07-31,0.79,0.80,0.77,0.775,588100,0.71553
2014-07-30,0.83,0.84,0.775,0.78,2312100,0.72015
