date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.18,2.22,2.17,2.22,2047000,2.22
2015-06-29,2.22,2.24,2.17,2.19,2009600,2.19
2015-06-26,2.22,2.24,2.19,2.24,1919100,2.24
2015-06-25,2.29,2.29,2.24,2.25,2209500,2.25
2015-06-24,2.32,2.33,2.27,2.29,2175900,2.29
2015-06-23,2.29,2.33,2.27,2.32,1245100,2.32
2015-06-22,2.26,2.295,2.22,2.26,2151500,2.26
2015-06-19,2.25,2.29,2.23,2.27,2286300,2.27
2015-06-18,2.26,2.27,2.22,2.22,2633900,2.22
2015-06-17,2.26,2.30,2.23,2.28,4591000,2.28
2015-06-16,2.25,2.29,2.225,2.25,2176500,2.25
2015-06-15,2.29,2.29,2.22,2.25,1563500,2.25
2015-06-12,2.30,2.30,2.27,2.28,954300,2.28
2015-06-11,2.24,2.305,2.225,2.30,2819000,2.30
2015-06-10,2.22,2.26,2.20,2.23,1939100,2.23
2015-06-09,2.17,2.24,2.17,2.22,1398000,2.22
2015-06-08,2.18,2.18,2.18,2.18,000,2.18
2015-06-05,2.16,2.205,2.14,2.18,3757500,2.18
2015-06-04,2.22,2.23,2.145,2.15,2715200,2.15
2015-06-03,2.20,2.22,2.17,2.20,3116600,2.20
2015-06-02,2.27,2.27,2.23,2.24,1752500,2.24
2015-06-01,2.29,2.32,2.23,2.24,2748700,2.24
2015-05-29,2.32,2.34,2.28,2.30,7762000,2.30
2015-05-28,2.36,2.37,2.30,2.31,1832400,2.31
2015-05-27,2.36,2.375,2.33,2.35,6622400,2.35
2015-05-26,2.36,2.375,2.355,2.37,1067400,2.37
2015-05-25,2.34,2.37,2.33,2.35,3761100,2.35
2015-05-22,2.33,2.345,2.32,2.34,543100,2.34
2015-05-21,2.34,2.34,2.31,2.33,1731400,2.33
2015-05-20,2.34,2.37,2.32,2.34,1947300,2.34
2015-05-19,2.33,2.35,2.31,2.34,1616000,2.34
2015-05-18,2.33,2.36,2.33,2.34,2700800,2.34
2015-05-15,2.37,2.38,2.34,2.34,1827300,2.34
2015-05-14,2.30,2.39,2.30,2.37,1960500,2.37
2015-05-13,2.28,2.33,2.28,2.33,1446600,2.33
2015-05-12,2.28,2.305,2.27,2.30,2183000,2.30
2015-05-11,2.35,2.35,2.28,2.30,1539200,2.30
2015-05-08,2.26,2.335,2.26,2.31,1487800,2.31
2015-05-07,2.27,2.31,2.27,2.27,2408400,2.27
2015-05-06,2.32,2.34,2.28,2.30,3728300,2.30
2015-05-05,2.37,2.37,2.31,2.33,2049500,2.33
2015-05-04,2.32,2.36,2.31,2.35,1571800,2.35
2015-05-01,2.26,2.34,2.26,2.33,1445000,2.33
2015-04-30,2.25,2.32,2.24,2.29,2372300,2.29
2015-04-29,2.28,2.31,2.26,2.27,3258400,2.27
2015-04-28,2.30,2.31,2.26,2.29,1050300,2.29
2015-04-27,2.31,2.32,2.29,2.30,1720000,2.30
2015-04-24,2.31,2.325,2.29,2.30,4596800,2.30
2015-04-23,2.29,2.31,2.27,2.28,996800,2.28
2015-04-22,2.28,2.32,2.275,2.29,1324900,2.29
2015-04-21,2.27,2.30,2.26,2.26,8332300,2.26
2015-04-20,2.27,2.28,2.225,2.25,2523700,2.25
2015-04-17,2.31,2.32,2.27,2.28,3514300,2.28
2015-04-16,2.30,2.32,2.275,2.31,1054100,2.31
2015-04-15,2.29,2.30,2.27,2.29,1331600,2.29
2015-04-14,2.32,2.33,2.29,2.31,1864800,2.31
2015-04-13,2.33,2.35,2.32,2.32,1675400,2.32
2015-04-10,2.33,2.33,2.31,2.32,615300,2.32
2015-04-09,2.34,2.34,2.32,2.32,1145900,2.32
2015-04-08,2.33,2.35,2.31,2.34,833200,2.34
2015-04-07,2.33,2.37,2.31,2.33,1800800,2.33
2015-04-06,2.32,2.32,2.32,2.32,000,2.32
2015-04-03,2.32,2.32,2.32,2.32,000,2.32
2015-04-02,2.32,2.33,2.31,2.32,2111600,2.32
2015-04-01,2.30,2.31,2.28,2.30,2277600,2.30
2015-03-31,2.31,2.32,2.29,2.32,1463100,2.32
2015-03-30,2.29,2.30,2.26,2.28,1786400,2.28
2015-03-27,2.27,2.33,2.27,2.30,1311200,2.30
2015-03-26,2.28,2.31,2.26,2.29,2275800,2.29
2015-03-25,2.31,2.33,2.28,2.30,3508400,2.30
2015-03-24,2.30,2.32,2.29,2.31,6088600,2.31
2015-03-23,2.30,2.31,2.27,2.28,2281500,2.28
2015-03-20,2.30,2.30,2.26,2.30,8510800,2.30
2015-03-19,2.29,2.32,2.28,2.30,5841300,2.30
2015-03-18,2.30,2.34,2.28,2.30,1975700,2.30
2015-03-17,2.34,2.35,2.275,2.29,3465400,2.29
2015-03-16,2.35,2.35,2.31,2.32,2185900,2.32
2015-03-13,2.36,2.39,2.33,2.34,2610100,2.34
2015-03-12,2.36,2.385,2.35,2.36,4680800,2.36
2015-03-11,2.38,2.39,2.33,2.35,4561600,2.35
2015-03-10,2.41,2.415,2.38,2.40,5430800,2.40
2015-03-09,2.43,2.43,2.39,2.40,1416000,2.40
2015-03-06,2.43,2.44,2.37,2.42,6415000,2.42
2015-03-05,2.43,2.44,2.41,2.42,1212900,2.42
2015-03-04,2.41,2.48,2.40,2.42,9839700,2.42
2015-03-03,2.37,2.41,2.355,2.40,2394300,2.40
2015-03-02,2.34,2.39,2.34,2.36,9400400,2.36
2015-02-27,2.35,2.38,2.31,2.34,7323000,2.34
2015-02-26,2.43,2.44,2.32,2.34,19232100,2.34
2015-02-25,2.37,2.39,2.26,2.31,2230300,2.31
2015-02-24,2.35,2.36,2.33,2.35,1405400,2.35
2015-02-23,2.31,2.35,2.31,2.34,792200,2.34
2015-02-20,2.34,2.35,2.30,2.31,1224100,2.31
2015-02-19,2.36,2.38,2.34,2.34,1662000,2.34
2015-02-18,2.32,2.36,2.31,2.36,708600,2.36
2015-02-17,2.29,2.30,2.26,2.29,567800,2.29
2015-02-16,2.32,2.33,2.29,2.30,1489800,2.30
2015-02-13,2.32,2.36,2.31,2.32,1863500,2.32
2015-02-12,2.33,2.35,2.27,2.29,1225600,2.29
2015-02-11,2.35,2.35,2.30,2.31,796400,2.31
2015-02-10,2.35,2.35,2.29,2.30,755500,2.30
2015-02-09,2.35,2.35,2.29,2.32,810800,2.32
2015-02-06,2.32,2.34,2.30,2.34,2234500,2.34
2015-02-05,2.30,2.33,2.29,2.31,683200,2.31
2015-02-04,2.30,2.30,2.28,2.29,1064000,2.29
2015-02-03,2.27,2.32,2.26,2.28,1758100,2.28
2015-02-02,2.26,2.30,2.25,2.28,987300,2.28
2015-01-30,2.28,2.30,2.25,2.30,896300,2.30
2015-01-29,2.24,2.27,2.23,2.27,717800,2.27
