date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.092,0.10,0.091,0.10,1139700,0.10
2015-06-29,0.097,0.097,0.091,0.094,667100,0.094
2015-06-26,0.096,0.10,0.092,0.099,828600,0.099
2015-06-25,0.098,0.098,0.095,0.096,185600,0.096
2015-06-24,0.098,0.10,0.095,0.10,562800,0.10
2015-06-23,0.115,0.115,0.097,0.098,821700,0.098
2015-06-22,0.097,0.115,0.093,0.105,1410800,0.105
2015-06-19,0.095,0.097,0.094,0.095,543000,0.095
2015-06-18,0.098,0.099,0.094,0.095,752400,0.095
2015-06-17,0.10,0.10,0.094,0.098,1186300,0.098
2015-06-16,0.10,0.10,0.098,0.098,422700,0.098
2015-06-15,0.10,0.105,0.097,0.10,415400,0.10
2015-06-12,0.10,0.105,0.098,0.10,110900,0.10
2015-06-11,0.10,0.105,0.099,0.10,422400,0.10
2015-06-10,0.105,0.105,0.10,0.10,58900,0.10
2015-06-09,0.10,0.10,0.096,0.10,844100,0.10
2015-06-08,0.10,0.10,0.10,0.10,000,0.10
2015-06-05,0.105,0.11,0.10,0.10,601000,0.10
2015-06-04,0.115,0.115,0.105,0.11,584600,0.11
2015-06-03,0.12,0.12,0.105,0.115,2251300,0.115
2015-06-02,0.13,0.13,0.115,0.12,1640000,0.12
2015-06-01,0.13,0.135,0.12,0.13,2461300,0.13
2015-05-29,0.145,0.15,0.135,0.135,4140300,0.135
2015-05-28,0.145,0.15,0.135,0.15,1319600,0.15
2015-05-27,0.15,0.15,0.14,0.145,853000,0.145
2015-05-26,0.14,0.15,0.14,0.15,1030700,0.15
2015-05-25,0.145,0.145,0.135,0.145,1302100,0.145
2015-05-22,0.155,0.155,0.14,0.15,1272100,0.15
2015-05-21,0.155,0.155,0.145,0.15,571600,0.15
2015-05-20,0.16,0.17,0.15,0.155,3181000,0.155
2015-05-19,0.15,0.155,0.145,0.15,1056700,0.15
2015-05-18,0.14,0.145,0.14,0.145,154400,0.145
2015-05-15,0.14,0.145,0.135,0.14,609000,0.14
2015-05-14,0.145,0.145,0.135,0.14,3232800,0.14
2015-05-13,0.14,0.145,0.14,0.145,280500,0.145
2015-05-12,0.14,0.14,0.14,0.14,406500,0.14
2015-05-11,0.15,0.15,0.14,0.145,848200,0.145
2015-05-08,0.135,0.15,0.135,0.15,281000,0.15
2015-05-07,0.135,0.14,0.135,0.135,501000,0.135
2015-05-06,0.14,0.14,0.13,0.135,401600,0.135
2015-05-05,0.135,0.14,0.13,0.14,148800,0.14
2015-05-04,0.15,0.15,0.13,0.13,1749500,0.13
2015-05-01,0.145,0.15,0.14,0.14,1099600,0.14
2015-04-30,0.15,0.16,0.145,0.145,635500,0.145
2015-04-29,0.155,0.165,0.14,0.15,2216300,0.15
2015-04-28,0.16,0.16,0.15,0.155,1734700,0.155
2015-04-27,0.165,0.165,0.155,0.16,1399200,0.16
2015-04-24,0.155,0.165,0.15,0.16,836300,0.16
2015-04-23,0.16,0.165,0.15,0.155,2281100,0.155
2015-04-22,0.165,0.165,0.16,0.16,1453700,0.16
2015-04-21,0.17,0.175,0.16,0.165,861300,0.165
2015-04-20,0.17,0.17,0.16,0.165,1427300,0.165
2015-04-17,0.19,0.195,0.17,0.175,6201000,0.175
2015-04-16,0.16,0.20,0.16,0.185,12206800,0.185
2015-04-15,0.16,0.16,0.15,0.15,411300,0.15
2015-04-14,0.15,0.16,0.145,0.16,760600,0.16
2015-04-13,0.165,0.165,0.15,0.15,1012700,0.15
2015-04-10,0.13,0.18,0.125,0.155,4892100,0.155
2015-04-09,0.135,0.135,0.125,0.125,470800,0.125
2015-04-08,0.135,0.14,0.127,0.135,1129800,0.135
2015-04-07,0.15,0.155,0.13,0.135,1218700,0.135
2015-04-06,0.145,0.145,0.145,0.145,000,0.145
2015-04-03,0.145,0.145,0.145,0.145,000,0.145
2015-04-02,0.155,0.165,0.14,0.145,4255900,0.145
2015-04-01,0.165,0.17,0.155,0.155,1845600,0.155
2015-03-31,0.19,0.195,0.16,0.16,4340500,0.16
2015-03-30,0.175,0.21,0.175,0.185,13422100,0.185
2015-03-27,0.125,0.185,0.125,0.16,17688600,0.16
2015-03-26,0.082,0.13,0.082,0.125,10879300,0.125
2015-03-25,0.079,0.081,0.076,0.079,221500,0.079
2015-03-24,0.076,0.08,0.076,0.079,262000,0.079
2015-03-23,0.082,0.083,0.075,0.076,1654100,0.076
2015-03-20,0.085,0.085,0.077,0.079,4443700,0.079
2015-03-19,0.086,0.089,0.078,0.084,5171800,0.084
2015-03-18,0.09,0.09,0.071,0.077,1623600,0.077
2015-03-17,0.091,0.099,0.083,0.088,2934700,0.088
2015-03-16,0.092,0.093,0.082,0.088,1275600,0.088
2015-03-13,0.077,0.077,0.07,0.075,132100,0.075
2015-03-12,0.072,0.075,0.068,0.075,1804100,0.075
2015-03-11,0.077,0.077,0.072,0.072,394800,0.072
2015-03-10,0.078,0.081,0.077,0.077,550500,0.077
2015-03-09,0.077,0.079,0.075,0.078,547200,0.078
2015-03-06,0.08,0.081,0.077,0.077,999400,0.077
2015-03-05,0.078,0.083,0.077,0.081,949600,0.081
2015-03-04,0.084,0.093,0.077,0.079,1656200,0.079
2015-03-03,0.085,0.097,0.084,0.084,1997400,0.084
2015-03-02,0.089,0.097,0.083,0.085,13736300,0.085
2015-02-27,0.10,0.105,0.089,0.09,8483500,0.09
2015-02-26,0.105,0.11,0.095,0.105,3510800,0.105
2015-02-25,0.125,0.13,0.105,0.11,3823400,0.11
2015-02-24,0.135,0.14,0.12,0.12,3881400,0.12
2015-02-23,0.071,0.19,0.07,0.125,12225600,0.125
2015-02-20,0.25,0.25,0.25,0.25,000,0.25
2015-02-19,0.25,0.25,0.25,0.25,000,0.25
2015-02-18,0.25,0.25,0.25,0.25,000,0.25
2015-02-17,0.25,0.25,0.25,0.25,000,0.25
2015-02-16,0.25,0.25,0.25,0.25,000,0.25
2015-02-13,0.25,0.25,0.25,0.25,000,0.25
2015-02-12,0.25,0.25,0.25,0.25,000,0.25
2015-02-11,0.25,0.25,0.25,0.25,000,0.25
2015-02-10,0.25,0.25,0.25,0.25,000,0.25
2015-02-09,0.25,0.25,0.25,0.25,000,0.25
2015-02-06,0.25,0.25,0.25,0.25,000,0.25
2015-02-05,0.25,0.25,0.25,0.25,000,0.25
2015-02-04,0.25,0.25,0.25,0.25,000,0.25
2015-02-03,0.25,0.25,0.25,0.25,000,0.25
2015-02-02,0.25,0.25,0.25,0.25,000,0.25
2015-01-30,0.25,0.25,0.25,0.25,000,0.25
2015-01-29,0.25,0.25,0.25,0.25,000,0.25
2015-01-28,0.25,0.25,0.25,0.25,000,0.25
2015-01-27,0.25,0.25,0.25,0.25,000,0.25
2015-01-26,0.25,0.25,0.25,0.25,000,0.25
2015-01-23,0.25,0.25,0.25,0.25,000,0.25
2015-01-22,0.25,0.25,0.25,0.25,000,0.25
2015-01-21,0.25,0.25,0.25,0.25,000,0.25
2015-01-20,0.25,0.25,0.25,0.25,000,0.25
2015-01-19,0.25,0.25,0.25,0.25,000,0.25
2015-01-16,0.285,0.285,0.25,0.25,331800,0.25
2015-01-15,0.28,0.295,0.25,0.275,1139400,0.275
2015-01-14,0.30,0.30,0.28,0.285,438700,0.285
2015-01-13,0.31,0.31,0.295,0.295,1522400,0.295
2015-01-12,0.28,0.315,0.277,0.315,1439300,0.315
2015-01-09,0.265,0.28,0.265,0.28,1301700,0.28
2015-01-08,0.275,0.275,0.26,0.265,1139200,0.265
2015-01-07,0.26,0.275,0.25,0.275,1357900,0.275
2015-01-06,0.255,0.26,0.24,0.26,1769400,0.26
2015-01-05,0.23,0.25,0.225,0.25,772500,0.25
2015-01-02,0.23,0.235,0.225,0.23,694800,0.23
2015-01-01,0.225,0.225,0.225,0.225,000,0.225
2014-12-31,0.23,0.24,0.225,0.225,550400,0.225
2014-12-30,0.22,0.225,0.205,0.225,629200,0.225
2014-12-29,0.19,0.22,0.185,0.22,1164200,0.22
2014-12-26,0.19,0.19,0.19,0.19,000,0.19
2014-12-25,0.19,0.19,0.19,0.19,000,0.19
2014-12-24,0.21,0.21,0.19,0.19,957800,0.19
2014-12-23,0.235,0.235,0.21,0.21,759200,0.21
2014-12-22,0.225,0.23,0.21,0.225,455500,0.225
2014-12-19,0.235,0.245,0.215,0.225,1978300,0.225
2014-12-18,0.22,0.235,0.205,0.215,1571200,0.215
2014-12-17,0.28,0.28,0.22,0.225,4311900,0.225
2014-12-16,0.23,0.285,0.215,0.265,5329000,0.265
2014-12-15,0.215,0.235,0.215,0.23,3841000,0.23
2014-12-12,0.185,0.215,0.18,0.21,5025700,0.21
2014-12-11,0.17,0.185,0.155,0.18,2788600,0.18
2014-12-10,0.185,0.19,0.17,0.175,4992400,0.175
2014-12-09,0.195,0.20,0.185,0.185,3303800,0.185
2014-12-08,0.195,0.20,0.175,0.19,10238300,0.19
2014-12-05,0.18,0.215,0.175,0.185,20750900,0.185
2014-12-04,0.38,0.38,0.135,0.195,79832900,0.195
2014-12-03,0.50,0.50,0.50,0.50,000,0.50
2014-12-02,0.50,0.50,0.50,0.50,000,0.50
2014-12-01,0.50,0.52,0.485,0.50,3333500,0.50
2014-11-28,0.535,0.575,0.485,0.50,3214100,0.50
2014-11-27,0.62,0.62,0.51,0.535,2986900,0.535
2014-11-26,0.63,0.645,0.62,0.63,7472400,0.63
2014-11-25,0.65,0.655,0.63,0.63,3411500,0.63
2014-11-24,0.67,0.67,0.62,0.66,1638800,0.66
2014-11-21,0.69,0.69,0.67,0.67,645400,0.67
2014-11-20,0.70,0.705,0.675,0.70,1852100,0.70
2014-11-19,0.725,0.73,0.695,0.705,2145900,0.705
2014-11-18,0.72,0.74,0.715,0.73,742700,0.73
2014-11-17,0.72,0.725,0.70,0.72,848800,0.72
2014-11-14,0.705,0.725,0.695,0.705,2192200,0.705
2014-11-13,0.70,0.71,0.68,0.70,1258700,0.70
2014-11-12,0.705,0.71,0.655,0.70,1993000,0.70
2014-11-11,0.73,0.74,0.695,0.71,1535000,0.71
2014-11-10,0.68,0.75,0.64,0.715,3457000,0.715
2014-11-07,0.79,0.815,0.65,0.665,8996000,0.665
2014-11-06,0.81,0.83,0.775,0.785,2564900,0.785
2014-11-05,0.835,0.835,0.775,0.79,6084800,0.79
2014-11-04,0.84,0.89,0.825,0.84,7136200,0.84
2014-11-03,0.935,0.935,0.81,0.81,7823500,0.81
2014-10-31,0.78,0.935,0.755,0.915,16154700,0.915
2014-10-30,0.87,0.88,0.757,0.775,16927100,0.775
2014-10-29,1.06,1.08,0.83,0.915,12459000,0.915
2014-10-28,1.40,1.52,0.99,0.995,26223000,0.995
2014-10-27,2.29,2.29,2.29,2.29,000,2.29
2014-10-24,2.29,2.29,2.29,2.29,000,2.29
2014-10-23,2.29,2.29,2.29,2.29,000,2.29
2014-10-22,2.29,2.33,2.24,2.29,887900,2.29
2014-10-21,2.25,2.33,2.23,2.33,817700,2.33
2014-10-20,2.25,2.27,2.22,2.25,403900,2.25
2014-10-17,2.18,2.24,2.17,2.18,1574200,2.18
2014-10-16,2.19,2.26,2.12,2.17,1016700,2.17
2014-10-15,2.17,2.22,2.13,2.21,753600,2.21
2014-10-14,2.17,2.22,2.14,2.17,954100,2.17
2014-10-13,2.19,2.19,2.12,2.17,1033300,2.17
2014-10-10,2.28,2.29,2.12,2.23,1703100,2.23
2014-10-09,2.31,2.34,2.26,2.28,548300,2.28
2014-10-08,2.41,2.41,2.26,2.28,1406700,2.28
2014-10-07,2.42,2.42,2.355,2.38,777400,2.38
2014-10-06,2.43,2.44,2.39,2.41,419100,2.41
2014-10-03,2.44,2.47,2.385,2.40,822100,2.40
2014-10-02,2.44,2.44,2.37,2.40,830100,2.40
2014-10-01,2.42,2.45,2.40,2.43,384100,2.43
2014-09-30,2.42,2.46,2.35,2.40,2460300,2.40
2014-09-29,2.45,2.47,2.40,2.45,872700,2.45
2014-09-26,2.47,2.47,2.38,2.40,1611400,2.40
2014-09-25,2.39,2.52,2.39,2.50,1488500,2.50
2014-09-24,2.54,2.54,2.35,2.41,2819200,2.41
2014-09-23,2.53,2.585,2.51,2.52,1586500,2.52
2014-09-22,2.60,2.67,2.52,2.57,3778500,2.57
2014-09-19,2.61,2.78,2.52,2.70,4860500,2.70
2014-09-18,2.85,2.93,2.55,2.74,9971300,2.74
2014-09-17,3.07,3.10,2.98,3.00,1513800,3.00
2014-09-16,3.13,3.14,3.065,3.08,822000,3.08
2014-09-15,3.20,3.20,3.095,3.15,1042300,3.15
2014-09-12,3.27,3.29,3.23,3.25,2823000,3.25
2014-09-11,3.15,3.31,3.09,3.29,2009200,3.29
2014-09-10,3.31,3.31,3.31,3.31,000,3.31
2014-09-09,3.34,3.36,3.30,3.31,450800,3.31
2014-09-08,3.31,3.40,3.295,3.35,892800,3.35
2014-09-05,3.18,3.32,3.15,3.30,737700,3.30
2014-09-04,3.25,3.35,3.22,3.30,2327800,3.30
2014-09-03,3.30,3.30,3.22,3.25,502900,3.25
2014-09-02,3.31,3.36,3.23,3.26,846900,3.26
2014-09-01,3.13,3.28,3.13,3.28,1030900,3.28
2014-08-29,3.11,3.16,3.07,3.13,701200,3.13
2014-08-28,3.03,3.11,3.03,3.10,573200,3.10
2014-08-27,3.05,3.11,2.93,3.11,805300,3.064
2014-08-26,2.98,3.10,2.98,3.05,1022000,3.005
2014-08-25,3.13,3.13,2.90,2.98,3705300,2.936
2014-08-22,3.06,3.23,3.04,3.20,2299200,3.153
2014-08-21,3.07,3.12,2.93,3.05,836900,3.005
2014-08-20,3.00,3.03,2.97,2.99,618700,2.946
2014-08-19,2.95,3.03,2.87,3.00,1386000,2.956
2014-08-18,2.93,3.07,2.93,2.95,354500,2.907
