date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.64,5.82,5.61,5.77,761200,5.77
2015-06-29,5.69,5.77,5.58,5.69,616600,5.69
2015-06-26,5.71,5.82,5.60,5.81,492000,5.81
2015-06-25,5.82,5.86,5.70,5.77,541000,5.77
2015-06-24,5.90,5.92,5.66,5.81,2530000,5.81
2015-06-23,5.88,5.93,5.84,5.87,591200,5.87
2015-06-22,5.72,5.87,5.71,5.84,332700,5.84
2015-06-19,5.69,5.70,5.57,5.70,294900,5.70
2015-06-18,5.62,5.67,5.47,5.65,645600,5.65
2015-06-17,5.99,5.99,5.69,5.69,463300,5.69
2015-06-16,6.00,6.18,5.93,6.00,1164800,6.00
2015-06-15,5.91,5.91,5.91,5.91,000,5.91
2015-06-12,5.90,5.95,5.87,5.91,95800,5.91
2015-06-11,5.72,5.95,5.71,5.95,197500,5.95
2015-06-10,5.65,5.71,5.57,5.70,199500,5.70
2015-06-09,5.69,5.69,5.61,5.67,223300,5.67
2015-06-08,5.71,5.71,5.71,5.71,000,5.71
2015-06-05,5.72,5.76,5.65,5.71,235800,5.71
2015-06-04,5.78,5.81,5.75,5.80,288600,5.80
2015-06-03,5.75,5.78,5.71,5.77,205600,5.77
2015-06-02,5.82,5.89,5.74,5.77,187900,5.77
2015-06-01,5.81,5.84,5.74,5.81,181300,5.81
2015-05-29,5.75,5.86,5.75,5.85,585900,5.85
2015-05-28,5.89,5.89,5.71,5.74,198100,5.74
2015-05-27,5.86,5.90,5.85,5.89,346400,5.89
2015-05-26,5.90,5.90,5.85,5.87,188400,5.87
2015-05-25,5.90,5.94,5.88,5.90,185600,5.90
2015-05-22,5.89,5.92,5.83,5.90,181000,5.90
2015-05-21,5.88,5.905,5.84,5.87,173600,5.87
2015-05-20,5.83,5.88,5.81,5.85,127500,5.85
2015-05-19,5.83,5.90,5.80,5.82,232300,5.82
2015-05-18,5.90,5.90,5.81,5.84,130400,5.84
2015-05-15,6.12,6.20,5.87,5.91,628700,5.91
2015-05-14,6.11,6.15,6.02,6.06,1516800,6.06
2015-05-13,6.10,6.19,6.03,6.14,746100,6.14
2015-05-12,5.94,6.10,5.92,6.10,1054200,6.10
2015-05-11,6.00,6.00,5.895,5.96,158300,5.96
2015-05-08,5.75,6.00,5.73,5.99,416500,5.99
2015-05-07,5.76,5.79,5.55,5.70,476900,5.70
2015-05-06,5.80,5.84,5.765,5.79,521500,5.79
2015-05-05,5.88,5.91,5.83,5.89,310700,5.89
2015-05-04,5.85,5.87,5.79,5.85,388200,5.85
2015-05-01,5.88,5.88,5.72,5.82,503900,5.82
2015-04-30,5.80,5.99,5.74,5.81,2812800,5.81
2015-04-29,6.01,6.01,5.94,5.97,175400,5.97
2015-04-28,6.00,6.03,5.95,6.00,183800,6.00
2015-04-27,5.95,6.02,5.90,6.00,275900,6.00
2015-04-24,5.83,5.94,5.82,5.93,190200,5.93
2015-04-23,5.80,5.80,5.72,5.79,146000,5.79
2015-04-22,5.87,5.88,5.71,5.82,381000,5.82
2015-04-21,5.85,5.88,5.83,5.87,123300,5.87
2015-04-20,5.90,5.92,5.74,5.83,329400,5.83
2015-04-17,5.95,5.99,5.91,5.96,274400,5.96
2015-04-16,5.95,6.01,5.90,5.98,179500,5.98
2015-04-15,6.01,6.03,5.90,5.93,310900,5.93
2015-04-14,5.91,6.06,5.90,6.04,196500,6.04
2015-04-13,6.01,6.10,5.90,5.95,259200,5.95
2015-04-10,6.09,6.09,6.02,6.03,167200,6.03
2015-04-09,5.92,6.09,5.91,6.09,313300,6.09
2015-04-08,5.95,5.99,5.89,5.91,269500,5.91
2015-04-07,6.04,6.07,5.93,5.94,295300,5.94
2015-04-06,6.07,6.07,6.07,6.07,000,6.07
2015-04-03,6.07,6.07,6.07,6.07,000,6.07
2015-04-02,6.12,6.15,6.03,6.07,315700,6.07
2015-04-01,5.84,6.11,5.84,6.11,400300,6.11
2015-03-31,5.87,5.92,5.80,5.87,455000,5.87
2015-03-30,5.95,5.95,5.80,5.85,337400,5.85
2015-03-27,5.95,6.00,5.94,6.00,940100,6.00
2015-03-26,6.02,6.03,5.93,5.97,493100,5.97
2015-03-25,6.08,6.11,6.04,6.06,677700,6.06
2015-03-24,6.10,6.10,6.02,6.08,2795800,6.08
2015-03-23,6.10,6.16,6.05,6.14,661700,6.14
2015-03-20,6.15,6.16,6.09,6.14,539100,6.14
2015-03-19,6.18,6.23,6.13,6.15,1037100,6.15
2015-03-18,6.00,6.14,5.98,6.13,485000,6.13
2015-03-17,5.99,6.10,5.96,6.09,363100,6.09
2015-03-16,6.09,6.09,5.96,6.00,816700,6.00
2015-03-13,5.78,6.15,5.72,6.12,844700,6.12
2015-03-12,5.73,5.73,5.595,5.63,340800,5.63
2015-03-11,5.40,5.80,5.38,5.72,663200,5.72
2015-03-10,5.55,5.61,5.46,5.50,578300,5.50
2015-03-09,5.40,5.60,5.38,5.54,715600,5.54
2015-03-06,5.70,5.70,5.50,5.59,1138600,5.59
2015-03-05,5.82,5.82,5.64,5.73,951700,5.73
2015-03-04,5.93,5.93,5.82,5.84,506800,5.84
2015-03-03,5.97,5.99,5.85,5.90,541400,5.90
2015-03-02,5.95,6.00,5.89,5.95,777600,5.95
2015-02-27,5.94,6.00,5.85,6.00,442600,5.988
2015-02-26,5.92,5.94,5.85,5.91,319400,5.89818
2015-02-25,5.85,5.93,5.81,5.93,411100,5.91814
2015-02-24,5.87,5.92,5.66,5.87,1170000,5.85826
2015-02-23,5.85,5.94,5.79,5.91,554100,5.89818
2015-02-20,5.87,5.96,5.54,5.91,2481900,5.89818
2015-02-19,6.03,6.07,5.92,5.96,725300,5.94808
2015-02-18,6.17,6.17,6.06,6.07,338000,6.05786
2015-02-17,6.15,6.20,6.10,6.16,190000,6.14768
2015-02-16,6.25,6.29,6.15,6.17,328500,6.15766
2015-02-13,6.17,6.23,6.08,6.21,353100,6.19758
2015-02-12,6.13,6.20,6.09,6.10,219100,6.0878
2015-02-11,6.15,6.15,6.07,6.11,172900,6.09778
2015-02-10,6.01,6.11,6.00,6.10,268100,6.0878
2015-02-09,6.07,6.11,6.01,6.03,293700,6.01794
2015-02-06,6.15,6.20,6.05,6.09,512200,6.07782
2015-02-05,6.12,6.18,6.04,6.13,455600,6.11774
2015-02-04,6.38,6.40,6.10,6.12,406400,6.10776
2015-02-03,6.15,6.34,6.15,6.30,251200,6.2874
2015-02-02,6.21,6.21,6.12,6.15,258300,6.1377
2015-01-30,6.24,6.24,6.195,6.21,153500,6.19758
2015-01-29,6.18,6.30,6.16,6.19,270500,6.17762
2015-01-28,6.25,6.29,6.20,6.24,656200,6.22752
2015-01-27,6.15,6.25,6.15,6.24,395100,6.22752
2015-01-26,6.15,6.15,6.15,6.15,000,6.1377
2015-01-23,6.06,6.18,6.04,6.15,219300,6.1377
2015-01-22,6.15,6.21,6.01,6.03,343800,6.01794
2015-01-21,5.99,6.17,5.99,6.13,294500,6.11774
2015-01-20,5.94,5.99,5.92,5.97,250400,5.95806
2015-01-19,6.01,6.10,5.92,5.94,269400,5.92812
2015-01-16,6.00,6.005,5.91,5.96,435300,5.94808
2015-01-15,6.08,6.13,5.92,6.04,352800,6.02792
2015-01-14,6.18,6.24,6.15,6.17,404000,6.15766
