date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.16,6.46,6.13,6.34,426400,6.34
2015-06-29,6.16,6.25,6.05,6.22,263600,6.22
2015-06-26,6.40,6.45,6.23,6.26,328800,6.26
2015-06-25,6.59,6.59,6.44,6.54,220200,6.54
2015-06-24,6.61,6.66,6.51,6.56,268600,6.56
2015-06-23,6.60,6.84,6.52,6.58,414300,6.58
2015-06-22,6.65,6.78,6.54,6.59,343200,6.59
2015-06-19,6.12,6.60,6.12,6.60,274300,6.60
2015-06-18,6.15,6.19,5.98,6.05,232300,6.05
2015-06-17,6.10,6.29,6.06,6.20,206200,6.20
2015-06-16,6.28,6.38,6.02,6.07,198300,6.07
2015-06-15,6.10,6.30,6.04,6.26,159900,6.26
2015-06-12,6.07,6.13,6.05,6.07,104700,6.07
2015-06-11,6.01,6.11,6.00,6.10,96000,6.10
2015-06-10,6.01,6.07,5.97,5.98,104200,5.98
2015-06-09,6.05,6.11,6.01,6.03,127300,6.03
2015-06-08,6.10,6.10,6.10,6.10,000,6.10
2015-06-05,6.12,6.17,6.00,6.10,114700,6.10
2015-06-04,6.13,6.19,6.01,6.14,239700,6.14
2015-06-03,6.05,6.15,6.03,6.12,224700,6.12
2015-06-02,6.39,6.40,6.21,6.25,150000,6.25
2015-06-01,6.31,6.40,6.19,6.40,124600,6.40
2015-05-29,6.35,6.445,6.30,6.34,155700,6.34
2015-05-28,6.24,6.36,6.18,6.34,145000,6.34
2015-05-27,6.18,6.25,6.15,6.20,101800,6.20
2015-05-26,6.21,6.31,6.18,6.22,148300,6.22
2015-05-25,6.35,6.37,6.18,6.20,72400,6.20
2015-05-22,6.31,6.39,6.24,6.30,111900,6.30
2015-05-21,6.10,6.39,6.10,6.26,240700,6.26
2015-05-20,6.16,6.18,6.01,6.16,148800,6.16
2015-05-19,6.20,6.23,6.09,6.14,249000,6.14
2015-05-18,6.26,6.28,6.16,6.21,317500,6.21
2015-05-15,6.33,6.37,6.23,6.28,188200,6.28
2015-05-14,6.00,6.30,5.99,6.28,228200,6.28
2015-05-13,5.83,6.09,5.83,6.09,181700,6.09
2015-05-12,5.71,5.96,5.71,5.95,144900,5.95
2015-05-11,5.74,5.81,5.74,5.76,132500,5.76
2015-05-08,5.71,5.77,5.70,5.74,160800,5.74
2015-05-07,5.55,5.74,5.55,5.71,126200,5.71
2015-05-06,5.80,5.87,5.68,5.71,119500,5.71
2015-05-05,5.93,6.09,5.75,5.87,199600,5.87
2015-05-04,5.80,5.93,5.68,5.89,215100,5.89
2015-05-01,5.61,5.77,5.575,5.69,106100,5.69
2015-04-30,5.55,5.69,5.55,5.63,134400,5.63
2015-04-29,5.65,5.74,5.62,5.70,119800,5.70
2015-04-28,5.74,5.80,5.62,5.65,218800,5.65
2015-04-27,5.70,5.79,5.69,5.72,102300,5.72
2015-04-24,5.61,5.72,5.59,5.69,120100,5.69
2015-04-23,5.56,5.57,5.52,5.53,111800,5.53
2015-04-22,5.58,5.66,5.53,5.58,106100,5.58
2015-04-21,5.57,5.74,5.50,5.56,247700,5.56
2015-04-20,5.52,5.58,5.50,5.52,175100,5.52
2015-04-17,5.54,5.59,5.54,5.55,161600,5.55
2015-04-16,5.53,5.64,5.50,5.55,141800,5.55
2015-04-15,5.58,5.65,5.50,5.51,193000,5.51
2015-04-14,5.56,5.77,5.50,5.66,277800,5.66
2015-04-13,5.71,5.71,5.57,5.59,299100,5.59
2015-04-10,5.75,5.77,5.67,5.70,70500,5.70
2015-04-09,5.86,5.87,5.63,5.75,165200,5.75
2015-04-08,5.63,5.83,5.63,5.81,156400,5.81
2015-04-07,5.81,6.00,5.58,5.64,256100,5.64
2015-04-06,5.81,5.81,5.81,5.81,000,5.81
2015-04-03,5.81,5.81,5.81,5.81,000,5.81
2015-04-02,5.56,5.86,5.56,5.81,1024300,5.81
2015-04-01,5.48,5.68,5.48,5.53,186000,5.53
2015-03-31,5.46,5.69,5.46,5.62,154800,5.62
2015-03-30,5.54,5.59,5.41,5.46,223300,5.46
2015-03-27,5.55,5.67,5.51,5.59,135400,5.59
2015-03-26,5.53,5.77,5.53,5.60,377800,5.60
2015-03-25,5.52,5.65,5.51,5.64,274100,5.64
2015-03-24,5.47,5.56,5.41,5.52,256900,5.52
2015-03-23,5.48,5.73,5.44,5.48,339200,5.48
2015-03-20,5.42,5.47,5.39,5.46,247600,5.46
2015-03-19,5.31,5.48,5.31,5.42,355800,5.42
2015-03-18,5.34,5.47,5.32,5.40,271700,5.40
2015-03-17,5.51,5.54,5.28,5.37,579100,5.37
2015-03-16,5.50,5.54,5.30,5.50,424600,5.50
2015-03-13,5.33,5.69,5.33,5.69,492900,5.49
2015-03-12,5.17,5.32,5.16,5.32,1157900,5.13301
2015-03-11,5.23,5.24,5.08,5.16,710600,4.97863
2015-03-10,5.34,5.35,5.20,5.24,230000,5.05582
2015-03-09,5.37,5.40,5.30,5.34,242600,5.1523
2015-03-06,5.48,5.49,5.35,5.41,297900,5.21984
