date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.29,5.40,5.25,5.37,580900,5.37
2015-06-29,5.40,5.44,5.32,5.34,416400,5.34
2015-06-26,5.46,5.49,5.26,5.42,472000,5.42
2015-06-25,5.61,5.61,5.42,5.45,279600,5.45
2015-06-24,5.63,5.63,5.49,5.61,497500,5.61
2015-06-23,5.64,5.68,5.60,5.62,426900,5.62
2015-06-22,5.59,5.64,5.55,5.59,172400,5.59
2015-06-19,5.43,5.62,5.43,5.56,1196700,5.56
2015-06-18,5.57,5.60,5.39,5.40,518400,5.40
2015-06-17,5.53,5.70,5.53,5.60,285400,5.60
2015-06-16,5.77,5.78,5.31,5.50,1063100,5.50
2015-06-15,5.95,5.95,5.78,5.80,327900,5.80
2015-06-12,5.83,5.91,5.78,5.87,419800,5.87
2015-06-11,5.95,5.95,5.77,5.77,1368000,5.77
2015-06-10,5.99,5.99,5.80,5.87,885800,5.87
2015-06-09,6.10,6.11,5.93,6.02,815600,6.02
2015-06-08,6.03,6.03,6.03,6.03,000,6.03
2015-06-05,5.82,6.05,5.81,6.03,1153700,6.03
2015-06-04,5.90,5.94,5.70,5.76,5656300,5.76
2015-06-03,6.20,6.21,5.61,5.69,1884000,5.69
2015-06-02,7.05,7.05,6.10,6.11,1961800,6.11
2015-06-01,7.75,7.76,7.60,7.63,200100,7.63
2015-05-29,7.61,7.79,7.58,7.76,558200,7.76
2015-05-28,7.72,7.72,7.58,7.58,241700,7.58
2015-05-27,7.65,7.78,7.63,7.67,1079000,7.67
2015-05-26,7.30,7.63,7.30,7.59,408300,7.59
2015-05-25,7.30,7.39,7.20,7.28,164000,7.28
2015-05-22,7.30,7.32,7.21,7.24,117200,7.24
2015-05-21,7.15,7.29,7.15,7.25,207900,7.25
2015-05-20,7.05,7.18,7.03,7.15,2041700,7.15
2015-05-19,7.22,7.22,7.01,7.03,2068000,7.03
2015-05-18,7.22,7.24,6.98,6.98,298500,6.98
2015-05-15,7.31,7.35,7.20,7.20,192800,7.20
2015-05-14,7.20,7.32,7.20,7.24,135200,7.24
2015-05-13,7.21,7.39,7.16,7.34,178900,7.34
2015-05-12,7.23,7.31,7.20,7.27,147500,7.27
2015-05-11,7.45,7.45,7.21,7.26,104300,7.26
2015-05-08,7.20,7.42,7.15,7.33,259400,7.33
2015-05-07,7.50,7.50,7.19,7.21,277900,7.21
2015-05-06,7.67,7.69,7.54,7.54,181100,7.54
2015-05-05,7.79,7.82,7.58,7.69,157000,7.69
