date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,31.80,32.28,31.74,32.15,6668700,32.15
2015-06-29,32.28,32.42,32.00,32.02,6272100,32.02
2015-06-26,33.01,33.16,32.70,33.01,10892500,33.01
2015-06-25,33.33,33.60,33.30,33.31,4573800,33.31
2015-06-24,33.78,33.94,33.60,33.67,5047500,33.67
2015-06-23,33.81,33.81,33.53,33.70,6384000,33.70
2015-06-22,32.80,33.15,32.68,33.12,4418200,33.12
2015-06-19,32.87,32.99,32.64,32.80,6095700,32.80
2015-06-18,32.90,32.90,32.26,32.48,11035800,32.48
2015-06-17,32.74,33.18,32.63,32.90,9407000,32.90
2015-06-16,31.75,32.51,31.73,32.30,8875800,32.30
2015-06-15,31.23,31.72,31.14,31.72,5974800,31.72
2015-06-12,32.00,32.02,31.48,31.67,6588600,31.67
2015-06-11,31.75,32.04,31.67,31.97,6152600,31.97
2015-06-10,31.45,31.52,31.04,31.36,6266100,31.36
2015-06-09,31.19,31.70,31.07,31.35,8102200,31.35
2015-06-08,31.19,31.19,31.19,31.19,000,31.19
2015-06-05,31.25,31.58,31.00,31.19,9291000,31.19
2015-06-04,32.09,32.16,31.29,31.40,9560800,31.40
2015-06-03,32.24,32.24,31.88,31.88,9101300,31.88
2015-06-02,33.30,33.30,32.25,32.34,9439700,32.34
2015-06-01,33.38,33.43,32.87,33.12,6890100,33.12
2015-05-29,33.53,33.99,33.48,33.56,14841500,33.56
2015-05-28,33.35,33.36,32.89,33.12,7675900,33.12
2015-05-27,33.62,33.70,33.09,33.20,8877300,33.20
2015-05-26,33.16,33.67,33.04,33.65,7545900,33.65
2015-05-25,32.50,32.96,32.47,32.96,5336100,32.96
2015-05-22,32.70,32.76,32.52,32.56,5447700,32.56
2015-05-21,32.30,32.65,32.08,32.65,8058100,32.65
2015-05-20,32.10,32.73,31.92,32.26,9198500,32.26
2015-05-19,32.50,32.99,32.28,32.28,10570400,32.28
2015-05-18,32.68,32.89,32.22,32.22,7883800,32.22
2015-05-15,33.33,33.45,32.745,33.05,7759700,33.05
2015-05-14,33.24,33.27,32.64,33.03,8842100,33.03
2015-05-13,33.40,33.48,33.13,33.27,7231400,33.27
2015-05-12,33.90,34.33,33.66,34.06,7325700,32.73143
2015-05-11,34.50,34.54,33.61,33.70,6603900,32.38547
2015-05-08,34.35,34.54,34.05,34.05,6399200,32.72182
2015-05-07,33.21,34.33,33.08,33.90,10119400,32.57767
2015-05-06,34.93,34.96,33.99,33.99,9799300,32.66416
2015-05-05,35.89,35.95,35.14,35.28,9328700,33.90384
2015-05-04,35.00,35.71,34.94,35.60,12643400,34.21136
2015-05-01,36.52,36.94,36.26,36.73,8240800,35.29728
2015-04-30,36.51,36.72,36.215,36.46,9756500,35.03781
2015-04-29,38.24,38.51,37.40,37.40,6139700,35.94115
2015-04-28,38.70,38.78,38.39,38.39,4994900,36.89253
2015-04-27,38.50,38.89,38.43,38.85,3892900,37.33459
2015-04-24,38.47,38.50,38.165,38.42,8623700,36.92136
2015-04-23,38.15,38.33,37.94,38.18,4293000,36.69072
2015-04-22,38.73,38.82,38.04,38.29,4963400,36.79643
2015-04-21,39.00,39.03,38.69,38.79,3414100,37.27693
2015-04-20,38.50,38.89,38.35,38.79,4181100,37.27693
2015-04-17,39.33,39.37,38.75,38.90,4393600,37.38264
2015-04-16,39.34,39.38,39.08,39.27,3291100,37.7382
2015-04-15,39.40,39.52,38.80,38.92,5498800,37.40185
2015-04-14,39.70,39.94,39.55,39.56,4187600,38.01689
2015-04-13,39.99,40.00,39.73,39.77,2478500,38.2187
2015-04-10,39.68,39.88,39.48,39.88,2529500,38.32441
2015-04-09,39.80,39.945,39.44,39.52,3301800,37.97845
2015-04-08,39.80,39.97,39.445,39.76,3778600,38.20909
2015-04-07,39.87,40.07,39.35,39.66,4675300,38.11299
2015-04-06,39.45,39.45,39.45,39.45,000,37.91118
2015-04-03,39.45,39.45,39.45,39.45,000,37.91118
2015-04-02,39.25,39.53,39.17,39.45,2787700,37.91118
2015-04-01,39.11,39.37,39.00,39.18,6964300,37.65172
2015-03-31,39.45,39.74,39.32,39.38,4507200,37.84391
2015-03-30,38.86,39.19,38.77,39.13,5158500,37.60367
2015-03-27,39.00,39.39,38.99,39.20,11930300,37.67094
2015-03-26,39.52,39.56,38.95,38.95,5848100,37.43069
2015-03-25,39.62,39.89,39.57,39.89,4355200,38.33402
2015-03-24,39.54,39.685,39.42,39.57,2520800,38.0265
2015-03-23,39.73,39.88,39.43,39.56,2870500,38.01689
2015-03-20,39.51,39.80,39.42,39.73,6105200,38.18026
2015-03-19,39.05,39.72,39.00,39.71,9037100,38.16104
2015-03-18,38.49,38.70,38.26,38.68,5221400,37.17122
2015-03-17,38.40,38.69,38.35,38.54,3966700,37.03668
2015-03-16,37.75,38.05,37.51,37.98,3527200,36.49852
2015-03-13,38.14,38.24,37.64,37.80,2929900,36.32554
2015-03-12,37.50,38.18,37.49,38.09,3823500,36.60423
2015-03-11,37.20,37.67,37.14,37.50,2968200,36.03725
2015-03-10,37.63,37.95,37.52,37.67,3681100,36.20061
2015-03-09,37.36,37.60,37.25,37.36,3311900,35.90271
2015-03-06,37.78,38.05,37.56,37.68,3050800,36.21023
2015-03-05,37.90,37.97,37.52,37.83,5019900,36.35438
2015-03-04,38.34,38.42,37.88,37.91,3551700,36.43125
2015-03-03,38.52,38.97,38.12,38.26,4958200,36.7676
2015-03-02,38.10,38.61,38.04,38.29,4542500,36.79643
2015-02-27,37.78,38.06,37.29,38.00,10892400,36.51774
2015-02-26,37.75,37.93,37.52,37.68,3185200,36.21023
2015-02-25,38.00,38.14,37.75,37.88,3830900,36.40242
2015-02-24,37.85,38.00,37.50,37.97,4559100,36.48891
2015-02-23,37.54,37.94,37.49,37.72,2936400,36.24867
2015-02-20,38.00,38.10,37.53,37.63,2752100,36.16218
2015-02-19,38.25,38.28,37.74,37.95,3843000,36.46969
2015-02-18,37.99,38.00,37.40,38.00,4582300,36.51774
2015-02-17,37.45,37.89,37.35,37.67,3494200,36.20061
2015-02-16,37.48,37.72,37.01,37.65,2767000,36.1814
2015-02-13,37.00,37.65,36.86,37.53,5779000,36.06607
2015-02-12,37.00,37.00,36.53,36.69,5594800,35.25884
2015-02-11,37.05,37.20,36.61,36.83,3608100,35.39338
2015-02-10,36.96,36.96,36.45,36.81,3661000,35.37416
2015-02-09,36.85,37.05,36.62,37.05,4568700,35.6048
2015-02-06,36.86,36.96,36.56,36.96,7823600,35.51831
2015-02-05,36.36,36.54,35.93,36.44,6780700,35.01859
2015-02-04,35.75,36.24,35.67,36.23,9114200,34.81678
2015-02-03,34.97,35.35,34.71,35.26,6532100,33.88462
2015-02-02,34.59,34.90,34.41,34.85,5182300,33.49061
2015-01-30,34.80,34.83,34.46,34.46,12968400,33.11583
2015-01-29,34.43,34.74,34.34,34.64,5904300,33.2888
2015-01-28,34.48,34.70,34.33,34.68,5113600,33.32725
2015-01-27,34.35,34.59,34.31,34.56,4848400,33.21193
2015-01-26,34.32,34.32,34.32,34.32,000,32.98129
2015-01-23,34.16,34.32,34.05,34.32,5166000,32.98129
2015-01-22,33.59,33.86,33.58,33.86,7028800,32.53923
2015-01-21,33.11,33.38,32.94,33.38,4621300,32.07796
2015-01-20,32.67,32.96,32.54,32.89,4012500,31.60707
2015-01-19,33.04,33.16,32.54,32.63,4030200,31.35721
2015-01-16,32.54,32.93,32.42,32.76,4303700,31.48214
2015-01-15,32.90,33.00,32.58,32.79,7264000,31.51097
2015-01-14,33.30,33.53,32.975,33.13,6392800,31.83771
2015-01-13,33.10,33.41,32.96,33.40,3904800,32.09718
2015-01-12,33.29,33.48,33.21,33.34,3323100,32.03951
2015-01-09,33.00,33.41,32.99,33.40,5395900,32.09718
2015-01-08,32.87,32.93,32.63,32.81,3582600,31.53019
2015-01-07,32.55,32.86,32.375,32.69,4911900,31.41487
2015-01-06,32.81,32.99,32.60,32.87,4535200,31.58785
2015-01-05,33.26,33.49,33.08,33.16,2840500,31.86654
2015-01-02,33.00,33.30,32.88,33.27,2174400,31.97225
2015-01-01,33.16,33.16,33.16,33.16,000,31.86654
2014-12-31,33.05,33.18,32.99,33.16,1519000,31.86654
2014-12-30,33.47,33.62,33.14,33.20,3020200,31.90498
2014-12-29,33.10,33.40,32.995,33.34,3684400,32.03951
2014-12-26,32.90,32.90,32.90,32.90,000,31.61668
2014-12-25,32.90,32.90,32.90,32.90,000,31.61668
2014-12-24,32.71,32.90,32.56,32.90,1635400,31.61668
2014-12-23,32.83,32.97,32.72,32.75,3505200,31.47253
2014-12-22,32.64,33.00,32.59,33.00,4937700,31.71278
2014-12-19,32.10,32.495,32.03,32.48,13886800,31.21306
2014-12-18,31.40,31.94,31.40,31.58,8974100,30.34817
2014-12-17,31.55,31.83,31.33,31.33,5563800,30.10792
2014-12-16,31.60,31.88,31.52,31.57,5800400,30.33856
2014-12-15,31.85,32.04,31.58,31.82,3689200,30.5788
2014-12-12,31.99,32.31,31.92,32.05,4387500,30.79983
2014-12-11,32.12,32.49,32.01,32.24,6630700,30.98242
2014-12-10,32.69,32.765,32.43,32.52,5772600,31.2515
2014-12-09,33.28,33.63,33.04,33.06,5587600,31.77044
2014-12-08,33.45,33.69,33.35,33.35,5398200,32.04912
2014-12-05,33.20,33.42,32.62,33.01,5070100,31.72238
2014-12-04,33.17,33.50,33.02,33.40,6273900,32.09718
2014-12-03,32.45,33.13,32.40,32.84,4319000,31.55902
2014-12-02,32.29,32.78,32.02,32.73,5798700,31.45331
2014-12-01,32.72,32.80,32.20,32.24,4550700,30.98242
2014-11-28,33.21,33.21,32.50,32.55,7730100,31.28033
2014-11-27,33.00,33.28,32.94,33.23,4089900,31.9338
2014-11-26,32.77,33.07,32.76,33.07,4272400,31.78005
2014-11-25,32.18,32.60,32.14,32.60,4874500,31.32838
2014-11-24,32.44,32.70,32.32,32.50,3750800,31.23228
2014-11-21,32.56,32.61,32.12,32.25,4654100,30.99203
2014-11-20,32.70,32.88,32.50,32.53,3739800,31.26111
2014-11-19,32.72,32.87,32.58,32.79,3441100,31.51097
2014-11-18,32.91,33.01,32.61,32.76,3702700,31.48214
2014-11-17,32.88,32.94,32.63,32.72,3588000,31.4437
2014-11-14,32.73,33.08,32.57,33.03,4660500,31.74161
2014-11-13,33.16,33.20,32.825,32.96,6134000,31.67434
2014-11-12,33.55,33.60,33.22,33.33,5302900,32.02991
2014-11-11,33.74,33.77,33.45,33.63,6494000,32.3182
2014-11-10,33.52,33.66,33.42,33.47,12531100,32.16444
2014-11-07,34.59,34.84,34.53,34.84,9688700,32.21797
2014-11-06,34.76,34.78,34.07,34.41,6866400,31.82033
2014-11-05,34.36,34.59,34.11,34.59,5952000,31.98679
2014-11-04,34.80,34.80,34.33,34.50,5706800,31.90356
2014-11-03,34.87,34.94,34.42,34.55,4637900,31.9498
2014-10-31,34.67,34.78,34.51,34.78,12065600,32.16249
2014-10-30,34.14,34.54,34.14,34.46,5195300,31.86657
2014-10-29,34.91,34.93,34.10,34.17,8367500,31.59839
2014-10-28,34.60,34.94,34.55,34.89,6091300,32.26421
2014-10-27,34.35,34.70,34.33,34.56,5386900,31.95905
2014-10-24,34.31,34.36,34.12,34.21,4932100,31.63538
2014-10-23,33.65,34.02,33.64,34.02,4214900,31.45968
2014-10-22,33.78,33.85,33.56,33.74,4196900,31.20076
2014-10-21,33.67,33.67,33.26,33.41,4691500,30.89559
2014-10-20,33.62,33.70,33.44,33.57,4638400,31.04355
2014-10-17,32.99,33.38,32.94,33.10,7399500,30.60892
2014-10-16,32.13,32.74,32.03,32.73,9307100,30.26677
2014-10-15,32.00,32.49,32.00,32.46,5152100,30.01709
2014-10-14,31.67,32.295,31.65,32.14,6498000,29.72117
2014-10-13,31.91,32.115,31.80,31.90,4898600,29.49923
2014-10-10,32.11,32.485,32.11,32.25,6657800,29.82289
2014-10-09,32.50,33.11,32.49,32.87,6444900,30.39623
2014-10-08,32.03,32.44,31.91,32.28,4736400,29.85063
2014-10-07,32.55,32.56,31.68,32.42,7679100,29.9801
2014-10-06,32.70,32.72,32.36,32.42,2417600,29.9801
2014-10-03,32.31,32.62,32.29,32.59,4158300,30.1373
2014-10-02,32.24,32.60,32.17,32.29,4768500,29.85988
2014-10-01,31.63,32.55,31.61,32.46,6696500,30.01709
2014-09-30,31.59,32.14,31.51,32.14,6797000,29.72117
2014-09-29,31.65,31.88,31.40,31.65,5635800,29.26805
2014-09-26,31.95,31.95,31.605,31.89,13791800,29.48999
2014-09-25,32.76,32.76,32.16,32.21,5797200,29.7859
2014-09-24,32.57,32.62,32.18,32.47,5660800,30.02634
2014-09-23,32.27,32.98,32.05,32.77,8746900,30.30376
2014-09-22,33.15,33.19,32.27,32.40,7027400,29.9616
2014-09-19,33.06,33.38,32.98,33.17,7135100,30.67365
2014-09-18,33.10,33.41,32.68,33.05,8495100,30.56268
2014-09-17,33.41,33.46,32.785,32.90,10557400,30.42398
2014-09-16,33.80,33.84,33.42,33.50,6026100,30.97882
2014-09-15,34.01,34.08,33.77,33.77,5759200,31.2285
2014-09-12,34.64,34.64,34.09,34.25,4475400,31.67237
2014-09-11,34.90,34.92,34.545,34.62,4559200,32.01453
2014-09-10,34.43,34.78,34.41,34.76,5836700,32.14399
2014-09-09,34.58,34.82,34.47,34.61,2755000,32.00528
2014-09-08,34.70,34.75,34.43,34.58,3433900,31.97754
2014-09-05,34.93,34.97,34.71,34.76,2958100,32.14399
2014-09-04,35.15,35.21,34.80,34.93,3016300,32.3012
2014-09-03,35.20,35.37,35.15,35.22,3305700,32.56937
2014-09-02,35.10,35.20,34.99,35.17,3367800,32.52313
2014-09-01,35.18,35.25,35.035,35.14,2372000,32.49539
