date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.96,3.03,2.95,2.99,80200,2.99
2015-06-29,3.10,3.11,2.97,2.98,154600,2.98
2015-06-26,3.14,3.14,3.07,3.08,139300,3.08
2015-06-25,3.14,3.16,3.09,3.09,252900,3.09
2015-06-24,3.15,3.16,3.09,3.14,107000,3.14
2015-06-23,3.27,3.35,3.12,3.12,146200,3.12
2015-06-22,3.30,3.40,3.27,3.27,135800,3.27
2015-06-19,3.16,3.30,3.15,3.30,95700,3.30
2015-06-18,3.15,3.19,3.15,3.15,120900,3.15
2015-06-17,3.17,3.22,3.14,3.14,47200,3.14
2015-06-16,3.25,3.29,3.15,3.15,41500,3.15
2015-06-15,3.25,3.30,3.22,3.22,181200,3.22
2015-06-12,3.09,3.27,3.09,3.23,239600,3.23
2015-06-11,3.05,3.10,3.05,3.09,83600,3.09
2015-06-10,3.07,3.09,3.05,3.08,58100,3.08
2015-06-09,3.09,3.10,3.06,3.09,41500,3.09
2015-06-08,3.10,3.10,3.10,3.10,000,3.10
2015-06-05,3.24,3.32,3.03,3.10,175500,3.10
2015-06-04,3.31,3.32,3.22,3.25,150600,3.25
2015-06-03,3.33,3.37,3.31,3.31,78100,3.31
2015-06-02,3.34,3.37,3.32,3.33,38300,3.33
2015-06-01,3.40,3.40,3.31,3.34,95100,3.34
2015-05-29,3.44,3.49,3.38,3.40,119900,3.40
2015-05-28,3.46,3.49,3.43,3.45,62900,3.45
2015-05-27,3.47,3.49,3.43,3.45,47000,3.45
2015-05-26,3.50,3.54,3.43,3.43,119500,3.43
2015-05-25,3.51,3.57,3.50,3.50,41400,3.50
2015-05-22,3.55,3.57,3.47,3.51,57700,3.51
2015-05-21,3.50,3.56,3.50,3.50,57600,3.50
2015-05-20,3.53,3.55,3.50,3.50,36200,3.50
2015-05-19,3.52,3.56,3.50,3.55,37400,3.55
2015-05-18,3.60,3.60,3.50,3.50,24500,3.50
2015-05-15,3.60,3.60,3.57,3.60,46300,3.60
2015-05-14,3.60,3.60,3.555,3.60,35900,3.60
2015-05-13,3.57,3.60,3.56,3.60,65800,3.60
2015-05-12,3.51,3.60,3.50,3.54,60200,3.54
2015-05-11,3.46,3.55,3.44,3.51,133400,3.51
2015-05-08,3.40,3.54,3.40,3.49,133900,3.49
2015-05-07,3.66,3.66,3.43,3.48,178100,3.48
2015-05-06,3.70,3.75,3.64,3.65,57500,3.65
2015-05-05,3.70,3.72,3.66,3.71,59900,3.71
2015-05-04,3.70,3.74,3.66,3.70,112600,3.70
2015-05-01,3.70,3.77,3.62,3.75,75400,3.75
2015-04-30,3.84,3.84,3.68,3.70,103100,3.70
2015-04-29,3.82,3.92,3.80,3.80,88100,3.80
2015-04-28,3.91,3.955,3.86,3.89,55700,3.89
2015-04-27,3.95,3.97,3.82,3.90,193000,3.90
2015-04-24,4.03,4.04,3.89,3.97,123900,3.97
2015-04-23,4.03,4.09,4.02,4.05,83800,4.05
2015-04-22,4.12,4.13,4.01,4.02,148400,4.02
2015-04-21,4.10,4.14,4.08,4.12,38400,4.12
2015-04-20,4.01,4.10,4.01,4.10,185500,4.10
2015-04-17,4.09,4.09,4.04,4.05,28100,4.05
2015-04-16,4.06,4.10,4.045,4.10,65900,4.10
2015-04-15,4.14,4.14,4.01,4.05,137200,4.05
2015-04-14,4.03,4.12,3.995,4.12,135100,4.12
2015-04-13,4.00,4.05,4.00,4.05,384700,4.05
2015-04-10,3.98,4.02,3.98,4.00,45800,4.00
2015-04-09,3.99,4.05,3.99,4.03,54800,4.03
2015-04-08,4.00,4.01,3.97,4.01,57400,4.01
2015-04-07,3.98,4.04,3.97,4.01,89700,4.01
2015-04-06,4.00,4.00,4.00,4.00,000,4.00
2015-04-03,4.00,4.00,4.00,4.00,000,4.00
2015-04-02,4.01,4.01,3.93,4.00,65200,4.00
2015-04-01,3.99,4.01,3.96,4.01,126400,4.01
2015-03-31,3.96,3.985,3.94,3.95,114000,3.95
2015-03-30,3.96,3.99,3.95,3.95,32700,3.95
2015-03-27,3.96,3.98,3.905,3.93,165300,3.93
2015-03-26,3.95,4.00,3.70,4.00,226400,4.00
2015-03-25,4.03,4.03,3.96,3.99,157500,3.99
2015-03-24,4.12,4.12,4.00,4.06,108500,3.971
2015-03-23,4.08,4.20,4.08,4.15,404100,4.059
2015-03-20,3.96,4.07,3.96,4.07,260400,3.98
2015-03-19,3.91,3.96,3.88,3.96,182300,3.873
2015-03-18,3.82,3.88,3.82,3.85,31500,3.765
2015-03-17,3.86,3.89,3.78,3.86,204100,3.775
2015-03-16,3.80,3.86,3.77,3.86,50200,3.775
2015-03-13,3.76,3.79,3.72,3.76,101000,3.677
2015-03-12,3.77,3.80,3.75,3.75,195500,3.668
2015-03-11,3.73,3.77,3.72,3.75,263500,3.668
2015-03-10,3.85,3.86,3.81,3.84,99400,3.756
2015-03-09,3.91,3.91,3.80,3.85,141600,3.765
2015-03-06,3.84,3.92,3.78,3.92,223500,3.834
2015-03-05,3.80,3.86,3.77,3.86,220600,3.775
2015-03-04,3.68,3.77,3.67,3.76,1421800,3.677
2015-03-03,3.80,3.80,3.67,3.71,185600,3.628
2015-03-02,3.90,3.93,3.66,3.80,309200,3.716
2015-02-27,3.87,3.92,3.87,3.90,202700,3.814
2015-02-26,3.92,3.97,3.81,3.85,136400,3.765
2015-02-25,4.04,4.05,3.88,3.92,178000,3.834
2015-02-24,3.93,4.04,3.91,4.04,179400,3.951
2015-02-23,3.86,4.00,3.86,3.95,279200,3.863
2015-02-20,3.55,3.88,3.54,3.88,935100,3.795
2015-02-19,3.38,3.52,3.35,3.52,525400,3.443
2015-02-18,3.41,3.455,3.35,3.38,166200,3.306
2015-02-17,3.37,3.47,3.37,3.47,275800,3.394
2015-02-16,3.35,3.38,3.34,3.38,124900,3.306
2015-02-13,3.30,3.40,3.27,3.31,229600,3.237
2015-02-12,3.20,3.26,3.17,3.24,111100,3.169
2015-02-11,3.19,3.20,3.13,3.20,118000,3.13
2015-02-10,3.12,3.20,3.12,3.19,141100,3.12
2015-02-09,3.08,3.14,3.08,3.12,109400,3.051
2015-02-06,3.06,3.07,3.01,3.07,141200,3.002
2015-02-05,3.00,3.07,2.97,3.04,137400,2.973
2015-02-04,2.94,3.04,2.91,3.04,157800,2.973
2015-02-03,2.85,2.94,2.85,2.91,102800,2.846
2015-02-02,2.92,2.95,2.85,2.85,89100,2.787
2015-01-30,2.88,2.95,2.87,2.92,60500,2.856
2015-01-29,2.94,2.94,2.86,2.86,71900,2.797
2015-01-28,2.93,2.98,2.90,2.96,91600,2.895
2015-01-27,2.97,2.98,2.90,2.92,76300,2.856
2015-01-26,2.97,2.97,2.97,2.97,000,2.905
2015-01-23,2.85,2.97,2.85,2.97,123700,2.905
2015-01-22,2.89,2.93,2.84,2.87,32100,2.807
2015-01-21,2.83,2.92,2.80,2.88,70900,2.817
2015-01-20,2.85,2.88,2.81,2.81,33700,2.748
2015-01-19,2.90,2.93,2.83,2.83,82500,2.768
