date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,38.60,39.17,38.45,39.03,2896100,39.03
2015-06-29,39.20,39.22,38.63,38.71,2163800,38.71
2015-06-26,39.58,39.82,39.03,39.48,5492300,39.48
2015-06-25,40.45,40.57,39.91,39.91,3886200,39.91
2015-06-24,40.50,40.68,40.30,40.45,3060200,40.45
2015-06-23,40.80,40.90,40.23,40.48,2859300,40.48
2015-06-22,40.20,40.40,39.91,40.27,1985200,40.27
2015-06-19,40.35,40.70,40.05,40.20,4184100,40.20
2015-06-18,41.28,41.30,40.04,40.20,6423400,40.20
2015-06-17,41.32,41.42,41.10,41.40,3320500,41.40
2015-06-16,41.30,41.65,40.89,41.32,2190000,41.32
2015-06-15,41.00,41.29,40.88,41.11,2055200,41.11
2015-06-12,41.32,41.535,41.24,41.31,1353500,41.31
2015-06-11,41.70,41.94,41.26,41.42,2335700,41.42
2015-06-10,41.01,41.74,40.91,41.55,1668300,41.55
2015-06-09,41.68,41.82,41.06,41.28,2482100,41.28
2015-06-08,41.82,41.82,41.82,41.82,000,41.82
2015-06-05,41.61,42.17,41.56,41.82,1461700,41.82
2015-06-04,42.38,42.40,41.30,41.45,2530400,41.45
2015-06-03,42.09,42.32,41.85,42.12,2089600,42.12
2015-06-02,43.25,43.25,42.38,42.38,1644100,42.38
2015-06-01,43.55,43.63,42.54,42.93,2061500,42.93
2015-05-29,43.96,44.14,43.51,43.66,4848400,43.66
2015-05-28,43.68,43.73,43.17,43.60,1881200,43.60
2015-05-27,44.00,44.03,43.26,43.40,2467400,43.40
2015-05-26,44.00,44.28,43.99,44.08,1186300,44.08
2015-05-25,43.77,44.06,43.66,43.90,1591800,43.90
2015-05-22,43.56,43.84,43.07,43.33,1563900,43.33
2015-05-21,43.43,43.70,43.125,43.36,2465400,43.36
2015-05-20,43.71,43.71,43.04,43.43,2332000,43.43
2015-05-19,44.38,44.39,43.59,43.71,3207800,43.71
2015-05-18,44.97,45.00,44.45,44.50,1639100,44.50
2015-05-15,44.90,45.00,44.76,44.97,1822300,44.97
2015-05-14,44.07,44.57,43.84,44.57,2075900,44.57
2015-05-13,43.86,44.40,43.72,44.15,2011900,44.15
2015-05-12,43.32,43.69,43.10,43.50,1785000,43.50
2015-05-11,43.76,43.84,43.16,43.35,4133800,43.35
2015-05-08,43.75,43.96,43.71,43.74,2339400,43.74
2015-05-07,44.00,44.25,43.52,43.80,3860700,43.80
2015-05-06,44.04,44.52,43.94,44.35,3266000,44.35
2015-05-05,44.70,44.81,44.28,44.58,2171800,44.58
2015-05-04,43.88,44.52,43.85,44.30,2139900,44.30
2015-05-01,43.49,43.77,43.26,43.64,1946900,43.64
