date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.27,1.36,1.25,1.315,4276600,1.315
2015-06-29,1.26,1.285,1.245,1.26,2578100,1.26
2015-06-26,1.305,1.32,1.28,1.295,3537000,1.295
2015-06-25,1.39,1.39,1.325,1.33,2721400,1.33
2015-06-24,1.37,1.39,1.365,1.38,2853400,1.38
2015-06-23,1.40,1.40,1.37,1.385,3437000,1.385
2015-06-22,1.41,1.415,1.372,1.385,2838200,1.385
2015-06-19,1.41,1.465,1.38,1.405,2481900,1.405
2015-06-18,1.42,1.42,1.405,1.41,3111700,1.41
2015-06-17,1.43,1.43,1.395,1.41,2480500,1.41
2015-06-16,1.43,1.45,1.415,1.43,3346800,1.43
2015-06-15,1.43,1.45,1.417,1.45,1641300,1.45
2015-06-12,1.435,1.465,1.415,1.46,3137100,1.46
2015-06-11,1.38,1.46,1.38,1.45,2053700,1.45
2015-06-10,1.385,1.405,1.375,1.395,1235900,1.395
2015-06-09,1.36,1.445,1.36,1.40,2130000,1.40
2015-06-08,1.40,1.40,1.40,1.40,000,1.40
2015-06-05,1.39,1.425,1.38,1.40,2256300,1.40
2015-06-04,1.39,1.43,1.38,1.405,3328800,1.405
2015-06-03,1.42,1.47,1.395,1.395,6459000,1.395
2015-06-02,1.50,1.50,1.442,1.45,2039100,1.45
2015-06-01,1.49,1.50,1.46,1.485,1312100,1.485
2015-05-29,1.45,1.485,1.44,1.48,4274800,1.48
2015-05-28,1.45,1.455,1.395,1.455,3291200,1.455
2015-05-27,1.425,1.46,1.41,1.43,1842300,1.43
2015-05-26,1.435,1.45,1.425,1.45,1777300,1.45
2015-05-25,1.40,1.435,1.385,1.435,2238200,1.435
2015-05-22,1.42,1.425,1.37,1.41,1996300,1.41
2015-05-21,1.42,1.43,1.385,1.42,2285700,1.42
2015-05-20,1.40,1.41,1.35,1.395,3670700,1.395
2015-05-19,1.47,1.49,1.405,1.43,4088000,1.43
2015-05-18,1.49,1.51,1.45,1.48,1495700,1.48
2015-05-15,1.54,1.545,1.47,1.485,2217100,1.485
