date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.00,10.41,9.93,10.41,1824700,10.41
2015-06-29,10.00,10.08,9.89,9.93,1492700,9.93
2015-06-26,10.50,10.56,10.07,10.10,1441200,10.10
2015-06-25,10.70,10.88,10.64,10.88,1101500,10.88
2015-06-24,10.95,11.14,10.83,10.86,1381000,10.86
2015-06-23,11.09,11.09,10.91,10.96,1364800,10.96
2015-06-22,10.80,10.97,10.73,10.91,1359600,10.91
2015-06-19,10.47,11.05,10.47,11.05,3274800,11.05
2015-06-18,10.45,10.51,10.37,10.44,1748500,10.44
2015-06-17,10.30,10.66,10.30,10.60,1061700,10.60
2015-06-16,10.58,10.63,10.37,10.48,1215800,10.48
2015-06-15,10.58,10.67,10.44,10.65,1656600,10.65
2015-06-12,10.53,10.67,10.24,10.67,985000,10.67
2015-06-11,10.41,10.76,10.41,10.70,1166500,10.70
2015-06-10,10.24,10.39,10.12,10.35,2169500,10.35
2015-06-09,10.22,10.405,10.17,10.19,937800,10.19
2015-06-08,10.18,10.18,10.18,10.18,000,10.18
2015-06-05,10.04,10.22,9.94,10.18,1470700,10.18
2015-06-04,10.34,10.46,10.05,10.10,1695700,10.10
2015-06-03,10.44,10.54,10.32,10.39,955700,10.39
2015-06-02,10.93,10.93,10.43,10.44,1306400,10.44
2015-06-01,10.77,10.88,10.42,10.73,1137500,10.73
2015-05-29,11.00,11.14,10.89,10.89,1868100,10.89
2015-05-28,11.00,11.02,10.81,10.94,737100,10.94
2015-05-27,10.78,10.99,10.69,10.90,1088100,10.90
2015-05-26,10.90,11.06,10.90,11.00,920300,11.00
2015-05-25,10.92,11.16,10.90,10.97,1424300,10.97
2015-05-22,10.42,10.88,10.41,10.84,1512700,10.84
2015-05-21,10.05,10.40,9.95,10.38,1257100,10.38
2015-05-20,10.18,10.20,9.94,10.09,1933600,10.09
2015-05-19,10.25,10.36,10.15,10.35,1753600,10.35
2015-05-18,10.22,10.35,10.08,10.28,1671300,10.28
2015-05-15,10.50,10.52,9.99,10.10,1354600,10.10
2015-05-14,10.20,10.38,10.20,10.32,1375300,10.32
2015-05-13,10.19,10.57,10.14,10.39,2197900,10.39
2015-05-12,10.13,10.13,9.93,10.08,1341000,10.08
2015-05-11,9.90,10.10,9.88,9.98,1644400,9.98
2015-05-08,10.20,10.20,9.83,9.88,2082200,9.88
2015-05-07,10.24,10.32,9.99,10.03,2187400,10.03
2015-05-06,10.26,10.40,10.09,10.24,1852500,10.24
2015-05-05,10.30,10.41,10.09,10.21,3288700,10.21
2015-05-04,10.40,10.48,10.05,10.35,5112500,10.35
2015-05-01,11.45,11.45,11.45,11.45,000,11.45
2015-04-30,11.55,11.57,11.21,11.45,202500,11.45
2015-04-29,11.45,11.53,11.33,11.41,1613200,11.41
2015-04-28,11.65,11.65,11.42,11.47,3189300,11.47
2015-04-27,11.88,11.91,11.75,11.85,1981300,11.85
2015-04-24,11.45,11.63,11.42,11.53,2516000,11.53
2015-04-23,11.14,11.35,11.06,11.20,2316800,11.20
2015-04-22,10.83,11.04,10.75,10.98,2763300,10.98
2015-04-21,10.70,10.84,10.55,10.70,2012400,10.70
2015-04-20,10.70,10.93,10.45,10.50,2941700,10.50
2015-04-17,10.25,11.53,10.25,10.96,6340000,10.96
2015-04-16,9.77,10.20,9.74,10.08,2940600,10.08
2015-04-15,9.41,9.60,9.35,9.50,2732600,9.50
2015-04-14,9.65,9.69,9.21,9.28,1899500,9.28
2015-04-13,9.75,9.82,9.64,9.73,968800,9.73
2015-04-10,9.75,9.77,9.60,9.70,1133300,9.70
2015-04-09,9.82,9.86,9.65,9.76,1496200,9.76
2015-04-08,9.65,9.97,9.64,9.94,2338000,9.94
2015-04-07,9.45,9.71,9.45,9.53,1726500,9.53
2015-04-06,9.28,9.28,9.28,9.28,000,9.28
2015-04-03,9.28,9.28,9.28,9.28,000,9.28
2015-04-02,9.49,9.49,9.18,9.28,1868800,9.28
2015-04-01,9.61,9.61,9.30,9.34,2191500,9.34
2015-03-31,9.57,9.74,9.41,9.55,2386800,9.55
2015-03-30,9.65,9.73,9.21,9.41,3021100,9.41
2015-03-27,9.99,10.12,9.73,9.79,1861000,9.79
2015-03-26,9.94,9.97,9.61,9.87,2112500,9.87
2015-03-25,10.19,10.31,10.00,10.05,1882100,10.05
2015-03-24,10.11,10.29,10.09,10.12,2466500,10.12
2015-03-23,10.12,10.27,9.97,9.98,3388800,9.98
2015-03-20,9.95,10.15,9.85,10.03,7265400,10.03
2015-03-19,9.93,10.12,9.86,9.99,1777400,9.99
2015-03-18,9.92,9.94,9.67,9.80,3052000,9.80
2015-03-17,10.00,10.25,9.92,10.04,1835300,10.04
2015-03-16,9.95,10.11,9.82,9.91,1586700,9.91
2015-03-13,9.92,10.19,9.89,10.12,3196800,10.12
2015-03-12,9.40,9.89,9.40,9.79,2905100,9.79
2015-03-11,9.25,9.375,9.08,9.22,1192100,9.22
2015-03-10,9.72,9.84,9.34,9.40,1347000,9.40
2015-03-09,9.98,9.98,9.64,9.69,1609100,9.69
2015-03-06,9.97,10.15,9.965,10.15,1608500,10.15
2015-03-05,9.99,10.03,9.90,9.93,1205900,9.93
2015-03-04,10.20,10.20,9.88,9.96,1356200,9.96
2015-03-03,9.90,10.10,9.82,10.05,2212600,10.05
2015-03-02,9.80,9.93,9.71,9.82,2037000,9.82
2015-02-27,9.88,10.04,9.65,10.00,2709900,9.648
2015-02-26,9.95,10.37,9.87,9.96,4133300,9.61
2015-02-25,11.00,11.00,9.56,9.86,5995400,9.513
2015-02-24,11.40,11.45,11.20,11.23,1100400,10.835
2015-02-23,11.32,11.49,11.25,11.48,1271500,11.076
2015-02-20,11.49,11.49,11.15,11.31,637800,10.912
2015-02-19,11.50,11.67,11.35,11.40,1225800,10.999
2015-02-18,11.29,11.68,11.27,11.50,1926500,11.096
2015-02-17,11.20,11.57,11.06,11.29,1171100,10.893
2015-02-16,10.52,11.57,10.49,11.53,1770900,11.124
2015-02-13,10.36,10.46,10.26,10.46,1043000,10.092
2015-02-12,10.31,10.33,10.03,10.16,1069700,9.803
2015-02-11,10.52,10.55,10.15,10.20,1366200,9.841
2015-02-10,10.53,10.75,10.48,10.51,1323400,10.14
2015-02-09,10.36,10.46,10.26,10.46,1154500,10.092
2015-02-06,10.35,10.45,10.15,10.17,1291300,9.812
2015-02-05,10.25,10.25,9.99,10.10,1703700,9.745
2015-02-04,10.55,10.76,10.27,10.42,2067400,10.054
2015-02-03,9.81,10.25,9.80,10.18,1930100,9.822
2015-02-02,9.78,9.85,9.57,9.58,1370600,9.243
2015-01-30,9.65,9.75,9.53,9.62,3743700,9.282
2015-01-29,9.37,9.70,9.27,9.65,1584200,9.311
