date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,26.95,27.18,26.75,26.96,3999900,26.96
2015-06-29,27.28,27.28,26.79,26.99,5349900,26.99
2015-06-26,26.80,27.87,26.68,27.39,15164600,27.39
2015-06-25,26.60,26.83,26.38,26.38,3690600,26.38
2015-06-24,26.79,26.92,26.49,26.70,4222700,26.70
2015-06-23,27.00,27.00,26.44,26.85,4490500,26.85
2015-06-22,27.22,27.245,26.77,26.86,3214400,26.86
2015-06-19,26.78,27.37,26.69,27.30,7632200,27.30
2015-06-18,26.48,26.64,26.25,26.60,12965500,26.60
2015-06-17,26.67,27.60,26.60,26.80,12897200,26.80
2015-06-16,26.83,26.85,26.59,26.84,3139100,26.84
2015-06-15,26.89,26.90,26.57,26.76,3940000,26.76
2015-06-12,27.02,27.10,26.87,26.93,2270800,26.93
2015-06-11,27.38,27.40,26.97,27.08,3639400,27.08
2015-06-10,27.00,27.57,26.95,27.43,2741000,27.43
2015-06-09,27.20,27.23,27.00,27.11,3147800,27.11
2015-06-08,27.25,27.25,27.25,27.25,000,27.25
2015-06-05,27.07,27.36,27.07,27.25,1885500,27.25
2015-06-04,27.47,27.50,27.08,27.10,3632400,27.10
2015-06-03,27.50,27.52,27.31,27.36,3520300,27.36
2015-06-02,27.71,27.77,27.51,27.51,2706000,27.51
2015-06-01,27.90,27.92,27.51,27.70,2718000,27.70
2015-05-29,28.16,28.27,27.95,28.00,7676000,28.00
2015-05-28,28.01,28.10,27.76,28.01,3642700,28.01
2015-05-27,28.39,28.40,27.91,27.94,3238700,27.94
2015-05-26,28.48,28.665,28.40,28.53,2260500,28.53
2015-05-25,28.15,28.59,28.10,28.48,1808300,28.48
2015-05-22,28.47,28.49,28.02,28.18,2386000,28.18
2015-05-21,28.15,28.39,28.15,28.36,4281700,28.36
2015-05-20,28.09,28.27,27.42,28.15,3922900,28.15
2015-05-19,28.85,28.88,28.10,28.10,3947700,28.10
2015-05-18,29.01,29.12,28.63,28.85,2234000,28.85
2015-05-15,28.79,29.05,28.78,29.00,5416500,29.00
2015-05-14,28.30,28.58,28.13,28.58,2654300,28.58
2015-05-13,28.10,28.50,27.92,28.50,4103000,28.50
2015-05-12,27.20,27.84,27.085,27.77,3552100,27.77
2015-05-11,27.50,27.51,27.02,27.14,3266400,27.14
2015-05-08,27.57,27.755,27.38,27.38,5261700,27.38
2015-05-07,28.00,28.10,27.45,27.57,10353200,27.57
2015-05-06,28.50,29.01,28.10,28.14,11415100,28.14
2015-05-05,29.80,29.96,29.51,29.63,4340900,29.63
2015-05-04,29.22,29.69,29.20,29.60,3021700,29.60
2015-05-01,29.50,29.50,28.95,29.00,4071000,29.00
2015-04-30,29.02,29.51,28.81,29.48,5052000,29.48
2015-04-29,29.72,29.74,29.19,29.22,3864600,29.22
2015-04-28,29.23,29.88,29.21,29.80,5919100,29.80
2015-04-27,29.05,29.27,29.00,29.23,2637500,29.23
2015-04-24,28.36,29.00,28.30,28.91,4755800,28.91
2015-04-23,28.15,28.38,28.05,28.10,3741600,28.10
2015-04-22,28.49,28.52,28.17,28.26,3712100,28.26
2015-04-21,28.51,28.53,28.22,28.36,3570600,28.36
2015-04-20,28.50,28.53,28.05,28.05,3328800,28.05
2015-04-17,28.89,28.98,28.50,28.53,5049200,28.53
2015-04-16,28.91,29.11,28.90,29.00,5268400,29.00
2015-04-15,29.25,29.25,28.92,29.00,5163900,29.00
2015-04-14,29.36,29.50,29.09,29.21,4986700,29.21
2015-04-13,29.50,29.70,29.46,29.65,3308400,29.65
2015-04-10,29.10,29.68,29.00,29.56,4535300,29.56
2015-04-09,29.09,29.11,28.90,29.05,4961700,29.05
2015-04-08,29.00,29.13,28.90,29.05,5427400,29.05
2015-04-07,29.30,29.33,28.96,28.99,4481900,28.99
2015-04-06,28.99,28.99,28.99,28.99,000,28.99
2015-04-03,28.99,28.99,28.99,28.99,000,28.99
2015-04-02,29.21,29.25,28.95,28.99,5255900,28.99
2015-04-01,29.36,29.47,29.05,29.20,4349000,29.20
2015-03-31,29.86,29.91,29.43,29.49,3958000,29.49
2015-03-30,29.30,29.66,29.30,29.48,3241200,29.48
2015-03-27,28.99,29.68,28.85,29.62,9006900,29.62
2015-03-26,28.80,29.09,28.65,28.94,3683300,28.94
2015-03-25,29.07,29.13,28.86,28.96,3795000,28.96
2015-03-24,28.90,29.10,28.84,29.05,2940900,29.05
2015-03-23,29.17,29.17,28.89,28.96,2818500,28.96
2015-03-20,28.80,29.23,28.80,29.11,4330000,29.11
2015-03-19,29.07,29.11,28.92,29.01,5034300,29.01
2015-03-18,28.58,28.84,28.53,28.67,4135600,28.67
2015-03-17,29.40,29.60,29.23,29.34,4517100,28.67
2015-03-16,29.40,29.53,29.34,29.40,2989700,28.72863
2015-03-13,29.45,29.56,29.27,29.37,3228600,28.69932
2015-03-12,29.34,29.65,29.26,29.45,2717300,28.77749
2015-03-11,29.30,29.43,29.21,29.35,3672700,28.67977
2015-03-10,29.70,29.75,29.36,29.36,5645600,28.68954
2015-03-09,30.00,30.02,29.77,29.81,3254800,29.12927
2015-03-06,30.00,30.20,29.95,30.07,6351500,29.38333
2015-03-05,29.39,29.83,29.29,29.83,4389700,29.14881
2015-03-04,29.81,29.95,29.34,29.35,7576800,28.67977
2015-03-03,29.30,30.05,29.27,29.82,9757700,29.13904
2015-03-02,30.41,30.45,29.18,29.29,15947600,28.62114
2015-02-27,30.70,31.28,30.61,30.71,23371100,30.00871
2015-02-26,34.30,34.49,33.88,33.95,3818700,33.17473
2015-02-25,34.60,34.71,33.85,34.35,5486700,33.56559
2015-02-24,33.41,34.32,33.27,34.32,5728500,33.53628
2015-02-23,33.26,33.33,32.98,33.32,2388300,32.55911
2015-02-20,33.20,33.29,33.07,33.26,2647200,32.50048
2015-02-19,33.10,33.12,32.73,33.00,3289400,32.24642
2015-02-18,33.00,33.07,32.72,32.82,3188300,32.07053
2015-02-17,32.61,32.815,32.61,32.81,2036200,32.06076
2015-02-16,32.36,32.72,32.07,32.61,2419600,31.86533
2015-02-13,32.46,32.59,32.20,32.40,4066500,31.66012
2015-02-12,32.12,32.24,31.87,32.10,3767100,31.36697
2015-02-11,32.33,32.41,31.88,32.12,4741600,31.38652
2015-02-10,32.50,32.50,32.09,32.29,3037800,31.55264
2015-02-09,32.30,32.40,32.095,32.33,2842100,31.59172
2015-02-06,32.82,32.84,32.36,32.54,3464100,31.79693
2015-02-05,32.63,32.65,32.40,32.46,3896800,31.71875
2015-02-04,32.79,32.79,32.46,32.79,4514900,32.04122
2015-02-03,32.00,32.45,31.87,32.29,3056400,31.55264
2015-02-02,31.81,32.46,31.69,32.17,4399600,31.43537
2015-01-30,32.00,32.05,31.76,31.78,8546500,31.05428
2015-01-29,31.50,31.80,31.06,31.60,5445800,30.87839
2015-01-28,31.85,32.33,31.53,31.54,5840300,30.81976
2015-01-27,31.70,32.46,31.60,32.46,4735000,31.71875
2015-01-26,31.55,31.55,31.55,31.55,000,30.82953
2015-01-23,31.50,31.55,31.31,31.55,3622900,30.82953
2015-01-22,31.13,31.17,30.82,31.14,4364300,30.42889
2015-01-21,30.30,30.93,30.13,30.93,4936500,30.22369
2015-01-20,30.30,30.38,29.77,30.09,3421200,29.40287
2015-01-19,31.14,31.14,30.25,30.27,3987600,29.57876
2015-01-16,30.10,30.72,29.90,30.69,4558700,29.98917
2015-01-15,29.86,30.48,29.74,30.25,3952300,29.55922
2015-01-14,29.75,30.22,29.64,30.00,3360600,29.31493
2015-01-13,29.90,30.02,29.70,29.90,2728200,29.21721
2015-01-12,30.14,30.41,30.01,30.07,1583900,29.38333
2015-01-09,29.90,30.22,29.85,30.22,3136700,29.5299
2015-01-08,30.18,30.18,29.53,29.64,3209900,28.96315
2015-01-07,29.70,30.06,29.58,29.95,3218500,29.26607
2015-01-06,29.90,29.92,29.55,29.80,4383200,29.11949
2015-01-05,30.80,30.80,30.06,30.24,4319200,29.54945
2015-01-02,30.49,30.95,30.33,30.63,1140500,29.93054
2015-01-01,30.68,30.68,30.68,30.68,000,29.9794
2014-12-31,30.70,30.94,30.64,30.68,1352700,29.9794
2014-12-30,31.20,31.25,30.57,30.57,2569600,29.87191
2014-12-29,30.80,31.11,30.70,31.10,2110700,30.38981
2014-12-26,30.50,30.50,30.50,30.50,000,29.80351
2014-12-25,30.50,30.50,30.50,30.50,000,29.80351
2014-12-24,30.58,30.67,30.28,30.50,2274100,29.80351
2014-12-23,30.68,30.84,30.41,30.41,3056900,29.71557
2014-12-22,30.00,30.62,30.00,30.62,2815800,29.92077
2014-12-19,29.65,30.02,29.65,30.00,7659700,29.31493
2014-12-18,29.51,30.00,29.23,29.40,6383400,28.72863
2014-12-17,29.25,29.35,29.11,29.14,5397200,28.47457
2014-12-16,29.20,29.38,29.12,29.20,3748600,28.5332
2014-12-15,29.57,29.61,29.20,29.20,3633400,28.5332
2014-12-12,29.50,30.06,29.50,29.86,3645000,29.17813
2014-12-11,29.46,30.08,29.45,29.99,5423800,29.30516
2014-12-10,30.00,30.30,29.71,29.88,4928800,29.19767
2014-12-09,30.75,30.80,30.02,30.31,4878100,29.61785
2014-12-08,30.86,31.27,30.82,30.86,2744100,30.15529
2014-12-05,31.26,31.47,30.82,30.84,3764300,30.13575
2014-12-04,31.00,31.27,30.83,31.27,4418400,30.55593
2014-12-03,30.00,30.95,30.00,30.90,4298100,30.19438
